record_id,scope,institution_id,bank_number_key,PI_CAT_ID,confidence,evidence_count,evidence_json
standard:PSU 901,standard,,PSU 901,PI_CAT-3,1.00,2,"[{""confidence"":1.0,""field"":""description_en"",""language"":""en"",""matched_text"":""contact information"",""rule"":""explicit contact information""},{""confidence"":1.0,""field"":""description_fr"",""language"":""fr"",""matched_text"":""coordonnées"",""rule"":""explicit contact information""}]"
standard:PSU 901,standard,,PSU 901,PI_CAT-6,0.79,1,"[{""confidence"":0.79,""field"":""description_en"",""language"":""en"",""matched_text"":""credit information"",""rule"":""credit assessment information""}]"
standard:PSU 901,standard,,PSU 901,PI_CAT-17,0.98,2,"[{""confidence"":0.98,""field"":""description_en"",""language"":""en"",""matched_text"":""name"",""rule"":""name in personal-information enumeration""},{""confidence"":0.98,""field"":""description_fr"",""language"":""fr"",""matched_text"":""noms"",""rule"":""name in personal-information enumeration""}]"
standard:PSU 901,standard,,PSU 901,PI_CAT-25,1.00,4,"[{""confidence"":1.0,""field"":""description_en"",""language"":""en"",""matched_text"":""Social Insurance Number"",""rule"":""Social Insurance Number""},{""confidence"":1.0,""field"":""description_fr"",""language"":""fr"",""matched_text"":""numéros d’assurance sociale"",""rule"":""Social Insurance Number""},{""confidence"":1.0,""field"":""purpose_en"",""language"":""en"",""matched_text"":""SIN"",""rule"":""Social Insurance Number""},{""confidence"":1.0,""field"":""purpose_fr"",""language"":""fr"",""matched_text"":""NAS"",""rule"":""Social Insurance Number""}]"
standard:PSU 931,standard,,PSU 931,PI_CAT-3,1.00,2,"[{""confidence"":1.0,""field"":""description_en"",""language"":""en"",""matched_text"":""contact information"",""rule"":""explicit contact information""},{""confidence"":1.0,""field"":""description_fr"",""language"":""fr"",""matched_text"":""coordonnées"",""rule"":""explicit contact information""}]"
standard:PSU 931,standard,,PSU 931,PI_CAT-10,1.00,2,"[{""confidence"":1.0,""field"":""description_en"",""language"":""en"",""matched_text"":""employee identification number"",""rule"":""employee identification number""},{""confidence"":1.0,""field"":""description_fr"",""language"":""fr"",""matched_text"":""numéro d’identification d’employé"",""rule"":""employee identification number""}]"
standard:PSU 931,standard,,PSU 931,PI_CAT-13,1.00,2,"[{""confidence"":1.0,""field"":""description_en"",""language"":""en"",""matched_text"":""financial information"",""rule"":""explicit financial information""},{""confidence"":1.0,""field"":""description_fr"",""language"":""fr"",""matched_text"":""renseignements financiers"",""rule"":""explicit financial information""}]"
standard:PSU 931,standard,,PSU 931,PI_CAT-17,0.98,2,"[{""confidence"":0.98,""field"":""description_en"",""language"":""en"",""matched_text"":""name"",""rule"":""name in personal-information enumeration""},{""confidence"":0.98,""field"":""description_fr"",""language"":""fr"",""matched_text"":""nom"",""rule"":""name in personal-information enumeration""}]"
standard:PSU 931,standard,,PSU 931,PI_CAT-19,1.00,2,"[{""confidence"":1.0,""field"":""description_en"",""language"":""en"",""matched_text"":""other identifying numbers"",""rule"":""explicit other identification number""},{""confidence"":1.0,""field"":""description_fr"",""language"":""fr"",""matched_text"":""autres numéros d’identification"",""rule"":""explicit other identification number""}]"
standard:PSU 931,standard,,PSU 931,PI_CAT-24,1.00,2,"[{""confidence"":1.0,""field"":""description_en"",""language"":""en"",""matched_text"":""signature"",""rule"":""signature""},{""confidence"":1.0,""field"":""description_fr"",""language"":""fr"",""matched_text"":""signature"",""rule"":""signature""}]"
standard:PSU 931,standard,,PSU 931,PI_CAT-25,1.00,5,"[{""confidence"":1.0,""field"":""consistent_uses_en"",""language"":""en"",""matched_text"":""SIN"",""rule"":""Social Insurance Number""},{""confidence"":1.0,""field"":""description_en"",""language"":""en"",""matched_text"":""Social Insurance Number"",""rule"":""Social Insurance Number""},{""confidence"":1.0,""field"":""description_fr"",""language"":""fr"",""matched_text"":""numéro d’assurance sociale"",""rule"":""Social Insurance Number""},{""confidence"":1.0,""field"":""purpose_en"",""language"":""en"",""matched_text"":""SIN"",""rule"":""Social Insurance Number""},{""confidence"":1.0,""field"":""purpose_fr"",""language"":""fr"",""matched_text"":""NAS"",""rule"":""Social Insurance Number""}]"
standard:PSU 932,standard,,PSU 932,PI_CAT-3,1.00,2,"[{""confidence"":1.0,""field"":""description_en"",""language"":""en"",""matched_text"":""contact information"",""rule"":""explicit contact information""},{""confidence"":1.0,""field"":""description_fr"",""language"":""fr"",""matched_text"":""coordonnées"",""rule"":""explicit contact information""}]"
standard:PSU 932,standard,,PSU 932,PI_CAT-6,0.79,1,"[{""confidence"":0.79,""field"":""description_en"",""language"":""en"",""matched_text"":""credit information"",""rule"":""credit assessment information""}]"
standard:PSU 932,standard,,PSU 932,PI_CAT-10,1.00,2,"[{""confidence"":1.0,""field"":""description_en"",""language"":""en"",""matched_text"":""employee identification number"",""rule"":""employee identification number""},{""confidence"":1.0,""field"":""description_fr"",""language"":""fr"",""matched_text"":""numéro d’identification d’employé"",""rule"":""employee identification number""}]"
standard:PSU 932,standard,,PSU 932,PI_CAT-13,1.00,6,"[{""confidence"":1.0,""field"":""description_en"",""language"":""en"",""matched_text"":""financial information"",""rule"":""explicit financial information""},{""confidence"":1.0,""field"":""description_fr"",""language"":""fr"",""matched_text"":""renseignements financiers"",""rule"":""explicit financial information""},{""confidence"":0.93,""field"":""note_en"",""language"":""en"",""matched_text"":""account number"",""rule"":""financial account or asset""},{""confidence"":0.93,""field"":""note_fr"",""language"":""fr"",""matched_text"":""numéro de compte"",""rule"":""financial account or asset""},{""confidence"":0.93,""field"":""purpose_en"",""language"":""en"",""matched_text"":""investments"",""rule"":""financial account or asset""},{""confidence"":0.93,""field"":""purpose_fr"",""language"":""fr"",""matched_text"":""investissements"",""rule"":""financial account or asset""}]"
standard:PSU 932,standard,,PSU 932,PI_CAT-14,0.99,1,"[{""confidence"":0.99,""field"":""note_fr"",""language"":""fr"",""matched_text"":""genre"",""rule"":""gender""}]"
