institution_id,gc_orgID,institution_name_en,institution_name_fr,collectable,collection_completed,pibs_en_status,pibs_fr_status,classes_of_records_en_status,classes_of_records_fr_status,source_error_count,pibs_english,pibs_french,pibs_merged,classes_of_records_english,classes_of_records_french,classes_of_records_merged
ati-schedule-i-department-for-women-and-gender-equality,2241,Department for Women and Gender Equality,Ministère des Femmes et de l’Égalité des genres,true,true,collected,collected,collected,collected,0,0,0,0,0,0,0
ati-schedule-i-department-of-agriculture-and-agri-food,2222,Department of Agriculture and Agri-Food,Ministère de l’Agriculture et de l’Agroalimentaire,true,true,collected,collected,collected,collected,0,0,0,0,0,0,0
ati-schedule-i-department-of-canadian-heritage,2223,Department of Canadian Heritage,Ministère du Patrimoine canadien,true,true,collected,collected,collected,collected,0,7,7,7,63,63,63
ati-schedule-i-department-of-citizenship-and-immigration,2224,Department of Citizenship and Immigration,Ministère de la Citoyenneté et de l’Immigration,true,true,collected,collected,collected,collected,0,22,20,22,15,0,15
ati-schedule-i-department-of-crown-indigenous-relations-and-northern-affairs,2230,Department of Crown-Indigenous Relations and Northern Affairs,Ministère des Relations Couronne-Autochtones et des Affaires du Nord,true,true,collected,collected,collected,collected,0,15,14,16,49,47,49
ati-schedule-i-department-of-employment-and-social-development,2229,Department of Employment and Social Development,Ministère de l’Emploi et du Développement social,true,true,collected,collected,collected,collected,0,66,66,66,82,80,86
ati-schedule-i-department-of-the-environment,2237,Department of the Environment,Ministère de l’Environnement,true,true,collected,collected,collected,collected,0,16,16,16,8,8,8
ati-schedule-i-department-of-finance,2225,Department of Finance,Ministère des Finances,true,true,collected,collected,collected,collected,0,3,3,3,110,118,118
ati-schedule-i-department-of-fisheries-and-oceans,2226,Department of Fisheries and Oceans,Ministère des Pêches et des Océans,true,true,collected,collected,collected,collected,0,45,44,45,37,37,37
ati-schedule-i-department-of-foreign-affairs-trade-and-development,2227,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement",true,true,collected,collected,collected,collected,0,16,3,19,119,134,134
ati-schedule-i-department-of-health,2228,Department of Health,Ministère de la Santé,true,true,collected,collected,collected,collected,0,61,61,61,50,50,50
ati-schedule-i-department-of-housing-infrastructure-and-communities,2269,"Department of Housing, Infrastructure and Communities","Ministère du Logement, de l’Infrastructure et des Collectivités",true,true,error,error,error,error,4,0,0,0,0,0,0
