legal_name_en,tbs_due_name_en,tbs_due_name_fr,central_list_name_en,central_list_name_fr,reporting_entity_en,reporting_entity_fr,annual_due_date_override,infosource_url_en_override,infosource_url_fr_override,pibs_url_en_override,pibs_url_fr_override,classes_url_en_override,classes_url_fr_override,url_evidence_en_override,url_evidence_fr_override,notes
Department for Women and Gender Equality,,,Women and Gender Equality,Femmes et de l’Ĕgalité des genres,,,,,,,,,,,,Current legal and public-facing names differ.
Department of Western Economic Diversification,,,,,Prairies Economic Development Canada,Développement économique Canada pour les Prairies,,https://www.canada.ca/en/prairies-economic-development/corporate/transparency/information-holdings.html,https://www.canada.ca/fr/developpement-economique-prairies/organisation/transparence/fonds-renseignements.html,,,,,https://www.canada.ca/en/prairies-economic-development/corporate/transparency/information-holdings.html,https://www.canada.ca/fr/developpement-economique-prairies/organisation/transparence/fonds-renseignements.html,The current successor institution publishes the report under PrairiesCan.
Department of Crown-Indigenous Relations and Northern Affairs,,,Crown Indigenous and Northern Affairs Canada,,,,,,,,,,,,,Current legal and public-facing names differ.
"Department of Housing, Infrastructure and Communities",Infrastructure Canada,Infrastructure Canada,Infrastructure Canada,Infrastructure Canada,,,,,,,,,,,,TBS source still uses the former public-facing name.
Canada Employment Insurance Commission,Employment and Social Development Canada,Emploi et Développement social Canada,,,Employment and Social Development Canada,Emploi et Développement social Canada,06-30,https://www.canada.ca/en/employment-social-development/corporate/transparency/access-information/reports/infosource.html,https://www.canada.ca/fr/emploi-developpement-social/ministere/transparence/aai/rapports/infosource.html,,,,,https://www.canada.ca/en/employment-social-development/corporate/transparency/access-information/reports/infosource.html,https://www.canada.ca/fr/emploi-developpement-social/ministere/transparence/aai/rapports/infosource.html,Info Source reporting is consolidated with Employment and Social Development Canada.
Canadian Energy Regulator,,,,,,,,https://www.cer-rec.gc.ca/en/about/open-government/transparency/completed-access-information-requests/info-source.html,https://www.cer-rec.gc.ca/fr/regie/gouvernement-ouvert/transparence/demandes-acces-information-completees/info-source.html,,,,,https://www.cer-rec.gc.ca/en/about/open-government/transparency/completed-access-information-requests/info-source.html,https://www.cer-rec.gc.ca/fr/regie/gouvernement-ouvert/transparence/demandes-acces-information-completees/info-source.html,Bilingual current reports verified through web search.
Canadian Forces,National Defence,Défense nationale,,,National Defence,Défense nationale,06-30,https://www.canada.ca/en/department-national-defence/corporate/transparency/access-information-privacy/info-source-sources-of-federal-government-and-employee-information.html,https://www.canada.ca/fr/ministere-defense-nationale/organisation/transparence/acces-information-protection-renseignements-personnels/info-source-sources-de-renseignements-du-gouvernement-federal-et-sur-les-fonctionnaires-federaux.html,,,,,https://www.canada.ca/en/department-national-defence/corporate/transparency/access-information-privacy/info-source-sources-of-federal-government-and-employee-information.html,https://www.canada.ca/fr/ministere-defense-nationale/organisation/transparence/acces-information-protection-renseignements-personnels/info-source-sources-de-renseignements-du-gouvernement-federal-et-sur-les-fonctionnaires-federaux.html,Info Source reporting is consolidated with National Defence.
College of Patent Agents and Trademark Agents,College of Patent and Trademark Agents,,College of Patent Agents and Trademark Agents,Collège des agents de brevets et des agents de marques de commerce,,,,https://cpata-cabamc.ca/en/about-us/info-source/,https://cpata-cabamc.ca/fr/a-propos-de-nous/info-source/,,,,,https://cpata-cabamc.ca/en/about-us/info-source/,https://cpata-cabamc.ca/fr/a-propos-de-nous/info-source/,Institution website result verified through web search.
Federal Public Service Health Care Plan Administration Authority,,,,Administration du Régime de soins de santé de la fonction publique fédérale,,,,,,,,,,,,French source contains a spacing error in the Act XML.
Hamilton-Oshawa Port Authority,,,Hamilton-Oshawa Port Authority,Administration portuaire de Hamilton-Oshawa,,,,,,,,,,,,Use the current combined entity name and do not reuse a legacy Hamilton-only or Oshawa-only row.
