institution_id,bank_number_key,language,related_record_number,relationship_scope,resolved,cor_record_number
ati-schedule-i-department-of-canadian-heritage,PCH PPU 078,en,PCH PAC 050,institution_specific,true,PCH PAC 050
ati-schedule-i-department-of-canadian-heritage,PCH PPU 078,fr,PCH PAC 050,institution_specific,true,PCH PAC 050
ati-schedule-i-department-of-canadian-heritage,PCH PPU 070,en,PCH PAC 050,institution_specific,true,PCH PAC 050
ati-schedule-i-department-of-canadian-heritage,PCH PPU 070,fr,PCH PAC 050,institution_specific,true,PCH PAC 050
ati-schedule-i-department-of-canadian-heritage,PCH PPU 220,en,PCH SPT 005,institution_specific,true,PCH SPT 005
ati-schedule-i-department-of-canadian-heritage,PCH PPU 220,fr,PCH SPT 005,institution_specific,true,PCH SPT 005
ati-schedule-i-department-of-canadian-heritage,PCH PPU 232,en,PCH SPT 015,institution_specific,true,PCH SPT 015
ati-schedule-i-department-of-canadian-heritage,PCH PPU 232,fr,PCH SPT 015,institution_specific,true,PCH SPT 015
ati-schedule-i-department-of-canadian-heritage,PCH PPU 071,en,PCH PAC 050,institution_specific,true,PCH PAC 050
ati-schedule-i-department-of-canadian-heritage,PCH PPU 071,fr,PCH PAC 050,institution_specific,true,PCH PAC 050
ati-schedule-i-department-of-citizenship-and-immigration,IRCC PPU 007,en,CIC ASB 011,institution_specific,true,CIC ASB 011
ati-schedule-i-department-of-citizenship-and-immigration,IRCC PPU 007,en,CIC APB 001,institution_specific,false,
ati-schedule-i-department-of-citizenship-and-immigration,IRCC PPU 007,fr,CIC ASB 011,institution_specific,true,CIC ASB 011
ati-schedule-i-department-of-citizenship-and-immigration,IRCC PPU 007,fr,CIC APB 001,institution_specific,false,
ati-schedule-i-department-of-citizenship-and-immigration,IRCC PPU 008,en,CIC ASB 008,institution_specific,true,CIC ASB 008
ati-schedule-i-department-of-citizenship-and-immigration,IRCC PPU 008,fr,CIC ASB 008,institution_specific,true,CIC ASB 008
ati-schedule-i-department-of-citizenship-and-immigration,IRCC PPU 009,en,CIC ASB 008,institution_specific,true,CIC ASB 008
ati-schedule-i-department-of-citizenship-and-immigration,IRCC PPU 009,fr,CIC ASB 008,institution_specific,true,CIC ASB 008
ati-schedule-i-department-of-citizenship-and-immigration,IRCC PPU 010,en,CIC ASB 010,institution_specific,true,CIC ASB 010
ati-schedule-i-department-of-citizenship-and-immigration,IRCC PPU 010,fr,CIC ASB 010,institution_specific,true,CIC ASB 010
ati-schedule-i-department-of-citizenship-and-immigration,IRCC PPU 013,en,CIC ASB 013,institution_specific,true,CIC ASB 013
ati-schedule-i-department-of-citizenship-and-immigration,IRCC PPU 013,en,CIC ASB 014,institution_specific,true,CIC ASB 014
ati-schedule-i-department-of-citizenship-and-immigration,IRCC PPU 013,fr,CIC ASB 013,institution_specific,true,CIC ASB 013
ati-schedule-i-department-of-citizenship-and-immigration,IRCC PPU 013,fr,CIC ASB 014,institution_specific,true,CIC ASB 014
ati-schedule-i-department-of-citizenship-and-immigration,IRCC PPU 042,en,CIC AOB 005,institution_specific,false,
ati-schedule-i-department-of-citizenship-and-immigration,IRCC PPU 042,fr,CIC AOB 005,institution_specific,false,
ati-schedule-i-department-of-citizenship-and-immigration,IRCC PPU 050,en,CIC ASB 004,institution_specific,true,CIC ASB 004
ati-schedule-i-department-of-citizenship-and-immigration,IRCC PPU 050,fr,CIC ASB 004,institution_specific,true,CIC ASB 004
ati-schedule-i-department-of-citizenship-and-immigration,IRCC PPU 051,en,CIC ASB 017,institution_specific,false,
ati-schedule-i-department-of-citizenship-and-immigration,IRCC PPU 051,fr,CIC ASB 017,institution_specific,false,
ati-schedule-i-department-of-citizenship-and-immigration,IRCC PPU 052,en,CIC AOB 003,institution_specific,false,
ati-schedule-i-department-of-citizenship-and-immigration,IRCC PPU 052,fr,CIC AOB 003,institution_specific,false,
ati-schedule-i-department-of-citizenship-and-immigration,IRCC PPU 054,en,CIC ASB 018,institution_specific,true,CIC APB 018
ati-schedule-i-department-of-citizenship-and-immigration,IRCC PPU 054,fr,CIC ASB 018,institution_specific,true,CIC APB 018
ati-schedule-i-department-of-citizenship-and-immigration,IRCC PPU 055,en,CIC ASB 009,institution_specific,true,CIC ASB 009
ati-schedule-i-department-of-citizenship-and-immigration,IRCC PPU 055,en,CIC ASB 012,institution_specific,true,CIC ASB 012
ati-schedule-i-department-of-citizenship-and-immigration,IRCC PPU 055,fr,CIC ASB 009,institution_specific,true,CIC ASB 009
ati-schedule-i-department-of-citizenship-and-immigration,IRCC PPU 055,fr,CIC ASB 012,institution_specific,true,CIC ASB 012
ati-schedule-i-department-of-citizenship-and-immigration,IRCC PPU 062,en,CIC ASB 020,institution_specific,true,CIC ASB 020
ati-schedule-i-department-of-citizenship-and-immigration,IRCC PPU 062,fr,CIC ASB 020,institution_specific,true,CIC ASB 020
ati-schedule-i-department-of-citizenship-and-immigration,IRCC PPU 065,en,CIC ASB 021,institution_specific,true,CIC ASB 021
ati-schedule-i-department-of-citizenship-and-immigration,IRCC PPU 065,en,CIC ASB 011,institution_specific,true,CIC ASB 011
