institution_id,institution_name_en,institution_name_fr,bank_number_key,language,language_label,related_record_number,relationship_scope,relationship_scope_label,resolved,resolution_label,cor_record_number,cor_record_number_display
ati-schedule-i-department-of-canadian-heritage,Department of Canadian Heritage,Ministère du Patrimoine canadien,PCH PPU 078,en,English,PCH PAC 050,institution_specific,Institution-specific class,true,Resolved,PCH PAC 050,PCH PAC 050
ati-schedule-i-department-of-canadian-heritage,Department of Canadian Heritage,Ministère du Patrimoine canadien,PCH PPU 078,fr,French,PCH PAC 050,institution_specific,Institution-specific class,true,Resolved,PCH PAC 050,PCH PAC 050
ati-schedule-i-department-of-canadian-heritage,Department of Canadian Heritage,Ministère du Patrimoine canadien,PCH PPU 070,en,English,PCH PAC 050,institution_specific,Institution-specific class,true,Resolved,PCH PAC 050,PCH PAC 050
ati-schedule-i-department-of-canadian-heritage,Department of Canadian Heritage,Ministère du Patrimoine canadien,PCH PPU 070,fr,French,PCH PAC 050,institution_specific,Institution-specific class,true,Resolved,PCH PAC 050,PCH PAC 050
ati-schedule-i-department-of-canadian-heritage,Department of Canadian Heritage,Ministère du Patrimoine canadien,PCH PPU 220,en,English,PCH SPT 005,institution_specific,Institution-specific class,true,Resolved,PCH SPT 005,PCH SPT 005
ati-schedule-i-department-of-canadian-heritage,Department of Canadian Heritage,Ministère du Patrimoine canadien,PCH PPU 220,fr,French,PCH SPT 005,institution_specific,Institution-specific class,true,Resolved,PCH SPT 005,PCH SPT 005
ati-schedule-i-department-of-canadian-heritage,Department of Canadian Heritage,Ministère du Patrimoine canadien,PCH PPU 232,en,English,PCH SPT 015,institution_specific,Institution-specific class,true,Resolved,PCH SPT 015,PCH SPT 015
ati-schedule-i-department-of-canadian-heritage,Department of Canadian Heritage,Ministère du Patrimoine canadien,PCH PPU 232,fr,French,PCH SPT 015,institution_specific,Institution-specific class,true,Resolved,PCH SPT 015,PCH SPT 015
ati-schedule-i-department-of-canadian-heritage,Department of Canadian Heritage,Ministère du Patrimoine canadien,PCH PPU 071,en,English,PCH PAC 050,institution_specific,Institution-specific class,true,Resolved,PCH PAC 050,PCH PAC 050
ati-schedule-i-department-of-canadian-heritage,Department of Canadian Heritage,Ministère du Patrimoine canadien,PCH PPU 071,fr,French,PCH PAC 050,institution_specific,Institution-specific class,true,Resolved,PCH PAC 050,PCH PAC 050
ati-schedule-i-department-of-citizenship-and-immigration,Department of Citizenship and Immigration,Ministère de la Citoyenneté et de l’Immigration,IRCC PPU 007,en,English,CIC ASB 011,institution_specific,Institution-specific class,true,Resolved,CIC ASB 011,CIC ASB 011
ati-schedule-i-department-of-citizenship-and-immigration,Department of Citizenship and Immigration,Ministère de la Citoyenneté et de l’Immigration,IRCC PPU 007,en,English,CIC APB 001,institution_specific,Institution-specific class,false,Needs review,,
ati-schedule-i-department-of-citizenship-and-immigration,Department of Citizenship and Immigration,Ministère de la Citoyenneté et de l’Immigration,IRCC PPU 007,fr,French,CIC ASB 011,institution_specific,Institution-specific class,true,Resolved,CIC ASB 011,CIC ASB 011
ati-schedule-i-department-of-citizenship-and-immigration,Department of Citizenship and Immigration,Ministère de la Citoyenneté et de l’Immigration,IRCC PPU 007,fr,French,CIC APB 001,institution_specific,Institution-specific class,false,Needs review,,
ati-schedule-i-department-of-citizenship-and-immigration,Department of Citizenship and Immigration,Ministère de la Citoyenneté et de l’Immigration,IRCC PPU 008,en,English,CIC ASB 008,institution_specific,Institution-specific class,true,Resolved,CIC ASB 008,CIC ASB 008
ati-schedule-i-department-of-citizenship-and-immigration,Department of Citizenship and Immigration,Ministère de la Citoyenneté et de l’Immigration,IRCC PPU 008,fr,French,CIC ASB 008,institution_specific,Institution-specific class,true,Resolved,CIC ASB 008,CIC ASB 008
ati-schedule-i-department-of-citizenship-and-immigration,Department of Citizenship and Immigration,Ministère de la Citoyenneté et de l’Immigration,IRCC PPU 009,en,English,CIC ASB 008,institution_specific,Institution-specific class,true,Resolved,CIC ASB 008,CIC ASB 008
ati-schedule-i-department-of-citizenship-and-immigration,Department of Citizenship and Immigration,Ministère de la Citoyenneté et de l’Immigration,IRCC PPU 009,fr,French,CIC ASB 008,institution_specific,Institution-specific class,true,Resolved,CIC ASB 008,CIC ASB 008
ati-schedule-i-department-of-citizenship-and-immigration,Department of Citizenship and Immigration,Ministère de la Citoyenneté et de l’Immigration,IRCC PPU 010,en,English,CIC ASB 010,institution_specific,Institution-specific class,true,Resolved,CIC ASB 010,CIC ASB 010
ati-schedule-i-department-of-citizenship-and-immigration,Department of Citizenship and Immigration,Ministère de la Citoyenneté et de l’Immigration,IRCC PPU 010,fr,French,CIC ASB 010,institution_specific,Institution-specific class,true,Resolved,CIC ASB 010,CIC ASB 010
ati-schedule-i-department-of-citizenship-and-immigration,Department of Citizenship and Immigration,Ministère de la Citoyenneté et de l’Immigration,IRCC PPU 013,en,English,CIC ASB 013,institution_specific,Institution-specific class,true,Resolved,CIC ASB 013,CIC ASB 013
ati-schedule-i-department-of-citizenship-and-immigration,Department of Citizenship and Immigration,Ministère de la Citoyenneté et de l’Immigration,IRCC PPU 013,en,English,CIC ASB 014,institution_specific,Institution-specific class,true,Resolved,CIC ASB 014,CIC ASB 014
ati-schedule-i-department-of-citizenship-and-immigration,Department of Citizenship and Immigration,Ministère de la Citoyenneté et de l’Immigration,IRCC PPU 013,fr,French,CIC ASB 013,institution_specific,Institution-specific class,true,Resolved,CIC ASB 013,CIC ASB 013
ati-schedule-i-department-of-citizenship-and-immigration,Department of Citizenship and Immigration,Ministère de la Citoyenneté et de l’Immigration,IRCC PPU 013,fr,French,CIC ASB 014,institution_specific,Institution-specific class,true,Resolved,CIC ASB 014,CIC ASB 014
ati-schedule-i-department-of-citizenship-and-immigration,Department of Citizenship and Immigration,Ministère de la Citoyenneté et de l’Immigration,IRCC PPU 042,en,English,CIC AOB 005,institution_specific,Institution-specific class,false,Needs review,,
ati-schedule-i-department-of-citizenship-and-immigration,Department of Citizenship and Immigration,Ministère de la Citoyenneté et de l’Immigration,IRCC PPU 042,fr,French,CIC AOB 005,institution_specific,Institution-specific class,false,Needs review,,
ati-schedule-i-department-of-citizenship-and-immigration,Department of Citizenship and Immigration,Ministère de la Citoyenneté et de l’Immigration,IRCC PPU 050,en,English,CIC ASB 004,institution_specific,Institution-specific class,true,Resolved,CIC ASB 004,CIC ASB 004
ati-schedule-i-department-of-citizenship-and-immigration,Department of Citizenship and Immigration,Ministère de la Citoyenneté et de l’Immigration,IRCC PPU 050,fr,French,CIC ASB 004,institution_specific,Institution-specific class,true,Resolved,CIC ASB 004,CIC ASB 004
ati-schedule-i-department-of-citizenship-and-immigration,Department of Citizenship and Immigration,Ministère de la Citoyenneté et de l’Immigration,IRCC PPU 051,en,English,CIC ASB 017,institution_specific,Institution-specific class,false,Needs review,,
ati-schedule-i-department-of-citizenship-and-immigration,Department of Citizenship and Immigration,Ministère de la Citoyenneté et de l’Immigration,IRCC PPU 051,fr,French,CIC ASB 017,institution_specific,Institution-specific class,false,Needs review,,
ati-schedule-i-department-of-citizenship-and-immigration,Department of Citizenship and Immigration,Ministère de la Citoyenneté et de l’Immigration,IRCC PPU 052,en,English,CIC AOB 003,institution_specific,Institution-specific class,false,Needs review,,
ati-schedule-i-department-of-citizenship-and-immigration,Department of Citizenship and Immigration,Ministère de la Citoyenneté et de l’Immigration,IRCC PPU 052,fr,French,CIC AOB 003,institution_specific,Institution-specific class,false,Needs review,,
ati-schedule-i-department-of-citizenship-and-immigration,Department of Citizenship and Immigration,Ministère de la Citoyenneté et de l’Immigration,IRCC PPU 054,en,English,CIC ASB 018,institution_specific,Institution-specific class,true,Resolved,CIC APB 018,CIC APB 018
ati-schedule-i-department-of-citizenship-and-immigration,Department of Citizenship and Immigration,Ministère de la Citoyenneté et de l’Immigration,IRCC PPU 054,fr,French,CIC ASB 018,institution_specific,Institution-specific class,true,Resolved,CIC APB 018,CIC APB 018
ati-schedule-i-department-of-citizenship-and-immigration,Department of Citizenship and Immigration,Ministère de la Citoyenneté et de l’Immigration,IRCC PPU 055,en,English,CIC ASB 009,institution_specific,Institution-specific class,true,Resolved,CIC ASB 009,CIC ASB 009
ati-schedule-i-department-of-citizenship-and-immigration,Department of Citizenship and Immigration,Ministère de la Citoyenneté et de l’Immigration,IRCC PPU 055,en,English,CIC ASB 012,institution_specific,Institution-specific class,true,Resolved,CIC ASB 012,CIC ASB 012
ati-schedule-i-department-of-citizenship-and-immigration,Department of Citizenship and Immigration,Ministère de la Citoyenneté et de l’Immigration,IRCC PPU 055,fr,French,CIC ASB 009,institution_specific,Institution-specific class,true,Resolved,CIC ASB 009,CIC ASB 009
ati-schedule-i-department-of-citizenship-and-immigration,Department of Citizenship and Immigration,Ministère de la Citoyenneté et de l’Immigration,IRCC PPU 055,fr,French,CIC ASB 012,institution_specific,Institution-specific class,true,Resolved,CIC ASB 012,CIC ASB 012
ati-schedule-i-department-of-citizenship-and-immigration,Department of Citizenship and Immigration,Ministère de la Citoyenneté et de l’Immigration,IRCC PPU 062,en,English,CIC ASB 020,institution_specific,Institution-specific class,true,Resolved,CIC ASB 020,CIC ASB 020
ati-schedule-i-department-of-citizenship-and-immigration,Department of Citizenship and Immigration,Ministère de la Citoyenneté et de l’Immigration,IRCC PPU 062,fr,French,CIC ASB 020,institution_specific,Institution-specific class,true,Resolved,CIC ASB 020,CIC ASB 020
ati-schedule-i-department-of-citizenship-and-immigration,Department of Citizenship and Immigration,Ministère de la Citoyenneté et de l’Immigration,IRCC PPU 065,en,English,CIC ASB 021,institution_specific,Institution-specific class,true,Resolved,CIC ASB 021,CIC ASB 021
ati-schedule-i-department-of-citizenship-and-immigration,Department of Citizenship and Immigration,Ministère de la Citoyenneté et de l’Immigration,IRCC PPU 065,en,English,CIC ASB 011,institution_specific,Institution-specific class,true,Resolved,CIC ASB 011,CIC ASB 011
ati-schedule-i-department-of-citizenship-and-immigration,Department of Citizenship and Immigration,Ministère de la Citoyenneté et de l’Immigration,IRCC PPU 065,en,English,CIC APB 001,institution_specific,Institution-specific class,false,Needs review,,
ati-schedule-i-department-of-citizenship-and-immigration,Department of Citizenship and Immigration,Ministère de la Citoyenneté et de l’Immigration,IRCC PPU 065,fr,French,CIC ASB 021,institution_specific,Institution-specific class,true,Resolved,CIC ASB 021,CIC ASB 021
ati-schedule-i-department-of-citizenship-and-immigration,Department of Citizenship and Immigration,Ministère de la Citoyenneté et de l’Immigration,IRCC PPU 065,fr,French,CIC ASB 011,institution_specific,Institution-specific class,true,Resolved,CIC ASB 011,CIC ASB 011
ati-schedule-i-department-of-citizenship-and-immigration,Department of Citizenship and Immigration,Ministère de la Citoyenneté et de l’Immigration,IRCC PPU 065,fr,French,CIC APB 001,institution_specific,Institution-specific class,false,Needs review,,
ati-schedule-i-department-of-citizenship-and-immigration,Department of Citizenship and Immigration,Ministère de la Citoyenneté et de l’Immigration,IRCC PPU 066,en,English,CIC ASB 008,institution_specific,Institution-specific class,true,Resolved,CIC ASB 008,CIC ASB 008
ati-schedule-i-department-of-citizenship-and-immigration,Department of Citizenship and Immigration,Ministère de la Citoyenneté et de l’Immigration,IRCC PPU 066,fr,French,CIC ASB 008,institution_specific,Institution-specific class,true,Resolved,CIC ASB 008,CIC ASB 008
ati-schedule-i-department-of-citizenship-and-immigration,Department of Citizenship and Immigration,Ministère de la Citoyenneté et de l’Immigration,IRCC PPU 067,en,English,CIC ASB 016,institution_specific,Institution-specific class,true,Resolved,CIC ASB 016,CIC ASB 016
ati-schedule-i-department-of-citizenship-and-immigration,Department of Citizenship and Immigration,Ministère de la Citoyenneté et de l’Immigration,IRCC PPU 067,fr,French,CIC ASB 016,institution_specific,Institution-specific class,true,Resolved,CIC ASB 016,CIC ASB 016
ati-schedule-i-department-of-citizenship-and-immigration,Department of Citizenship and Immigration,Ministère de la Citoyenneté et de l’Immigration,IRCC PPU 068,en,English,CIC ASB 016,institution_specific,Institution-specific class,true,Resolved,CIC ASB 016,CIC ASB 016
