bank_number_key,title_en,title_fr,bank_number_en,bank_number_fr,description_en,description_fr,class_of_individuals_en,class_of_individuals_fr,note_en,note_fr,social_insurance_number_en,social_insurance_number_fr,purpose_en,purpose_fr,consistent_uses_en,consistent_uses_fr,retention_and_disposal_standards_en,retention_and_disposal_standards_fr,rda_number_en,rda_number_fr,related_record_number_en,related_record_number_fr,last_updated_en,last_updated_fr,tbs_registration_en,tbs_registration_fr
GAC PPU 010,Security,,GAC PPU 010,,"This bank contains information on Canadians travelling or residing in foreign countries registered with a Canadian mission, Canadians who were arrested or detained abroad and sought or received assistance from a Canadian mission, or Canadians who received advice or assistance from Consular Affairs. The information is in the form of applications, registration forms, memoranda, correspondence, and reports. Information is received from the individuals themselves, family members or contacts of the individuals, Canadian and foreign agencies, and international organizations. This bank of information is stored electronically within a computerized client/server system called the Consular Management and Operations System (COSMOS). COSMOS consists of a series of Windows-based programs linked through a common centralized database located at the department’s headquarters. COSMOS provides consular staff with a comprehensive set of tools designed exclusively to facilitate the management of consular cases (including citizenship cases) and the registration of Canadians abroad. Information entered into the COSMOS by staff at either headquarters or the missions is instantly available to consular officials to assist their clients.",,Canadian residents in foreign countries who have registered with the nearest Canadian mission; Canadians who have sought or received assistance from Canadian missions; Canadians who have been arrested or detained abroad.,,"Formerly named Stabilization and Reconstruction Task Force. **Document Types:** meeting minutes and notes, agendas, briefs and discussion papers, ministerial correspondence, studies, submissions, policies, procedures, guidelines, directives, statistical reports, reports, assessments, presentations, memoranda, correspondence files, agreements, regulations, treaties, budgets and expenditures, financial reporting **Record Number:** GAC IRD 906",,,,"The information contained in this bank is used to provide consular assistance to Canadian citizens abroad. It may be used, where necessary, to contact, advocate on behalf of, protect, rescue or evacuate Canadians and their family members.",,"This information may also be used for the analysis of trends, the development of consular policy and the preparation of advice to missions abroad.",,"Information on registration of citizens and completed individual consular cases may be retained in departmental files (electronic and paper) up to seven years. Ultimately, the electronically-held data will be archived and stored indefinitely. Other information may be retained up to 15 years then transferred to Library and Archives Canada.",,2016/003,,"[GAC JPD 917](#JPD917), [GAC JPD 918](#JPD918), [GAC JSD 908](#JSD908)",,,,000343,
GAC PPU 032,,,GAC PPU 032,,"This bank describes information about individuals who request financial assistance when abroad, generally for expenses related to their repatriation to Canada. Financial assistance may be provided either through the private transfer of funds, public transfer of funds, or through the Distressed Canadian Fund (DCF). Depending on the type of financial assistance provided, personal information collected may include: name, contact information, biographical information, citizenship status, credit card information, dates of birth and death; employment information, financial information, medical information; Social Insurance Number and other identification numbers; physical attributes, place of birth and death, signature, language, passport information; and travel and medical insurance information.",,"Individuals who apply for financial assistance; emergency contacts; family members; other individuals (e.g. friends, employers) or representatives of organizations or other institutions who provide private funding; representatives of private sector entities such as insurance or legal officials.",,"GAC formerly collected the Social Insurance Number (SIN) when it was provided as a document to support an individual’s identity. That practice has ceased and the SIN is no longer collected; however, historical collections of the SIN may remain in records under the control of the department.",,,,"Personal information is used to facilitate the private or public transfer or funds, and/or to determine eligibility for the Distressed Canadian Fund, to disburse funds, and, where necessary, to recover funds disbursed. Personal information is collected pursuant to the *Department of* *Foreign Affairs, Trade and Development Act*. The SIN was collected pursuant to the Distressed Canadians Fund Program and section 10(2)(a) of the *Department of* *Foreign Affairs, Trade and Development Act* and was used to determine eligibility for loans.",,"With consent of the individual, information may be disclosed to the individual’s financial institution for transfer of funds and to insurance company representatives to verify insurance coverage (if applicable). All information regarding Canadians who qualified and received funding from the Distressed Canadian Fund may be shared with the Canada Revenue Agency and Public Services and Procurement Canada, Receiver General for Canada for payment and recovery purposes – see PSPC PIBs: Receiver General Payments (PWGSC PCU 712) and Receiver General Deposits (PWGSC PCU 717). The name, date of birth and passport number of Canadians who have received funding from the Distressed Canadian Fund may be shared with Immigration, Refugees, and Citizenship Canada (IRCC) in cases where it is necessary to be added on to the Passport Security List — IRCC Personal Information Bank under development. Information (e.g. physical attributes, identification numbers) may be verified with information contained in the Registration of Canadians Abroad (ROCA) database to confirm identity. Where applicable, all information regarding the Canadians who qualified and received funding from the Distressed Canadian Fund may be shared with financial institutions of foreign countries for transaction purposes and with third party collection agencies for debt recovery purposes. Information may also be shared with Canada Revenue Agency for income verification and for cost recovery purposes – see CRA PIB: Individual Returns and Payment Processing (CRA PPU 005). Information may also be used for the following purposes: reporting to senior management, safety, and security.",,Records will be retained for 7 years after the disbursed monies have been fully repaid by the individual and then records are destroyed.,,GAC 2016/003,,"[GAC JPD 917](#JPD917), [GAC JPD 918](#JPD918)",,,,20110209,
GAC PPU 005,,,GAC PPU 005,,"This bank includes records related to registration of births abroad, dual nationality, loss, retention, acquisition, or extension of citizenship, marriage, divorce, and other family-related aspects of citizenship; organizations and conferences; liaison with other government departments and agencies in Canada. Information is in the form of memoranda, reports, correspondence with the public and other government agencies, as well as application forms.",,"Individuals who have dealt, outside Canada, with the Canadian citizenship authorities through consular services or Global Affairs Canada, or have claimed Canadian citizenship for themselves or their dependents.",,,,,,The purpose of this bank is to retain administrative correspondence relating to the assistance rendered by consular officials to Canadians and to those claiming Canadian citizenship on their own behalf or on behalf of a dependent.,,TBD,,"Information may be retained on departmental files up to 7 years, then transferred to Library and Archives Canada.",,GAC 2016/003,,[GAC JPD 919](#JPD919),,,,000342,
GAC PPU 031,,,GAC PPU 031,,"This bank provides Country Travel Reports related to safety and security issues, health concerns and entry requirements for international destinations. Personal information may include name and email.",,Individuals who register to receive Daily Travel Updates.,,,,,,"Personal information is collected under the authority of the *Department of* *Foreign Affairs, Trade and Development Act* and is used to provide travel updates to registered individuals.",,None,,Records will be retained for as long as the subscription is active and then are destroyed.,,GAC 2016/003,,[GAC LDW 129](#LDW129),,,,20100552,
GAC PPU 911,,,GAC PPU 911,,"This bank describes information either received directly by Global Affairs Canada (GAC), or through GAC’s scholarships administrator for scholarship opportunities for non-Canadians to study or conduct research in Canada. It also includes information obtained through reciprocal arrangements for Canadians to study in foreign countries. Personal information may include name, contact information, biographical information, citizenship status, date and place of birth, education history, employment equity information, language, language test/assessment results, views and opinions of or about individuals, identification numbers, research proposal, work completed (articles, artwork, photographs, musical compositions), password and login information (for alumni) signature and passport/visa information and photos. Some foreign governments may also require medical history.",,"Canadians and non-Canadians who have applied and/or been accepted to one of the programs offered, spouse/partner and children, successful candidates and former participants registered in our Alumni Association; individuals who provide professional references, Canadian Scholarships Selection Committee members, and Collaboration mission participants.",,"Information may be stored in the following internal systems and databases: GAC Scholarships for Non Canadians, GAC Scholarships for Canadians, and GAC Scholarships for Alumni.",,,,"Personal information is used to administer the International Scholarships Program and is collected under the authority of the *Department of Foreign Affairs, Trade and Development Act* and under international treaties.",,"Information on applicants and recipients may be disclosed under agreements or other information-sharing arrangements (e.g. with the Commonwealth Scholarships and Fellowships Plan, the Organization of American States, etc.) with applicable Canadian and foreign academic institutions and with the Canadian Scholarships Selection Committee. If applicable, information may be shared with the student's diplomatic representation in Canada and Foreign Embassy in Canada and Canadian Embassy/High Commission/consulate abroad. Information may be used to create an inventory of scholarship participants. If applicable, information on successful candidates, collaboration mission participants and Canadian Scholarships Selection Committee may also be shared with third-party travel and accommodation officials. Information may also be used or disclosed for evaluation and/or reporting purposes, for promotion purposes (with consent) for testimonials for websites, posters and brochures, and to invite alumni to attend functions and meetings in the Canadian mission in their home country.",,Unsuccessful applicants’ information: destroyed 2 years after last administrative action; Recipients’ financial information: destroyed 7 years after last administrative use; Recipients’ personal information: destroyed 10 years after last administrative action; Recipients’ basic personal information essential to alumni status: destroyed 20 years after last administrative use.,,GAC 2016/003,,[GAC BBD 142](#BBD142),,,,20100219,
GAC PPU 907,,,GAC PPU 907,,"This bank describes information related to services and programs for members of the Diplomatic Corps in Canada. Personal information may include name, gender, contact information, biographical information, employment information, designation, citizenship status, date and place of birth, education history, signature, photos, other identification numbers (e.g. driver’s license, identity card) and foreign passport information.",,"Foreign nationals, Canadians or permanent residents present or appointed by a foreign state to a bilateral mission or consular post in Canada, or to an accredited international organization or any other representative office; persons for whom accreditation has ceased, been refused or subject to modification; individuals who were previously entitled to diplomatic, consular or official status and related accreditation; eligible family members (spouse, partner, children and other immediate family) and domestic workers; other emergency contacts and contacts of other governments.",,Information may be stored in electronic databases or systems such as the Diplomatic Registry System and the Diplomatic Reporting and Tracking System.,,,,"Information is used to administer the Diplomatic Corps Services Program, which includes: determining eligibility for the diplomatic, consular and official accreditation in Canada, facilitating the presence in Canada of foreign representatives, their eligible family members and domestic workers; enabling the Government of Canada to discharge its responsibilities in relation to their protection; administering various privileges and immunities, including fiscal and customs privileges, and spousal employment; and managing certain aspects of State Ceremonial and special functions. Personal information is collected under the authority of the *Department of* *Foreign Affairs, Trade and Development Act*, the *Foreign Missions and International Organizations Act* and related Orders in Council, including the Vienna Convention on Diplomatic Relations, the Vienna Convention on Consular Relations, and the Convention on the Prevention and Punishment of Crimes Against Internationally Protected Persons.",,"Information may be shared with the home country or host international organization for administrative purposes. Selected information may be disclosed to appropriate law enforcement agencies, federal investigative bodies, designated federal departments and agencies including Canadian Security Intelligence Service, Canada Border Services Agency, Immigration, Refugees and Citizenship Canada and Canada Revenue Agency. Selected information may also be disclosed to provincial authorities, for any of the above purposes, or for verification purposes, including the carrying out of security checks and assessments and for administering or enforcing any law or carrying out a lawful investigation, including the *Immigration and Refugee Protection Act*. Please see CSIS PIB: Security Assessments/Advice (CSIS PPU 005); and IRCC PIB: Case File (CIC PPU 042). Information may be disclosed to the Royal Canadian Mounted Police in order to discharge Canada's obligations respecting the protection of foreign representatives - see RCMP PIB: Indices Checks - For the Protection of Persons of National and International Importance (RCMP PPU 060). Selected information (name, title, date status begins and ends, and biographical information) may be disclosed to provincial intergovernmental ministries (provincial protocol offices) to enable the administration of provincially-administered programs intended for the diplomatic community. Selection information (name, home country, title, designation and location of posting) may be disclosed publicly on a search system on the Global Affairs Canada, Office of Protocol website. Information may also be used or disclosed for evaluation and reporting purposes including reporting to senior officials and in the Annual Report to Parliament.",,"Records will be retained for five years or for the period of posting in Canada, whichever is greater and then are transferred to Library and Archives Canada as archival records.",,GAC 2016/003,,[GAC XDD 848](#XDD848) **TBS Registration Number:** 20100223,,,,,
GAC PPU 910,,,GAC PPU 910,,"This bank describes information about official events managed by the Official Events Division including events hosted by the Prime Minister, the portfolio ministers and senior government officials in Canada and abroad. Personal information may include name, contact information, gender, employment equity information, medical information such as food allergies, physical attributes such as mobility issues and dietary restrictions.",,"Individuals who host or attend official events managed by the Office of Protocol such as the Governor General, the Prime Minister, the portfolio ministers, ambassadors, high commissioners, and foreign dignitaries.",,,,,,"Personal information is used for the planning of seating arrangements, menus, invitations and place cards for the planning and management of the official events. Personal information is collected pursuant to the *Department of* *Foreign Affairs, Trade and Development Act*.",,"Lists of proposed attendees may be shared with other program areas of Global Affairs Canada who may propose additional attendees for a given event. Information may be shared with the Prime Minister's Office, for events for which the Prime Minister is in attendance. For security purposes and in the event of a security incident, information may also be shared with the Royal Canadian Mounted Police, selected law enforcement agencies and federal investigative bodies for administering or enforcing any law or carrying out a lawful investigation.",,Records are retained for ten years from last action and are then destroyed.,,GAC 2016/003,,[GAC XDD 848](#XDD848),,,,20100264,
GAC PPU 904,,,GAC PPU 904,,"This bank describes information either received from non-governmental organizations/other partners or received directly from individuals who wish to participate in International Summits hosted by the Prime Minister of Canada: G7, G20, Youth Summits, La Francophonie, Summit of the Americas, and North American Leaders’ Summit. Personal information may include name, contact information, biographical information, biometric information, citizenship status, criminal checks/history, date of birth, education history, equity information, medical information, identification numbers, physical attributes, place of birth, signature, name and contact in emergency, and flight and travel information.",,"Individuals who register for various summits, including dignitaries, representatives of non-governmental organizations and other partners; journalism students who wish to participate in media outreach activities leading to upcoming summits; legal guardians of minor program applicants, claimants or participants; and emergency contacts of summit participants.",,"In addition to the requirements specified on the Treasury Board of Canada Secretariat Personal Information Request form, individuals requesting information described by this bank must provide the subject and approximate date of the summit.",,,,"Personal information is used to determine eligibility for participation in some media outreach activities leading to upcoming international summits; and for the organization and administration of international summits, including registration, accreditation, and security. Personal information is collected pursuant to *Department of Foreign Affairs, Trade and Development Act*.",,"Information may be shared with Royal Canadian Mounted Police – see RCMP PIB: Indices Checks - For the Protection of Persons of National and International Importance (RCMP PPU 060). Information may be posted publicly on the departmental Website for advertising purposes, with consent of the subject individuals or their legal guardians. Travel information/expenses of speakers may be shared as described in Standard PIB: Accounts Payable (PSU 931). Information may also be used or disclosed for the following purposes: enforcement, reporting to senior management, safety, security, and evaluation.",,Records are retained for ten years from last action and are then destroyed.,,GAC 2016/003,,[GAC DSMO 161](#DSMO161),,,,20100603,
GAC PPU 101,,,GAC PPU 101,,"Information in this bank is provided by investors when inquiring about possible services to be provided. This information includes the name, address, telephone number, description of the investor's business activities, description of the project to be undertaken, province of interest, size of proposed investment and the name and telephone number of any intermediaries.",,Business community and individual investors seeking to invest in Canada either by acquiring a Canadian business or by establishing a new business.,,,,,,The information in this bank is used to identify and assist investors with similar investment intentions.,,This bank is also used for compiling statistics for use in the preparation of reports to the Minister and to assist in the preparation annual reports.,,Records are retained for fifteen years from last action and are then destroyed.,,GAC 2016/003,,[GAC BID 819](#BID819),,,,002766,
GAC PPU 906,,,GAC PPU 906,,"This bank describes information that is related to reviews of corporate social and environmental practices of Canadian mining, oil and gas companies (extractive sector) operating outside of Canada and to advice given to stakeholders on the implementation of endorsed performance standards. Personal information may include name; contact information; life experiences and views and opinions of, or about, individuals; language; and signature. If a third-party mediator is engaged in an agreed intervention, personal information may also include biographical information about the mediator.",,"Individuals or representatives of a group, community, or a Canadian extractive sector company who submit a request for review to the Office of the Extractive Sector Corporate Social Responsibility Counsellor; responding parties; any individual or representative of an organization authorized by the parties involved to provide aid or assistance; external mediator (if applicable), and any other independent third parties involved in the review of cases.",,"In addition to the requirements specified on the Treasury Board of Canada Secretariat Personal Information Request form, individuals requesting information described by this bank must provide the subject and approximate date of correspondence, incident, and location.",,,,"Personal information is collected under the authority of Order-in-Council Number 2009-0422 and is used to facilitate both formal or informal assessments or reviews undertaken by the Extractive Sector Corporate Social Responsibility Counsellor. The Counsellor accepts requests for reviews from individuals or representatives of organizations who reasonably believe that the public or the environment may be adversely affected by the activities of a Canadian extractive sector company in its operations outside Canada, or who feels that the activities of these companies are inconsistent with the CSR standards and guidelines endorsed in Canada’s CSR Strategy for the extractive sector abroad.",,"With consent, information may be used/disclosed to third-parties for the following purposes: structured dialogue, fact-finding, and mediation. Selected information in the interim and final reports will be published on the Office’s website. The information may also be used or disclosed for reporting and evaluation purposes.",,The information will be retained for a period of 10 years and will then be transferred to Library and Archives Canada for archival purposes.,,GAC 2016/003,,[GAC BTD 904](#BTD904),,,,20100604,
