title,bank_number,description,class_of_individuals,note,social_insurance_number,purpose,consistent_uses,retention_and_disposal_standards,rda_number,related_record_number,last_updated
Consultation on Health Protection Legislation,HC PPU 051,This bank contains the names and addresses of persons to whom documents are mailed from time to time for consultations purposes or of persons who have provided their views and opinions on the renewal of federal health protection legislation.,"Private citizens with an interest in health protection, public interest groups, health institutions, health professionals, representatives of all levels of government, members of federal departments, members of the industry, Canadian corporations and other interested parties.",,,"To create a mailing list and tracking system for consultation and follow-up purposes in the process of renewing Canada's health protection legislation, and for other consultations relating to the health protection program.",None,"The retention period is being re-negotiated with Library and Archives Canada. Until a new agreement is reached, the current agreement remains: Records of individual replies will be retained for ten years then Library and Archives Canada will review for archival interest.",2015/022,HC CHS 010,
Home Care Study,HC PPU 420,"This bank contains information pertaining to clients and formal and informal care providers of home care within Ottawa-Carleton. The data consists of a client code, postal code, age, gender, and diagnosis, reason for admission to home care, referral source, mother tongue, living arrangements, and relation to informal care provider. For informal care providers, data include the individual score on the Zarit Caregiver Burden Scale.",Formal and informal care providers and clients admitted to the Regional Municipality of Ottawa-Carleton Home Care Program.,The Home Care Study records have been transferred from the Public Health Agency of Canada to Health Canada as of 2017-2018.,,"To gain a better understanding of the factors, which influence access to home care services.",Pilot research project only.,Personal information will be retained for a minimum of two (2) years after the last administrative action and will follow the disposition standards set out by Library and Archives Canada.,2015/022,HC CHS 005,
Postgraduate Medical Training in the United States,HC PPU 421,"This bank describes information related to Canadian medical graduates and students applying for a Statement of Need, a document required to obtain a J-1 Visa to enter the United States to pursue postgraduate medical training. The personal information may include name, contact information, biographical information, citizenship status, date of birth, educational information, other identification numbers, signature and Educational Commission for Foreign Medical Graduates (ECFMG) number, fellowship status and details, date(s) of previous application.",Medical graduates and final year medical students who are Canadian citizens or permanent residents seeking postgraduate training in the United States,,,"The personal information is used to issue a Statement of Need, which is a document required to obtain a J-1 Visa to enter the United States to pursue postgraduate medical training. The personal information and Statement of Need is then given to the ECFMG to assist with the evaluation of an application and/or to ensure the Statement of Need is correctly matched with the applicant's visa application. Personal information is collected pursuant to section 4(2)(i) of the Department of Health Act.","The information may be used or disclosed for audit and evaluation. When consent is obtained, personal information is disclosed to provincial and territorial governments for recruitment purposes and to the Canadian Post-M.D. Education Registry (CAPER) on an annual basis for the purpose of research on physician resources.",Personal information will be retained for a minimum of two (2) years after the last administrative action and will follow the disposition standards set out by Library and Archives Canada.,2015/022,HC CHS 005,
Financial Support Programs for Canadian Thalidomide Survivors,HC PPU 422,"This bank describes information related to the administration of financial support to Canadian thalidomide survivors. This includes Health Canada's Canadian Thalidomide Survivors Support Program (CTSSP) and the 2015 Thalidomide Survivors Contribution Program (TSCP) as well as the 1991 Extraordinary Assistance Plan for victims of thalidomide administered by Health Canada and the Public Health Agency of Canada (PHAC). Personal information may include name, contact information, date of birth, date of death, proof of identification (birth certificate, driver's license, provincial photo ID card and Canadian passport), health status, medical and financial information, as well as decisions on eligibility for federal financial support.","Individuals who have applied to or have received financial support from the programs, or deemed eligible for financial support, their legal representative(s), related applicants and individuals who contacted Health Canada about the programs.","This PIB includes records transferred from PHAC and formerly described in the ""Extraordinary Assistance Plan"" (EAP) PIB (PHAC PPU 039).",,"The personal information is used to determine eligibility, level of support and administer financial support for Canadian thalidomide survivors. The authority to collect personal information is The Department of Health Act S.C. 1996, c.8 sections 4(1) and 4(2).","Information contained in these files may be used and/or disclosed within Health Canada and to a third party program manager to administer financial support only. Information (name, address and payment amount) may also be used by and/or disclosed to Public Works and Government Services Canada to prepare payments to survivors, and to provinces/territories to prevent the reduction of financial and health benefits for thalidomide survivors. Refer to ""Receiver General Payments"" PIB # PWGSC PCU 712.",Records are retained for at least six years after the person is deceased.,2015/022,,
Investigating Allegations of Breaches of Scientific Integrity,HC PPU 438,"This bank describes information related to the investigation of alleged breaches of scientific integrity. The personal information collected includes name, contact information, education, credentials, work history, views and opinions related to individuals who are reporting the alleged breach, the subject of, or witnesses to, alleged breaches of scientific integrity. Also collected are descriptions of, and opinions about, actions and behaviour in the design, conduct, communication, management, review, or use of research, science, or related activities.","Full or part-time employees of Health Canada, contractors/consultants, external researchers and/or collaborators, as well as individuals external to government who may make an allegation or be cited as witnesses.",,,"The personal information is used to assess alleged breaches of scientific integrity, initiate investigations and review evidence to make findings. Personal information is collected pursuant to subsection 11.1(1)(h), (i) and (j) of the Financial Administration Act, subsection 4(2) of the Department of Health Act.","Personal information may be used or disclosed for the following purposes: reporting to senior management and investigating alleged breaches of scientific integrity. Personal information may be disclosed to parties involved in the investigation process including union representatives, potential witnesses, the respondent to the allegation, and Investigation Committee members. Personal information may be disclosed to other government institutions and external organizations such as universities, research institutes and funding bodies. Where applicable, personal information may be shared with internal security officials, refer to [Security Incidents and Privacy Breaches- PSU 939](/en/treasury-board-secretariat/services/access-information-privacy/access-information/information-about-programs-information-holdings/standard-personal-information-banks.html#psu939), or other authorities having the powers to investigate under federal, provincial and municipal statutes if the investigation reveals potential fraud or other criminal wrongdoing. Personal information may be shared with the Labour Relations Division when senior management decides to apply disciplinary measures to public servants who perpetrated wrongdoings, refer to [Discipline – PSE 911](/en/treasury-board-secretariat/services/access-information-privacy/access-information/information-about-programs-information-holdings/standard-personal-information-banks.html#pse911). Personal information may also be used or disclosed for audit and evaluation purposes.",10 years after case closed if investigation does not proceed; 25 years after case closed if investigation goes forward.,2015/022,,
Canadian Dental Care Plan,HC PPU 440,"This bank describes the personal information collected by Health Canada, including through the contracted third-party administrator (Sun Life) and federal Government of Canada partners (Employment and Social Development Canada [Service Canada], and the Canada Revenue Agency [CRA]) to administer and manage the Canadian Dental Care Plan (CDCP). Personal information may include: name, contact information, date of birth, marital status, language, Indigenous status, gender, racialized population status, disability status, country of birth, citizenship status, family member information, dental claim information, medical information, diagnostic test results, Social Insurance Number (SIN) or other identification numbers, member taxpayer information (e.g., co-payment percentage based on adjusted family net income, T4 slip, T4A slip), employment information (e.g., Record of Employment), information about member access to employer and/or pension sponsored dental insurance, oral health provider information (e.g., dental specialty; provincial/territorial registration/license, or certificate number; financial information), claims verification-related information, as applicable, views and opinions of, or about individuals or the CDCP, voice recordings (phone calls and voicemail messages), signature, user identification credentials (e.g., username and password), and IP address.","General public, CDCP applicants and members (and their representatives, if applicable), oral health providers participating in the CDCP (and their representatives, if applicable), and individuals reporting, witnessing and/or alleged to be involved in CDCP-related suspicious activity.",Modification pending TBS approval.,Health Canada’s collection of a member’s SIN to administer and enforce the CDCP is authorized under section 12 of the Dental Care Measures Act.,"Personal information is collected pursuant to the Department of Health Act. The Social Insurance Number (SIN) is collected pursuant to section 12 of the Dental Care Measures Act and is used to administer the CDCP. Taxpayer information is used for the administration and evaluation of the CDCP under authorities in the Income Tax Act. Membership applicants that do not wish to provide their SIN will not be enrolled in the CDCP. Membership applications from someone who does not have or cannot get a SIN can be manually processed using a Temporary Taxation Number or through an alternate mechanism through which CRA's information on the individual could be validated between CRA and Service Canada. Personal information is used for verifying eligibility and enrolling members, processing and verifying claims, and registering and/or paying oral health providers for CDCP services, responding to enquiries and authentication.","Applicant, member and provider personal information may be used for program evaluation, quality assurance, training, internal audit, statistical purposes, and to investigate actual or suspected cases of fraud. Health Canada matches T4/T4A data related to dental benefits with paid CDCP claims data to identify members for eligibility review. De-identified information may be shared with senior management for reporting purposes and the administration of the CDCP. Provider personal information may be shared with provincial and/or territorial regulatory bodies, in cases of suspected/confirmed fraud or ethics violations. Personal information related to potential fraud or other criminal wrongdoing may be shared with appropriate law enforcement agencies. Information about providers who participate in the CDCP will be made publicly available via the CDCP Provider Search tool, unless the provider opts out. Member information collected to administer the CDCP Member Portal (e.g. registration, authentication) may be used investigate actual or suspected security incidents. Personal information may be shared with Sun Life, Sun Life's CDCP subcontractors, and other federal government institutions in accordance with legislation, including with Statistics Canada (refer to “Oral Health Statistics Program” PIB StatCan PPU 036), Employment and Social Development of Canada (refer to “Canadian Dental Care Plan” PIB ESDC PPU 712), and the Canada Revenue Agency (refer to “Individual Returns and Payment processing” PIB CRA PPU 005). Member personal information is disclosed to Public Services and Procurement Canada (PSPC) to print and distribute eligibility review letters, manage incoming mail and digitize records related to CDCP member eligibility review (refer to “Document Imaging Solutions” PIB PWGSC PCU 709). Phone calls to Sun Life are recorded and may be used for training and quality assurance purposes.",Personal information will be retained for a minimum of two (2) years after the last administrative action and will follow the disposition standards set out by Library and Archives Canada.,Under development,HC CHS 005,
Monitoring of Medical Assistance in Dying,HC PPU 435,"This bank describes information related to mandatory reporting by physicians, nurse practitioners, preliminary assessors who receive requests for Medical Assistance in Dying (MAID), conduct eligibility assessments and who provide MAID. The bank also describes information related to reporting requirements for pharmacists and pharmacy technicians who dispense medication for MAID. The personal information collected about physicians, nurse practitioners, preliminary assessors, pharmacists, and pharmacy technicians includes name, contact information, license or registration number (if applicable), and area of specialization (if applicable). The personal information collected about individuals seeking MAID includes date of birth, date of death (if applicable), sex, gender, race and Indigenous identity, disability, province/territory and postal code of residence, health insurance number, and certain medical information as reported by health practitioners. The [*Regulations for the Monitoring of Medical Assistance in Dying*](https://laws-lois.justice.gc.ca/eng/regulations/SOR-2018-166/index.html) provides an overview of all of the information collected under federal regulations.","Physicians, nurse practitioners, preliminary assessors, pharmacists, pharmacy technicians and persons seeking MAID.",,,The personal information is used to administer the Monitoring of Medical Assistance in Dying program. Personal information is collected pursuant to section 241.31(3) of the *Criminal Code* and the *Regulations for the Monitoring of Medical Assistance in Dying.*,"The information may be used or disclosed for the following purposes: monitoring activities such as, verifying accuracy and completeness of the data, compliance with reporting requirements and production of annual reports using aggregate-level data. Personal information is disclosed to Statistics Canada for integration with existing administrative data sources, to provide insight into trends and patterns related to medical assistance in dying (MAID) [StatCan PPU 076]. Personal information may be disclosed to qualified researchers for statistical and research purposes. Personal information may be disclosed to provincial/territorial organizations for the purposes of supporting the monitoring of MAID. Pertaining to situations of non-compliance with reporting requirements, personal information may be disclosed to applicable law enforcement, provincial/territorial regulatory bodies, or coroner's offices, as permitted by federal authorities on the disclosure of personal information.",Records will be destroyed five years after last administrative action.,2015/022,,
Child Acute Respiratory Effects Study,HC PPU 036,"This bank contains information on the respiratory illnesses and pulmonary function measures and the ages of 100 females aged 7 to 15 years attending a Girl Guide camp (Camp Kiawa) in July and August of 1986. Data on parental smoking habits, education and other home characteristics were collected. Allergy test and heart rate monitoring results are also recorded.","Girls aged 7 to 15 years who attended Camp Kiawa from July 1 to August 10, 1986.",,,The purpose of this bank is to examine the relationship between transported air pollution and respiratory health in children.,There will be no disclosure of any personal information from this data bank. Only summary statistics and conclusions drawn from the study will be publicly disclosed. There will be no linking and matching of information in this data bank with any other information or data bank presently existing.,Under Review at LAC - ten years.,2015/022,HC ERH 015,
Children's Respiratory Health Study,HC PPU 089,"This bank contains information about children and adolescents currently residing in Saint John, New Brunswick. The data consists of questionnaires completed by parents for grade five students and self-completed by grade twelve students. In addition, students will have height, weight and their lung capacity measured. The information collected includes name, address, telephone number of the students and parent or legal guardian and the gender of the child/adolescent.","Grade five children, ages nine to eleven and grade twelve students, ages sixteen to eighteen, residing in Saint John, New Brunswick.",,,To assess the longer term effects of exposure to air pollution in children and adolescents.,Information may be used to contact these individuals in follow-up survey.,Under Review at LAC - ten years.,2015/022,HC ERH 015,
Research into the Health Effects of Air Pollution,HC PPU 314,"This bank describes information that is used in support of research into the health effects of air pollution, under the Clean Air Regulatory Agenda. The personal information may include name, contact information, date of birth, medical information, physical attributes, signature and biological samples, clinical tests, home air samples and consent forms.",General public.,"In addition to the requirements specified on the Treasury Board of Canada Secretariat Personal Information Request form, individuals requesting information described by this bank must provide the name, location, and year of the study.",,The personal information is used to perform research into the health effects of air pollution. Personal information is collected pursuant to Canadian Environmental Protection Act (1999) and the Department of Health Act.,The information may be used or disclosed for the following purposes: aggregated data is published in final study reports and peer review journals.,Personal information will be retained for a minimum of two (2) years after the last administrative action and will follow the disposition standards set out by Library and Archives Canada.,2015/022,,
