bank_number_key,title_en,title_fr,bank_number_en,bank_number_fr,description_en,description_fr,class_of_individuals_en,class_of_individuals_fr,note_en,note_fr,social_insurance_number_en,social_insurance_number_fr,purpose_en,purpose_fr,consistent_uses_en,consistent_uses_fr,retention_and_disposal_standards_en,retention_and_disposal_standards_fr,rda_number_en,rda_number_fr,related_record_number_en,related_record_number_fr,last_updated_en,last_updated_fr,tbs_registration_en,tbs_registration_fr
EC PPU 010,Climate Change Adaptation,Adaptation aux changements climatiques,EC PPU 010,EC PPU 010,"Each entry in the bank contains information of the following type: educational, financial support for research, new scientific concepts, personal statement of productivity, third party evaluation of the entry. All assessments and grants are processed at Environment and Climate Change Canada headquarters from Canadian university faculty members.","Chaque entrée contient les renseignements suivants : niveau d’éducation, soutien financier à la recherche, nouvelles notions scientifiques, déclaration personnelle de productivité, évaluation de l’entrée par une tierce partie. Toutes les évaluations sont faites à l’administration centrale d’Environnement et Changement climatique Canada, qui accorde aux membres reconnus d’une université canadienne des subventions de recherche.",Faculty members of Canadian universities in the environmental sciences or faculties related thereto.,Membres d’universités canadiennes qui font des recherches en sciences environnementales.,,,,,To provide information used in the annual selection of research proposals to be funded by this institute.,Ce fichier a pour but de fournir les renseignements nécessaires à la sélection annuelle des projets de recherche financés par le Service.,To assess research proposals in order to award research funds.,Évaluer les projets de recherche de façon à ce que les fonds soient judicieusement accordés.,"Maximum five years, destroyed after two years.",Les dossiers sont conservés durant une période maximale de cinq ans; ils sont détruits après deux ans.,2015/014,2015/014,EC WES 213,EC WES 213,,,001394,001394
EC PPU 025,Applications for studentship in meteorology or atmospheric science,Demandes de bourses d’études en météorologie ou en science atmosphérique,EC PPU 025,EC PPU 025,To provide personal and academic information used in the annual selection for the provision of studentships at Canadian universities.,Le but de ce fichier est de fournir de l’information personnelle et scolaire utilisée dans la sélection annuelle pour les bourses d’études aux universités canadiennes.,Canadian citizens and permanent residents who have graduated with 3.5 courses in physics and 4.5 courses in mathematics with a 66% average.,"Citoyens canadiens et résidents permanents diplômés avec 3,5 cours en physique et 4,5 cours en mathématique avec une moyenne de 66%.",,,,,To assess potential recipients of studentships.,Ce fichier a pour but de consigner des renseignements afin d’évaluer les récipiendaires éventuels de bourses d’études.,To assess applications for Meteorological Service of Canada Studentships.,L’évaluation des demandes de bourses d’études du Service météorologique du Canada.,"Records are retained for a period of two years and are then destroyed. If the applicant becomes an employee, the application is placed on his/her personnel file.","Les dossiers sont conservés durant deux ans, puis sont détruits. Si le requérant est embauché, la demande est versée à son dossier personnel.",2015/014,2015/014,EC WES 213,EC WES 213,,,001397,001397
EC PPU 015,Applications for visiting fellowship awards,Bourses accordées aux conférenciers invités,EC PPU 015,EC PPU 015,"Contains information of the following types: demographics, employment, educational, personal references, third party evaluations. All assessments are processed at Environment and Climate Change Canada headquarters. Awards are granted to visiting fellows for their work at headquarters.","Ce fichier renferme les renseignements suivants : état civil, emploi, diplômes, références, évaluation par une tierce partie. Ces évaluations se font à l’administration centrale d’Environnement et Changement climatique Canada. Les bourses sont accordées aux conférenciers invités à l’administration centrale.",Generally restricted to environmental scientists who have recently completed their doctoral degrees.,Généralement réservées aux scientifiques spécialisés dans le domaine de l’environnement ayant récemment obtenu leur doctorat.,,,,,To provide personal and academic information used in the annual selection of visiting fellows to this institute.,Ce fichier a pour but de fournir des renseignements personnels et scolaires pour la sélection annuelle en vue de conférer des bourses aux conférenciers invités.,To assess potential candidates for visiting fellowship awards. The file is shared with NSERC.,Le fichier sert essentiellement à l’évaluation des candidats. Le dossier est également disponible auprès du CRSNG.,"Maximum five years, destroyed after three years.",Les dossiers sont conservés durant une période maximale de cinq ans; ils sont détruits après trois ans.,2015/014,2015/014,EC WES 213,EC WES 213,,,001395,001395
EC PPU 332,Community Eco-Action,ÉcoAction communautaire,EC PPU 332,EC PPU 332,"This bank describes information that is related to the administration of the Environmental Damages Fund (EDF), which directs funds received as compensation (fines, court orders) for environmental damage to environmental restoration projects. Personal information may include name, contact information, financial information, view or opinions of or about individuals, biographical information, and signature.","Cette banque de données comprend des renseignements sur le Fonds pour dommages à l’environnement (FDE) qui redirige les fonds reçus à titre de compensation (amendes, ordonnances de la cour) pour des dommages à l’environnement. Les renseignements personnels peuvent comprendre le nom, les coordonnées, des données financières, des opinions ou des points de vue de certaines personnes ou sur celles-ci, des données biographiques ainsi qu’une signature.","Representatives of non-profit groups (e.g. community-based environmental groups), universities and academic institutions, indigenous communities and organizations (e.g. First Nation Councils, Inuit, and Métis Associations) and provincial, territorial, municipal governments who apply for the Environmental Damages Fund (EDF) and representatives of businesses who partner with the aforementioned entities; landowners; others involved or consulted in the project (e.g. representatives of other funding sources and community representatives).","Représentants de groupes sans but lucratif (p. ex., groupes environnementaux locaux), universités et établissements d’enseignement supérieur, collectivités et organismes autochtones (p. ex., conseils de Premières nations, associations pour Inuits et Métis) et gouvernements provinciaux, territoriaux et municipaux, qui présentent une demande relative au Fonds pour dommages à l’environnement (FDE) et représentants d’entreprises qui sont partenaires d’une des entités déjà mentionnées, propriétaires fonciers, autres intervenants ou personnes consultées dans le cadre du projet (p. ex., représentants d’autres sources de financement et représentants de collectivités).",,,,,Personal information is used to administer the Environmental Damages Fund program and is collected pursuant to the Financial Administration Act and section 4 of the Department of the Environment Act.,Les renseignements personnels servent à administrer le programme de Fonds pour dommages à l’environnement et sont recueillis en vertu de la Loi sur la gestion des finances publiques et de l’article 4 de la Loi sur le ministère de l’Environnement.,"Personal information may be shared with the technical review team which includes officials of the Department of Fisheries and Oceans and Transport Canada, to evaluate applications for scientific and technical merit. Information concerning projects of successful EDF recipients is disclosed on the Environment and Climate Change Canada website. The information may be used or disclosed for the following purposes: evaluation and reporting.","Les renseignements personnels peuvent être communiqués à l’équipe responsable des examens techniques et comprenant des agents du ministère des Pêches et des Océans et de Transports Canada, afin d’évaluer la pertinence scientifique et technique des demandes. Les renseignements sur les projets des requérants retenus pour le FDE apparaissent sur le site Web d’Environnement et Changement climatique Canada. Les renseignements peuvent être utilisés ou divulgués aux fins suivantes : évaluation et production de rapports.",Records will be retained for seven years after last administrative use and then are transferred to Library and Archives Canada (LAC) as archival records.,"Les dossiers seront conservés pendant sept ans après la dernière utilisation administrative, pour être ensuite transférés à Bibliothèque et Archives Canada (BAC) sous forme de dossiers d’archives.",2015/014,2015/014,EC SUS 332,EC SUS 332,,,20110310,20110310
EC PPU 333,Science Horizons Youth Internship Program,Programme de stage Horizons Sciences pour les jeunes (FRP),EC PPU 333,EC PPU 333,"This bank describes information related to individuals who participate in the Science Horizons Youth Internship program. ECCC participates as one of the Government of Canada departments and agencies in the Youth Employment and Skills Strategy, led by ESDC. Personal information collected may include: name; date of birth; contact information; employee personnel information; biographical information; education information; official language preference; employment equity information; citizenship status; medical information; and opinions and views of, or about, individuals.","Ce fichier décrit des renseignements sur les personnes qui participent au programme de stages pour les jeunes d’Horizons Sciences. ECCC est l’un des ministères et organismes du gouvernement du Canada qui participent à la Stratégie emploi et compétences jeunesse, dirigée par EDSC. Les renseignements personnels recueillis peuvent comprendre le nom, la date de naissance, les coordonnées, les renseignements personnels de l’employé, une biographie, les renseignements sur l’éducation, la préférence en matière de langue officielle, les renseignements sur l’équité en matière d’emploi, le statut de citoyenneté, les renseignements médicaux, ainsi que les opinions et les points de vue de personnes ou sur des personnes.",Youth between the ages of 15 and 30; representatives of participating employers and representatives of contribution agreement recipients (Delivery Agents).,Jeunes de 15 à 30 ans; représentants des employeurs participants et représentants des bénéficiaires d’un accord de contribution (agents de mise en œuvre).,,,,,"Personal information is used for reporting and evaluation purposes. Personal information is collected pursuant to *Department of the Environment Act*, subsection 4(1) and section 5.",Les renseignements personnels sont utilisés à des fins de rapport et d’évaluation. Les renseignements personnels sont recueillis conformément au paragraphe 4(1) et à l’article 5 de la *Loi sur le ministère de l’Environnement*.,"ECCC discloses information to ESDC for their for reporting and evaluation purposes. With consent, participants may be profiled in the department’s success stories publications. The information may be used or disclosed for the purposes of internal reporting, performance measurements and audit.","ECCC divulgue des renseignements à EDSC à des fins de production de rapports et d’évaluation. Les profils des participants pourraient être présentés, avec consentement, dans les publications sur les histoires de réussites du Ministère. Les renseignements peuvent être utilisés ou divulgués aux fins de rapports internes, de mesures du rendement et d’audits.","Information associated with the contribution agreement is retained for six complete fiscal years, then destroyed. Information about participants, such as youth interns and employers is retained for five years after the last administrative use, then destroyed. **RDA**: 2015/014","Les renseignements associés à l’accord de contribution sont conservés pendant six exercices financiers complets, puis détruits. Les renseignements sur les participants, comme les jeunes stagiaires et les employeurs, sont conservés pendant cinq ans après la dernière utilisation administrative, puis détruits.",,2015/014,EC SUS 333,EC SUS 333,,,20230029,20230029
EC PPU 033,Compliance Promotion and Enforcement – Pollution,Promotion de la conformité et application de la loi - pollution,EC PPU 033,EC PPU 033,"This bank describes information that is related to the Ozone Protection Program and the regulatory approach used to protect the ozone layer, including the control of import, manufacture, use, sale, export and certain end-uses of ozone-depleting substances (ODS) under the Canadian Environmental Protection Act. Personal information may include name, contact information, signature, views and opinions of, or about, individuals.","Ce fichier comprend des renseignements liés au programme de protection de la couche d’ozone et à l’approche réglementaire utilisée pour protéger la couche d’ozone, y compris le contrôle de l’importation, de la fabrication, de l’utilisation, de la vente, de l’exportation et de certaines utilisations finales de substances appauvrissant la couche d’ozone en vertu de la Loi canadienne sur la protection de l’environnement. Les renseignements personnels comprennent le nom, les coordonnées, la signature, les points de vue des personnes et les opinions sur elles.","General public, individuals, authorized representatives of companies and organizations that are subject to the Ozone-Depleting Substances Regulations and the Federal Halocarbon Regulations under the Canadian Environmental Protection Act.","Le public en général, les personnes, les représentants autorisés d’entreprises et d’organisations qui font l’objet du Règlement sur les substances appauvrissant la couche d’ozone et du Règlement fédéral sur les halocarbures en vertu de la Loi canadienne sur la protection de l’environnement.",Personal information may be stored in electronic databases.,Les renseignements personnels peuvent être entreposés dans des bases de données électroniques.,,,"Personal information is used to administer compliance and enforcement activities of the stratospheric ozone - ozone protection program. Personal information is collected pursuant to the Ozone Depleting Substances Regulations 1998 (ODSR, 1998) and the Federal Halocarbon Regulations 2003 (FHR, 2003) under the Canadian Environmental Protection Act 1999 (CEPA, 1999).",Les renseignements personnels servent à gérer des activités de promotion de la conformité et d’application de la loi dans le cadre du programme de protection de la couche d’ozone - ozone stratosphérique. Les renseignements personnels sont recueillis conformément au Règlement sur les substances appauvrissant la couche d’ozone (1998) et au Règlement fédéral sur les halocarbures (2003) en vertu de la Loi canadienne sur la protection de l’environnement.,"Aggregate information is used to prepare an annual statistical report. This report is also sent to the Ozone Secretariat of the United Nations to describe quantities, type of ozone-depleting substances and type of activity. This information is then published by the United Nations on their Ozone Secretariat Website. Information, including name and location, of individuals or companies issued allowances for ozone-depleting substances may be published on the Environment and Climate Change Canada internet site. Information may also be used for program evaluation purposes.","L’information cumulée sert à préparer un rapport statistique annuel. Ce rapport est également envoyé au Secrétariat de l’ozone des Nations Unies afin de décrire les quantités, le type de substances appauvrissant la couche d’ozone et le type d’activité. Les Nations Unies publient ensuite cette information sur le site Web de leur Secrétariat de l’ozone. Des renseignements, comme le nom et l’adresse des personnes ou des entreprises qui ont reçu des autorisations pour des substances appauvrissant la couche d’ozone, peuvent être publiés sur le site Web d’Environnement et Changement climatique Canada. Des renseignements peuvent aussi être utilisés aux fins d’évaluation de programme.",Records will be retained for ten years after the last administrative use and then are transferred to Library and Archives Canada (LAC) as archival records.,"Les dossiers seront conservés pendant dix ans après la dernière utilisation administrative, puis transférés à Bibliothèque et Archives Canada en tant que dossiers d’archives.",2015/014,2015/014 **Renvois au document no. :** EC CPE 033,EC CPE 033,,,,20110279,20110309
EC PPU 133,Tetrachloroethylene (PERC) compliance,Conformité du tétrachloroéthène (PERC),EC PPU 133,EC PPU 133,"This bank describes information related to individuals subject to regulatory requirements of tetrachloroethylene (also known as PERC) use in dry cleaning. Personal information may include name, contact information and signature.","Ce fichier contient des renseignements sur des personnes soumises aux exigences réglementaires concernant l’utilisation du tétrachloroéthène (aussi appelé PERC) dans le nettoyage à sec. Les renseignements personnels comprennent le nom, les coordonnées et la signature.","Owners or operators of a dry cleaner who use Tetrachloroethylene (PERC), as well as sellers, recyclers and importers.","Les propriétaires ou les exploitants de nettoyeur à sec qui ont recours au tétrachloroéthène (PERC), ainsi que les vendeurs, les recycleurs et les importateurs.",,,,,Personal information is collected pursuant to the Tetrachloroethylene (Use in Dry Cleaning and Reporting Requirements) Regulations under the Canadian Environmental Protection Act and is used for compliance and enforcement administration.,Les renseignements personnels sont recueillis conformément au Règlement sur le tétrachloroéthylène (utilisation pour le nettoyage à sec et rapports) en vertu de la Loi canadienne sur la protection de l’environnement et sont utilisés pour l’administration des activités de conformité et d’application de la loi.,Information may also be used or disclosed for evaluation and reporting purposes.,Les renseignements peuvent également être utilisés ou communiqués aux fins d’évaluation et de production de rapports.,Records will be retained for ten years after the last administrative use and then are transferred to Library and Archives Canada (LAC) as archival records.,"Les documents seront conservés pour dix ans après la dernière utilisation administrative, puis transférés à Bibliothèque et Archives Canada en tant que dossiers d’archives..",2015/014 **Related Class of Record Number:** EC CPE 033,2015/014 **Renvois au document no. :** EC CPE 033,,,,,20110309,20110309
EC PPU 341,Water Quality and Ecosystems Partnerships,Qualité de l’eau et partenariat sur les écosystèmes,EC PPU 341,EC PPU 341,"This bank describes information about individuals who request data on the assessment of the atmospheric impacts of persistent toxic substances on aquatic systems, in particular data resulting from the cooperative arrangement between partner agencies in the United States and Canada for conducting air and precipitation monitoring in the Great Lakes Basin. The personal information may include name and contact information, name of employer, personal views and opinions, user name and password.","Ce fichier décrit des renseignements sur les personnes qui demandent des données sur les répercussions atmosphériques des substances toxiques persistantes sur les systèmes aquatiques, particulièrement les données tirées de l’accord de coopération entres les organismes partenaires aux États-Unis et au Canada pour l’exécution d’activités de surveillance de l’air et des précipitations dans le bassin des Grands Lacs. Les renseignements personnels peuvent comprendre le nom et les coordonnées, le nom de l’employeur, les points de vue et opinions personnels, le nom d’utilisateur et le mot de passe.",Individuals and representatives of businesses / organizations who request scientific information pertaining to particles and related trace gases.,Les personnes et les représentants des entreprises/organismes qui demandent des renseignements scientifiques concernant les particules et la mesure des émissions connexes.,,,,,"The personal information is used to monitor who is using the data with a view to improving access to data and promoting research in this field. Personal information is collected pursuant to the Great Lakes Water Quality Agreement, recognized under the Canada Shipping Act, 2001","Les renseignements personnels sont recueillis aux fins suivantes : les renseignements personnels sont utilisés afin de tenir compte des personnes utilisant les données dans le but d’améliorer l’accès aux données et de promouvoir la recherche dans ce domaine. Les renseignements personnels sont recueillis conformément à l’Accord relatif à la qualité de l’eau dans les Grands Lacs, reconnu en vertu de la Loi sur la marine marchande du Canada (2001).",Aggregate (non-personal) information may be shared between the United States Environmental Protection Agency and Environment and Climate Change Canada’s Science and Technology Branch. Information may also be used for program evaluation and reporting purposes.,Les renseignements peuvent être utilisés ou divulgués pour les raisons suivantes: Les renseignements globaux (non personnels) peuvent être partagés entre l’ « Environmental Protection Agency » des États-Unis et la Direction générale des sciences et de la technologie d’Environnement et Changement climatique Canada. Des renseignements peuvent aussi être utilisés aux fins d’évaluation de programme ou de production de rapports.,Records will be retained for five years after last administrative use.,Les documents seront conservés pendant cinq ans après la dernière utilisation administrative.,2015/014,2015/014,EC SUS 341,EC SUS 341,,,20100111,20100111
EC PPU 122,Substances and Waste Management,Gestion des substances et des déchets,EC PPU 122,EC PPU 122,"This bank describes information that is related to the registration of storage tank systems for petroleum products and allied petroleum products, required under the Canadian Environmental Protection Act and its related regulations. The personal information may include name, contact information, information on emergency training and development courses (for emergency response team designates), and personal identification number.","Ce fichier décrit des renseignements liés à l’enregistrement des systèmes de stockage de produits pétroliers et de produits apparentés conformément à la Loi canadienne sur la protection de l‘environnement et aux règlements qui s’y rattachent. Les renseignements personnels peuvent comprendre le nom et les coordonnées, des renseignements sur la formation en matière d’urgence et les cours de perfectionnement (pour les membres désignés des équipes d’intervention d’urgence) et le numéro d’identification personnel.","Owners (including private owners if storage tanks are located on Indigenous or federal lands), operators, and suppliers of petroleum products who are required to register their storage tank systems, and individuals designated as qualified in emergency response situations.","Les propriétaires (y compris les propriétaires privés si les systèmes de stockage sont situés sur des territoires autochtones ou domaniaux), les exploitants et les fournisseurs de produits pétroliers qui doivent enregistrer leurs systèmes de stockage et les personnes désignées comme étant qualifiées dans des situations d’intervention d’urgence.",,,,,"Personal information is used to ensure that storage tank systems are installed, operated, maintained, and removed in an environmentally responsible manner. Personal information is collected pursuant to section 15 of the Storage Tank Systems for Petroleum Products and Allied Petroleum Products Regulation, under the Canadian Environmental Protection Act.","Les renseignements personnels sont recueillis aux fins suivantes : pour veiller à ce que les systèmes de stockage soient installés, exploités, entretenus et retirés d’une manière respectueuse de l’environnement. Les renseignements personnels sont recueillis conformément à l’article 15 du règlement sur les systèmes de stockage de produits pétroliers et de produits apparentés, en vertu de la Loi canadienne sur la protection de l’environnement.","Under Canadian Environmental Protection Act, Environment and Climate Change Canada enforcement officers are authorized to conduct inspections in order to verify compliance with the Act and its regulations; therefore, personal information may be shared with landlords and owners of storage tank systems for this purpose. Information may also be used for program evaluation and reporting purposes.","Les renseignements peuvent être utilisés ou divulgués pour les raisons suivantes : En vertu de la Loi canadienne sur la protection de l’environnement, les agents de l’application de la loi d’Environnement et Changement climatique Canada sont autorisés à mener des inspections afin de vérifier la conformité à la Loi et à ses règlements; par conséquent, des renseignements personnels peuvent être partagés avec les locateurs et les propriétaires de systèmes de stockage à cette fin.",Records will be retained for 10 years after last administrative use.,Les documents seront conservés pour dix ans après la dernière utilisation administrative.,2015/014,2015/014,ECSWM 311,EC SWM 311,,,20100109,20100109
EC PPU 331,Management of toxic substances,Gestion des substances toxiques,EC PPU 331,EC PPU 331,"This bank describes information related to regulatory permits and consultations undertaken to develop preventive or control instruments for substances that are added to Toxic Substances listed under the Canadian Environmental Protection Act. Personal information may include name, contact information including name of employer, signature; views and opinions of, or about, individuals; financial information. Information is gathered through regulatory forms, stakeholder consultations, and public inquiries. Documents are found in both hard copy and electronic format (e.g. inquiries are tracked in an electronic spreadsheet).","Ce fichier décrit les renseignements liés aux permis réglementaires et aux consultations entreprises afin d’élaborer des outils de prévention ou de contrôle pour les substances ajoutées aux substances toxiques énumérées dans la Loi canadienne sur la protection de l’environnement. Les renseignements personnels comprennent le nom, les coordonnées, y compris le nom de l’employeur, la signature, les points de vue des personnes, les opinions sur elles et les données financières.","Stakeholders (e.g. general public, academia, health professionals who are consulted related to toxic substances, representatives of companies and laboratories who apply to use certain regulated toxic substances).","Intervenants (p. ex. le public en général, le milieu universitaire, les professionnels de la santé que l’on consulte en ce qui a trait aux substances toxiques, qui représentent des entreprises et des laboratoires demandant à utiliser certaines substances toxiques réglementées).",,"Les renseignements sont rassemblés au moyen de formulaires réglementaires, de consultations avec les intervenants et de demandes de la part du public. Les documents existent en format papier et électronique (p. ex. des feuilles de calcul électroniques permettent de faire le suivi des demandes).",,,Personal information is used to administer the management of toxic substances and is collected pursuant to the Prohibition of Certain Toxic Substances Regulations under the Canadian Environmental Protection Act. Some information is collected through consultations with stakeholders and experts in the domain.,Les renseignements personnels servent à gérer les substances toxiques et sont recueillis conformément au Règlement sur certaines substances toxiques interdites en vertu de la Loi canadienne sur la protection de l’environnement. Certains renseignements sont recueillis par l’entremise de consultations avec des intervenants et des experts en la matière.,"Personal information may be used or disclosed for the following purposes: enforcement, safety, evaluation and for compliance verification. Information may be shared with other EC programs for scientific and statistical research. Information may also be used or disclosed for evaluation and reporting purposes.","Les renseignements personnels peuvent être utilisés ou divulgués à des fins de suivi : application de la loi, sécurité, évaluation et vérification de la conformité. Les renseignements peuvent être partagés avec d’autres programmes d’Environnement et Changement climatique Canada à des fins de recherches scientifiques ou statistiques. Les renseignements peuvent également être utilisés ou communiqués aux fins d’évaluation et de production de rapports.",Records will be retained for 10 years after last administrative use.,Les documents seront conservés pour dix ans après la dernière utilisation administrative.,2015/014,2015/014,EC SWM 311,EC SWM 311,,,20110280,20110280
