bank_number_key,title_en,title_fr,bank_number_en,bank_number_fr,description_en,description_fr,class_of_individuals_en,class_of_individuals_fr,note_en,note_fr,social_insurance_number_en,social_insurance_number_fr,purpose_en,purpose_fr,consistent_uses_en,consistent_uses_fr,retention_and_disposal_standards_en,retention_and_disposal_standards_fr,rda_number_en,rda_number_fr,related_record_number_en,related_record_number_fr,last_updated_en,last_updated_fr,tbs_registration_en,tbs_registration_fr
OPC PPU 005,Privacy Complaints and Investigations (Class of Records),,OPC PPU 005,,"These records relate to complaints of alleged violations of the *Privacy Act* and the PIPEDA as well as incident reports and personal information breach notifications. The records contain identifying information about complainants, details of allegations, information about complainants and parties to the allegations, and information gathered during investigations, including statements provided by individuals and parties to the allegations. **Document Types:** Complaint applications, representations made by the parties to the allegations, submissions and third-party reports received by the Spam reporting Centre, documentary evidence, investigators' notes and records of discussions, technical analysis, internal and external correspondence, legal opinions, investigations reports, briefing notes, reports of findings, records of follow-up on recommendations, and case summaries. **Record Number:** OPC CPL 001 ***Privacy Complaints and Investigations (Personal Information Bank)",,,,,,,,,,,,,,,,,,,,,
OPC PPU 005,,,OPC PPU 005,,"This bank describes information related to investigations arising out of complaints submitted to the Privacy Commissioner pursuant to subsection 29(1) of the *Privacy Act* and 11(1) of PIPEDA, or those initiated by the Commissioner pursuant to subsection 29(3) of the *Privacy Act* or 11(2) of PIPEDA. It also includes information related to investigations of incidents and alleged violations of the Acts including privacy breaches. Personal information may include name, contact information, details of allegations, opinions and views of complainant and others, as well as the personal information that is the focus of the complaint or incident (e.g. medical, criminal, educational, financial, etc.), evidence provided, as well as decisions and recommendations relevant to the investigation. In certain cases, depending upon the nature of the complaint or the investigations conducted under the *Privacy Act* or PIPEDA, other personal information such as social insurance numbers (SIN), employee identification numbers and other identification numbers. IP addresses may also be collected.",,"Individuals who file complaints alleging violations of the *Privacy Act* and PIPEDA, individuals who may be involved in investigations, and individuals affected by incidents.",,,,,,Information is collected under the authority of the *Privacy Act* and PIPEDA. It is used to conduct investigations as authorized under these laws.,,"Limited information is shared with federal government institution(s) or private sector organizations(s) involved in the complaint (e.g. name of the individual, nature of the allegations, information that is permitted to be shared by section 64(1) of the *Privacy Act* or 20(3) of PIPEDA in order to conduct an investigation). Information pertaining to privacy complaints and investigations can be shared with domestic and international privacy enforcement agency counterparts that have functions and duties similar to those of the Commissioner with respect to the protection of personal information, under sections 23 and 23.1 of PIPEDA, subject to an agreement or an arrangement in writing. Information pertaining to spam and other related electronic threats can be shared with the Canadian Radio-television and Telecommunications Commission, the Competition Bureau and foreign agencies, under sections 57 to 60 of Canada’s Anti-Spam Legislation. The Privacy Commissioner submits annual reports to Parliament with respect to activities under the *Privacy Act* and PIPEDA which may include select anonymized case summaries. The information may be used to conduct audits and to identify and address systemic privacy issues. It may also be used for evaluation and quality control purposes in order to ensure consistency in the investigative process, for the training of investigators, and for research and litigation purposes.",,"Records collected to process PIPEDA complaints are disposed of 10 years after the last administrative action. Where Records collected pursuant to a *Privacy Act* time delay complaint are retained for 2 years and all other types of complaints pursuant to the *Privacy Act* are retained for 5 years following the last administrative action and then destroyed. Records collected from the Spam Reporting Centre are disposed of after 2 years, if the information collected does not ultimately lead to an investigation.",,DA 2015/018,,OPC CPL 001,,,,20090490,
OPC PPU 001,Privacy-related enquiries (Class of Record),,OPC PPU 001,,"These records relate to enquiries concerning the *Privacy Act* or PIPEDA, or other subject matters, and results of responses to those enquiries. **Document Types:** Correspondence, background information relating to requests. **Record Number:** OPC CPL 002 ***Privacy-related enquiries (Personal Information Bank)",,,,,,,,,,,,,,,,,,,,,
OPC PPU 001,,,OPC PPU 001,,"This bank describes information collected when an individual contacts the OPC to request information by telephone, e-mail or regular mail concerning the *Privacy Act*, PIPEDA and/or related issues. Personal information may include: name, contact information, and other personal details, which can vary significantly depending on the nature of the inquiry, but which may include the individual's financial, medical, criminal or educational history, etc.",,"Members of the public and individuals representing private sector organizations, other government institutions (municipal, provincial, international) or federal government institutions who make written or telephone inquiries concerning issues related to the *Privacy Act* or PIPEDA.",,,,,,Information is collected pursuant to the *Privacy Act* or PIPEDA. It is used to respond to enquiries related to the application of these laws.,,"Information may also be used for research on policy questions or in order to inform public education initiatives. The information may be provided to an OPC investigator if the enquiry leads to a complaint (see OPC PPU 005). Personal information may also be used for audit, evaluation, reporting (e.g. Annual Reports to Parliament) and/or statistical purposes.",,Records are disposed of 3 years after the last administrative action.,,DA 2015/018,,OPC CPL 002,,,,20090493,
OPC PPU 008,Privacy Commissioner Ad Hoc ***–*** Complaints and Investigations (Class of Records),,OPC PPU 008,,These records relate to complaints made under the *Privacy Act* against the OPC. These are reviewed and investigated by an independent Privacy Commissioner Ad Hoc appointed for this purpose. The records contain identifying information about complainants; details of the allegations; information about complainants and parties to the allegations; information gathered during the investigation including statements provided by individuals and parties to the allegations. **Document Types:** Representations made by the parties to the allegations; documentary evidence; investigators' notes and records of discussions; internal and external correspondence; legal opinions and requests for opinions; investigation reports; briefing notes as required; reports of findings; records of follow-ups to recommendations as required. **Record Number:** OPC CPL 004 ***Privacy Commissioner Ad Hoc ***–*** Complaints and Investigations (Personal Information Bank),,,,,,,,,,,,,,,,,,,,,
OPC PPU 008,,,OPC PPU 008,,"This bank describes information related to complaints made under section 29 of the *Privacy Act* against the OPC, which are referred to an appointed Privacy Commissioner Ad Hoc for follow-up and investigation. It relates also to investigations conducted by the Privacy Commissioner Ad Hoc in response to complaints, and to any investigation initiated by the Privacy Commissioner Ad Hoc under subsection 29(3) of the *Privacy Act*. It includes information on inquiries received and investigations of incidents involving alleged violations of the *Privacy Act*. The personal information collected may include name, contact information, details of allegations, opinions and views of complainant and other individuals, and other personal details, which vary depending on the nature of the complaint, inquiry, etc.",,Individuals who file complaints alleging violation of the *Privacy Act* by the OPC and other individuals involved in investigations or affected by incidents.,,,,,,Information is collected pursuant to the *Privacy Act*. It is used to conduct investigations related to complaints made with respect to the OPC.,,"Limited information is shared with the Office of the Privacy Commissioner of Canada, who is the subject of complaints directed to the Privacy Commissioner Ad Hoc (e.g. name of the individual, nature of the allegations, information that is permitted to be shared by section 64(1) of the *Privacy Act*). The information may be used for evaluation and quality control purposes in order to ensure consistency in the investigative process, for the training of investigators, and for research and litigation purposes.",,Records are disposed of 5 years after the last administrative action.,,DA 2015/018,,OPC CPL 004,,,,20090495,
OPC PPU 004,Notifications to OPC - Public Interest Disclosure (Class of Record),,OPC PPU 004,,"These records relate to notifications under section 8(2)(m) of the *Privacy Act* or under other legislation that provides for public interest disclosures; the rationale for disclosure; and the personal information at issue. **Document Types:** Correspondence, notes and reports of the reviewer. **Record Number:** OPC CPL 006 ***Notifications to OPC - Public Interest Disclosure (Personal Information Bank)",,,,,,,,,,,,,,,,,,,,,
OPC PPU 004,,,OPC PPU 004,,"This bank describes information sent to the Privacy Commissioner pursuant to subsection 8(5) of the *Privacy Act* by federal institutions related to proposals to disclose personal information based on invoking the public interest as set out in paragraph 8(2)(m)(i) of the *Privacy Act*, or under other legislation that provides for public interest disclosures, such as the *Canada Pension Plan Act* and the *Old Age Security Act*. The personal information may include name, contact information and the specific personal information that the notifying institution proposes to disclose in the public interest.",,Individuals whose personal information institutions propose to disclose in the public interest subject to first notifying the OPC.,,,,,,The information in this bank is collected pursuant to subsection 8(5) of the *Privacy Act* in accordance with the mandatory requirement to notify the Privacy Commissioner of decisions by authorized officials of federal institutions to disclose personal information in the public interest. It may also be used to notify the individuals to whom the information disclosure relates.,,"Information in this bank may be used to conduct investigations, audits, and/or to identify and address any systemic privacy issues. It may be used to provide anonymized statistical and descriptive information in annual reports to Parliament with respect to activities under the *Privacy Act*. This information may also be used for quality control purposes to ensure consistency in the investigative process, for training purposes of investigators and research.",,Records are disposed of 2 years after the last administrative action.,,DA 2015/018,,OPC CPL 006,,,,20090492,
OPC PPU 006,Notification to OPC Under PIPEDA Where Access to Personal Information Is Not Given (Class of Record),,OPC PPU 006,,"These records relate to notifications of denial of access to personal information, which are received from private organizations; such notifications are obligatory pursuant to paragraph 9(2.4)(b)) and subsection 9(5) of the PIPEDA. They contain information about individuals, the rationale for the non-disclosure of the personal information, as well as the personal information at issue. **Document Types:** Correspondence, individuals' requests for the information, the responses to the requests, investigators' notes and investigation reports. **Record Number:** OPC CPL 008 ***Notification to OPC Under PIPEDA Where Access to Personal Information Is Not Given (Personal Information Bank)",,,,,,,,,,,,,,,,,,,,,
OPC PPU 006,,,OPC PPU 006,,"This bank describes information sent to the OPC by private sector organizations as an obligatory notification where access to personal information has been denied pursuant to paragraphs 9(2.4)(a)) and 9(3)(c.1) of PIPEDA. Personal information may include: name, contact information, and details of the personal information not provided, which will vary from case to case.",,Individuals who have been denied access to their personal information by a private sector organization pursuant to PIPEDA.,,,,,,Information is obtained pursuant to the obligatory notification provisions of paragraph 9(2.4)(b)) and subsection 9(5) of PIPEDA to allow the OPC an opportunity to ensure that private sector organizations are in compliance with PIPEDA.,,"Information in this bank may be used to conduct investigations and audits, as well as to identify and address any systemic privacy issues. It may be used to provide anonymized statistical and descriptive information in annual reports to Parliament with respect to activities under PIPEDA. This information may also be used for the following purposes: quality control to ensure consistency in the investigative process, training of investigators, and research.",,Records are disposed of 2 years after the last administrative action.,,DA 2015/018,,OPC CPL 008,,,,20090491,
