bank_number_key,title_en,title_fr,bank_number_en,bank_number_fr,description_en,description_fr,class_of_individuals_en,class_of_individuals_fr,note_en,note_fr,social_insurance_number_en,social_insurance_number_fr,purpose_en,purpose_fr,consistent_uses_en,consistent_uses_fr,retention_and_disposal_standards_en,retention_and_disposal_standards_fr,rda_number_en,rda_number_fr,related_record_number_en,related_record_number_fr,last_updated_en,last_updated_fr,tbs_registration_en,tbs_registration_fr
APSI TAR 640,,[Skip to content](#jupiterx-main),,APSI TAR 640,,"Les dossiers comportent des renseignements sur la détermination, l’application et l’imposition de droits liés au courtage, à l’expédition et à la manutention de fret ainsi que la gestion de marchandises dangereuses, des déchets industriels ou des polluants, les services de rampe mobile (transbordeur de trains), la sécurité et les passagers. Types de document : Droits portuaires; droits d’amarrage; droits d’ancrage et de quai et description; droits d’approvisionnement en eau; droits relatifs aux rampes mobiles; tarif des transporteurs; prix de location de l’équipement; remises, avis et procédures, politiques et rapports statistiques; procès-verbaux des réunions; contrats; notes de service et correspondance. Résumés de divulgation : Aucune divulgation à des tiers n’a eu lieu.",,,,,,,,,,,,,,,,,,,,
APSI FRE 640,,,,APSI FRE 640,,"Les dossiers contiennent des renseignements sur la gestion du fret dans les terminaux du port (transport de marchandises et de passagers), les services de ravitaillement en carburant et de pilotage, les services de rampe mobile (transbordeur de trains) l’acconage ainsi que les services de gestion des déchets et de déglaçage. Types de document : Descriptions, droits et tarifs, permis, plans, procédures, politiques, rapports financiers, budgets, rapports statistiques, prévisions et stratégies liés à la navigation. Résumés de divulgation : Aucune divulgation à des tiers n’a eu lieu.",,,,,,,,,,,,,,,,,,,,
APSI GES 490,,,,APSI GES 490,,"Les dossiers renferment de l’information sur les biens achetées, détenus et gérés par l’Administration, y compris sur leur location ou leur prêt. Types de document : Propositions d’aménagement du port et du terrain, contrats d’achat et de location, permis, plans, procédures, politiques, rapports financiers, budgets, rapports statistiques, rapports sur les relations communautaires et stratégies. Résumés de divulgation : Aucune divulgation à des tiers n’a eu lieu.",,,,,,,,,,,,,,,,,,,,
APSI PPU 490,,,,APSI PPU 490,,Le fichier contient des renseignements de base sur les propriétés dont la gestion est confiée à l’Administration portuaire de Sept-Îles ou les locataires de ces propriétés.,,Grand public.,,,,,,"Le fichier sert à documenter les transactions de propriétés telles que baux, ententes, vente, échange ou achat de terrain entre Sa Majesté, l’Administration portuaire de Sept-Îles et le grand public.",,Les renseignements contenus dans le fichier sont utilisés pour étayer les décisions relatives aux propriétés.,,Les dossiers sont conservés pour une période indéterminée.,,2002/001,,APSI SBI 490,,,,004375
APSI PLA 345,,,,APSI PLA 345,,"Les dossiers contiennent de l’information sur les plaintes et les réclamations déposées par l’Administration ou à son encontre. Types de document : Rapports d’accident ou comptes rendus de dommages matériels, formulaires, règlements, avis juridiques, documents judiciaires, politiques, procédures et correspondance. Résumés de divulgation : Aucune divulgation à des tiers n’a eu lieu.",,,,,,,,,,,,,,,,,,,,
APSI PPU 345,,,,APSI PPU 345,,Le fichier contient des renseignements relatifs aux plaintes déposées par ou contre l’Administration.,,"Grand public, compagnies et institutions canadiennes ou étrangères.",,,,,,Étayer le règlement des plaintes déposées par ou contre l’Administration.,,Le fichier sert à étayer le règlement légal des plaintes déposées par ou contre l’Administration.,,Les dossiers sont conservés pour une période de deux ans après le règlement et détruits.,,2002/001,,APSI NDP 345,,,,004379
APSI TRA 546,,,,APSI TRA 546,,"Les dossiers renferment de l’information sur les installations de réception et de traitement relatifs aux transbordeurs de trains et à l’amarrage de navires. Types de document : Renseignements sur les navires, permis, plans, procédures, politiques, rapports financiers, budgets, rapports statistiques et stratégies. Résumés de divulgation : Aucune divulgation à des tiers n’a eu lieu.",,,,,,,,,,,,,,,,,,,,
APSI TOU 250,,,,APSI TOU 250,,"Les dossiers comprennent de l’information sur la promotion de l’Administration et de ses attraits régionaux, la recherche et développement de marchés, la planification des communications et la publicité auprès de publics clés en vue de la mise en œuvre de partenariats et de la promotion commerciale. Les publicités dans les journaux et magazines, la publicité en ligne, les médias sociaux, le recours à des agences de marketing et de publicité pour promouvoir l’Administration portuaire de Sept-Îles. Types de document : Publicités, brochures, affiches, communiqués de presse, rapports de rendement, documents de planification, énoncés de conception, photos et illustrations, énoncés de projet, maquettes, documents budgétaires, présentations, rapports d’études de marché, matériel promotionnel, factures, contrats. Résumés de divulgation : Aucune divulgation à des tiers n’a eu lieu.",,,,,,,,,,,,,,,,,,,,
APSI TRA 400,,,,APSI TRA 400,,"Les dossiers contiennent des renseignements relatifs à l’infrastructure côtière requis pour les échanges côtiers et internationaux, y compris par Douanes Canada et les bureaux de l’immigration, à l’externalisation des installations d’expédition, des entreprises d’arrimage, et d’autres dispositifs en place qui contribuent à l’exploitation des quais, des chantiers navals, des stations Sanipump, des grues hydrauliques ainsi que des systèmes d’enlèvement des déchets et d’approvisionnement en eau douce. Types de document : Ententes, baux et contrats de location, plans, budgets, rapports financiers, politiques, procédures et statistiques. Résumés de divulgation : Aucune divulgation à des tiers n’a eu lieu.",,,,,,,,,,,,,,,,,,,,
APSI ENV 500,,,,APSI ENV 500,,"Les dossiers comprennent de l’information sur l’exploitation, l’entretien et la mise à niveau de structures existantes relative à la gestion des déchets, au contrôle de la pollution et à l’approvisionnement en vue du confinement des déversements mineurs. Types de document : Plan d’impact sur l’environnement, plans de mise en valeur et d’économie d’énergie, études, rapports, rapports financiers, politiques, procédures et ententes. Résumés de divulgation : Aucune divulgation à des tiers n’a eu lieu.",,,,,,,,,,,,,,,,,,,,
