bank_number_key,title_en,title_fr,bank_number_en,bank_number_fr,description_en,description_fr,class_of_individuals_en,class_of_individuals_fr,note_en,note_fr,social_insurance_number_en,social_insurance_number_fr,purpose_en,purpose_fr,consistent_uses_en,consistent_uses_fr,retention_and_disposal_standards_en,retention_and_disposal_standards_fr,rda_number_en,rda_number_fr,related_record_number_en,related_record_number_fr,last_updated_en,last_updated_fr,tbs_registration_en,tbs_registration_fr
BOC PPU 073,[Currency](https://www.bankofcanada.ca/core-functions/currency/),[Monnaie](https://www.banqueducanada.ca/grandes-fonctions/monnaie/),BOC PPU 073,BDC PPU 073,"This bank describes information related to the redemption of bank notes that are mutilated, contaminated or no longer legal tender. Personal information may include name; contact information; comments related to the possession and condition of the bank notes; proof of identification (such as a passport, residence card or driver’s licence); and proof of residence such as an employment pay stub, a utility or property tax bill, or a financial institution account statement.","Renseignements concernant le remboursement de billets de banque mutilés ou contaminés, ou qui n’ont plus cours légal. Les renseignements personnels peuvent comprendre le nom du demandeur; ses coordonnées; des commentaires relatifs à la possession et à l’état des billets de banque; une pièce d’identité (comme un passeport, une carte de résident ou un permis de conduire); et une preuve de résidence (p. ex.’ une fiche de paye, une facture de services publics ou d’impôts fonciers, ou encore un relevé de compte bancaire.",General public,Grand public.,,,,,"Personal information is obtained for processing claims and responding to general inquiries related to bank notes that are mutilated, contaminated or no longer legal tender. Some information may be shared with third parties, including but not limited to, law enforcement agencies and the Financial Transactions and Reports Analysis Centre of Canada.","Des renseignements personnels sont recueillis pour traiter les demandes de remboursement et répondre aux demandes de renseignements généraux en lien avec des billets de banque mutilés ou contaminés, ou qui n’ont plus cours légal. Certains renseignements peuvent être divulgués à des tiers, entre autres des organismes d’application de la loi et le Centre d’analyse des opérations et déclarations financières du Canada.",Information can be used to establish an inventory of claims and for statistical and reporting purposes.,Les renseignements peuvent être utilisés pour créer un répertoire des demandes de remboursement et aux fins d’établissement de statistiques et de production de rapports.,All records are kept seven years and then destroyed.,"Tous les dossiers sont conservés pendant sept ans, après quoi ils sont détruits.",2023/002,2023/002,BOC BNI 05,BDC EBB 05,,,20110285,20110285
BOC PPU 068,Compliance,,BOC PPU 068,BDC PPU 068,"This bank describes information relating to requests for educational material, programs and services. The personal information collected includes the requesting individual's name, home and email addresses, and phone and fax numbers. In addition, where applicable, the information includes the name of the individual’s employer, the employer’s address, the individual's business title, work phone number, email address and fax number.","Ce fichier renferme des renseignements relatifs aux demandes concernant le matériel éducatif, les programmes et les services. Les renseignements personnels recueillis comprennent le nom du demandeur, ses adresses postale et électronique ainsi que ses numéros de téléphone et de télécopieur. Le cas échéant, l’information comprend aussi le nom et l’adresse de l’organisation qui emploie la personne qui fait la demande, le titre de celle-ci, de même que ses numéros de téléphone et de télécopieur et son adresse de courriel au travail.",Members of the general public who have made requests to obtain information or make reservations for programs and services.,"Membres du grand public qui ont présenté des demandes d’information ou fait des réservations pour des programmes ou des services. **Objet :** Les renseignements recueillis servent à donner suite aux demandes concernant le matériel éducatif et les séances d’information, les demandes de réservations pour les programmes et les services. Ils sont également employés pour obtenir des commentaires ou des instructions spéciales; savoir où les demandeurs ont entendu parler du matériel, des programmes ainsi que des services de la Banque, et s’ils accepteraient qu’on communique avec eux plus tard. Dans ce dernier cas, si les demandeurs ont répondu par l’affirmative, les dossiers permettent de les informer de la sortie de nouveau matériel et du lancement de nouveaux programmes et services ainsi que d’assurer un suivi, par exemple dans le but d’évaluer le degré de satisfaction quant au matériel éducatif, aux programmes et aux services reçus.",,,,,"The purpose of this information is to respond to requests for educational material and information sessions and requests for reservations for programs and services. The purpose is also to receive comments or special instructions as well as feedback on how they heard about the Bank’s materials, programs and services and whether they would agree to be contacted in the future. In addition, if the requester agrees to be contacted, the records are used to notify those individuals of the availability of new materials, programs and services and for follow-ups such as assessing satisfaction with the educational materials, programs and services received.",,"The information is used for planning purposes and for in-house statistical purposes related to the volume and nature of requested materials, programs and services as well as the source of the requests.","Les renseignements recueillis servent à des fins de planification et de production de statistiques internes concernant le nombre et la nature du matériel éducatif, des programmes et des services ayant fait l’objet d’une demande aussi bien que l’origine de celle-ci.","Hard-copy information is retained for up to three months, after which it is transferred to an electronic database. Electronic information is retained for up to 10 years and then destroyed.","Les renseignements disponibles sur papier sont conservés pendant une période d’au plus trois mois, après quoi ils sont versés dans une base de données électronique. Les renseignements sous forme électronique sont conservés pendant dix ans au plus, puis détruits.",2023/002,2023/002,"BOC BNI 20, BOC COM 15","BDC EBB 20, BDC COM 15",,,20110264,20110264
BOC PPU 068,External communications,,BOC PPU 068,,"This bank describes information relating to requests for educational material, programs and services. The personal information collected includes the requesting individual's name, home and email addresses, and phone and fax numbers. In addition, where applicable, the information includes the name of the individual’s employer, the employer’s address, the individual's business title, work phone number, email address and fax number.",,Members of the general public who have made requests to obtain information or make reservations for programs and services.,,,,,,"The purpose of this information is to respond to requests for educational material and information sessions and requests for reservations for programs and services. The purpose is also to receive comments or special instructions as well as feedback on how they heard about the Bank’s materials, programs and services and whether they would agree to be contacted in the future. In addition, if the requester agrees to be contacted, the records are used to notify those individuals of the availability of new materials, programs and services and for follow-ups such as assessing satisfaction with the educational materials, programs and services received.",,"The information is used for planning purposes and for in-house statistical purposes related to the volume and nature of requested materials, programs and services as well as the source of the requests.",,"Hard-copy information is retained for up to three months, after which it is transferred to an electronic database. Electronic information is retained for up to 10 years and then destroyed.",,2023/002,,"BOC BNI 20, BOC COM 15",,,,20110264,
BOC PPU 047,,Conformité,BOC PPU 047,BDC PPU 047,"This bank describes information used to administer the sale and distribution of photographic reproductions of objects (numismatic) from the National Currency Collection of the Bank of Canada Museum and information requested when individuals seek permission from the Bank to reproduce bank note images. The personal information collected includes the requester’s name, phone number, mailing and email address, name of organization, where applicable, and fax number. It includes also bank account numbers, signatures, order history and opinions expressed in surveys from individuals who purchase photographic reproduction. Requesters who seek permission to reproduce bank note are also asked to describe the nature of the proposed reproduction and explain how the reproduction will be exhibited.","Ce fichier renferme des renseignements servant à administrer la vente et la distribution de reproductions photographiques d’objets numismatiques de la Collection nationale de monnaies du Musée de la Banque du Canada ainsi que l’information que doivent fournir les personnes qui demandent à la Banque l’autorisation de reproduire des images de billets de banque. Les renseignements personnels recueillis comprennent le nom, le numéro de téléphone, les adresses postales et électroniques des demandeurs, le nom de l’organisation, s’il y a lieu, et le numéro de télécopieur. Ils incluent également les numéros de compte bancaire, les signatures, les relevés des commandes antérieures et les opinions exprimées dans les sondages par des acheteurs de reproductions photographiques. De plus, les personnes qui désirent obtenir l’autorisation de reproduire des billets de banque doivent décrire la nature de la reproduction proposée et expliquer comment elle sera exposée.",Members of the general public.,Membres du grand public.,,,,,"The Bank of Canada is the registered copyright owner of all design elements of Canadian bank notes. The reproduction of bank note images is protected by federal legislation including the *Criminal* Code and the *Copyright Act*. The purpose of this information is to ensure that appropriate permission is granted prior to the reproduction of bank note images, and to support the sale and distribution of photo reproductions through the Bank of Canada Museum.","La Banque du Canada est le titulaire du droit d’auteur enregistré de tous les éléments entrant dans la conception des billets de banque canadiens. La reproduction d’images de billets de banque est protégée par la législation fédérale, y compris le *Code criminel* et la *Loi sur le droit d’auteur*. Ces renseignements ont pour but d’assurer qu’une autorisation appropriée est accordée avant que des images de billets de banque ne soient reproduites, et de faciliter la vente et la distribution de reproductions photographiques par le Musée de la Banque du Canada.","The records are used for planning purposes and for in-house statistical purposes such as source, nature of request, pieces sold, interest in particular objects and returning customers to support the sale and distribution of photographic reproductions.","Les dossiers servent à des fins de planification et de production de statistiques internes sur l’origine et la nature des demandes, les pièces vendues, l’intérêt manifesté à l’égard de certains objets et les clients réguliers afin de soutenir la vente et la distribution de reproductions photographiques.","Paper records relating to requests for permission to reproduce bank notes are kept for two years, after which they are transferred to a database and then destroyed. Database records are kept for five years and then destroyed. Paper records relating to the sale of photographic reproductions are kept for one year, after which they are transferred to a database and then destroyed. Electronic copies are kept for seven years and then destroyed.","Les dossiers papier liés aux demandes d’autorisation de reproduction de billets de banque sont conservés pendant deux ans, après quoi ils sont versés dans une base de données avant d’être détruits. Les dossiers dans la base de données sont conservés pendant cinq ans, puis détruits. Les dossiers papier relatifs à la vente de reproductions photographiques sont conservés pendant une période d’un an, après quoi ils sont transférés dans une base de données avant d’être détruits. Les copies électroniques sont conservées pendant sept ans, puis détruites.",2023/002,2023/002,"BOC BNI 20, BOC COM 15","BDC EBB 20, BDC COM 15",,,006457,006457
BDC PPU 047,,,,BDC PPU 047,,"Ce fichier renferme des renseignements servant à administrer la vente et la distribution de reproductions photographiques d’objets numismatiques de la Collection nationale de monnaies du Musée de la Banque du Canada ainsi que l’information que doivent fournir les personnes qui demandent à la Banque l’autorisation de reproduire des images de billets de banque. Les renseignements personnels recueillis comprennent le nom, le numéro de téléphone, les adresses postales et électroniques des demandeurs, le nom de l’organisation, s’il y a lieu, et le numéro de télécopieur. Ils incluent également les numéros de compte bancaire, les signatures, les relevés des commandes antérieures et les opinions exprimées dans les sondages par des acheteurs de reproductions photographiques. De plus, les personnes qui désirent obtenir l’autorisation de reproduire des billets de banque doivent décrire la nature de la reproduction proposée et expliquer comment elle sera exposée.",,Membres du grand public.,,,,,,"La Banque du Canada est le titulaire du droit d’auteur enregistré de tous les éléments entrant dans la conception des billets de banque canadiens. La reproduction d’images de billets de banque est protégée par la législation fédérale, y compris le *Code criminel* et la *Loi sur le droit d’auteur*. Ces renseignements ont pour but d’assurer qu’une autorisation appropriée est accordée avant que des images de billets de banque ne soient reproduites, et de faciliter la vente et la distribution de reproductions photographiques par le Musée de la Banque du Canada.",,"Les dossiers servent à des fins de planification et de production de statistiques internes sur l’origine et la nature des demandes, les pièces vendues, l’intérêt manifesté à l’égard de certains objets et les clients réguliers afin de soutenir la vente et la distribution de reproductions photographiques.",,"Les dossiers papier liés aux demandes d’autorisation de reproduction de billets de banque sont conservés pendant deux ans, après quoi ils sont versés dans une base de données avant d’être détruits. Les dossiers dans la base de données sont conservés pendant cinq ans, puis détruits. Les dossiers papier relatifs à la vente de reproductions photographiques sont conservés pendant une période d’un an, après quoi ils sont transférés dans une base de données avant d’être détruits. Les copies électroniques sont conservées pendant sept ans, puis détruites.",,2023/002,,"BDC EBB 20, BDC COM 15",,,,006457
BOC PPU 046,[Funds management](https://www.bankofcanada.ca/core-functions/funds-management/),[Gestion financière](https://www.banqueducanada.ca/grandes-fonctions/gestion-financiere/),BOC PPU 046,BDC PPU 046,"This bank contains information about individuals' use of the registry services provided under section 427 of the *Bank Act,* including account information used to establish credit accounts for those individuals. Services include searches of the register and the provision of copies of notices of intention and certificates of release.",Les fichiers renferment des renseignements sur le recours par des particuliers aux services d’archives fournis en vertu de l’article 427 de la *Loi sur les banques* ainsi que l’information de nature financière ayant permis d’ouvrir les comptes des clients. Les services offerts consistent en la recherche d’information et la délivrance de copies des préavis et des certificats de dégagement.,Registry services clients including individuals who intend to give security under section 427 and individuals who seek to access information on the register.,"Clients, notamment particuliers ayant l’intention de conférer des biens en garantie de prêts en vertu de l’article 427 ou désirant avoir accès aux renseignements contenus dans le registre.",,,,,The purpose of this bank is to maintain a record of client account information. This includes requests for registry services by individual clients and financial information concerning the clients that will permit them to establish accounts for payment for registry services.,"Cette banque de données permet de conserver l’information sur les clients, notamment en ce qui concerne les demandes d’accès aux services d’archives, ainsi que des renseignements de nature financière permettant l’ouverture des comptes à partir desquels les clients acquittent les frais de consultation du registre.","The information is used to notify clients of errors made in the register, to assess and improve the delivery of registry services and to allow clients to pay for registry services by means other than cash on delivery.","L’information permet d’aviser les clients d’erreurs commises dans les registres, d’évaluer et d’améliorer la qualité des services offerts et d’autoriser les clients à payer les services relatifs au registre autrement qu’en espèces.",Records are held for seven years after account closes and then destroyed.,"Les fichiers sont conservés pendant une période de sept ans après la fermeture du compte, puis détruits.",2023/002,2023/002,BOC FM 10,BDC GF 10,,,004038,004038
BOC PPU 045,,,BOC PPU 045,BDC PPU 045,"The section 427 register consists of notices of intention (which are registered pursuant to section 427 of the *Bank Act)* and certificates of release (which pertain to the notices of intention). A notice of intention contains the name of the person, firm or company, along with their mailing address, who intends to give security under section 427. It includes the name of the Schedule I or II bank to which they intend to give the security.","Dans ce registre, établi en vertu de l’article 427 de la *Loi sur les banques*, sont consignés des préavis et des certificats de dégagement. Les préavis servent à indiquer le nom et l’adresse postale de la personne, société ou entreprise ayant l’intention de conférer, en vertu de l’article 427, un bien en garantie en contrepartie d’un prêt. Ils comportent aussi le nom de la banque, parmi celles énumérées aux annexes I et II de la *Loi*, à qui la garantie doit être conférée.",Persons who intend to give security under section 427.,Tout particulier ayant l’intention de conférer un bien en garantie d’un prêt en vertu de l’article 427 de la *Loi*.,,,,,To maintain a record of notices of intention that have been registered and registrations that have been cancelled by a certificate of release.,Tenir un fichier des préavis enregistrés et des enregistrements radiés par des certificats de dégagement.,The information is used to respond to inquiries from the general public about the existence of a notice of intention.,L’information permet de répondre aux demandes de renseignements émanant du public concernant les préavis.,Records are held for seven years from date of cancellation or expiration and then destroyed.,"Les fichiers sont conservés sept ans après la date d’annulation ou d’expiration, puis détruits.",2023/002,2023/002,BOC FM 10,BDC GF 10,,,004037,004037
BOC PPU 005,[Unclaimed properties](https://www.unclaimedproperties.bankofcanada.ca/?language=en),[Biens non réclamés](https://www.biensnonreclames.banqueducanada.ca/?language=fr),BOC PPU 005,BDC PPU 005,"This bank describes information related to the Retail Debt Program, which has been outsourced to various third-party service providers. These maintain the bond registers or provide other services that pertain to the maintenance of the various products. The registers include information on the issuance, maintenance and redemptions of bonds. Personal information may include name, contact information, date of birth, date of death, employee identification number, login information, employer name, banking information, signatures, language preference, estate information, details of complaints, registration/account type and social insurance number (SIN). This bank also includes the bond administration register for wholesale debt products, which includes market issue bonds and old style Canada Savings Bonds series 1–31. Currently, these registers maintain the debt outstanding of wholesale products. Personal information may include name, contact information, account number, banking information and SIN.","Ce fichier renferme des renseignements concernant le Programme de placement de titres sur le marché de détail, qui a été imparti à divers fournisseurs de services externes qui tiennent des registres de titres ou qui offrent d’autres services relatifs à la tenue de l’information sur divers produits. Les registres contiennent des renseignements sur l’émission des obligations, la tenue de l’information connexe et le remboursement des titres. Les renseignements personnels peuvent comprendre le nom, les coordonnées, la date de naissance, la date de décès, le numéro d’identification de l’employé, les données de connexion, le nom de l’employeur, les renseignements bancaires, les signatures, la préférence linguistique, les renseignements sur la succession, les renseignements sur les plaintes, le type de régime immatriculé, le type de compte et le numéro d’assurance sociale. Ce fichier renferme aussi le registre d’administration des obligations destinées aux investisseurs institutionnels, notamment les obligations négociables et les anciennes Obligations d’épargne du Canada des émissions 1 à 31. On consigne actuellement dans ces registres de l’information sur l’encours des titres destinés aux investisseurs institutionnels. Les renseignements personnels peuvent comprendre le nom, les coordonnées, le numéro de compte, les renseignements bancaires et le numéro d’assurance sociale.",Individuals who purchased or own a bond and their authorized legal representatives or beneficiaries/heirs.,"Personnes qui ont acheté une obligation ou qui en sont propriétaires ainsi que leurs représentants légaux autorisés, leurs bénéficiaires ou leurs héritiers.",,,,,"The purpose of this bank is to authenticate identity of bondholders and establish eligibility to purchase bonds, establish a registry, document transactions related to bondholder accounts, issue redemptions and interest payments and respond to inquiries and complaints. Personal information is collected pursuant to the *Domestic Bonds of Canada Regulations* and the *Receipt and Deposit of Public Money Regulations* issued under the authority of the *Financial Administration Act*, and section 24 of the *Bank of Canada Act*. The SIN is collected under the authority of the *Income Tax Act*.","Ce fichier sert à authentifier l’identité des porteurs d’obligations, à établir l’admissibilité à l’achat d’obligations, à établir un registre, à consigner les transactions liées aux comptes des porteurs d’obligations, à effectuer des remboursements et à verser des intérêts, ainsi qu’à répondre à des demandes de renseignements et à des plaintes. Les renseignements personnels sont recueillis conformément au *Règlement sur les obligations intérieures du Canada* et au *Règlement de 1997 sur la réception et le dépôt des fonds publics*, en vertu de la *Loi sur la gestion des finances publiques* et de l’article 24 de la *Loi sur la Banque du Canada*. Le numéro d’assurance sociale est recueilli en vertu de la *Loi de l’impôt sur le revenu*.","Some information is shared with Public Services and Procurement Canada (PSPC), which is responsible for issuing the interest payments (cheques and direct deposit) on behalf of the Bank (see institution-specific PIB: PWGSC PCU 712). Information is also shared with Canada Revenue Agency for tax remittance (see institution-specific PIB: CRA PPU 140). Information may also be used to collect a debt owing to His Majesty in right of Canada and to investigate complaints received by the customer. With the consent of the bondholders, the information may also be shared with a third party for the purpose of conducting market research, such as surveys and focus groups for retail debt products.","Certains renseignements sont communiqués à Services publics et Approvisionnement Canada, qui est chargé du versement des intérêts (par chèque ou virement automatique) pour le compte de la Banque (voir le fichier de renseignements personnels propre à l’institution : TPSGC PCU 712). Des renseignements sont également communiqués à l’Agence du revenu du Canada aux fins de paiement des impôts (voir le fichier de renseignements personnels propre à l’institution : ARC PPU 140). Des renseignements peuvent aussi être utilisés pour percevoir une somme due à Sa Majesté du chef du Canada et enquêter sur des plaintes reçues par le client. Avec le consentement des porteurs d’obligations, les renseignements peuvent aussi être transmis à un tiers en vue de la réalisation d’études de marché telles que des sondages ou des enquêtes auprès de groupes cibles en ce qui a trait aux titres au détail.","Register records including debt product applications are kept for 30 years after redemption of the product and then destroyed. Records related to coupons and war saving certificates are kept for one year after redemption and then destroyed. Retention for registered products is 30 years from the date of the last withdrawal and there is a zero dollar balance. Interest payment records are kept for 30 years after the interest is paid and then destroyed. Change request records including change of address and direct deposit and payroll contributions data are kept for two years and then destroyed. Records related to customer cases/transactions and lost bonds/lost interest cheques are kept for 30 years following the closure of the case and then destroyed. In cases where a lost cheque or lost bond is recovered after the replacement has been issued, the lost cheque or lost bond is retained for 2 years and then destroyed. Undeliverable interest payment records are held indefinitely. Unclaimed bond records are held indefinitely. CSB Online Services records are held for 1 year and then destroyed. (For retention and disposition of copies of paid cheques or tracing direct deposit, please refer to PIB: PWGSC PCU 712.)","Les dossiers d’enregistrement, y compris les demandes de titres de créance, sont conservés pendant 30 ans après le remboursement du titre, puis détruits. Les dossiers concernant les coupons et les certificats d’épargne de guerre sont conservés pendant un an après le remboursement, puis détruits. La période de conservation des données sur les produits enregistrés est de 30 ans à partir de la date à laquelle le dernier retrait a lieu et le solde est nul. Les dossiers concernant le versement d’intérêts sont conservés pendant 30 ans après que le versement a été effectué, puis détruits. Les dossiers ayant trait aux demandes de changement, notamment les demandes de changement d’adresse et celles visant les données sur le virement automatique et les retenues sur salaire, sont conservés pendant deux ans, puis détruits. Les dossiers relatifs aux documents et opérations des clients ainsi qu’aux obligations et chèques d’intérêts perdus sont conservés pendant 30 ans après la fermeture du dossier, puis détruits. Dans les cas où une obligation ou un chèque perdu est retrouvé après l’émission d’un effet de remplacement, l’obligation ou le chèque perdu est conservé pendant deux ans, puis détruit. Les dossiers concernant les versements d’intérêts non livrables sont conservés indéfiniment. Les dossiers relatifs aux obligations non réclamées sont conservés indéfiniment. Les dossiers touchant les Services en ligne OEC sont conservés pendant un an, puis détruits. (En ce qui concerne les copies des chèques versés ou la recherche de virements automatiques, veuillez vous reporter au fichier de renseignements personnels TPSGC PCU 712 pour connaître les normes de conservation et de destruction.)",2023/002,2023/002,BOC FM 65,BDC GF 65,,,004132,004132
BOC PPU 020,,,BOC PPU 020,BDC PPU 020,"This bank describes information related to unclaimed properties that are maintained by the Bank. The Bank acts as custodian on behalf of the owners after the balances have been transferred from federally regulated financial institutions and trust companies when accounts have had no activity for a period of 10 years or more. Personal information may include name, date of birth, SIN, signature cards, contact information, financial information, language preference, signatures and legal documentation to support claimant eligibility.","Ce fichier donne des renseignements sur les soldes non réclamés dont la Banque du Canada est le dépositaire au nom de leurs propriétaires. Il s’agit de soldes qui sont, en cas d’inactivité du compte pendant au moins dix ans, transférés à la Banque du Canada par des institutions financières sous réglementation fédérale ou des sociétés de fiducie. Parmi les renseignements personnels contenus dans ce fichier peuvent figurer le nom, la date de naissance, le numéro d’assurance sociale, les cartes de signature, les coordonnées, des renseignements de nature financière, la préférence linguistique, des signatures et des documents juridiques justifiant le droit de réclamation du demandeur.",General public.,Grand public.,,,,,"The information is used to respond to inquiries from individuals, companies or their authorized legal representatives about an unclaimed balance and to return the unclaimed balance to the person entitled to receive payment of it. The personal information collected is pursuant to section 438 of the *Bank Act*, section 385.03 of the *Cooperative Credit Associations Act* and section 424 of the *Trust and Loan Companies Act.","L’information est utilisée pour répondre aux demandes de renseignements de particuliers, de sociétés ou de leurs représentants légaux autorisés sur des soldes non réclamés et de façon à ce que les propriétaires légitimes des comptes reçoivent ce qui leur est dû. Les renseignements personnels sont recueillis en application de l’article 438 de la *Loi sur les banques*, de l’article 385.03 de la *Loi sur les associations coopératives de crédit* et de l’article 424 de la *Loi sur les sociétés de fiducie et de prêt*.","The Bank publishes some of this information on its website as the disclosure of this information is consistent with Bank’s purpose for obtaining it: that is, to return unclaimed funds to the person entitled to receive payment of them. The Bank will transfer to the Receiver General of Canada balances of less than $1,000 after they have remained unclaimed for 30 years and balances of more than $1,000 after they have remained unclaimed for 100 years. The Bank does not share any identifiable personal information with the Receiver General. After the milestone date when a balance is transferred to the Receiver General, the Bank considers it a prescribed balance.","La Banque publie certaines de ces données dans son site Web, cette publication étant conforme aux fins pour lesquelles la Banque a recueilli ces données, c’est-à-dire le versement des fonds non réclamés aux personnes qui sont en droit de les recevoir. La Banque transfère les soldes non réclamés au receveur général du Canada après 30 ans pour les soldes de moins de 1 000 $ et après 100 ans pour ceux de plus de 1 000 $. Les renseignements permettant d’identifier des personnes ne sont pas communiqués au receveur général. Après le transfert au receveur général, le solde est dit transféré.","All the records related to paid and prescribed balances are kept for seven years and then destroyed. The records related to inquiries deemed to be valid claims against balances (but not paid) are kept for seven years and are then destroyed. If the claims are deemed to be invalid, the inquiry records are kept for two years and then destroyed.","Tous les documents se rapportant à des soldes remboursés et transférés sont conservés pendant sept ans avant d’être détruits. Les documents se rapportant aux requêtes considérées comme des demandes légitimes de remboursement de soldes (le remboursement n’ayant toutefois pas eu lieu) sont conservés pendant sept ans avant d’être détruits. Si les demandes sont jugées illégitimes, les documents connexes sont conservés pendant deux ans avant d’être détruits.",2023/002,2023/002,BOC FM 65,BDC GF 65,,,000073,000073
BOC PPU 010,[Retail payments supervision](https://www.bankofcanada.ca/core-functions/retail-payments-supervision/),[Supervision des paiements de détail](https://www.banqueducanada.ca/grandes-fonctions/supervision-paiements-detail/),BOC PPU 010,BDC PPU 010,"This bank describes information related to the administration of the registration of Payment Service Provider applicants under the *Retail Payments Activities Act (RPAA).* Personal information may include applicant’s preferred language, full business legal name of applicant, date of birth, salutation, other initial, country of residence, other operating names different from legal name, main trade name, other trade names, contact information, civic address, dwelling house status, mailing address, billing address, telephone number, fax number, email address, active business, website address, individual roles (designated point of contact, authorized user for payment of fees, job title, language of correspondence, business email), business structure, details of business operations, information about applicant’s end-user funds safeguarding practices, description of applicant’s Risk Management Framework.","Ce fichier contient de l’information sur l’administration de l’enregistrement des fournisseurs de services de paiement qui présentent une demande au titre de la *Loi sur les activités associées aux paiements de détail* (LAAPD). Parmi les renseignements personnels traités, il peut y avoir la langue de préférence du demandeur, son nom légal complet, sa date de naissance, son titre d’appel, une autre initiale de son nom, son pays de résidence, son nom commercial principal ou ses noms commerciaux autres que le nom légal, ses coordonnées, son adresse municipale, le statut de maison d’habitation, son adresse postale, son adresse de facturation, son numéro de téléphone, son numéro de télécopieur, son adresse électronique, son statut d’activité, l’adresse de son site Web, les rôles attribués à des personnes (point de contact désigné, utilisateur autorisé pour le paiement des droits, titre de poste, langue de correspondance, adresse électronique de l’entreprise), sa structure d’entreprise, le détail de ses activités, des renseignements sur les pratiques de protection des fonds d’utilisateurs finaux du demandeur, une description du cadre de gestion des risques du demandeur.",General public; Individuals applying to be a Payment Service Provider and Representatives of applicants of Payment Service Providers.,"Grand public, personnes physiques présentant une demande d’enregistrement à titre de fournisseurs de services de paiement et représentants des demandeurs pour les fournisseurs de services de paiement.",,,,,"The purpose of this bank is to administer RPAA Registration including account creation within the Registration application, registration of applicants and individuals and sharing with prescribed entities, responses to information requests sent to entities, payment processing and the publication and maintenance of a public registry for Payment Service Provider decisions. The Bank collects this personal information as part of fulfilling its statutory responsibility to oversee and manage the PSP registration process pursuant to the RPAA and its regulations.","Ce fichier sert à l’administration de l’enregistrement dans le cadre de la LAAPD, y compris la création de comptes à même la demande d’enregistrement, l’enregistrement de demandeurs et de personnes physiques, la transmission des renseignements d’enregistrement aux entités prévues par règlement, les réponses aux demandes de renseignements envoyées aux entités, le traitement des paiements ainsi que la publication et la tenue d’un registre public des décisions concernant les fournisseurs de services de paiement. La Banque recueille ces renseignements personnels pour remplir son mandat légal de surveiller et gérer le processus d’enregistrement des fournisseurs de services de paiement conformément à la LAAPD et à son règlement.","The Bank is required to disclose the entirety of the content of the PSP application to the Department of Finance. Similarly, the Bank is required to provide a subset of that information to FINTRAC under section 29 of the RPAA. The Bank is also required by the Act to publicly disclose prescribed information about applicants, including refused and revoked entities, in a Registry. The information in this bank may be used for planning purposes and for in-house statistical purposes related to the volume and nature of operational programs and services.","La Banque est tenue de communiquer au ministère des Finances l’intégralité du contenu de la demande d’un fournisseur de services de paiement. De même, elle est tenue de fournir une partie de ces renseignements à CANAFE en vertu de l’article 29 de la LAAPD. Enfin, la LAAPD oblige la Banque à publier dans un registre certains renseignements prévus par règlement concernant les demandeurs, notamment la liste des entités dont l’enregistrement a été refusé ou révoqué. Les renseignements contenus dans ce fichier peuvent servir à des fins de planification et de production de statistiques internes concernant le nombre et la nature des programmes et des services opérationnels.",Records are kept for 10 years after account has closed then destroyed.,"Tous les renseignements sont conservés pendant dix ans, puis détruits.",2023/002,2023/002,BOC RPS 05,BDC SPD 05,,,20240030,20240030
