record_number,name_en,name_fr,document_types_en,document_types_fr
ATSSC 001,Canada Agricultural Review Tribunal Class of Records,Catégorie de documents de la Commission de révision agricole du Canada,"agendas, agreements, briefing materials, contracts, correspondence, decisions, notices of violation, draft policies, memoranda, minutes of meetings, presentations, and reports.","ordres du jour, accords, documents d’information, contrats, correspondance, décisions, avis de violation, ébauches de politique, notes de service, comptes rendus de réunions, présentations et rapports."
ATSSC 002,Canada Industrial Relations Board Class of Records,Catégorie de documents du Conseil canadien des relations industrielles,"agendas, agreements, briefing materials, contracts, correspondence, decisions, draft policies, memoranda, minutes of meetings, presentations, and reports.","ordres du jour, accords, documents d’information, contrats, correspondance, décisions, ébauches de politique, notes de service, comptes rendus de réunions, présentations et rapports."
ATSSC 003,Canadian Cultural Property Export Review Board Class of Records,Catégorie de documents de la Commission canadienne d’examen des exportations de biens culturels,"agendas, agreements, briefing materials, contracts, correspondence, decisions, draft policies, memoranda, minutes of meetings, presentations, and reports.","ordres du jour, accords, documents d’information, contrats, correspondance, décisions, ébauches de politique, notes de service, comptes rendus de réunions, présentations et rapports."
ATSSC 004,Canadian Human Rights Tribunal Class of Records,Catégorie de documents du Tribunal canadien des droits de la personne,"agendas, agreements, applications, briefing materials, complaints, contracts, correspondence, decisions, draft policies, memoranda, minutes of meetings, presentations, and reports.","ordres du jour, accords, demandes, documents d’information, plaintes, contrats, correspondance, décisions, ébauches de politique, notes de service, comptes rendus de réunions, présentations et rapports."
ATSSC 005,Canadian International Trade Tribunal Class of Records,Catégorie de documents du Tribunal canadien du commerce extérieur,"agendas, agreements, applications, briefing materials, complaints, contracts, correspondence, decisions, draft policies, memoranda, minutes of meetings, presentations, reports and subpoenas.","ordres du jour, accords, demandes, documents d’information, plaintes, contrats, correspondance, décisions, ébauches de politique, notes de service, comptes rendus de réunions, présentations, rapports et assignations à comparaître."
ATSSC 006,Competition Tribunal Class of Records,Catégorie de documents du Tribunal de la concurrence,"agendas, agreements, briefing materials, complaints, contracts, correspondence, decisions, draft policies, memoranda, minutes of meetings, presentations, and reports.","ordres du jour, accords, documents d’information, plaintes, contrats, correspondance, décisions, ébauches de politique, notes de service, comptes rendus de réunions, présentations et rapports."
ATSSC 007,Environmental Protection Tribunal of Canada Class of Records,Catégorie de documents du Tribunal de la protection de l’environnement du Canada,"agendas, agreements, briefing materials, complaints, contracts, correspondence, decisions, draft policies, memoranda, minutes of meetings, presentations, and reports.","ordres du jour, accords, documents d’information, plaintes, contrats, correspondance, décisions, ébauches de politique, notes de service, comptes rendus de réunions, présentations et rapports."
ATSSC 008,Federal Public Service Labour Relations and Employment Board Class of Records,Catégorie de documents de la Commission des relations de travail et de l’emploi dans le secteur public fédéral,"agendas, agreements, briefing materials, complaints, contracts, correspondence, decisions, draft policies, memoranda, minutes of meetings, presentations, and reports.","ordres du jour, accords, documents d’information, plaintes, contrats, correspondance, décisions, ébauches de politique, notes de service, comptes rendus de réunions, présentations et rapports."
ATSSC 009,Public Servants Disclosure Protection Tribunal Canada Class of Records,Catégorie de documents du Tribunal de la protection des fonctionnaires divulgateurs Canada,"agendas, agreements, briefing materials, complaints, contracts, correspondence, decisions, draft policies, memoranda, minutes of meetings, presentations, reports, and transcripts.","ordres du jour, accords, documents d’information, plaintes, contrats, correspondance, décisions, ébauches de politique, notes de service, comptes rendus de réunions, présentations, rapports et transcriptions."
ATSSC 010,Social Security Tribunal of Canada Class of Records,Catégorie de documents du Tribunal de la sécurité sociale du Canada,"agendas, agreements, briefing materials, complaints, contracts, correspondence, decisions, draft policies, memoranda, minutes of meetings, presentations, reports, and transcripts.","ordres du jour, accords, documents d’information, plaintes, contrats, correspondance, décisions, ébauches de politique, notes de service, comptes rendus de réunions, présentations, rapports et transcriptions."
ATSSC 011,Specific Claims Tribunal Class of Records,Catégorie de documents du Tribunal des revendications particulières,"agendas, agreements, briefing materials, complaints, contracts, correspondence, decisions, draft policies, memoranda, minutes of meetings, presentations, reports, and transcripts.","ordres du jour, accords, documents d’information, plaintes, contrats, correspondance, décisions, ébauches de politique, notes de service, comptes rendus de réunions, présentations, rapports et transcriptions."
ATSSC 012,Transportation Appeal Tribunal of Canada Class of Records,Catégorie de documents du Tribunal d’appel des transports du Canada,"agendas, agreements, briefing materials, complaints, contracts, correspondence, decisions, draft policies, memoranda, minutes of meetings, presentations, reports, and transcripts.","ordres du jour, accords, documents d’information, plaintes, contrats, correspondance, décisions, ébauches de politique, notes de service, comptes rendus de réunions, présentations, rapports et transcriptions."
