record_number,name_en,name_fr,document_types_en,document_types_fr
ACOA 105,Class of Records for Inclusive Communities Grants and Contributions,Catégorie des documents relatifs aux subventions et contributions à l’appui des collectivités inclusives,"applications, audit reports, briefing notes, business plans, client monitoring reports, contracts, contribution agreements, correspondence, credit check reports, evaluation reports, financial records, funding guidelines, letters of intent, local purchase orders, manuals, marketing plans, memorandums of understanding, minutes, monitoring reports, news clippings, policy documents, project assessment forms, proposals, publications, question period notes, recommendations, repayment schedules, reports, request for proposals results reports, requests for proposals, research studies and statements of work.","demandes, rapports de vérification, notes d’information, plans d’affaires, rapports de suivi de clients, contrats, rapports de vérification de crédit, correspondance, rapports d’évaluation, documents financiers, directives sur le financement, lettres d’intention, ententes de contribution, commandes d’achat local, manuels, plans de marketing, protocoles d’entente, procès-verbaux, rapports de suivi, coupures de presse, documents de politiques, formulaires d’évaluation de projets, propositions, publications, notes pour la période de questions, recommandations, calendriers de remboursement, rapports, demandes de propositions, rapports sur les résultats de demandes de propositions, études et énoncés des travaux."
ACOA 104,Class of Records for Diversified Communities,Catégorie des documents relatifs aux collectivités diversifiées,"agendas, analyses, applications, audit and evaluation documentation, audit reports, briefing notes, business cases, business plans, client monitoring reports, communications materials, consultation reports, contribution agreements, correspondence, correspondence with other government departments, directives, evaluation criteria, evaluation reports, feasibility studies, financial records, funding guidelines, guidelines, initiative updates, inquiries, legal opinions, manuals, memorandums, news clippings, presentations, proposals, question period notes, records of decisions, reports to Parliament, statements of work, statistical reports and surveys.","ordres du jour, analyses, demandes, documentation d’audit et d’évaluation, rapports de vérification, notes d’information, études de cas, plans d’affaires, rapports de suivi de clients, documents de communication, rapports de consultation, correspondance, correspondance avec d’autres ministères, directives, critères d’évaluation, rapports d’évaluation, études de faisabilité, dossiers financiers, directives sur le financement, lignes directrices, mises à jour d’initiatives, demandes de renseignements, avis juridiques, ententes de contribution, manuels, notes de service, coupures de presse, présentations, propositions, notes pour la période de questions, comptes rendus de décisions, rapports au Parlement, rapports statistiques, énoncés des travaux et enquêtes."
ACOA 101,Class of Records for Research and Development and Commercialization,Catégorie des documents relatifs à la recherche-développement et à la commercialisation,"acts of Parliament, agendas, analyses, applications, audit and evaluation documentation, audit reports, briefing books, briefing notes, business plans, client monitoring reports, communications materials, consultation reports, contracts, contribution agreements, correspondence, correspondence with other government departments, credit check reports, delegation/designation of authorities, delegation reports, delivery mechanisms, directives, environmental impact assessments, evaluation criteria, evaluation reports, feasibility studies, financial records, funding guidelines, guidelines, implementation timelines, initiative updates, inquiries, legal opinions, letters of agreement, letters of intent, manuals, marketing plans, memorandums, memorandums of understanding, minutes, monitoring reports, news clippings, operating plans, photographs, plans and priorities documentation, policy documents, policy studies, presentations, procedures, project assessment forms, project plans, proposals, publications, question period notes, recommendations, records of decisions, recovery documents and procedures, regulations, repayment schedules, reports, reports to Parliament, request for proposals results reports, research studies, service level agreements, speeches, statements of work, statistical reports, studies and work plans.","lois du Parlement, ordres du jour, analyses, demandes, documentation d’audit et d’évaluation, rapports de vérification, cahiers d’information, notes d’information, plans d’affaires, rapports de suivi de clients, documents de communication, rapports de consultation, contrats, rapports d’organismes centraux, correspondance, correspondance avec d’autres ministères, rapports de vérification de crédit, délégation/désignation de pouvoirs, rapports de délégation, mécanismes de mise en œuvre, lignes directrices, évaluations des impacts environnementaux, critères d’évaluation, rapports d’évaluation, études de faisabilité, documents financiers, directives sur le financement, directives, calendriers de mise en œuvre, mises à jour d’initiatives, demandes de renseignements, itinéraires, avis juridiques, lettres d’entente, lettres d’intention, ententes de contribution, manuels, plans de marketing, notes de service, protocoles d’entente, procès-verbaux, rapports de suivi, coupures de presse, plans d’exploitation, documents sur les plans et les priorités, photos, études de politiques, documents de politiques, présentations, procédures, plans de projet, formulaires d’évaluation de projets, propositions, publications, notes pour la période de questions, recommandations, comptes rendus de décisions, règlements, rapports, rapports au Parlement, rapports sur les résultats de demandes de propositions, études, ententes sur les niveaux de service, allocutions, rapports statistiques, énoncés des travaux, travaux de recherche et plans de travail."
ACOA 102,Class of Records for Business Growth Grants and Contributions,Catégorie des documents relatifs aux subventions et contributions à l’appui de la croissance des entreprises,"applications, audit reports, briefing notes, business plans, client monitoring reports, contracts, contribution agreements, correspondence, credit check reports, evaluation reports, financial records, funding guidelines, letters of intent, local purchase orders, manuals, marketing plans, memorandums of understanding, minutes, monitoring reports, news clippings, policy documents, project assessment forms, proposals, publications, question period notes, recommendations, repayment schedules, reports, request for proposals results reports, research studies and statements of work.","demandes, rapports de vérification, notes d’information, plans d’affaires, rapports de suivi de clients, contrats, rapports de vérification de crédit, correspondance, rapports d’évaluation, documents financiers, directives sur le financement, lettres d’intention, ententes de contribution, commandes d’achat local, manuels, plans de marketing, protocoles d’entente, procès-verbaux, rapports de suivi, coupures de presse, documents de politiques, formulaires d’évaluation de projets, propositions, publications, notes pour la période de questions, recommandations, calendriers de remboursement, rapports, demandes de propositions, rapports sur les résultats de demandes de propositions, études et énoncés des travaux."
ACOA 103,Class of Records for Trade and Investment,Catégorie des documents relatifs au commerce et à l’investissement,"agendas, analyses, applications, audit and evaluation documentation, audit reports, briefing books, briefing notes, business plans, central agency reports, client monitoring reports, communications materials, consultation reports, contracts, contribution agreements, correspondence, correspondence with other government departments, delegation/designation of authorities, delegation reports, delivery mechanisms, directives, documentation, environmental impact assessments, evaluation criteria, evaluation reports, feasibility studies, financial records, funding guidelines, guidelines, implementation timelines, initiative updates, inquiries, itineraries, legal opinions, letters of agreement, letters of intent, local purchase orders, manuals, marketing plans, memorandums, memorandums of understanding, minutes, monitoring reports, news clippings, operating plans, photographs, plans and priorities, policy documents, policy studies, presentations, procedures, project assessment forms, project plans, proposals, publications, recommendations, records of decisions, regulations, reports, reports to Parliament, request for proposals results reports, research studies, service level agreements, speeches, statements of work, statistical reports, studies and work plans.","ordres du jour, analyses, demandes, documentation d’audit et d’évaluation, rapports de vérification, cahiers d’information, notes d’information, plans d’affaires, rapports de suivi de clients, documents de communication, rapports de consultation, contrats, rapports d’organismes centraux, correspondance, correspondance avec d’autres ministères, délégation/désignation de pouvoirs, rapports de délégation, mécanismes de mise en œuvre, lignes directrices, évaluation des impacts environnementaux, critères d’évaluation, rapports d’évaluation, études de faisabilité, documents financiers, directives sur le financement, directives, calendriers de mise en œuvre, mises à jour d’initiatives, demandes de renseignements, itinéraires, avis juridiques, lettres d’entente, lettres d’intention, ententes de contribution, manuels, plans de marketing, notes de service, protocoles d’entente, procès-verbaux, rapports de suivi, coupures de presse, plans d’exploitation, documents sur les plans et les priorités, photos, études de politiques, documents de politiques, présentations, procédures, plans de projet, formulaires d’évaluation de projets, propositions, publications, notes pour la période de questions, recommandations, comptes rendus de décisions, règlements, rapports, rapports au Parlement, rapports sur les résultats de demandes de propositions, études, ententes sur les niveaux de service, allocutions, rapports statistiques, énoncés des travaux, travaux de recherche et plans de travail."
ACOA 106,Class of Records for the Canada-France Joint Commission on Regional Co-operation,Catégorie des documents relatifs aux subventions et contributions à l’appui de la recherche stratégique et de la mobilisation,"Agendas, analyses, briefing books, briefing notes, communications materials, consultation reports, contracts, correspondence, correspondence with other government departments, delegation/designation of authorities, delegation reports, implementation timelines, initiative updates, inquiries, letters of intent, local purchase orders, marketing plans, memorandums, memorandums of understanding, minutes, monitoring reports, news clippings, photographs, presentations, project plans, proposals, publications, recommendations, records of decisions, reports, research studies, speeches, statistical reports, studies and work plans.","demandes, rapports de vérification, notes d’information, plans d’affaires, rapports de suivi de clients, contrats, rapports de vérification de crédit, correspondance, rapports d’évaluation, documents financiers, directives sur le financement, lettres d’intention, ententes de contribution, commandes d’achat local, manuels, plans de marketing, protocoles d’entente, procès-verbaux, rapports de suivi, coupures de presse, documents de politiques, formulaires d’évaluation de projets, propositions, publications, notes pour la période de questions, recommandations, calendriers de remboursement, rapports, demandes de propositions, rapports sur les résultats de demandes de propositions, études et énoncés des travaux."
ACOA 107,Class of Record for Advocacy,Catégorie des documents relatifs à la défense des intérêts,"acts of Parliament, analyses, briefing books, briefing notes, business plans, central agency reports, communications materials, contracts, contribution agreements, correspondence, correspondence with other government departments, directives, evaluation criteria, evaluation reports, financial records, guidelines, inquiries, legal opinions, marketing plans, memorandums, memorandums of understanding, news clippings, policy documents, policy studies, presentations, project plans, project summary forms, proposals, question period notes, recommendations, records of decisions, regulations, reports, reports to Parliament, requests for proposals, research studies, statements of work, studies and work plans.","lois du Parlement, analyses, cahiers d’information, notes d’information, plans d’affaires, rapports des organismes centraux, documents de communication, contrats, correspondance, correspondance avec d’autres ministères, lignes directrices, critères d’évaluation, rapports d’évaluation, documents financiers, directives, demandes de renseignements, avis juridiques, ententes de contribution, plans de marketing, notes de service, protocoles d’entente, coupures de presse, études de politiques, documents de politiques, présentations, plans de projet, sommaires de projet, propositions, notes pour la période de questions, recommandations, comptes rendus de décisions, règlements, rapports, rapports au Parlement, demandes de propositions, études, énoncés des travaux, travaux de recherche et plans de travail."
ACOA 108,Class of Record for Coordination,Catégorie des documents relatifs à la coordination,"analyses, briefing notes, correspondence, correspondence with other government departments, memorandums, memorandums of understanding, minutes, news clippings, plans and priorities documentation, presentations, publications, records of decisions, reports, research studies, speeches and studies.","analyses, notes d’information, correspondance, correspondance avec d’autres ministères, notes de service, protocoles d’entente, procès-verbaux, coupures de presse, documents sur les plans et les priorités, présentations, publications, comptes rendus de décisions, rapports, études, allocutions et travaux de recherche."
ECBC 2056,Class of Records for Regional Service Delivery by ECBC,Catégorie des documents relatifs à la prestation des services régionaux de la SECB,"agendas, analyses, applications, audit and evaluation documentation, briefing notes, business plans, client monitoring reports, communications materials, consultation reports, correspondence, correspondence with other government departments, directives, evaluation criteria, feasibility studies, financial records, funding guidelines, guidelines, initiative updates, inquiries, legal opinions, letters of offer, manuals, memorandums, news clippings, presentations, proposals, question period notes, records of decision, reports to Parliament, statements of work and statistical reports.","ordres du jour, analyses, demandes, documentation d’audit et d’évaluation, notes d’information, plans d’affaires, rapports de suivi de clients, documents de communication, rapports de consultation, correspondance, correspondance avec d’autres ministères, lignes directrices, demandes de renseignements, critères d’évaluation, études de faisabilité, documents financiers, directives sur le financement, directives, mises à jour d’initiatives, avis juridiques, lettres d’offre, manuels, notes de service, coupures de presse, présentations, propositions, notes pour la période de questions, comptes rendus de décisions, rapports au Parlement, rapports statistiques et énoncés des travaux."
ECBC 5000,Class of Record for Commercial Development by ECBC,Catégorie des documents relatifs à l’activité Développement commercial de la SECB,"applications, audit reports, briefing notes, business plans, client monitoring reports, contracts, correspondence, credit check reports, evaluation reports, financial records, funding guidelines, legal opinions, letters of intent, letters of offer, local purchase orders, manuals, marketing plans, memorandums of understanding, minutes, monitoring reports, news clippings, policy documents, project summary forms, proposals, publications, question period notes, recommendations, repayment schedules, reports, request for proposals results reports, requests for proposals, research studies and statements of work.","demandes, rapports de vérification, notes d’information, plans d’affaires, rapports de suivi de clients, contrats, rapports de vérification de crédit, correspondance, rapports d’évaluation, documents financiers, directives sur le financement, avis juridiques, lettres d’intention, lettres d’offre, commandes d’achat local, manuels, plans de marketing, protocoles d’entente, procès-verbaux, rapports de suivi, coupures de presse, documents de politiques, sommaires de projet, propositions, publications, notes pour la période de questions, recommandations, calendriers de remboursement, rapports, demandes de propositions, rapports sur les résultats de demandes de propositions, études et énoncés des travaux."
