record_number,name_en,name_fr,document_types_en,document_types_fr
CBSA ENF 137,CBSA Programs/Operations Systems Development – Class of Records,Élaboration des systèmes (Directions générales des programmes et des opérations) - Catégorie de documents,"System descriptions and test packages, evaluation reports, briefing notes, Treasury Board submissions, Memoranda of Understanding, Information Sharing Agreements, forms, instructions manuals and training materials, Privacy Impact Assessments, Threat Risk Assessments","Les descriptions de systèmes et les trousses de test, les rapports d'évaluation, les notes d'information, les présentations au Conseil du Trésor, les protocoles d'entente, les ententes sur l'échange de renseignements, les formulaires, les manuels d'instruction et le matériel de formation, les évaluations de la menace et des risques (EMR), les évaluations des facteurs relatifs à la vie privée (EFVP)."
CBSA ENF 122,"Chemical, Biological, Radiological, and Nuclear Detection (CBRN) Project – Class of Records","Projet sur la détection de produits chimiques, biologiques, radiologiques et nucléaires – Catégorie de documents","Radiological Notification and Response Framework, Notification Protocols, Briefing Notes, Memoranda to Cabinet, Treasury Board submissions.","La notification radiologique et le cadre d'intervention, les protocoles de notification, les notes documentaires, les mémoires au Cabinet, les présentations au Conseil du Trésor."
CBSA ENF 1401,Intelligence Program – Class of Records,Programme du renseignement – Catégorie de documents,"Policies, procedures, Operational Bulletins, National Directives, Alerts, Bulletins, Reports, Threat Assessments, charts, case files, Lookouts, operational and tactical intelligence analyses, screening aids, training strategies and course material, briefing material, question period cards, manuals, Memoranda of Understanding (MOU), Letters of Intent (LOI) and Written Collaborative Agreements (WCA).","Politiques, procédures, bulletins opérationnels, directives nationales, alertes, bulletins, rapports, évaluations de la menace, tableaux, dossiers d'un cas, avis de surveillance, analyses du renseignement opérationnel et tactique, outils de filtrage, stratégies pour la formation et matériel de cours, documents d'information, fiches pour la période de questions, guides, protocoles d'entente (PE), lettres d'intention et ententes de collaboration écrites (ECE)."
CBSA ENF 108,Federal Tobacco Control Strategy (FTCS) – Class of Records,Stratégie fédérale de lutte contre le tabagisme (SFLT) – Catégorie de documents,"Reports to Health Canada; Briefing Notes; Treasury Board Submission; Assessments and monitoring tools; Data on source of contraband tobacco, routing, mode of transport, modus operandi, concealment methods and high risk commercial entities as well as on individuals and groups involved in tobacco smuggling; Monthly and/or quarterly reports that provide a national overview of the contraband tobacco market; Annual assessment of the nature and extent of contraband tobacco activity at the borders, domestically and internationally.","Rapports à Santé Canada, notes d'information, présentations au Conseil du trésor, outils d'évaluation et de surveillance, données sur la source des produits de tabac de contrebande, l'itinéraire, le mode de transport, la procédure, les méthodes de dissimulation et les entités commerciales présentant un risque élevé, ainsi que sur les individus et les groupes impliqués dans la contrebande de produits du tabac, rapports mensuels ou trimestriels qui fournissent un aperçu national du marché des produits du tabac de contrebande, évaluation annuelle de la nature et de l'étendue de l'activité liée aux produits du tabac de contrebande aux frontières, sur le plan national et international."
CBSA ENF 117,Partners in Protection (PIP) Program – Class of Records,Programme de Partenaires en protection (PEP) – Catégorie de documents,,"Formulaire d'inscription, protocole d'entente, rapports de validation des lieux, rapports sur le risque, base de données pilote de PEP."
CBSA ENF 118,Precursor Chemical Diversion Program – Class of Records,Programme relatif au détournement des précurseurs chimiques – Catégorie de documents,"Treasury Board Submission, Intelligence Reports, Alerts and Bulletins","Les présentations au Conseil du Trésor, les rapports du renseignement, les alertes et les bulletins."
CBSA ENF 115,National Integrated Interagency Information Program (N-III) – Class of Records,Programme national intégré d'information interorganismes (N-III) – Catégorie de documents,"Briefing Materials, Privacy Impact Assessment Addendum, Memorandum of Understanding.","La documentation d'information, les addendas aux évaluations des facteurs relatifs à la vie privée et les protocoles d'entente."
CBSA ENF 111,Integrated Threat Assessment Centre (ITAC) Initiative – Class of Records,Initiative sur le Centre intégré d'évaluation des menaces (CIEM) – Catégorie de documents,Trends and analysis related documents.,Documents portant sur les tendances et les analyses.
CBSA ADM 138,Canadian Goods Abroad Program (CGAP) – Class of Records,Programme sur les marchandises canadiennes à l'étranger (PNCE) – Catégorie de documents,Memos and Customs Commercial System (CCS) generated documents.,Les mémorandums et les codes d'autorisation spéciale qui ont été créés dans le Système des douanes pour le secteur commercial (SDSC).
CBSA ENF 109,Harmonized Risk Scoring and Advance Trade Data (HRS-ATD) – Class of Records,Cotation harmonisée des risques et Données commerciales préalables (CHR-DCP) – Catégorie de documents,"Trade Chain Partner (TCP) documentation, Tactical Information Targeting Analysis and Notification System (TITAN), system description and test packages.","La documentation sur les partenaires de la chaîne commerciale (PCC), une description du système TITAN et une liste des essais."
