record_number,name_en,name_fr,document_types_en,document_types_fr
CRA ABSB 646,Benefit Programs – Canada Child Benefit and Related Benefits,Programmes de prestations - Allocation canadienne pour enfants et prestations connexes,"Policy and program implementation reports, forms (CTB9, Canada Child Benefit Statement of Income, RC62, Universal Child Care Benefit statement, RC65, Marital Status Change, RC66, Canada Child Benefits Application, RC66SCH, Status in Canada / Statement of Income), reconciliation, notices of determination and financial reports, written collaboration agreements, procedures and requirement documents, data requirement and collection, monitoring criteria, budgets and training material development reports, systems requirements, system user guides, system user applications, development and maintenance of various informatics systems, statistics on intake and production, project documentation; data quality assurance processes, computer programs, statistics, datasets, communication activity reports, and correspondence (email, letters) with tax services offices, tax centres, headquarters, registered agencies, individual taxpayers and authorized representatives.","rapports de mise en œuvre de politiques et de programmes; formulaires (CTB9 Allocation canadienne pour enfants – État des revenus, RC62 État de la prestation universelle pour la garde d’enfants, RC65 Changement d’état civil, RC66 Demande de prestations canadiennes pour enfants, RC66SCH Statut au Canada et état des revenus), rapprochement, avis de détermination et rapports financiers, ententes de collaboration écrites, procédures et documents sur les exigences, exigence en matière de données et collecte de données, critères de surveillance, budgets et rapports sur l’élaboration de matériel de formation, exigences liées aux systèmes, guides d’utilisateur des systèmes, applications pour les utilisateurs des systèmes; élaboration et maintenance de divers systèmes informatiques, statistiques sur les arrivages et la production, rapports sur les activités de communication, documentation de projets, processus d'assurance de la qualité des données, programmes informatiques, statistiques, ensembles de données, et correspondance (courriels, lettres) avec les bureaux des services fiscaux, les centres fiscaux, l’administration centrale, les organismes enregistrés, les contribuables et les représentants autorisés."
CRA ABSB 645,Benefit Programs – Canada Dental Benefit,Programmes de prestations – Prestation dentaire canadienne,,"Rapports sur la mise en œuvre des politiques et des programmes, demandes, documents de rapprochement, avis de nouvelle détermination, rapports financiers, ententes de collaboration écrites, procédures et documents sur les exigences, documents sur la collecte de données et sur les exigences en matière de données, critères de surveillance, budgets et rapports sur l’élaboration du matériel de formation, exigences relatives aux systèmes, guides de l’utilisateur de systèmes, applications des utilisateurs de systèmes, documents sur le développement et la maintenance de divers systèmes informatiques, statistiques sur l’arrivage et la production, documentation sur les projets, processus d’assurance de la qualité des données, manuels, programmes informatiques, statistiques, ensembles de données, rapports sur les activités de communication et correspondance (courriels, lettres) avec les bureaux des services fiscaux, les centres fiscaux, l’administration centrale, les contribuables et les représentants autorisés."
CRA ABSB 649,"Benefit Programs – Canada Emergency Response Benefit (CERB), Canada Emergency Student Benefit (CESB), Canada Recovery Benefit (CRB), Canada Recovery Sickness Benefit (CRSB) and Canada Recovery Caregiving Benefit (CRCB)","Programmes de prestations – Prestation canadienne d’urgence (PCU), Prestation canadienne d’urgence pour les étudiants (PCUE), Prestation canadienne de la relance économique (PCRE), Prestation canadienne de maladie pour la relance économique (PCMRE) ou Prestation canadienne de la relance économique pour proches aidants (PCREPA)","Policy and programs implementation reports, reconciliation and financial reports, written collaboration agreements, procedures and requirement documents, data requirement and collection, monitoring criteria, budgets and training material development reports, systems requirements, system user guides, system user applications, development and maintenance of various informatics systems, statistics on intake and production, project documentation, data quality assurance processes, computer programs, datasets, communication activity reports, correspondence (emails, letters) with headquarters, tax services offices, tax centres, and individual taxpayers and registered agencies.","Rapports sur la mise en œuvre de politiques et de programmes, rapports financiers et de rapprochement, ententes de collaboration écrites, procédures et documents sur les exigences, documents sur le besoin et la collecte de données, critères de surveillance, budgets et rapports sur l’élaboration du matériel de formation, exigences relatives aux systèmes, guides de l’utilisateur des systèmes, demandes des utilisateurs des systèmes, documents sur le développement et la maintenance de divers systèmes informatiques, statistiques sur l’arrivage et la production, documentation sur les projets, processus d’assurance de la qualité des données, programmes informatiques, ensembles de données, rapports sur les activités de communication, correspondance (courriels, lettres) avec l’administration centrale, les bureaux des services fiscaux, les centres fiscaux, les contribuables et les organismes inscrits."
CRA ABSB 625,Benefit Programs – Children's Special Allowances (CSA) Program,Programmes de prestations - Programme des allocations spéciales pour enfants,"Policy and programs implementation reports, form RC64 Children's Special Allowances, reconciliation and financial reports, written collaboration agreements, procedures and requirement documents, data requirement and collection, monitoring criteria, budgets and training material development reports, systems requirements, system user guides, system user applications, development and maintenance of various informatics systems, statistics on intake and production, project documentation, data quality assurance processes, computer programs, datasets, communication activity reports, correspondence (emails, letters) with headquarters, tax services offices, tax centres, and individual taxpayers and registered agencies.","Rapports de mise en œuvre des politiques et des programmes, formulaire RC64, Allocations spéciales pour enfants, états de rapprochement et financiers, ententes de collaboration écrites, procédures et documents des exigences, exigences relatives aux données et collecte de données, critères de surveillance, budgets et rapports de mise au point de matériels didactiques, exigences des systèmes, guides de l’utilisateur du système, applications utilisateur du système, élaboration et maintenance de divers systèmes informatiques, statistiques sur l’arrivage et la production, rapports des activités de communication, documentation de projets, processus d'assurance de la qualité des données, programmes informatiques, statistiques et ensembles de données, correspondance (courriels, lettres) avec l’Administration centrale, les bureaux des services fiscaux, les centres fiscaux, et les contribuables particuliers et les organismes enregistrés."
CRA ABSB 647,Benefit Programs – Disability Tax Credit (DTC) Program,Programme de prestations - Programme relatif au crédit d'impôt pour personnes handicapées (CIPH),"Policy and programs implementation reports; forms (T2020, and T2201 Disability Tax Credit Certificate), budgets and training material development reports, systems requirements, policies, procedures, work programs, communications activities, statistics on intake and production, project documentation, data quality assurance processes, computer programs, statistics, datasets and correspondence (emails, letters) with tax services offices, tax centres, individual taxpayers, medical practitioners and authorized representatives.",
CRA ABSB 648,Benefits Programs – Goods and Services Tax/Harmonized Sales Tax (GST/HST) Credit and other related Provincial and Territorial Benefit and Credit Programs,Programmes de prestations - Crédit pour taxe sur les produits et services/taxe de vente harmonisée (TPS/TVH) et autres programmes de crédit et de prestation provinciaux et territoriaux connexes,"Policy and program implementation reports, forms (RC151 GST/HST Credit Application for Individuals Who Become Residents of Canada, RC66 Canada Child Benefits Application), procedures, work programs, requirement documents, budgets training material development reports, systems requirements, system user guides, system user applications, development and maintenance of various informatics systems, statistics on intake and production, communication activity reports, project documentation, data quality assurance processes, computer programs, statistics, datasets and correspondence with headquarters, tax services offices, tax centres, individual taxpayers and authorized representatives.","Rapport de mise en œuvre de politiques et de programmes, formulaires (RC151 Demande du crédit pour la TPS/TVH pour les particuliers qui deviennent résidents du Canada, RC66 Demande d’Allocation canadienne pour enfants), procédures, programmes de travail, documents d’exigences, rapports d'élaboration de budgets de documents de formation, exigences des systèmes, guides d’utilisateur des systèmes, applications d’utilisateur des systèmes, élaboration et entretien de systèmes informatiques variés, statistiques sur les arrivages et la production, rapports d'activités de communication, documentation de projets, processus d'assurance de la qualité des données, programmes informatiques, statistiques et ensembles de données, et de la correspondance avec l’administration centrale, les bureaux des services fiscaux, les centres fiscaux, les contribuables et les représentants autorisés."
CRA ABSB 626,Benefit Programs – One-time top-up to the Canada Housing Benefit,Programme de prestations – Supplément unique à l’Allocation canadienne pour le logement,"Policy and program implementation reports, application, reconciliation, notices of redetermination and financial reports, written collaboration agreements, procedures and requirement documents, data requirement and collection, monitoring criteria, budgets and training material development reports, systems requirements, system user guides, system user applications, development and maintenance of various informatics systems, statistics on intake and production, project documentation; data quality assurance processes, manuals, computer programs, statistics, datasets, communication activity reports, and correspondence (email, letters) with tax services offices, tax centres, headquarters, individual taxpayers and authorized representatives.","Rapports sur la mise en œuvre des politiques et des programmes, applications, documents de rapprochement, avis de nouvelle détermination et rapports financiers, ententes de collaboration écrites, procédures et documents sur les exigences, documents sur la collecte de données et sur les exigences en matière de données, critères de surveillance, budgets et rapports sur l’élaboration du matériel de formation, exigences relatives aux systèmes, guides de l’utilisateur des systèmes, applications des utilisateurs des systèmes, documents sur le développement et la maintenance de divers systèmes informatiques, statistiques sur l’arrivage et la production, documentation sur les projets, processus d’assurance de la qualité des données, manuels, programmes informatiques, statistiques, ensembles de données, rapports sur les activités de communication, et la correspondance (courriels, lettres) avec les bureaux des services fiscaux, les centres fiscaux, l’administration centrale, les contribuables et les représentants autorisés."
CRA ABSB 346,Benefit Programs – Working Income Tax Benefit Program,Programmes de prestations - Programme de la prestation fiscale pour le revenu de travail,"Policy and program implementation reports, forms (RC201 Working Income Tax Benefit Advance Payments Application, RC210 Working Income Tax Benefit advance payments statement), procedures and requirement documents, data requirement and collection, monitoring criteria, budgets and training material development reports, systems requirements, system user guides, system user applications, development and maintenance of various informatics systems, statistics on intake and production, communication activity reports, project documentation; data quality assurance processes, computer programs, statistics, datasets and correspondence (emails, letters) with headquarters, tax services offices, tax centres, and individual taxpayers.","rapports de mise en œuvre de politiques et de programmes, formulaires (RC201 Demande de versements anticipés de la prestation fiscale pour le revenu de travail, RC210 État de versements anticipés de la prestation fiscale pour le revenu de travail), procédures et documents sur les exigences, exigence en matière de données et collecte de données, critères de surveillance, budgets et rapports sur l’élaboration de matériel de formation, exigences liées aux systèmes, guides d’utilisateur des systèmes; applications pour les utilisateurs des systèmes; élaboration et maintenance de divers systèmes informatiques, statistiques sur les arrivages et la production, rapports sur les activités de communication, documentation de projets, processus d'assurance de la qualité des données, programmes informatiques, statistiques, ensembles de données et correspondance (courriels, lettres) avec l’Administration centrale, les bureaux des services fiscaux, les centres fiscaux et les contribuables."
CRA ABSB 227,Business Number and Program Account Registration,Inscription au numéro d'entreprise et aux comptes de programme,"Registration forms, business consent forms, direct deposit request forms, account closure forms, election forms, correspondence (letters, memoranda, emails), BN notices, provincial and federal gazettes, legal opinions, memorandums of understanding, policy, procedures, guidelines, manuals.","Formulaires d’inscription, formulaires de consentement de l’entreprise, formulaires de demande de dépôt direct, formulaires de fermeture de compte, formulaires de choix, correspondance (lettres, notes de service, courriels), avis liés au NE, gazettes provinciales et fédérales, avis juridiques, protocoles d’entente, politiques, procédures, lignes directrices, manuels."
CRA ABSB 229,Business Refund Set-off program,Programme de compensation de dettes par remboursement des entreprises,"Memorandum of understandings (MOUs), application and declaration forms, correspondence (letters, memoranda, emails) Standardized Accounting (SA) manual, Business Accounting Reference Centre manual (BARC), monitoring reports, statistical reports, headquarter and field budgets and expenditures, and production results.","Protocoles d’entente, formulaires de demande et de déclaration, correspondance (lettres, notes de service, courriels), manuel de la comptabilité normalisée (CN), le centre de référence de la comptabilité des entreprises (CRCE), rapports de surveillance, rapports statistiques, budgets et dépenses de l’Administration centrale et des bureaux locaux, et résultats de production."
