record_number,name_en,name_fr,document_types_en,document_types_fr
CCOHS CHM 001,Chemical Products and Services,Produits chimiques et services,"Statements of Work, vendor agreements/contracts, detailed records on the development of records, updating/maintenance plans, usage statistics which are specifically related to CCOHS’ chemical safety products and services.","Énoncés de travail, ententes et contrats avec les fournisseurs, dossiers détaillés sur l’élaboration des dossiers, plans de mise à jour et d’entretien et statistiques sur l’utilisation propres aux produits et aux services du CCHST relatifs à la sécurité chimique."
CCOHS MSC 001,Client Information,Renseignements sur le client,"Information gathered and stored in the data bank for purchasers of CCOHS products and services includes: individual's name, associated business/organization name, mailing address, phone number, e-mail address, description of the product/service purchased, method of payment. Credit card information is not recorded, nor stored in the data bank. Where applicable, Service Agreements, Purchase Orders will be stored in the data bank. After purchase product support records include: product or service purchased, issue, resolution, and record of emails, details of phone conversations with client.","Les renseignements recueillis et entreposés dans la banque de données pour les acheteurs de produits et services du CCHST comprennent le nom de la personne, le nom de l’entreprise ou de l’organisation connexe, l’adresse postale, le numéro de téléphone, l’adresse électronique, la description du produit ou service acheté, le mode de paiement. Les renseignements sur les cartes de crédit ne sont pas consignés ni stockés dans la banque de données. Le cas échéant, les ententes de service et les bons de commande seront conservés dans le fichier de données. Les dossiers de soutien des produits après l’achat comprennent les produits ou services achetés, les problèmes, la résolution, la consignation des courriels et les détails des conversations téléphoniques avec le client."
CCOHS TRA 001,E-Learning and Classroom Courses,Apprentissage en ligne et cours offerts en classe,"Records on the development of presentation materials and handouts, course materials, review comments, hard copy versions of online course screens, guidelines, contracts with suppliers and customers, statements of work and resource documents which are specifically related to CCOHS’ e-learning and classroom courses.","Dossiers sur l’élaboration de documents destinés aux conférenciers et aux participants, documents de cours, commentaires de révision, versions papier des écrans de cours en ligne, lignes directrices, contrats conclus avec les fournisseurs et les clients, énoncés de travail et documents de ressources propres aux cours en ligne et en classe du CCHST."
CCOHS GSH 001,General Health and Safety Information and Databases,Bases de données générales sur la santé et la sécurité,"Contracts, records related to the production, development and maintenance of databases, updating and maintenance plans, specific pieces of Canadian occupational health and safety or environmental related legislation; occupational health and safety related bibliographic references to internationally published literature and grey material; and select supplier (material) safety data sheets which are specifically related to CCOHS’ general health and safety information and database products and services.","Contrats, dossiers relatifs à la production, à la mise au point et à la tenue à jour des bases de données, plans de mise à jour et d’entretien, dispositions particulières issues de lois canadiennes relatives à la santé et à la sécurité au travail ou à l’environnement; renvois bibliographiques à de la documentation scientifique et à de la littérature grise sur la santé et la sécurité au travail publiées à l’échelle internationale; fiches signalétiques de produits de certains fournisseurs précisément liées aux renseignements généraux de santé et de sécurité du CCHST, ainsi qu’aux produits et services de sa base de données."
CCOHS HR 004,Canadian Centre for Occupational Health and Safety’s Corporate Health and Safety Program,Programme organisationnel de santé et de sécurité du Centre canadien d’hygiène et de sécurité au travail,"CCOHS’ OSH Wise employee incident reports; CCOHS Human Resources health and wellness reports; Employee Assistance Program reports and contracts applicable to CCOHS staff; CCOHS Health and Safety policy; CCOHS employee Workers’ Safety and Insurance Board claim forms; CCOHS employee disability claim forms and letters; CCOHS employee Functional Ability Forms; CCOHS employee medical notes; CCOHS Health and Safety Committee agendas, minutes, inspection reports and checklists.","Rapports d’incident des employés sur la plateforme OSH Wise du CCHST; rapports sur la santé et le mieux-être des Ressources humaines du CCHST; rapports et contrats du PAE qui s’appliquent au personnel du CCHST; politique en matière de santé et de sécurité du CCHST; formulaires de réclamation de la Commission de la santé et de la sécurité du travail à l’usage des employés du CCHST; formulaires de réclamation d’invalidité et lettres à l’usage des employés du CCHST; formulaires de capacité fonctionnelle à l’usage des employés du CCHST; certificats médicaux des employés du CCHST; ordres du jour, procès-verbaux et listes de contrôle du comité de santé et de sécurité du CCHST."
CCOHS INQ 001,Health and Safety Information Packages,Trousses de renseignements sur la santé et la sécurité,"Selected peer reviewed publications addressing occupational health and safety topics, health and safety information, approved packages. Access: By subject.","Publications évaluées par des pairs choisies sur des sujets touchant la santé et la sécurité au travail, de documents d’information sur la santé et la sécurité, trousses approuvées. Accès : Par sujet."
CCOHS IRS 041,Inquiries,Demandes de renseignements,"Solution oriented responses including good practices and references to Legislative requirements, Inquiries, occupational health and safety information, client satisfaction web survey results, case files that pertain to specific occupational health and safety matters.","Réponses axées sur les solutions, y compris les pratiques exemplaires et les références aux exigences législatives, les demandes de renseignements, les renseignements sur la santé et la sécurité au travail, les résultats du sondage Web sur la satisfaction des clients, les dossiers de cas portant sur des affaires précises de santé et de sécurité su travail."
CCOHS PSY 001,Psychological Health and Safety Tools,,"Statements of Work, vendor agreements/contracts, detailed records on the development of content, processes and procedures, usage statistics which are specifically related to CCOHS’ psychological health and safety tools and guidance.",
CCOHS FIN 004,Library,Bibliothèque,"Monographs, encyclopedias, directories, periodicals, articles and chapters, conference proceedings, microfiche, CDs and VHS tapes.","Monographies, encyclopédies, répertoires, périodiques, articles et chapitres, comptes rendus de conférences, microfiches, CD et bandes VHS."
CCOHS INQ 002,OSH Answers,Réponses SST,"Easy to read fact sheets covering a wide range of workplace health and safety topics including: chemical hazards, physical hazards, occupational diseases, biological hazards, psycho social issues, occupational safety, ergonomics, occupational health and safety administration.","Fiches d’information faciles à lire couvrant un large éventail de sujets touchant la santé et la sécurité au travail, notamment : les risques chimiques, les risques physiques, les maladies professionnelles, les risques biologiques, les problèmes psychosociaux, la sécurité au travail, l’ergonomie et l’administration des questions liées à la santé et à la sécurité au travail."
