record_number,name_en,name_fr,document_types_en,document_types_fr
CFIA RPS 030,Registration and product standards (meat and poultry products),Agrément et normes des produits (viande et produits de la volaille),"Forms, legislation, regulations, standards, memoranda, records of decision, schedules, guidelines, reports, and correspondence.","Formulaires, lois, règlements, notes de service, comptes rendus de décisions, calendriers, lignes directrices, rapports, correspondance."
CFIA PPB 005,Development of labelling guidance,Élaboration de lignes directrices sur l'étiquetage,"Reports, charts, samples, forms, correspondence, memoranda, guidelines, regulations, legislation.","Rapports, tableaux, échantillons, modèles, formulaires, correspondance, notes de service, lignes directrices, règlements, lois."
CFIA DFV 045,"Product standards, grading and labelling (agri-food products)","Normes, classement et étiquetage des produits (produits agroalimentaires)","Legislation, regulations, guidelines, reports, correspondence, standards, memoranda, questionnaires.","Lois, règlements, lignes directrices, rapports, correspondance, normes, notes de service, questionnaires."
CFIA ANI 015,Animal - Animals / animal genetics / animal products importation,"Animaux - Importation d'animaux, de matériel génétique animal et de produits animaux","Reports, correspondence, legislation, regulations, guidelines, policies, permits, certificates, forms.","Rapports, correspondance, lois, règlements, lignes directrices, politiques, permis, certificats, formulaires."
CFIA EXP 090,Export and import,Exportations et importations,"Certificates, reports, legislation, regulations, guidelines, policies, lists, correspondence, memoranda.","Certificats, rapports, lois, règlements, lignes directrices, politiques, listes, correspondance, notes de service."
CFIA IEI 055,Import - Compliance standards,Importation,"Legislation, regulations, guidelines, policies, forms, lists, inventories, data, correspondence, memoranda.","Lois, règlements, lignes directrices, politiques, formulaires, inventaires, données, correspondance, notes de service."
CFIA IPP 155,"Import, export and domestic programs for plant protection","Programmes d'importation, d'exportation et de production intérieure pour la protection des végétaux","Certificates, permits, agreements, correspondence, notices, manuals, publications, memoranda.","Certificats, permis, agréments, correspondance, avis, manuels, publications, notes de service."
CFIA PPB 024,Plant pests and diseases,Végétaux - Ravageurs et maladies,"Correspondence, memoranda, policy documents, reports.","Correspondance, notes de service, documents stratégiques, rapports."
CFIA PPB 030,Plant risk analysis,Analyse du risque – Végétaux,"Certificates, labels, reports, correspondence.","Certificats, étiquettes, rapports, correspondance."
CFIA BIO 170,Plant science advice and analysis,Végétaux - Analyses et conseils scientifiques,"Lists, surveys, forms, correspondence, memoranda.","Listes, relevés, formulaires, correspondance, notes de service."
CFIA SEE 161,Plant seed potatoes,Végétaux - Pommes de terre de semence,"Agreements, standards, legislation, regulations, guidelines, certificates, standards, reports, training materials, testing results, inventories, labels, correspondence, memoranda.","Ententes, normes, lois, règlements, lignes directrices, certificats, rapports, matériel de formation, résultats d'essais, inventaires, étiquettes, correspondance, notes de service."
CFIA VAR 110,Plant seed program and variety registration,Végétaux - Programme des semences et enregistrement des variétés,"Legislation, regulations, inventories, standards, guidelines, labels, reports, correspondence, memoranda.","Lois, règlements, inventaires, normes, lignes directrices, étiquettes, rapports, correspondance, notes de service."
CFIA PBO 010,Regulation of the environmental release of plants with novel traits (PNT) in Canada,Réglementation de la dissémination dans l'environnement de végétaux à caractères nouveaux (VCN) au Canada,"Inventories, legislation, regulations, policies, guidelines, protocols, reports.","Inventaires, lois, règlements, politiques, lignes directrices, protocoles, rapports"
CFIA PPB 010,Animal biosecurity,Animale - Biosécurité,"Legislation, regulations, guidelines, protocols, reports, correspondence, memoranda, standards.","Lois, règlements, lignes directrices, protocoles, rapports, correspondance, mémoire, normes."
CFIA CON 025,Animal disease control,Lutte contre les maladies animales,"Manuals, plans, directives, legislation, regulations, guidelines, briefing notes, plans, reports, correspondence, memoranda.","Manuels, plans, directives, lois, règlements, lignes directrices, notes d'information, rapports, correspondance, notes de service."
CFIA PPB 019,Animal epidemiology and disease surveillance,Animaux - Épidémiologie et surveillance des maladies,"Legislation, regulations, guidelines, memoranda, correspondence, briefing notes, reports, plans, data, maps, drawings, minutes.","Lois, règlements, lignes directrices, notes de service, correspondance, notes d'information, rapports, plans, données, cartes, schémas, comptes rendus de réunion."
CFIA PAT 005,Animal science advice and pathology services,Animaux - Conseils scientifiques et services en pathologie,"Records may include correspondence, lists, reports, lab results and analysis, briefing notes, legal opinions, meeting agendas and meeting minutes.","Les dossiers peuvent contenir liste des maladies (agents pathogènes, transmissibilité aux humains et pertes économiques liées aux maladies); liste des activités d'analyse et de diagnostic; présentation d'échantillons au laboratoire et rapports d'analyse; renseignements sur les consultations avec les organisations nationales, internationales, gouvernementales et non gouvernementales; renseignements de surveillance des provinces et territoires et des laboratoires universitaires partenaires qui sont membres du Réseau canadien de surveillance zoo sanitaire (RCSZ); rapports techniques, rapports de recherche et évaluations scientifiques de l'environnement par rapport à la santé animale."
CFIA PPB 011,Animal welfare,Bien-être des animaux,"Reports, enquiries, correspondence, briefing notes, policies, procedures, codes of practice, training material.","Rapports, demandes de renseignements, documents de correspondance, notes d'information, politiques, procédures, codes de pratiques, matériel de formation."
CFIA AMD 070,Laboratory services,Services de laboratoire,"Correspondence, reports, legislation, regulations, guidelines, procedures, protocols, test results, publications.","Correspondance, rapports, lois, règlements, lignes directrices, procédures, protocoles, résultats d'essais, publications."
CFIA PPB 031,Terrestrial animal risk analysis,Animaux terrestres - Analyse du risque,"Correspondence, reports, policies, procedures, memoranda.","Correspondance, rapports, politiques, procédures, notes de service."
CFIA PPB 003,Aquatic animal risk analysis,Animaux aquatiques - Analyse du risque,"Reports, policies, procedures, correspondence, fact sheets, memoranda.","Rapports, politiques, procédures, correspondance, fiches de renseignements, notes de service."
CFIA PPB 018,Feed risk analysis,Aliments du bétail - Analyse des risques,"Correspondence, certificates, memoranda, samples, labels.","Correspondance, certificats, notes de service, échantillons, étiquettes."
CFIA RLA 045,Food consumer protection,Aliments - Protection des consommateurs,"Forms, reports, briefing notes, correspondence, policies, guidelines, regulations, legislation, questionnaires.","Formulaires, rapports, notes d'information, correspondance, politiques, règlements, lois, questionnaires."
CFIA PPB 004,Labelling information and guidance,Information et lignes directrices sur l'étiquetage,"Samples, reports, charts, forms, correspondence, memoranda.","Modèles, rapports, tableaux, formulaires, correspondance, notes de service."
CFIA AIR 200,Automated Import Reference System (AIRS),Système automatisé de référence à l'importation (SARI),"Records may include product and product category based on harmonized system import coding, program requirements, and regulatory requirements.","Les dossiers peuvent contenir produit et catégorie fondés sur les codes d'importation du système harmonisé, exigences des programmes, exigences réglementaires."
CFIA PPB 022,On-farm food safety recognition program,Programme de reconnaissance de la salubrité des aliments à la ferme (PRSAF),"Legislation, regulations, guidelines, memoranda, checklists, reports, and correspondence.","Lois, règlements, lignes directrices, notes de service, listes de vérification, rapports, correspondance."
CFIA PPB 025,Plant forestry,Végétaux - Foresterie,"Legislation, regulations, guidelines, directives, correspondence, memoranda, certificates, reports.","Lois, règlements, lignes directrices, directives, correspondance, notes de service, certificats, rapports."
CFIA PPB 015,"Feed inspection support, training, program coordination and outreach","Aliments du bétail - Appui à l'inspection et formation, coordination et portée du programme","Records may include inspection reports, sample results, follow-up to non-compliant sample results, labels and inspections, analytical results of feed samples, company correspondence, permits, guidance documents, and fact sheets.","Les dossiers peuvent contenir rapports d'inspection, documents sur les résultats de l'échantillonnage, suivi des résultats non conformes d'analyse des échantillons, étiquettes et inspections, résultats d'analyse des échantillons d'aliments du bétail, correspondance avec les entreprises; permis, lignes directrices et fiches de renseignements."
CFIA MPP 075,Inspection and monitoring (meat and poultry products),Inspection et surveillance (viandes et produits de la volaille),"Forms, legislation, regulations, memoranda, records of decision, schedules, guidelines (e.g., inspection procedures), manuals, reports (e.g. audit and monitoring reports), and correspondence.","Formulaires, lois, règlements, notes de service, comptes rendus de décisions, calendriers, lignes directrices (p. ex., procédures d'inspection), guides, rapports (p. ex., rapports de vérification et de surveillance), correspondance."
