record_number,name_en,name_fr,document_types_en,document_types_fr
CRTC APP 085,Application Support System (APP) - Broadcasting and Telecommunications,RÉGLEMENTATION ET SURVEILLANCE DE L'INDUSTRIE CANADIENNE DE LA RADIODIFFUSION,"data related to applications and supporting documents, licences, undertakings, reports, CRTC publications such as Notices of Consultation, Decisions, Information Bulletins, Orders and Regulatory Policies, as well as agendas of CRTC activities.","données concernant les demandes et les documents à l’appui, les licences, les entreprises, les rapports, les publications du CRTC, notamment les avis de consultation, les décisions, les bulletins d’information, les ordonnances et les politiques réglementaires, ainsi que les calendriers des activités du CRTC."
CRTC BRO 185,Broadcasting - Licensing,Radiodiffusion – Attribution de licences,"broadcasting and ownership application and supporting documents, radio stations logger tapes (digital recordings); television, pay television and specialty services logs; Canadian content, conditions of licence, expectations and monitoring reports; call signs, power and location of transmitters, signal interference, frequency allotments and other relevant engineering information, licensee name, band, format, address and telephone number, region, language, frequency, power of transmission, system number, licensee number, origination, affiliation, market and expiry date; correspondence, studies and research reports on new media, involving the CRTC, individuals, industry organizations, interest groups and other governments.","demandes de radiodiffusion et de propriété et documents justificatifs, rubans-témoins des stations de radio (enregistrements numériques); registres de télévision, télévision payante et services spécialisés, contenu canadien, conditions de licence, attentes et rapport de surveillance; indicatif d'appel, puissance et emplacement des émetteurs; brouillage de signaux, fréquences attribuées et autres renseignements techniques pertinents; nom du titulaire, bande, formule, adresse et numéro de téléphone, région, langue, fréquence, puissance de rayonnement; numéro d'entreprise; numéro de titulaire; provenance; affiliation; marché; catégorie; date d'expiration; correspondance, études et rapport de recherche sur les nouveaux médias impliquant le CRTC, les citoyens canadiens, l'industrie, des parties intéressées ainsi que d'autres gouvernements."
CRTC PGM 180,Canadian Program Certification,Certification des émissions canadiennes,"Program title, duration, certification number, category of program, production data and type of certification/special recognition, dubbing of a Canadian or a foreign production done in Canada, a directory of key creative personnel involved in the production and their citizenship, budgets and financing information, breakdown of costs and contracts.","titre de l'émission, durée, numéro de certification, catégorie de l’émission, type de certification canadienne/reconnaissance spéciale, doublage d'une émission canadienne ou étrangère, liste des personnes occupant un poste clé de création et leur citoyenneté, budgets et financement, ventilation des coûts et contrats."
CRTC CCM 100,Correspondence - Broadcasting and Telecommunications,Correspondance – Radiodiffusion et télécommunications,"complaints, opinions, and questions concerning broadcasting and telecommunications related issues.","plaintes, observations et demandes de renseignements concernant la radiodiffusion et les télécommunications."
CRTC DCS 255,Data Collection System (DCS) - Broadcasting and Telecommunications,Système de collecte de données (SCD) – Radiodiffusion et télécommunications,"individual, entity and undertaking information; data related to competition in the Canadian telecommunications and broadcasting markets, such as annual monitoring and updating of broadcasting and telecommunications entity registration lists, international telecommunications licences, telecommunication fees, contribution regime, pay telephones, local forbearance and forborne private route line, individual name, title, mailing address, e-mail address, telephone number and FAX number.","données sur des particuliers, des entités et des entreprises; données liées à la concurrence au sein des marchés de la radiodiffusion et des télécommunications canadiennes, notamment les résultats annuels de la surveillance, la mise à jour des listes d'enregistrement des entreprises de radiodiffusion et de télécommunications, les licences de services de télécommunication internationale, les droits de télécommunication, le régime de contribution, les téléphones payants, l'abstention de la réglementation des services locaux et des services de liaison spécialisée sur certaines routes, des noms de particuliers, leur titre, adresse postale, adresse électronique, numéro de téléphone et numéro de télécopieur."
CRTC FDB 225,Financial Data (Broadcasting),Données financières (Radiodiffusion),"Annual Returns for Cable rate-regulated class 1 systems and non-regulated class 1 and all class 2 and 3 systems, Radio and Television, Pay Television and Specialty Programming Service and CRTC Fixed Asset Schedules, which provide a history - in summary form - of cable licensee's fixed assets, for rate-regulated class 1 systems and for class 2 and 3 systems; Corporate Returns such as Cable Financial Statements for rate-regulated class 1 systems and class 2 and 3 systems, Radio and Television Financial Statements and Pay Television and Specialty Programming Services Financial Statements.","rapports annuels des entreprises de distribution par câble concernant les systèmes de classe 1 dont les taux sont réglementés ainsi que ceux de classe 1 non réglementés et tous ceux de classes 2 et 3, rapports annuels des services de radio et de télévision, des services de télévision payante et de télévision spécialisée, et les tableaux des immobilisations du CRTC, lesquels donnent un bref historique des immobilisations des titulaires de systèmes par câble de classe 1 dont les taux sont réglementés et de celles de systèmes de classes 2 et 3; les rapports annuels des entreprises, tels que les états financiers des entreprises de distribution par câble de classe 1 dont les taux sont réglementés, ceux des systèmes de classe 1 non réglementés et tous ceux de classes 2 et 3; les états financiers des services de radio et de télévision; les états financiers des services de télévision payante et de télévision spécialisée."
CRTC CIN 220,Interventions - Broadcasting and Telecommunications,Interventions - Radiodiffusion et télécommunications,"Full name, email address, street address, telephone and fax number (s) and any other personal information provided by participants to a public proceeding.","nom, adresse électronique, adresse municipale, numéros de téléphone et de télécopieur, et tout autre renseignement personnel qui sont présentés par un participant à une instance publique."
CRTC IML 105,Legal Correspondence and Advice - Broadcasting and Telecommunications,Correspondance et avis juridiques – Radiodiffusion et télécommunications,Correspondence and legal opinions.,correspondance et avis juridiques
CRTC LRS 275,Licence Fees - Broadcasting and Telecommunications,Droits de licence – Radiodiffusion et télécommunications,"invoices, licence fees payment received from the industries, reports.","factures, paiements reçus pour les droits de licence, rapports."
CRTC MAP 235,Mapping Data,Données cartographiques,"Service areas, demographics, cable signal carriage, cable rates, number of subscribers, boundary files, population and household statistics.","z**ones de desserte, données démographiques, signaux distribués par câble, tarifs du câble et nombre d'abonnés, fichiers des limites, population et statistiques sur les ménages."
CRTC OWN 025,Ownership System,Système de renseignements sur la propriété,"Principal shareholders and ownership holdings, functions of executive Directors, citizenship and residence status, control determination; details on multiple ownership holdings.","information sur les actionnaires principaux et leurs titres de propriété, sur les fonctions des directeurs exécutifs, leur statut de citoyenneté et de résident, la détermination du contrôle ainsi que des détails sur la propriété multiple."
CRTC PDR 270,Policy Development and Research - Broadcasting and Telecommunications,Élaboration de politiques et Recherche – Radiodiffusion et télécommunications,"studies, reports, analyses, comparison charts and strategic research results.","études, rapports, analyses, tableaux comparatifs, résultats de recherches stratégiques."
CRTC SEC 080,Public Proceedings - Broadcasting and Telecommunications,Instances publiques – Radiodiffusion et télécommunications,"Notices of Consultation, Decisions, Regulatory Policies, Information Bulletins, Orders, applications and supporting documents, public proceedings transcripts and interventions.","avis de consultation, décisions, politiques règlementaires, bulletins d'information, ordonnances, demandes et documents justificatifs, transcriptions d’audiences et interventions."
CRTC CBL 195,Signal Carriage/Mediastats,Distribution de signaux/Mediastats,"Demographics, signals carried, rates, number of subscribers.","données démographiques, signaux distribués, tarifs, nombre d'abonnés."
CRTC CISC 260,CRTC Interconnection Steering Committee (CISC),CRTC directeur du CRTC sur l'interconnexion (CDCI),"list of CISC working groups, ad-hoc groups, local competition and CISC-related Public Notices, Orders and Decisions, agreements, guidelines, manuals and procedures and reports.","listes des groupes de travail du CDCI, des groupes ad hoc, avis de consultation, ordonnances, décisions, ententes, lignes directrices, manuels et procédures relatives au CDCI et rapports."
CRTC TEL 265,Telecommunications,Télécommunications,"application and related documents, reports, Notice of Consultation, Decisions, Information Bulletins, Orders, recommendations, lists of carriers, providers, resellers and telemarketers; contracts, guidelines, decisions related to the administration of the DNCL and the VCR.","demandes et documents justificatifs, rapports, avis de consultation, décisions, bulletins d'information, ordonnances, recommandations, liste d'entreprises, de fournisseurs, de revendeurs et des télévendeurs; contrats, lignes directrices, décisions relatives à l'administration de la LNNTE et le Registre de communication avec les électeurs."
