record_number,name_en,name_fr,document_types_en,document_types_fr
CSA SCD 105,Youth Learning,Apprentissage des jeunes,"Correspondence, marketing plans, presentations, procedures and reports, applications, briefing materials.","Correspondance, plans promotionnels, présentations, procédures, rapports, demandes, documents d'information."
CSA SCD 110,"Science, Technology and Expertise Development in Academia (STEDiA)","Développement de la science, de la technologie et de l'expertise en milieu universitaire","grants, applications, correspondence, contracts, presentations, briefing materials, research materials, conference materials, procedures, attendance lists.","Subventions, demandes, correspondance, contrats, présentations, documents d'information, documents de recherche, documents de conférence, procédures, listes de présence."
CSA SCD 115,Space Technology Development,Développement des technologies spatiales,"contracts, contribution agreements, applications for funding, correspondence, project evaluations, progress reports, technical reports, invoices.","Contrats, accords de contribution, demandes de financement, correspondance, évaluations de projets, rapports d'étape, rapports techniques, factures."
CSA SCD 120,Application Development,Développement d'applications,"Agreements, announcements of opportunity, briefing materials, concept documents, contracts, correspondence, description documents, grants and contributions documents, procedures, project approval documents, presentations, proposals, proposal evaluations, reports, studies and timetables.","Ententes, avis d'offre de participation, documents d'information, documents de concept, contrats, correspondance, documents de description, documents de subventions et de contributions, procédures, documents d'approbation de projets, présentations, propositions, évaluations de propositions, rapports, études, calendriers."
CSA SCD 125,Capability Demonstration/Small Innovative Missions,Démonstration des capacités spatiales et petites missions novatrices,"Agreements, announcements of opportunity, briefing materials, concept documents, contracts, correspondence, description documents, grants and contributions documents, procedures, project approval documents, presentations proposals, proposal evaluations, reports, studies and timetables.","Ententes, avis d'offre de participation, documents d'information, documents de concept, contrats, correspondance, documents de description, documents de subventions et de contributions, procédures, documents d'approbation de projets, présentations, propositions, évaluations de propositions, rapports, études, calendriers."
CSA SCD 130,Canada-European Space Agency (ESA) Cooperation,Coopération entre le Canada et l'Agence spatiale européenne,"Agreements, announcements of opportunity, briefing materials, concept documents, contracts, correspondence, description documents, grants and contributions documents, procedures, project approval documents, proposals, proposal evaluations, prototypes, reports, science data, studies and timetables.","Ententes, avis d'offre de participation, documents d'information, documents de concept, contrats, correspondance, documents de description, documents de subventions et de contributions, procédures, documents d'approbation de projets, propositions, évaluations de propositions, prototypes, rapports, données scientifiques, études, calendriers."
CSA SCD 135,Provision of Expertise and Facilities,Mise à disposition d'expertise et d'installations,"Agreements, announcements of opportunity, briefing materials, concept documents, contracts, correspondence, description documents, grants and contributions documents, procedures, project approval documents, proposals, proposal evaluations, reports, science data, studies and timetables.","Ententes, avis d'offre de participation, documents d'information, documents de concept, contrats, correspondance, documents de description, documents de subventions et de contributions, procédures, documents d'approbation de projets, propositions, évaluations de propositions, rapports, données scientifiques, études, calendriers."
CSA FCS 015,Space Expertise and Proficiency – Development and Enhancement,Expertise et compétences spatiales — Développement et renforcement,"Agreements, announcements of opportunity, concept documents, contracts, correspondence, description documents, grants and contributions documents, procedures, project approval documents, proposals, proposal evaluations, reports, studies and timetables.","Ententes, avis d'offre de participation, documents de concept, contrats, correspondance, documents de description, documents de subventions et de contributions, procédures, documents d'approbation de projets, propositions, évaluations de propositions, rapports, études, calendriers."
CSA EOE 060,"Engagement, Outreach and Educational Activities","Activités de mobilisation, de sensibilisation et d'éducation","Media analyses and media lines, communications plans, announcements, communiqués, newsletters, news releases, backgrounders, fact sheets, contest terms and conditions, Qs and As for parents of children involved in educational activities, speeches, speaking notes, briefing notes, calendar of planned events, news-clippings, biographies, protocols, PowerPoint presentations, mailing and distribution lists, toolkits, guidelines, standards and procedures, notices, pamphlets, crisis and emergency communications plans and policies, brochures, print and electronic publishing documentation, website content, and copies of institutional publications in all formats.","Analyses des médias et infocapsules, plans de communication, annonces, communiqués, bulletins, communiqués, documents d'information, fiches d'information, modalités du concours, questions et réponses pour les parents d'enfants participant à des activités éducatives, discours, notes d'allocution, notes d'information, calendrier des événements prévus, coupures de presse, biographies, protocoles, présentations PowerPoint, listes d'envoi et de distribution, trousses d'outils, guides, normes et procédures, avis, dépliants, plans et politiques de communication en cas de crise et de situations d'urgence, brochures, documents imprimés et électroniques, contenu du site Web et copies de publications institutionnelles dans tous les formats."
CSA FCS 030,Space Innovation and Market Access - Development,Innovation spatiale et accès aux marchés - Développement,"Agendas, agreements, contracts, correspondence, deliverables, grants or contributions documents, minutes, presentations, project approval documents, proposals, proposal evaluations and reports.","Ordres du jour, ententes, contrats, correspondance, produits livrables, documents de subventions et de contributions, procès‑verbaux, présentations, documents d'approbation de projets, propositions, évaluations de propositions, rapports."
CSA SU 050,Satellite Communications (SatCom),Télécommunications par satellite,"Agendas, agreements, announcements of opportunity, contracts, concept documents, correspondence, invitations to tender, minutes, procedures, project approval documents, proposals, proposal evaluations, reports, space data, studies and timetables.","Ordres du jour, ententes, avis d'offre de participation, contrats, documents de concept, correspondance, appels d'offres, procès‑verbaux, procédures, documents d'approbation de projets, propositions, évaluations de propositions, rapports, données spatiales, études, calendriers."
CSA SU 055,Satellite Navigation (SatNav),Navigation par satellite,"Agendas, agreements, announcements of opportunity, contracts, concept documents, correspondence, invitations to tender, minutes, procedures, project approval documents, proposals, proposal evaluations, reports, space data, studies and timetables.","Ordres du jour, ententes, avis d'offre de participation, contrats, documents de concept, correspondance, appels d'offres, procès‑verbaux, procédures, documents d'approbation de projets, propositions, évaluations de propositions, rapports, données spatiales, études, calendriers."
