record_number,name_en,name_fr,document_types_en,document_types_fr
CSC SDC 020,Institutional management and support,Gestion et soutien en établissement,"analyses briefing notes chronologies convening orders findings and recommendations interview notes manuals minutes policies, procedures and guidelines reference material reports terms of reference","analyses; notes d’information; chronologies; ordres de convocation; constatations et recommandations; notes d’entrevue; manuels; ordres du jour et comptes rendus de réunions; politiques, procédures et lignes directrices' documents de référence; rapports; mandats."
CSC COP 090,Supervision,Surveillance,"audit and evaluation reports briefing notes correspondence letters meeting agendas and minutes memoranda of understanding notes pamphlets/brochures policies, procedures and guidelines protocols research reports templates","rapports de vérification et d’évaluation; notes d’information; correspondance; lettres; ordres du jour et comptes rendus de réunions; protocoles d’entente; notes; brochures; politiques, procédures et lignes directrices; protocoles; rapports de recherche; modèles."
CSC COP 200,Preventive security and intelligence,Sécurité préventive et renseignement,"briefing notes correspondence daily SITREP forms findings and recommendations incident reports intelligence advisories intelligence reports letters meeting agendas and minutes notes policies, procedures and guidelines presentations and training material protocols statement/observation reports statistics and statistical reports templates","notes d’information; correspondance; formulaires; constatations et recommandations; rapports d’incident; avis du renseignement; rapports du renseignement; lettres; ordres du jour et comptes rendus de réunions; notes; politiques, procédures et lignes directrices; présentations et documents de formation; protocoles; rapports d’observation et de déclaration; statistiques et rapports statistiques; modèles; rapports de situation (RAPSIT)."
CSC COP 100,Drug enforcement,Lutte antidrogue,"briefing notes contracts correspondence forms incident reports intelligence advisories intelligence awareness bulletins intelligence reports letters meeting agendas and minutes memoranda memoranda of understanding pamphlets/brochures policies, procedures and guidelines presentations and training material statement/observation reports statistics and statistical reports templates","notes d’information; contrats; correspondance; formulaires; rapports d’incident; avis du renseignement; bulletins du renseignement; rapport du renseignement; lettres; ordres du jour et comptes rendus de réunions; mémoires; protocoles d’entente; brochures, politiques; procédures et lignes directrices; présentations et documents de formation; rapports d’observation et de déclaration; statistiques et rapports statistiques; modèles."
CSC HS 010,Clinical services and public health,Services cliniques et de santé publique,assessment tools correspondence consultation reports forms findings and recommendations legal opinions letters meeting agendas and minutes memoranda notes presentations progress reports protocols recommendations screening tools,outils d’évaluation; correspondance; rapports de consultation; formulaires; constatations et recommandations; avis juridiques; lettres; ordres du jour et comptes rendus de réunions; mémoires; notes; présentations; rapports d’étape; protocoles; recommandations; outils de contrôle.
CSC HS 080,Mental health services,Services de santé mentale,"agreements annual reports assessment tools briefing notes budget reports contracts correspondence communication plans consultation reports directives fact sheets forms findings and recommendations frameworks legal opinions letters meeting agendas and minutes memoranda memoranda of understanding newsletters notes pamphlets/brochures policies, procedures and guidelines presentations and training material privacy impact assessments progress reports proposals protocols recommendations reference material standards speaking notes screening tools statistics and statistical reports studies terms of reference Treasury Board submissions work plans","ententes; rapports annuels; outils d’évaluation; notes d’information; rapports budgétaires; contrats; correspondance; plans de communication; rapports de consultation; directives; fiches de renseignements; formulaires; constatations et recommandations; cadres de travail; avis juridiques; lettres; ordres du jour et comptes rendus de réunions; mémoires; protocoles d’entente; bulletins; notes; brochures; politiques, procédures et lignes directrices; présentations et documents de formation; évaluations des facteurs relatifs à la vie privée; rapports d’étape; propositions; protocoles; recommandations; documents de référence; normes; notes d’allocution; outils de contrôle; statistiques et rapports statistiques; études; mandats; présentations au Conseil du Trésor; plans de travail."
CSC CSS 080,Food services,Services d’alimentation,"contracts correspondence forms meeting agendas and minutes memoranda menu plans notes policies, procedures and guidelines purchase orders recipes standing offers statements of work","contrats; correspondance; formulaires; ordres du jour et comptes rendus de réunions; mémoires; plans de menus; notes; politiques, procédures et lignes directrices; bons de commande; recettes; offres à commandes; énoncés des travaux."
CSC CSS 070,Accommodation services,Services de logement,"briefing notes building and construction drawings certificates contracts forms manuals meeting agendas and minutes memoranda models and concepts notes plans photographs project specifications policies, procedures and guidelines presentations and training material reports standards studies work orders and project delivery documents","notes d'information; certificats; contrats; formulaires; manuels; ordres du jour; comptes rendus de réunions; mémoires; modèles et concepts; notes; plans; spécifications des projets; présentations et documents de formation; politiques, procédures et lignes directrices; rapports; normes; études; ordres de travail et documents sur l'exécution des projets; dessins des bâtiments et d’exécution."
CSC SDC 010,Offender case management,Gestion des cas des délinquants,"annual reports audit and evaluation reports contracts correspondence forms frameworks manuals meeting agendas and minutes memoranda of understanding memoranda notes policies, procedures and guidelines presentations regional funding allocations research reports statistics studies surveys templates terms of reference training material","rapports annuels rapports de vérification et d’évaluation contrats correspondance formulaires cadres de travail manuels ordres du jour et comptes rendus de réunions protocoles d’entente mémoires notes présentations politiques, procédures et lignes directrices montants alloués aux régions rapports de recherche statistiques études sondages modèles mandats matériel de formation."
CSC CCE 020,Community engagement,Engagement des collectivités,"agreements annual reports assessment tools audit and evaluation reports briefing notes budget reports contracts correspondence communication plans consultation reports decision papers fact sheets forms findings and recommendations frameworks legal opinions letters meeting agendas and minutes memoranda notes pamphlets/brochures policies, procedures and guidelines presentations and training material outreach strategy progress reports proposals protocols reference material research reports speaking notes statistics and statistical reports studies telephone logs templates terms of reference Treasury Board submissions work plans","accords rapports annuels outils d'évaluation rapports d'audit et d'évaluation notes d'information rapports budgétaires contrats correspondance plans de communication rapports de consultation documents de décision documents d'information formulaires conclusions et recommandations cadres avis juridiques lettres ordres du jour et comptes rendus des réunions mémoires notes de service dépliants et brochures politiques, procédures et lignes directrices présentations et documents de formation stratégies de sensibilisation rapport d'étape propositions protocoles documents de référence rapports de recherche notes d'allocution statistiques et rapports statistiques études registres téléphoniques modèles modalités présentations au Conseil du Trésor plans de travail."
CSC COP 060,Chaplaincy services,Services d’aumônerie,"briefing notes contracts correspondence forms letters meeting agendas and minutes notes pamphlets/brochures policies, procedures and guidelines presentations and training materials reports","notes d'information contrats correspondance formulaires lettres ordres du jour et comptes rendus de réunions notes brochures politiques, procédures et lignes directrices présentations documents de formation et rapports."
CSC SDC 350,Elder services,Services d’Aînés,"briefing notes contracts correspondence letters meeting agendas and minutes notes policies, procedures and guidelines presentations and training material reports","notes d’information contrats correspondance lettres ordres du jour et comptes rendus de réunions notes politiques, procédures et lignes directrices présentations et documents de formation rapports."
CSC COP 350,Correctional programs,Programmes correctionnels,"annual reports application forms assessment tools audit and evaluation reports briefing notes contracts correspondence consultation reports forms frameworks legal opinions letters meeting agendas and minutes memoranda of understanding notes policies, procedures and guidelines presentations and training material program material proposals protocols recommendations reference material research reports screening tools statistics and statistical reports studies work plans","rapports annuels; formulaires de demande; outils d’évaluation; rapports de vérification et d'évaluation; notes d'information; contrats; correspondance; rapports de consultation; formulaires; cadres de travail; avis juridiques; lettres; ordres du jour et comptes rendus de réunions; protocoles d'entente; notes; politiques, procédures et lignes directrices; présentations et documents de formation; documents liés aux programmes; propositions; protocoles; recommandations; documents de référence; rapports de recherche; outils de contrôle; statistiques et rapports statistiques; études; plans de travail."
CSC COP 140,Offender education,Éducation des délinquants,"agreements annual reports briefing notes contracts correspondence evaluation reports forms letters meeting agendas and minutes memoranda memoranda of understanding notes policies, procedures and guidelines presentations and training material reference material screening and assessment tools studies statistics and statistical reports","contrats; rapports annuels; statistiques et rapports statistiques; mémoire contrats; correspondance; rapports d'évaluation; formulaires; lettres; ordres du jour et comptes rendus de réunions; notes; notes d'information; politiques, procédures et lignes directrices; présentations et documents de formation; documents de référence; outils de dépistage et d'évaluation; études; protocoles d'entente et accords."
CSC COP 040,CORCAN employment and employability,CORCAN Emploi et employabilité,"application forms audit and evaluation reports briefing notes correspondence directives forms frameworks legal opinions letters meeting agendas and minutes notes policies, procedures and guidelines presentations and training material protocols statistics and statistical reports","formulaires de demande; rapports de vérification et d’évaluation; notes d’information; correspondance; directives; formulaires; cadres de travail; avis juridiques; lettres; ordres du jour et comptes rendus de réunions; notes; politiques, procédures et lignes directrices; présentations et documents de formation; protocoles; statistiques et rapports statistiques."
CSC COP 440,Social program,Programme social,"assessment tools briefing notes contracts correspondence forms legal opinions memoranda meeting agendas and minutes pamphlets/brochures policies, procedures and guidelines presentations and training materials proposals protocols recommendations reference materials and studies review documents service planning statistics work plans","outils d’évaluation; notes d’information; contrats; correspondance; formulaires; avis juridiques; mémoires; ordres du jour et comptes rendus des réunions; dépliants et brochures; politiques, procédures et lignes directrices; présentations et documents de formation; propositions; protocoles; recommandations; documents de référence et études; statistiques; plans de travail; documents de planification; examen des services."
CSC COP 301,Community management and security,Sécurité et gestion dans la collectivité,"briefing notes contracts correspondence forms findings and recommendations frameworks letters meeting agendas and minutes notes policies, procedures and guidelines presentations and training material requests for proposals statistics and statistical reports terms of reference work plans",
CSC COP 080,Community-based residential facilities,Établissements résidentiels communautaires,"agreements application forms assessment tools briefing notes contracts correspondence forms frameworks legal opinions letters meeting agendas and minutes memoranda of understanding notes police reports policies, procedures and guidelines recommendations speaking notes screening tools statistics and statistical reports threat risk assessments work plans","ententes; formulaires de demande; outils d’évaluation; notes d’information; contrats; correspondance; formulaires; cadres de travail; avis juridiques; lettres; ordres du jour et comptes rendus de réunions; protocoles d’entente; notes; rapports de police; politiques, procédures et lignes directrices; recommandations; notes d’allocution; outils de contrôle; statistiques et rapports statistiques; évaluations de la menace et des risques; plans de travail."
