record_number,name_en,name_fr,document_types_en,document_types_fr
WAGE001,Women's Program,Programme de promotion de la femme,"Funding guidelines, funded initiatives, accountability framework, grants and contributions management, regional organizations by province/territory, terms and conditions, backgrounders, environmental scans, briefing and discussion papers, policy documents, Treasury Board Submissions, memoranda, recommendation documents, engagement strategies, agendas, minutes of meetings, speaking points, placemats and presentations.","Lignes directrices en matière de financement, initiatives financées, cadre de responsabilisation, gestion des subventions et des contributions, organismes régionaux par province/territoire, modalités, documents d’information, analyses de l’environnement, documents d’information et de discussion, documents de politique, soumissions au Conseil du Trésor, mémoires, documents de recommandation, stratégies d'engagement, ordres du jour, procès-verbaux de réunions, points de parole, tableaux-synthèses et présentations."
WAGE002,Gender-Based Violence (GBV) Program,Programme de financement de la lutte contre la violence fondée sur le sexe (VFS),"Funding guidelines, funded initiatives, accountability framework, grants and contributions management, regional organizations by province/territory, terms and conditions, backgrounders, environmental scans, briefing and discussion papers, policy documents, memoranda to Cabinet, Treasury Board Submissions, memoranda, recommendation documents, agendas, minutes of meetings, speaking points, placemats and presentations.","Lignes directrices en matière de financement, initiatives financées, cadre de responsabilisation, gestion des subventions et des contributions, organismes régionaux par province/territoire, modalités et conditions, documents d’information, analyses de l’environnement, documents d’information et de discussion, documents de politique, notes de service, mémoires au Cabinet, au Conseil du Trésor, mémoires, documents de recommandation, ordres du jour, procès-verbaux de réunions, points d’allocution, tableaux-synthèses et présentations."
WAGE003,"Equality for Sex, Sexual Orientation, Gender Identity and Expression (SSOGIE) Program","Programme de promotion de l’égalité des sexes, de l’orientation sexuelle, de l’identité et de l’expression de genre (SOSIEG)","Funding guidelines, funded initiatives, accountability framework, grants and contributions management, regional organizations by province/territory, terms and conditions, statistical and data analysis, backgrounders, reports, briefing and discussion papers, policy documents, memoranda to Cabinet, Treasury Board Submissions, memoranda, recommendation documents, agendas, minutes of meetings, speaking points, placemats and presentations.","lignes directrices en matière de financement, initiatives financées, cadre de responsabilisation, gestion des subventions et des contributions, organismes régionaux par province/territoire, modalités et conditions, analyses statistiques et de données, documents d’information, rapports, documents d’information et de discussion, documents de politiques, mémoires au Cabinet, présentations au Conseil du Trésor, mémoires, documents de recommandation, ordres du jour, procès-verbaux de réunions, points d’allocution, tableaux-synthèses et présentations."
WAGE004,"Strategic Policy Planning, Foresight, and Engagement","Planification politique stratégique, prospective et mobilisation","Reporting documents, briefing notes, agendas, minutes, presentations, correspondence.","Documents de rapport, notes d’information, ordres du jour, procès-verbaux, présentations, correspondance."
WAGE005,Gender-based Analysis Plus (GBA Plus),Analyse comparative entre les sexes plus (ACS Plus),"Workplans, evaluations, presentations, training materials, guidance documents, consultation guides and consultation notes, correspondence, committee terms of reference and members’ lists, briefing notes, Cabinet documents, Memorandum of Understanding, financial agreements, request for standing offers (RFSO) terms and conditions, and reports.","Plans de travail, évaluations, présentations, matériel de formation, documents d’orientation, guides de consultation et notes de consultation, correspondance, Mandat et membres des comités listes, notes d’information, documents au Cabinet, protocoles d’entente, accords de financement, modalités et conditions des demandes d’offres à commandes (DOC) et divers types de rapports."
WAGE006,Gender-Based Violence,Violence fondée sur le sexe,"Contracts, memoranda, submissions, procedures, policies, surveys, statistical documents, agendas and minutes of meetings, and research, terms of reference, strategy and action plan, annual reports, recommendations documents, briefing and discussion papers, policy documents, , correspondence, backgrounders, reports, guides, assessments, factsheets, infographics, awareness campaigns, news releases, speaking notes, list of interested parties, civil society organizations and indigenous partners and distribution lists, performance management documents, funding agreements, payments, spreadsheets, presentations, etc.","Contrats, mémoires, soumissions, procédures, politiques, sondages, documents statistiques, ordres du jour et procès-verbaux de réunions, recherche, mandat, stratégie et plan d’action, rapports annuels, documents de recommandations, documents d’information et de discussion, documents de politique, documents d’évaluation, correspondance, documents de contexte, rapports, guides, fiches d’information, infographies, campagnes de sensibilisation, communiqués de presse, notes d’allocution, liste des parties intéressées, des organismes de la société civile et des partenaires autochtones et listes de distribution, documents de gestion du rendement, accords de financement, paiements, feuilles de calcul, présentations, etc."
WAGE007,2SLGBTQI+ Action Plan,Plan d'action 2ELGBTQI+,"Policies, surveys, agendas and meeting minutes, terms of reference, data and subsequent analysis, community engagement reports, recommendations documents, briefing and discussion papers, policy documents, correspondence, backgrounders, reports, distribution lists, presentations.","Politiques, sondages, ordres du jour et procès-verbaux de réunions, mandat, données et analyses ultérieures, rapports de mobilisation communautaire, documents de recommandations, documents d’information et de discussion, documents de politique, correspondance, documents d’information, rapports, listes de distribution, présentations."
WAGE008,Research and Innovation,Recherche et innovation,"Contracts, Memorandum of Understanding, letters of agreements, research submissions, surveys, data tables, statistical documents, statements of work, evaluation criteria, research plan, agendas and minutes of meetings, academic publications and research, reports, recommendations documents, briefing notes, correspondence, backgrounders, assessments, factsheets, infographics, list of stakeholders, distribution lists, funding agreements and presentations.","Contrats, protocoles d’entente, lettres d’entente, soumissions de recherche, sondages, tableaux de données, documents statistiques, déclarations de travaux, critères d’évaluation, plan de recherche, ordres du jour et procès-verbaux de réunions, publications et recherches universitaires, rapports, documents de recommandations, notes d’information, correspondance, documents d’information, évaluations, fiches d’information, infographies, liste des parties prenantes, listes de distribution, accords de financement et présentations."
WAGE009,"Federal, Provincial and Territorial (FPT) Relations","Relations fédérales, provinciales et territoriales (FPT)","Briefing notes; agendas, meeting notes; correspondence replies, terms of reference, records of decision.","Notes d’information; ordres du jour, notes de réunions; réponses à la correspondance, mandat, comptes rendus de décision."
WAGE010,International Relations,Relations internationales,"briefing notes, reports, agendas.","notes d’information, rapports, ordres du jour."
