record_number,name_en,name_fr,document_types_en,document_types_fr
AAC 248,,Agence canadienne du pari mutuel (catégorie de documents),,"Permis, licences et autorisations de paris, correspondance, rapports, tableaux, calendriers des courses, résultats des courses, dépistages des drogues équines, résultats et registres de prélèvements, consultations, rapports, directives et notes de service. Sommaires des divulgations Les résultats positifs aux dépistages des drogues équines sont communiqués aux autorités provinciales chargées des courses."
AAC 2500,,Loi canadienne sur les prêts agricoles (catégorie de documents),,"Demandes d'enregistrement de prêt et acquittement de droits, demandes de révision des modalités du prêt, rapports sur les défauts de paiement et demandes d'indemnisation pour perte, relevés de compte de prêts, billets à ordre, documents sur la garantie, bilans de réalisation et autres documents liés à l'octroi du prêt et aux procédures de réalisation pour les prêts en souffrance, procédures du programme, politiques et avis juridiques. Sommaires des divulgations Institutions financières désignées en vertu de la Loi canadienne sur les prêts agricoles, y compris des banques à charte, des coopératives de crédit et des caisses populaires. Protocole d'entente entre AAC et Innovation, Sciences et Développement économique"
AAC 2600,,Loi sur les programmes de commercialisation agricole : Programme de paiements anticipés (catégorie de documents),,"Demandes, évaluations, rapports, correspondance, accords, relevés bancaires, états de compte, documents des programmes de gestion des risques de l'entreprise, procédures, politiques et avis juridiques. Sommaires des divulgations Aucune divulgation."
AAC 2610,,Loi sur les programmes de commercialisation agricole : Programme de mise en commun des prix (catégorie de documents),,"Formulaires de demande, plans, états financiers et rapports mensuels de ventes. Sommaires des divulgations Aucune divulgation."
AAC 6095,,Programme de la marque Canada (catégorie de documents),,"Documents d'analyse, graphiques et lignes directrices connexes, documents de planification et d'évaluation du programme. Sommaires des divulgations Aucune divulgation."
AAC 2900,,Programme de réserve pour pertes sur prêts dans l'industrie porcine (catégorie de documents),,"Formulaires, état du compte de prêt, preuve de versement du prêt, preuve d'activité de collecte, copie des documents juridiques qui se rapportent aux activités de collecte et factures. Sommaires des divulgations Il n'y a pas eu de divulgation."
AAC 221,,Recrutement et dotation (catégorie de documents),,"Annonces d'offres d'emploi, formulaires et questionnaires de demande d'emploi, procédures, examens normalisés ou internes, questions et réponses types pour les entrevues, outils de vérification des références, entrevues et tests enregistrés, renseignements contenus dans les outils automatisés ou Web de demande d'emploi, guides d'évaluation, évaluation des membres du jury, notations et résultats, rapports du jury et décisions de sélection, procédures, listes de contrôle et lettres de dotation, répertoires et bassins de candidats qualifiés ou partiellement qualifiés, demandes de renseignements et réponses, résultats de l'évaluation de seconde langue, etc. Sommaires des divulgations Les renseignements peuvent être communiqués à ces organismes : la Commission de la fonction publique, le Secrétariat du Conseil du Trésor et d'autres institutions gouvernementales à des fins d'audit, de recrutement, d'équité en matière d'emploi et de dotation en personnel (y compris les plaintes), conformément aux FRP suivants : Fichiers propres aux institutions pour la Commission de la fonction publique du Canada Répertoires des candidats et présentations - CFP PPU 015; Évaluation par le Centre de psychologie du personnel - CFP PCU 025; Dotation des cadres de direction - CFP PCE 746; Cadre analytique - CFP PCE 761; Enquêtes, médiation, conciliation - CFP PPU 010; Fichiers propres aux institutions pour le Secrétariat du Conseil du Trésor du Canada Banque de données sur l'équité en matière d'emploi - SCT PCE 739; Système de surveillance du réaménagement des effectifs (SSRE) - SCT PCE 804. Les renseignements liés aux plaintes de dotation peuvent être partagés avec la Commission de la fonction publique. Des informations peuvent être fournies aux ressources humaines à des fins de planification (fichier de renseignements personnels ordinaires Planification des ressources humaines - POU 935). Les bassins de recrutement de candidats qualifiés ou partiellement évalués peuvent être communiqués au sein d'AAC pour pourvoir des postes similaires ou, lorsque l'affichage du poste indique que le processus de sélection utilise un bassin ouvert, les renseignements peuvent être communiqués à d'autres organismes du gouvernement fédéral qui pourvoient des postes similaires."
AAC 2020,,Programme d'emploi et de compétences des jeunes (catégorie de documents),,"Lignes directrices, modalités, contrats, ententes de contribution, propositions, critères d'évaluation, notes de service, documents sur le financement, procédures, politiques, avis juridiques, plans de projet, rapports statistiques, ordres du jour et comptes rendus de réunion. Sommaires des divulgations AAC partage des renseignements agrégés sur le Programme avec Emploi et Développement social Canada. Des renseignements financiers sont communiqués à l'ARC concernant les avantages financiers reçus. Les renseignements personnels sont communiqués aux institutions financières à des fins de déclaration fiscale des paiements du Programme (formulaire AGR-1). Les renseignements relatifs au programme peuvent être communiqués à d'autres programmes d'AAC à des fins administratives, d'évaluation du programme et d'audit."
AAC 2800,,Agri-investissement (catégorie de documents),,"Formulaires de demande (notamment états financiers de l'exploitation agricole), évaluation du risque agroenvironnemental, ententes de contribution, données financières, rapports, correspondance, protocoles d'entente, avis juridiques, ordres du jour, présentations, procédures et politiques. Sommaires des divulgations Toutes les provinces et tous les territoires au titre de l'Accord-cadre multilatéral Protocole d'entente entre l'Agence du revenu du Canada (ARC) et AAC"
AAC 2400,,Agri-protection (catégorie de documents),,"Ententes fédérales-provinciales, conseils et consultations stratégiques sur les politiques, statistiques, analyses, réclamations provinciales, rapports d'audit et certificats actuariels. Sommaires des divulgations Certains renseignements de ce programme sont soumis à des exigences de publication proactive en vertu de la partie II de la Loi sur l'accès à l'information."
