record_number,name_en,name_fr,document_types_en,document_types_fr
PCH ACI 005,Arts Branch - administration,Direction générale des arts - administration,"Application files (including incorporation documents, the organization's constitution and bylaws, financial statements and contact information), briefing notes, correspondence, annual reports, business plans, contracts, evaluations, fact sheets, reports, invitation fiches, invoices, legislation, media lines, memoranda of understanding, policy papers, presentations, speeches, procedures, and surveys.","Dossiers de demande (y compris les documents de constitution en société, les statuts et règlements de l'organisation, les états financiers, et les coordonnées de la personne-ressource), notes de breffage, correspondance, rapports, rapports annuels, plans d'activités, contrats, évaluations, fiches de renseignements, états financiers et rapports, fiches d'invitation, factures, législation, infocapsules, protocoles d'entente, énoncés de politique, présentations, discours, procédures, et sondages."
PCH ACI 015,Canada Arts Presentation Fund – financial support,Fonds du Canada pour la présentation des arts - soutien financier,"Application files (including incorporation documents, the organization's constitution and bylaws, financial statements, contact information, project summary, business plans and budgets); other program-related records such as project and activity reports, evaluations, audits, surveys, contracts, grant or contribution agreements, and correspondence (emails, letters, briefing notes, fact sheets, media lines and question period notes).","Dossiers de demande (y compris les documents de constitution, les statuts et règlements de l'organisation, les états financiers, les coordonnées de la personne-ressource, le résumé du projet, les plans d'affaires, et les budgets); autres documents liés au programme tels que les rapports finaux de projet ou d'activités, les évaluations, les audits, les sondages, les contrats, les ententes de contribution ou de subvention, et la correspondance (courriels, lettres, notes d'information, feuillets d'information, infocapsules, fiches de période de questions)."
PCH ACI 100,Canada Arts Training Fund – financial support,Fonds du Canada pour la formation dans le secteur des arts – soutien financier,"Application files (including incorporation documents, the organization's constitution and bylaws, financial statements, contact information, project summary, business plans and budgets); other program-related records such as project and activity reports, evaluations, audits, surveys, contracts, grant or contribution agreements, and correspondence (emails, letters, briefing notes, fact sheets, media lines and question period notes).","Dossiers de demande (y compris les documents de constitution, les statuts et règlements de l'organisation, les états financiers, les coordonnées de la personne-ressource, le résumé du projet, les plans d'affaires, et les budgets); autres documents liés au programme tels que les rapports finaux de projet ou d'activités, les évaluations, les audits, les sondages, les contrats, les ententes de contribution ou de subvention, et la correspondance (courriels, lettres, notes d'information, feuillets d'information, infocapsules, fiches de période de questions)."
PCH ACI 050,Canada Cultural Investment Fund – financial support,Fonds du Canada pour l'investissement en culture - soutien financier,"Application files (including incorporation documents, the organization's constitution and bylaws, financial statements, contact information, project summary, business plans and budgets); other program-related records such as project and activity reports, evaluations, audits, surveys, contracts, grant or contribution agreements, and correspondence (emails, letters, briefing notes, fact sheets, media lines and question period notes).","Dossiers de demande (y compris les documents de constitution, les statuts et règlements de l'organisation, les états financiers, les coordonnées de la personne-ressource, le résumé du projet, les plans d'affaires, et les budgets); autres documents liés au programme tels que les rapports finaux de projet ou d'activités, les évaluations, les audits, les sondages, les contrats, les ententes de contribution ou de subvention, et la correspondance (courriels, lettres, notes d'information, feuillets d'information, infocapsules, fiches de période de questions)."
PCH ACI 080,Canada Cultural Spaces Fund – financial support,Fonds du Canada pour les espaces culturels – soutien financier,"Application files (including incorporation documents, the organization's constitution and bylaws, financial statements, contact information, project summary, business plans and budgets); other program-related records such as project and activity reports, evaluations, audits, surveys, contracts, grant or contribution agreements, and correspondence (emails, letters, briefing notes, fact sheets, media lines and question period notes).","Dossiers de demande (y compris les documents de constitution en société, les statuts et règlements de l’organisation, les états financiers, les coordonnées de la personne-ressource, le résumé du projet, les plans d’affaires, et les budgets); autres documents liés au programme tels que les rapports finaux de projet ou d’activités, les évaluations, les audits, les sondages, les contrats, les ententes de contribution ou de subvention, et la correspondance (courriels, lettres, notes d’information, feuillets d’information, infocapsules, fiches de période de questions)."
PCH ACI 085,Fathers of Confederation Buildings Trust – financial support,Groupe fiduciaire des édifices des Pères de la Confédération – soutien financier,"Annual reports, financial statements, correspondence, contribution agreements, briefing notes, fact sheets, evaluations, question period notes, recommendations, media lines, and reports.","Rapports annuels, états financiers, correspondance, ententes de financement, notes de breffage, fiches de renseignements, évaluations, fiches pour la période de questions, recommandations, infocapsules et rapports."
PCH ACI 135,Canada Performing Arts Workers Resilience Fund,Fonds pour la résilience des travailleurs du secteur des spectacles sur scène du Canada,"Application files, contact information, project summary, business plans and budgets; contribution agreements, and correspondence (emails, letters, briefing notes, fact sheets, media lines and question period notes).","Dossiers de candidature, coordonnées, rapports finaux de projet ou d'activités, plans d'affaires et budgets, ententes de contribution ou de subvention, et correspondance (courriels, lettres, notes d'information, feuillets d'information, infocapsules, fiches de période de questions)."
PCH ACI 075,Cultural Sector Investment Review – administration,Examen des investissements dans le secteur culturel - administration,"Application and notification forms, summaries of analyses, legislation, regulations and related policy instruments, briefing notes, correspondence, reports, legal opinions, ministerial recommendations, information fiches, financial reports, communiqués, letters, evaluations, procedures, surveys, agendas, minutes of proceedings, policy papers, and question period notes.","Les formulaires de demande d'examen et d'avis, les résumés d'analyse, des lois, des politiques et des règlements, notes de breffage, correspondance, rapports, avis juridiques, recommandations ministérielles, fiches de renseignement, rapports financiers, communiqués, lettres, évaluations, procédures, sondages, ordres du jour, procès-verbaux et énoncés de politique, fiches pour la période de questions."
PCH ACI 140,Creative Export Canada – Financial support,Exportation créative Canada – soutien financier,"Business/strategic plans, budgets, policy recommendations, grant and contribution agreements, export plans, annual reports, applications, audiovisual/music/design/interactive digital media/publishing/visual art/performing art documents, contracts, correspondence (briefing notes, email, letters, memoranda), databases, evaluation criteria, evaluations, fact sheets, financial reports, financial statements, forms, invitation fiches, invoices, legal opinions, legislation and regulations documents, memoranda of understanding, minutes, plans, procedures, program evaluations, program guidelines, question period notes, proposals, presentations, recommendations, reports (activity reports, audit reports, statistical reports, technical reports), scenarios, speeches, statements of work, surveys, presentations, correspondence, reports, media lines, media clippings, policy papers, legal advice, presentations, speeches and correspondence (letters, memos, email messages, etc.), studies, funding agreements, fact sheets and media lines. Format: Websites, databases, USB keys.","Plans d'activités, plans stratégiques, budgets, recommandations stratégiques, accords de contribution, plans d'exportation, rapports annuels, formulaires de demande, documents/contrats à l’appui (projets d‘audiovisuelle, de musique, de design, de média numérique interactif, d'édition, d'art visuel, et d'arts de la scène), correspondance (notes d'information, courriels, lettres, mémos…), bases de données, critères d'évaluation, évaluations, fiches d'information, rapports financiers, états financiers, formulaires, fiches d'invitation, factures, avis juridiques, documents législatifs et réglementaires, protocoles d'accord, procès-verbaux, plans, procédures, évaluations de programme, lignes directrices de programme, notes de la période de questions, propositions, présentations, recommandations, rapports (rapports d'activités, d'audit, de statistiques, d'expertise), scénarios, énoncés de travail, sondages, rapports, documents de consultations, listes de demandes reçues, infocapsules, coupures de presse, documents de politique, conseil juridique, exposés, discours, correspondance (lettres, mémos, message courriel, etc.), études, accords de financement et fiches d’information. Format : Site Web, bases de données, clés USB."
PCH ACI 115,International Trade - Policy and Negotiations,Politique du commerce international et des négociations,"Meeting agendas, negotiating instructions, briefing notes, correspondence, reports, consultations, fact sheets, legal opinions, legislation and regulations, memoranda of understanding, discussion papers and decks, meeting reports, recommendations, research papers, statistical reports, key messages, speeches and correspondence (letters, memos, email messages, etc.).","Ordres du jour, instructions pour les négociations, notes d'information, correspondance, rapports, consultations, fiches techniques, avis juridiques, lois et règlements, protocoles d'entente, documents de discussion, présentations, rapports de réunion, recommandations, documents de recherche, rapports statistiques, messages clés, discours et correspondance (lettres, mémos, courriels, etc.)."
