record_number,name_en,name_fr,document_types_en,document_types_fr
CIC ASB 023,Federal Skilled Workers,,"Letters, briefing notes, ministerial correspondence, policies, directives, manuals, forms, operational memoranda on the Immigration and Refugee Protection Act and Regulations, proposed amendments thereto, historical amendments and regulatory impact analysis statements (RIAS), and other related statutory instruments; legislative and regulatory policy relating to admissibility. Topics covered include but are not limited to: international partnerships including reciprocal arrangements with the United States; the Canada-US Perimeter Security and Economic Competitiveness Declaration; discussions with Five Country Conference partners related to information sharing; identity policy, including biometric policy; electronic travel authorization; visa and document policy issues related to persons seeking entry to Canada; policies, directives and reports on quality assurance and anti-fraud activities; issues pertaining to security and intelligence; negotiation of international and domestic information sharing agreements.",
CIC ASB 010,Federal Business Programs,,Policies and procedures relating to the admission of persons under the Entrepreneur/Investor/Self-Employed categories. Monitoring funds invested and general use of funds (pre 1999).,
CIC ASB 009,International Students,,Analysis and policies related to the determination of applications for temporary entry of international students to Canada. Partnership arrangements with provinces and territories; and program integrity measures for temporary foreign workers.,
CIC ASB 012,Temporary Foreign Workers,,"Analysis and policies related to the determination of applications for temporary entry of visitors, live-in caregivers and other temporary workers to Canada. Partnership arrangements with provinces and territories; and program integrity measures for temporary foreign workers.",
CIC ASB 013,"Spouses, Partners and Children Reunification",,Policies related to the assessment of applications for sponsorship of members of the family classes and public policy consideration.,
CIC ASB 014,Parents and Grandparents Reunification,,Policies related to the assessment of applications for sponsorship of members of the family classes and public policy consideration.,
CIC ASB 008,In-Canada Asylum,,"Policies, procedures, terms and conditions, other types of documents that would relate to this activity.",
CIC AOB 007,Foreign Credentials Referral,,Summary of e-mails received from the clients.,
CIC ASB 020,Settlement,,"Development of policies, guidelines and programs for all provinces and territories where IRCC is responsible for the direct delivery of settlement programs.",
CIC ASB 011,Immigration Loan,,"Immigration loans are provided to those persons accepted as permanent residents; general settlement assistance; transportation; assistance loan, clothing, medical examinations, right of permanent residence fee, emergency assistance.",
CIC ASB 021,Refugee Resettlement Assistance Program,,"Development of policies, guidelines and programs for all provinces and territories where IRCC is responsible for the direct delivery of settlement programs.",
CIC ASB 004,"Citizenship Acquisition, Confirmation & Revocation",,"Legislative, regulatory and program policies relating to citizenship legislation; citizenship by naturalization; acquisition of Canadian citizenship; certificates of citizenship; residence requirements; tools used for the assessment of citizenship knowledge requirements (test and study guide) and language requirements (assessment and screening tools); prohibitions; violation and penalty for offence against acts or regulations; hearings; oaths or affirmations; loss of citizenship; renunciation of citizenship; revocation of citizenship; resumption of citizenship; statelessness; dual nationality; Citizenship Act; Citizenship Regulations; authority of Governor in Council; and previous citizenship legislation.",
CIC AOB 006,Health Screening,,Files describing the panel members practice and the audits performed by IRCC on the DMP/Examiner.,
CIC ASB 016,Permanent Resident Status Documents,,"By immigrant class, statistics on applications received, persons in process, visas issued, number of persons landed as permanent residents, source countries and province of destination. Note: These records may be shared with the Canada Border Services Agency (CBSA).",
CIC APB 018,Fraud Prevention and Program Integrity Protection,,"Case processing information, reports.",
