record_number,name_en,name_fr,document_types_en,document_types_fr
CIRNAC TAG 016,"Negotiation of Rights-Based Agreements, Including Treaties, Self-Government Agreements and Other Constructive Arrangements",,"Claim issues and negotiations, governmental approval processes, funding arrangements, government obligations, precedents, statistics related to rights-based agreements, studies related to rights-based agreements, committees, procedures and meetings (Federal Steering Committee on Section 35 Rights - Transactional stream and Policy and Coordination stream), policy positions, policy guidelines, policy research and advice, self government proposals, assessments and responses, negotiation reports, conferences, agreements, memoranda of understanding, and workshops. Includes records related to program guidelines, claims and treaty agreements negotiation support funding proposals assessment and responses, funding arrangements, funding recipient reports.",
CIRNAC TAG 855,Treaty commissions and treaty tables,Commissions d'étude des traités et tables de discussions sur les traités,"Files relating to exploratory treaty discussions, Office of the Treaty Commissioner in Saskatchewan, Treaty Relations Commission of Manitoba, treaty issues and claims, historic treaty-related litigation and legal issues, and individual treaty files. Includes records related to program guidelines, treaty commissions and tables funding proposals assessment and responses, funding arrangements, funding recipient reports.","Dossiers portant sur les discussions exploratoires sur les traités, Bureau du commissaire aux traités de la Saskatchewan, Commission des relations découlant des traités du Manitoba, revendications et questions découlant des traités, litiges associés aux traités historiques, questions juridiques et dossiers individuels portant sur les traités. Comprend des documents relatifs aux lignes directrices du programme, à l'évaluation des propositions de financement et aux réponses des commissions des traités et des tables de discussions des traités, aux ententes de financement, aux rapports des bénéficiaires du financement."
CIRNAC TAG 392,Assessment of historical research,Évaluation et recherche historique,"Information created on the analysis of claims, research projects, research services, and information on claims or special historical situations, claims negotiation support funding proposals assessment and responses, funding arrangements, funding recipient reports.","Informations créées sur l'analyse des revendications, les projets de recherche, les services de recherche et les renseignements sur les revendications ou les situations historiques spéciales, l'appui à la négociation des revendications, l'évaluation des propositions de financement et les réponses, les ententes de financement, les rapports des bénéficiaires du financement."
CIRNAC TAG 141,Program description,Description du programme,"Claims-related research policy and negotiation positions, value and compensation related assessments and studies, correspondence, briefing notes, presentations, legal opinions, statistics, final agreements, and guidelines.","Documents relatifs aux positions de négociation et aux politiques de recherche liées aux revendications, évaluations et études relatives à la valeur et à la rémunération, correspondance, notes d'information, présentations, avis juridiques, statistiques, ententes finales et directives."
CIRNAC IS 1106,Implementation of Comprehensive Land Claim Agreements,Mise en œuvre des ententes sur les revendications territoriales globales,"Comprehensive land claim agreements, Self-government agreements, implementation plans, fiscal transfer agreements, orders-in-council, financial audits and records received, guidelines, annual reports, memorandum to cabinet, treasury board submissions, briefing notes.","Ententes sur les revendications territoriales globales, ententes sur l'autonomie gouvernementale, plans de mise en œuvre, ententes de transfert financier, décrets, vérifications et rapports financiers reçus, lignes directrices, rapports annuels, mémoires au Cabinet, présentations au Conseil du Trésor, note de breffage."
CIRNAC IS 1003,Program description,Description du programme,"Funding agreements, financial and other reports relating to protocols with Indigenous groups, policy documents, briefing materials and correspondence related to Indigenous consultation, documents related to assertions of rights, updated guidelines and training materials for federal officials, contracts and human resources management documents.","Ententes de financement, rapports financiers et autres liés aux protocoles avec les groupes autochtones, documents de politique, documents d'information et correspondance sur la consultation des Autochtones, documents associés à la revendication de droits, lignes directrices à jour et matériel de formation destinés aux fonctionnaires fédéraux, contrats et documents de gestion des ressources humaines."
CIRNAC PSD 1040,Métis Rights Management,Gestion des droits des Métis,"Proposals, budgets, financial forecasts and statements, incorporation documents and letters patents, constitution and by-laws, resolutions from annual general assemblies, legal signing authorities and board members and executive, audited financial statements, risk assessments, eligibility assessments, activity and financial reports, letters of provincial support, work plans.","Propositions, budgets, prévisions et états financiers, documents et lettres de constitution, constitution et règlements, décisions des assemblées générales annuelles, délégations légales du pouvoir de signature et membres du conseil et de l'exécutif, états financiers vérifiés, évaluations des risques, évaluations de l'admissibilité, rapports d'activité et financiers, lettres de soutien provincial, plans de travail."
CIRNAC PSD 1026,Métis and Non-Status Indian Organizational Capacity Development,Capacité de développement organisationnel des Métis et des Indiens non-inscrits,"Proposals, budgets, financial forecasts and statements, incorporation documents and letters patent, constitution and by-laws, resolutions from annual general assemblies, legal signing authorities and Board Members and Executive, audited financial statements, risk assessments, eligibility assessments, activity and financial reports, letters of provincial support, work plans.","Propositions, budgets, prévisions et états financiers, documents et lettres de constitution, constitution et règlements, décisions des assemblées générales annuelles, délégations légales du pouvoir de signature et membres du conseil et de l'exécutif, états financiers vérifiés, évaluations des risques, évaluations de l'admissibilité, rapports d'activité et financiers, lettres de soutien provincial, plans de travail."
CIRNAC NAO 1010,Inuit Relations Directorate,Direction des relations avec les Inuit,"List of events, government departments, Inuit organization list, email, letters, presentations, briefing materials, funding agreements, reports, minutes and planning documents.","Liste d'événements, ministères, liste d'organisations inuites, courriels, lettres, présentations, documents d'information, ententes de financement, rapports, procès-verbaux et documents de planification."
CIRNAC RIA 1107,Opt-Out Process,Processus de retrait,"Opt-out forms, correspondence, rescinded Opt-Out forms.","Formulaires de retrait, correspondance, formulaires de retrait annulés."
CIRNAC RIA 1108,Commemoration initiative,Initiative de commémoration,"Correspondence, briefing notes, decks, communications products, project proposals, third party intellectual property, contribution agreements, recipient reports, and program terms of reference.","Correspondance, notes d'information, dossiers de présentation, produits de communication, propositions de projets, droits de propriété intellectuelle de tierces parties, accords de contribution, rapports sur les bénéficiaires, mandat du programme."
CIRNAC RIA 1109,Support to the Truth and Reconciliation Commission,Appui à la Commission de vérité de réconciliation,"Correspondence, briefing notes, records of decision, policy positions, project management documentation, memoranda of understanding, background material, meeting minutes, reports, presentation materials, and legal documents.","Correspondance, notes d'information, rapports de décision, positions de principe, documents sur la gestion de projets, protocoles d'entente, documents d'information, procès-verbaux de réunions, rapports, dossiers de présentation et document juridiques."
CIRNAC NAO 271,Territorial Socio-Economic and Financial Data,Gestion des données socioéconomiques et financières des territoires,Data are published annually in Northern Indicators and then every 5 years following the Census in Northern Census Highlights.,"Publication des données dans le rapport annuel intitulé Indicateurs du Nord, et ensuite tous les 5 ans, après le recensement, dans Faits saillants du recensement dans le Nord."
CIRNAC NAO 166,Federal-Territorial Agreements and Arrangements,Accords et arrangements entre le gouvernement fédéral et les territoires,"Agreements and arrangements with the governments of the Yukon, Nunavut and Northwest Territories, and briefing materials providing supporting advice.","Accords et arrangements avec les gouvernements du Yukon, du Nunavut et des Territoires du Nord-Ouest et documents d'information fournissant des conseils à l'appui."
CIRNAC NAO 202,Northern Political Development,Évolution politique du Nord,"Briefing notes, other briefing materials, correspondence, Order-in-Council submissions, draft legislative amendments, funding agreements, protocol, process, planning documents, minutes, presentations, correspondence, emails and reports.","Notes d'information, autres documents d'information, correspondance, présentation de décrets, version provisoire de modifications législatives, accords de financement, protocoles, processus, documents de planification, procès-verbaux, présentations, correspondance, courriels et rapports."
CIRNAC NAO 146,Arctic and Northern Policy Development,Élaboration de politiques pour l'Arctique et le Nord du Canada,"Correspondence, committee records, studies, briefing notes, correspondence, emails, reports and other briefing materials.","Correspondance, documents des comités, études, notes d'information, correspondance, courriels, rapports et autres documents d'information."
CIRNAC NAO 100,Northwest Territories Devolution,Transfert de responsabilités aux Territoires du Nord-Ouest,"Devolution negotiations documents, legislation supporting materials, protocol, process documents, planning documents, correspondence, briefing notes, decks, emails, reports, meeting agendas, presentation and other briefing materials providing supporting advice.","Documents sur la négociation du transfert des responsabilités, documents complémentaires à la législation, protocoles, documents de procédures, documents de planification, correspondance, notes d'information, dossiers de présentation, courriels, rapports, ordres du jour des réunions, présentations et autres documents d'information fournissant des conseils à l'appui."
CIRNAC NAO 140,Nunavut Implementation,Établissement du Nunavut,"Plans, reports, surveys, studies, statute revisions, meeting minutes, shared service agreements, briefing notes, legislation supporting materials, planning documents, lists, statements of work, proposals, budgets and correspondence.","Plans, rapports, enquêtes, études, révision de lois, procès-verbaux de réunions, accords de services partagés, notes d'information, documents complémentaires à la législation, documents de planification, listes, énoncés de travail, propositions, budgets et correspondance."
CIRNAC NAO 161,Territorial Government Administration,Administration gouvernementale des territoires,"Correspondence, funding agreements, reports, lists, legislation supporting materials, planning documents, policy framework, studies, briefing notes, other briefing materials, Territorial Council debate documents and territorial Legislative Assembly documents.","Correspondance, ententes de financement, rapports, listes, documents complémentaires à la législation, documents de planification, cadres stratégiques, études, notes d'information, autres documents d'information, documents des débats du Conseil territorial et documents de l'assemblée législative du Conseil territorial."
