record_number,name_en,name_fr,document_types_en,document_types_fr
FIN TPB 001,Business Income Taxation,Impôt sur le revenu des sociétés,"Background studies, briefing notes, conference reports, correspondence, divisional work plans, draft legislation, draft regulations, draft speeches, emails, empirical models, estimates, gender-based analyses, house cards, international comparisons, interprovincial comparisons, Memoranda, policy papers, presentations, projections and forecasts), quantitative analysis (including calculations, evaluations, simulations, , strategic environmental assessments, and statistical reports.","Analyses comparatives entre les sexes, analyses quantitatives (incluant les calculs, les évaluations, les simulations, les projections et les prévisions), comparaisons internationales et interprovinciales, correspondance, décrets de remise, ébauches de discours, ébauches de mesures législatives, ébauches de règlements, études préliminaires, évaluations environnementales stratégiques, estimations, exposés de principe, fiches parlementaires, mémoire, modèles empiriques, notes de breffages, plans de travail de la division, présentations, rapports de statistique, rapports sur des conférences."
FIN TAX 755,"Excise Taxes, Excise Duties and Other Sales Taxes and Charges",Taxes et droits d'accises,"Background studies; briefing notes, conference reports, correspondence, divisional work plans, draft legislation, draft regulations, draft remission orders, draft speeches, emails, empirical models, estimates, gender-based analyses, house cards, international comparisons, interprovincial comparisons, Memoranda, policy papers, presentations, quantitative analysis (including calculations, evaluations, simulations, projections and forecasts), strategic environmental assessments, and statistical reports.","accord concernant la double imposition internationales, analyses comparatives entre les sexes, analyses quantitatives (incluant les calculs, les évaluations, les simulations, les projections et les prévisions), , comparaisons internationales, comparaisons interprovinciales, correspondance, courriels, décrets de remise, ébauches de discours, ébauches de mesures législatives, ébauches de règlements, estimations, études préliminaires, évaluations environnementales stratégiques, exposés de principe, fiches parlementaires, mémoire, modèles empiriques, notes de breffage, plans de travail de la division, présentations, rapports de statistique; et rapports sur des conférences."
FIN TAX 747,Goods and Services Tax (GST) and Harmonized Sales Tax (HST),Taxe sur les produits et services et taxe de vente harmonisée (TPS/TVH),"Agreements with provinces, background studies, briefing notes, conference reports, correspondence, divisional work plans, draft legislation, draft regulations, draft remission orders, draft speeches, emails, empirical models, estimates, evaluations, gender-based analyses, house cards, international comparisons, international tax agreements, interprovincial comparisons, Memoranda, policy papers, presentations, quantitative analysis (including calculations, simulations, projections and forecasts), strategic environmental assessments, and statistical reports.","Accord concernant la double imposition internationales, analyses quantitatives (incluant les calculs, les évaluations, les simulations, les projections et les prévision), comparaisons internationales, comparaisons interprovinciales, contrats et accords avec les provinces, correspondance, courriels, décrets de remise, ébauches de discours, ébauches de mesures législatives, ébauches de règlements, estimations, études préliminaires, évaluations environnementales stratégiques, exposés de principe, évaluations environnementales stratégiques, mémoire, modèles empiriques, notes de breffage, plans de travail de la division, présentations, rapports sur des conférences, rapports de statistique."
FIN TPB 002,"Intergovernmental Tax Policy, Evaluation and Research","Politique fiscale intergouvernementale, Recherche et Évaluation","Agreements with provinces, territories, and Indigenous governments, background studies, briefing notes, conference reports, correspondence, divisional work plans, draft legislation, draft regulations, emails, house cards, international comparisons, interprovincial comparisons, Memoranda, policy papers, presentations, quantitative analysis (including calculations, evaluations, simulations, projections and forecasts), and statistical reports.","Analyses quantitatives (incluant les calculs, les évaluations, comparaisons internationales et interprovinciales, contrats et accords avec les provinces, correspondance, courriels, ébauches de discours, ébauches de mesures législatives, ébauches de règlements, études préliminaires, exposés de principe, les projections et les prévisions, les simulations, mémoire, notes de breffage, présentations, plans de travail de la division, rapports de statistique, rapports sur des conférences."
FIN TAX 731,International Taxation,Fiscalité internationale,"Background studies, briefing notes, conference reports, correspondence, emails, divisional work plans, documents relating to international tax treaty negotiations, draft legislation, draft regulations, house cards, remission orders, Memoranda, policy papers, and presentations.","Correspondance, courriels, décrets de remise, documents liés à des négociations internationales sur les traités fiscaux, ébauches de discours, ébauches de mesures législatives, ébauches de règlements, études préliminaires, exposés de principe, mémoires, notes de breffage, plans de travail de la division, présentations, rapports sur des conférences."
FIN TAX 730,Personal Income Taxation,Impôt sur le revenu des particuliers,"Background studies, briefing notes, conference reports, correspondence, divisional work plans, draft legislation, draft regulations, draft speeches, emails, empirical models, estimates, gender-based analyses, house cards, international comparisons, interprovincial comparisons, Memoranda, policy papers, presentations, quantitative analysis (including calculations, evaluations, simulations, projections and forecasts), strategic environmental assessments, and statistical reports.","Analyses comparatives entre les sexes, analyses quantitatives (incluant les calculs, les évaluations, comparaisons internationales et comparaisons interprovinciales), courriels, correspondances, décrets de remise, exposés de principe, fiches parlementaires, ébauches de discours, ébauches de mesures législatives, ébauches de règlements, estimations, études préliminaires, évaluations environnementales stratégiques, les projections et les prévisions), les simulations, mémoire, modèles empiriques, notes de breffage, plans de travail de la division, présentations, rapports de statistique, rapports sur des conférences."
FIN EAF 133,Canadian Forecast,Prévisions canadiennes,"Background and research papers, briefing notes, correspondence, Economic and Fiscal Updates, economic indicator tables, emails, house cards, presentations.","Correspondance, courriels, documents d'information et études, mises à jour économiques et financières; notes de breffage et présentations."
FIN EAF 123,Demand and Labour Analysis,Analyse de la demande et de l'emploi,"Background and research papers, briefing notes, correspondence, Economic and Fiscal Updates, economic indicator tables, house cards, presentations, statistical reports.","Correspondance, courriels, documents d'information et études, mises à jour économiques et financières; notes de breffage, présentations, rapports de statistiques; et tableaux sur les indicateurs économiques."
FIN EAF 120,"Economic, Financial, Provincial and Sectoral Analysis",Analyse des politiques économiques et financières,"Background and research papers, briefing notes, correspondence, Economic and Fiscal Updates, economic indicator tables, emails, house cards, presentations.","Correspondance, courriels, documents d'information d'études, fiches parlementaires, mises à jour économiques et financières, notes de breffage et présentations."
FIN FPD 055,Expenditure Analysis and Forecasting,Analyse et prévision des dépenses,"Briefing notes, cabinet briefings, correspondence, Economic and Fiscal Updates, emails, Fiscal Monitor, house cards, Memoranda, presentations.","Correspondance, courriels, exposés du cabinet, fiche parlementaire, mises à jour économiques et financières, note de service, et présentations."
