record_number,name_en,name_fr,document_types_en,document_types_fr
DFO EFM 400,"Memorandum of Understanding (MOU) between Fisheries and Oceans Canada (DFO) and Transport Canada (TC) regarding Safety at Sea of Food, Social and Ceremonial (FSC) and Recreational Fish Harvesters","Protocole d’entente (PE) entre Pêches et Océans Canada (MPO) et Transports Canada (TC) concernant la sécurité en mer des pêcheurs à des fins alimentaires, sociales et rituelles et des pêcheurs récréatifs",,
DFO EFM 401,Wild Capture Fisheries Management Policies and Strategies,Politiques et stratégies de gestion des pêches d’espèces sauvages,"Memoranda, policy documents, discussion papers, strategies, guidelines, correspondence, presentations, meeting agendas, meeting reports, speeches, work plans, contracts, business planning, financial reports and legal opinions.","Notes de service, documents de politique, documents de travail, stratégies, lignes directrices, correspondance, présentations, ordres du jour de réunion, rapports de réunion, discours, plans de travail, contrats, rapports sur la planification des activités, rapports financiers et avis juridiques."
DFO SCI 302,Science Information in Support of Canadian Recreational Fisheries,Information scientifique utile aux pêches récréatives canadiennes,"Memoranda, reports, research documents, briefings, presentations, correspondence and media lines.","Notes de services, rapports, documents de recherche, séances d’information, présentations, correspondance et infocapsules."
DFO EFM 402,Northern Integrated Commercial Fisheries Initiative,Politique et gouvernance,"Comprehensive Land Claims and Self-Government Agreements background papers, briefings, Rights and Reconciliation Agreements/RIRDs, Contribution Agreements, correspondence, records of decision, evaluations, expressions of interest, legal opinions, legislation, Memoranda to Cabinet, policies, mandates, presentations, e-mails, publications, regulations, reports, tracking Treaty and non-treaty obligations, statistics, and Treasury Board Submissions.","Documents d’information, notes d’information, ententes de réconciliation et de reconnaissance des droits/documents sur la reconnaissance des droits ancestraux et l’autodétermination, ententes de contribution, correspondance, comptes rendus de décision, évaluations, déclarations d’intérêt, avis juridiques, lois, mémoires au Cabinet, politiques, mandats, exposés, courriels, publications, règlements, rapports, suivi des obligations visées ou non par un traité, statistiques et présentations au Conseil du Trésor portant sur les revendications territoriales globales et l’autonomie gouvernementale."
DFO EFM 403,Aquaculture - Program Management,Gestion de l’aquaculture - Administration de programme,"Quantitative data, discussion and consultation documents, working documents, contribution agreements, reports, inter-departmental decisions, cost-benefit analyses, legal opinions, regulations, policies, review reports, memos, scenario notes, briefing notes, business planning and performance management, workplans, presentations, agendas and reports, terms of reference, contracts, Memoranda of Understanding and email messages.","Données quantitatives, documents de travail et de consultation, décisions interministérielles, analyses coûts-avantages, avis juridiques, règlements, politiques, rapports d’examen, notes de service, notes de scénario, notes d’information, planification des activités et gestion du rendement, plans de travail, présentations, ordres du jour et rapports, cadres de référence, contrats, protocoles d’entente et courriels."
DFO EFM 405,Aquatic Ecosystems Restoration Fund (AERF),Fonds de restauration des écosystèmes aquatiques (FREA),"Background papers, briefings, correspondence, records of decision, evaluations, policies, presentations, publications, reports, statistics, funding applications (Expressions of Interest, proposals, and supporting financial and technical information), Memoranda to Cabinet and Treasury Board submissions.","Documents d’information, notes d’information, correspondance, comptes rendus, évaluations, politiques, présentations, publications, rapports, statistiques, demandes de financement (déclarations d’intérêt, propositions, et renseignements financiers et techniques à l’appui), mémoires au Cabinet et présentations au Conseil du Trésor."
DFO INT 800,Fisheries and Marine Ecosystems Related Information,Renseignements sur les pêches et les écosystèmes marins,"Background papers, briefings, memoranda, correspondence, evaluations, Memoranda to Cabinet, Memoranda of Understanding, Orders in Council, plans, presentations, publications, studies, Treasury Board submissions, agreements, consultations, committee reports, internal policies, guidelines, legal opinions, copies of audits and/or investigations from the Office of the Auditor General or Commissioner of the Environment and Sustainable Development, delegation of authority, staff time logs, copies of free trade agreements, export permits, copies of international reports, file lists and reports.","Documents d’information, séances d’information, notes de service, correspondance, évaluations, mémoires au Cabinet, protocoles d’entente, décrets, plans, présentations, publications, études, présentations au Conseil du Trésor, ententes, consultations, rapports de comité, politiques internes, lignes directrices, avis juridiques, copies des vérifications et/ou des enquêtes du Bureau du vérificateur général ou du Commissaire à l’environnement et au développement durable, délégation de pouvoirs, registres du temps du personnel, copies des accords de libre-échange, permis d’exportation, copies des rapports internationaux, listes de fichiers, rapports."
DFO SCH 200,Harbour Operations and Maintenance,Exploitation et entretien des installations portuaires,"Program plans and reports, studies, statistical reports, project approval documents and other project related documents, land title documents and survey plans, leases and licenses, cost estimate calculations, investment plans, financial reports, site plans, Treasury Board Submissions, Memoranda to Cabinet, memoranda, briefings, correspondence, internal policies and procedures, Grant and Contribution agreements, performance measurement strategies, procurement documents, legal opinions, publications, newsletters, agendas and records of discussion/decisions for internal governance structures, presentation decks, delegations of authority, environmental assessments, transfer agreements, manuals, directives, guides, and work plans.","Plans et rapports du Programme, études, rapports statistiques, documents d’approbation de projet et autres documents concernant les projets, titres de propriété et plans d’arpentage, baux et permis, estimation des coûts, plans d’investissements, rapports financiers, plans de site, présentations au Conseil du Trésor, mémoires au Cabinet, notes de service; séances de breffage, correspondance, politiques et procédures internes, accords de subvention et de contribution, stratégies de mesure du rendement, documents d’approvisionnement, avis juridiques, publications, infolettres, ordres du jour et comptes rendus des discussions/décisions pour les structures de gouvernance interne, présentations, délégations de pouvoirs, évaluations environnementales, accords de transfert, manuels, directives, guides et plans de travail."
DFO EFM 404,Education and Shared Stewardship,Capacité du programme de conformité et d’application des lois,"Policies, memos, briefing notes, brochures, records of decision, correspondence, posters, educational (classroom) materials, meeting agendas and minutes.","Correspondance, rapports, politiques, rapports statistiques détaillés sur un ou tous les secteurs du programme, données démographiques sur les agents des pêches, activités et résultats."
DFO SCI 313,Aquatic Animal Health - Program Administration,Santé des animaux aquatiques - Administration de programme,"Annual reports, correspondence, meeting minutes, budgets, plans, presentations, data, assessments, certificates, permits, memoranda, procedures, risk management documents, business continuity plans, scientific advice, briefing notes, backgrounders and manuals.","Rapports annuels, correspondance, procès-verbaux de réunion, budgets, plans, présentations, données, évaluations, certificats, permis, notes de service, procédures, documents de gestion du risque, plans de continuité des activités, avis scientifiques, séances d’information, documents d’information et guides."
