record_number,name_en,name_fr,document_types_en,document_types_fr
GAC JLD 204,Authentication of Documents,Authentification de documents,"birth certificates, marriage certificates, death certificates, powers of attorney, fingerprint forms, criminal record searches, marriages searches, wills, diplomas, transcripts","certificats de naissance, certificats de mariage, certificats de décès, les procurations, les formulaires d'empreintes digitales, les recherches sur le casier judiciaire, les lettres de recherche de mariage, les testaments, les diplômes, relevés de notes"
GAC JPD 918,Consular Assistance for Canadians in Distress Abroad,Assistance consulaire aux Canadiens en difficulté à l'étranger,"policies, procedures, guidelines, directives, research and statistical reports, assessments, presentations, memoranda, correspondence files, agreements, regulations, training documents, budgets and expenditures, financial reporting, CAMANT notes","politiques, procédures, lignes directrices, directives, rapports de recherche et de statistiques, évaluations, présentations, notes de service, dossiers de correspondance, accords, réglementation, documents de formation, budgets et dépenses, rapports financiers, notes CAMANT"
GAC JND 146,Consular Case Management,Gestion des affaires consulaires,"procedures, guidelines, directives, statistical reports, reports, assessments, presentations, memoranda, correspondence files, agreements, regulations, budgets and expenditures, financial reporting, CAMANT notes","procédures, lignes directrices, directives, rapports statistiques, rapports, évaluations, présentations, notes de service, dossiers de correspondance, accords, réglementation, budgets et dépenses, rapports financiers, notes CAMANT"
GAC JPD 916,Consular Policy and Initiatives,Politiques et initiatives consulaires,"studies, submissions, policies, procedures, guidelines, directives, research and statistical reports, assessments, presentations, memoranda, correspondence files, agreements, regulations, budgets and expenditures, financial reporting, plans, reports, conference material, enquiries and complaints, training material, meeting notes, CAMANT notes","études, soumissions, politiques, procédures, lignes directrices, directives, rapports de recherche et de statistiques, évaluations, présentations, notes de service, dossiers de correspondance, accords, réglementation, budgets et dépenses, rapports financiers, plans, rapports, matériel de conférence, enquêtes et plaintes, matériel de formation, documents d’expulsion, notes de réunion, notes CAMANT"
GAC JPD 917,Distress Case Management,Gestion des crises,"procedures, guidelines, directives, statistical reports, reports, assessments, presentations, memoranda, correspondence files, agreements, regulations, budgets and expenditures, financial reporting, CAMANT notes","procédures, lignes directrices, directives, rapports statistiques, rapports, évaluations, présentations, notes de service, dossiers de correspondance, accords, réglementation, budgets et dépenses, rapports financiers, notes CAMANT"
GAC JPD 919,Routine Services for Canadians Abroad,Services courants offerts aux Canadiens à l'étranger,"policies, procedures, guidelines, directives, research and statistical reports, assessments, presentations, memoranda, correspondence files, agreements, regulations, training documents, budgets and expenditures, financial reporting, CAMANT notes","politiques, procédures, lignes directrices, directives, rapports de recherche et de statistiques, évaluations, présentations, notes de service, dossiers de correspondance, accords, réglementation, documents de formation, budgets et dépenses, rapports financiers, notes CAMANT"
GAC LDW 129,Safe Travel Promotion,Promotion de voyages sécuritaires,"contracts, statements of work, proposals, evaluation criteria, policies, procedures, guidelines, directives, statistical reports, reports, assessments, presentations, memoranda, briefing notes, correspondence files, agreements, training documents, budgets and expenditures, financial reporting, travel advice and advisories, legal opinions, criminal law factsheets, partnerships documentation, travel industry information, meeting minutes, notes, memos, agendas","contrats, énoncés de travaux, propositions, critères d’évaluation, politiques, procédures, lignes directrices, directives, rapports statistiques, rapports, évaluations, présentations, notes de service, notes d’information, dossiers de correspondance, accords, documents de formation, budgets et dépenses, rapports financiers, conseils aux voyageurs et avertissements, avis juridiques, fiches de renseignements sur le droit pénal, documents sur les partenariats, renseignements sur l'industrie du voyage, procès-verbaux et comptes rendus de réunions, notes, ordres du jour."
GAC JSD 908,Emergency Preparedness and Response Services,Préparation et intervention en cas d’urgence,"services provided on-line, ministerial correspondence, studies, submissions, policies, procedures, guidelines, directives, statistical reports, reports, assessments, presentations, memoranda, correspondence files, agreements, regulations, training documents, budgets and expenditures, financial reporting, CAMANT notes","services offerts en ligne, correspondance ministérielle, études, soumissions, politiques, procédures, lignes directrices, directives, rapports statistiques, rapports, évaluations, présentations, notes de service, dossiers de correspondance, accords, réglementation, documents de formation, budgets et dépenses, rapports financiers, notes CAMANT"
GAC TCD 132,World Trade Organizations and Trade Negotiations,Organisations mondiales du commerce et négociations sur le commerce,"multilateral trade policies, notes and papers, reports and statistics, treaties and agreements, legislation and regulations, trade and development, General Agreement on Tariffs and Trade, Uruguay Round documentation, Doha agenda, ministerial conferences, research and analysis, model instruments, declarations, surveys, studies, guidelines, meeting minutes, agendas, briefs and discussion papers, ministerial correspondence, submissions, policies, procedures, directives, statistical reports, reports, assessments, presentations, memoranda, correspondence files","politiques commerciales multilatérales, notes et dossiers; rapports et statistiques; traités et accords; législation et réglementation; commerce et développement, Accord général sur les tarifs douaniers et le commerce; Cycle d’Uruguay, Programme de Doha; conférences ministérielles; déclarations, décisions, recherche et analyse, modèles d’instruments; déclarations, sondages, études, lignes directrices, procès-verbaux, ordres du jour, dossiers d’information et documents de travail, correspondance ministérielle, soumissions, politiques, procédures, directives, rapports statistiques, rapports, évaluations, présentations, notes de service, dossiers de correspondance et réglementation"
GAC IRD 301,Canada Fund for Local Initiatives,Fonds canadien d’initiatives locales,"reports, briefing notes, memoranda, ministerial correspondence, submissions, policies, procedures, guidelines, directives, assessments, training outlines and materials, templates","rapports, notes d’information, notes de service, correspondance ministérielle, observations, politiques, procédures, lignes directrices, directives, évaluations, résumés et documents de formation, modèles."
GAC IGD 846,Energy and Nuclear,Domaine énergétique et nucléaire,"policies and plans, reports and statistics, agreements, conference material, legislation and regulations, research and development, nuclear safeguards implementation reports, export and import, safety standards, nuclear security guidance, meeting minutes and notes, agendas, briefs, ministerial and other related official correspondence, studies, procedures, guidelines, directives, assessments, presentations, memoranda, correspondence files, as well as training materials.","politiques et plans, rapports et statistiques, accords, matériel de conférence, législation et réglementation, recherche et développement, mesures de protection, exportation et importation, normes de sécurité, conseils en matière de sécurité nucléaire, procès-verbaux et comptes rendus de réunions, ordres du jour, dossiers d’information, correspondance ministérielle ou autre correspondance officielle connexe, études, procédures, lignes directrices, directives, évaluations, exposés, notes de service, dossiers de correspondance ainsi que documents de formation."
