record_number,name_en,name_fr,document_types_en,document_types_fr
HC AAA 005,"Access, Affordability, and Appropriate Use of Drugs","Accès, caractère abordable et usage approprié des médicaments","correspondence, memoranda, grants and contributions agreements, complaints, consultation, outreach and public relations materials, reports, briefing notes, policies, presentations, provincial/territorial call and meeting material, and annual report to Parliament.","Correspondance, notes de service, plaintes, ententes de subventions et contributions, plaintes, consultations, documents de sensibilisation et de relations publiques, rapports, notes d'information, politiques, présentations, documents liés aux appels et aux réunions provinciaux et territoriaux, et rapport annuel au Parlement."
HC BR 005,Brain Research,Études sur le cerveau,"correspondence, memoranda, grants and contributions agreements, consultation, outreach and public relations materials, reports, briefing notes, policies, presentations, provincial/territorial call and meeting material, and annual report to Parliament.","Correspondance, notes de service, ententes de subventions et contributions, consultations, documents de sensibilisation et de relations publiques, rapports, notes d'information, politiques, présentations, documents liés aux appels et aux réunions provinciaux et territoriaux, et rapport annuel au Parlement."
HC CHS 010,Administration of the Canada Health Act,Administration de la Loi canadienne sur la santé,"correspondence, memoranda, complaints, consultation, outreach and public relations materials, reports, briefing notes, policies, presentations, provincial/territorial call and meeting material, annual report to Parliament, contracts with collaborators, grants and contribution proposal documentation, information sharing agreements.","Correspondance, notes de service, plaintes, consultations, documents de sensibilisation et de relations publiques, rapports, notes d'information, politiques, présentations, documents liés aux appels et aux réunions provinciaux et territoriaux, rapport annuel au Parlement, contrats avec les collaborateurs, propositions de subventions et de contributions, ententes sur l'échange de renseignements."
HC DH 005,Digital Health,Santé numérique,"correspondence, memoranda, complaints, grants and contributions agreements, consultation, outreach and public relations materials, reports, briefing notes, policies, presentations, provincial/territorial call and meeting material, and annual report to Parliament.","Correspondance, notes de service, plaintes, ententes de subventions et contributions, consultations, documents de sensibilisation et de relations publiques, rapports, notes d'information, politiques, présentations, documents liés aux appels et aux réunions provinciaux et territoriaux, rapport annuel au Parlement."
HC CHS 005,Health System Priorities,Priorités du système de santé,"draft policies, correspondence, memoranda, public relations materials, presentations, contracts with collaborators, grants and contribution proposals, agreements and documentation, information sharing agreements, research proposals, analysis and reports, funding agreements, and evaluations from conferences and/or meetings with provincial and territorial government applications, medical and financial records of applicants, proof of identification, proof of residency, meeting agenda, minutes and reports, briefing notes, public opinion research.","Ébauches de politiques, correspondance, notes de service, documents de relations publiques, présentations, contrats avec les collaborateurs, propositions de subventions et de contributions, accords et documentation, ententes sur l'échange de renseignements, projets de recherche, analyses et rapports, accords de financement et évaluations issues de conférences ou de réunions avec les gouvernements provinciaux et territoriaux, demandes de dossiers médicaux et financiers, preuve d'identité, preuve de résidence, ordres du jour des réunions, comptes rendus et rapports, notes d'information, recherche sur l'opinion publique."
HC CHS 015,Emergent Health Issues,Questions de santé émergentes,"award applications and supporting documentation, curriculum vitae, research proposals, analysis and reports, correspondence, memoranda, public relations materials, draft policies, presentations, contracts with collaborators, information sharing agreements, research files of published and unpublished data, strategic policy advice, draft legislation and regulatory frameworks, outreach and engagement materials, submissions from third parties, committee agenda, minutes and reports.","Demandes de bourses et justificatifs, curriculum vitæ, propositions de recherche, analyses et rapports, correspondance, notes de service, documents de relations publiques, ébauches de politiques, présentations, contrats avec les collaborateurs, ententes d'échange de renseignements, dossiers de recherche sur les données publiées et non publiées, conseils en matière de politique stratégique, ébauches de lois et de cadres réglementaires, documents de sensibilisation et de mobilisation, demandes de tiers, et ordres du jour, comptes rendus et rapports de comités."
HC HI 005,Health Information,Renseignements sur la santé,"correspondence, memoranda, complaints, grants and contributions agreements, consultation, outreach and public relations materials, reports, briefing notes, policies, presentations, provincial/territorial call and meeting material, and annual report to Parliament.","Correspondance, notes de service, plaintes, ententes de subventions et contributions, consultations, documents de sensibilisation et de relations publiques, rapports, notes d'information, politiques, présentations, documents liés aux appels et aux réunions provinciaux et territoriaux, rapport annuel au Parlement."
HC HCP 005,"Home, Community and Palliative Care","Soins à domicile, soins dans la collectivité et soins palliatifs","correspondence, memoranda, complaints, consultation, grants and contributions agreements, outreach and public relations materials, reports, briefing notes, policies, presentations, provincial/territorial call and meeting material, and annual report to Parliament.","Correspondance, notes de service, plaintes, consultations, ententes de subventions et contributions, documents de sensibilisation et de relations publiques, rapports, notes d'information, politiques, présentations, documents liés aux appels et aux réunions provinciaux et territoriaux et rapport annuel au Parlement."
HC MAID 005,Medical Assistance in Dying,Aide médicale à mourir,"correspondence, memoranda, complaints, consultation, outreach and public relations materials, reports, briefing notes, policies, presentations, provincial/territorial call and meeting material, and annual report to Parliament.","Correspondance, notes de service, plaintes, consultations, documents de sensibilisation et de relations publiques, rapports, notes d'information, politiques, présentations, documents liés aux appels et aux réunions provinciaux et territoriaux et rapport annuel au Parlement."
HV MH 005,Mental Health,Santé mentale,"correspondence, memoranda, complaints, consultation, grants and contributions agreements, outreach and public relations materials, reports, briefing notes, policies, presentations, provincial/territorial call and meeting material, and annual report to Parliament.","Correspondance, notes de service, plaintes, consultations, ententes de subventions et contributions, documents de sensibilisation et de relations publiques, rapports, notes d'information, politiques, présentations, documents liés aux appels et aux réunions provinciaux et territoriaux et rapport annuel au Parlement."
