record_number,name_en,name_fr,document_types_en,document_types_fr
ISC FNIHB 005,First Nations and Inuit Healthy Child Development,Prestations supplémentaires en santé pour les Premières Nations et les Inuit,"Public opinion research, surveillance and monitoring documentation, research proposals, analysis and reports, correspondence, presentations, contracts with collaborators, grants and contribution proposals, agreements and report submissions, research files of published and unpublished data, x-rays, treatment plans, strategic policy advice, information sharing agreements, risk assessments, briefing notes, fact sheets, committee agenda, reports and minutes, advisories, educational and outreach documentation, service delivery forms.","Documents à l'appui de la prise de décision tels que la prise de décision et le paiement concernant les demandes de prestations faites par les clients ou les fournisseurs, y compris les ordonnances, les reçus, les justifications médicales. Les documents administratifs du programme comprennent les accords de contribution, les présentations de rapports, la correspondance, les présentations, les ententes avec les fournisseurs de services, les données statistiques et les rapports analytiques, les politiques du programme, les listes de prestations, les documents des comités (ordres du jour, rapports et procès-verbaux), les notes d'information, la documentation éducative et de sensibilisation."
ISC FNIHB 030,Jordan's Principle and Inuit Child First Initiative,Principe de Jordan et Initiative de l'enfant d'abord pour les Inuits,"Document types may include medical documentation, proposals, analyses and reports, correspondence, agreements and report submissions, research files of published and unpublished data, dental records, x-rays, treatment plans, strategic policy advice, information sharing agreements, risk assessments, briefing notes, fact sheets, committee agenda, reports and minutes, advisories, educational and outreach documentation, service delivery forms, dental charts, records relating to community-based programs, services, initiatives and strategies that address greater risks and poorer health outcomes associated with First Nations and Inuit maternal, infant, child, and family health, including prenatal health, nutrition, early literacy and learning, and physical and children's oral health, and the promotion of First Nations and Inuit culture.","Comprend de la documentation médicale, des propositions, des analyses et des rapports, de la correspondance, des accords et des présentations de rapports, des dossiers de recherche contenant des données publiées et non publiées, des dossiers dentaires, des radiographies, des plans de traitement, des conseils en matière de politique stratégique, des accords de partage de l'information, des évaluations des risques, des notes d'information, des fiches d'information, des ordres du jour, des rapports et des procès-verbaux de comités, des avis, de la documentation sur l'éducation et la sensibilisation, les formulaires de prestation de services, les fiches dentaires, les documents relatifs aux programmes, aux services, aux initiatives et aux stratégies communautaires axés sur les risques pour la santé plus importants et les résultats de santé plus mauvais des mères, des bébés, des enfants et des familles des Premières Nations et des Inuits, y compris les questions de santé prénatale, de nutrition, d'alphabétisme et d'apprentissage précoce, de santé mentale, de santé physique et bucco-dentaire et de promotion de la culture des Premières Nations et des Inuits."
ISC RO 121,Indian Registration and Band Membership,Inscription des Indiens et appartenance aux bandes,"Documents provided by individuals, which verify the applicant's identification, including original birth documents, scanned photocopies of adoptions, marriages, divorces, deaths, and name changing documents; documents in support of transfers between bands such as band council resolutions and releases; band membership rules and records access requests.","Documents fournis par le demandeur pour vérifier son identité, y compris : les documents originaux de l'acte de naissance; les photocopies des documents officiels d'adoption, de mariage, de divorce, de décès et de changement de nom; les documents en appui au transfert d'une bande à une autre, comme les résolutions et les renonciations des conseils de bandes, les règles sur l'appartenance et les demandes d'accès aux dossiers."
ISC RO 060,First Nations veterans,Anciens combattants des Premières Nations,"National Round Table on First Nations' veterans, funding agreements with veterans' organizations, and Veterans Affairs Canada (conferences, committees, meetings, policy advice, correspondence, briefing notes, studies, reports, communications, public education and commemorative activities).","Table ronde nationale sur les questions touchant les anciens combattants des Premières Nations, accords de financement pour les organisations des anciens combattants et le ministère des Anciens Combattants (conférences, comités, réunions, conseils stratégiques, correspondance, notes d'information, études, rapports, communications, éducation du public et activités de commémoration)."
ISC RO 300,Trust Moneys and Estates,Fonds en fiducie et successions,"Includes correspondence, copies of wills, appointment of administrators, documents, death certificates, birth certificates, financial documents medical assessments and court orders.","Correspondance, copies de testaments, nominations d'administrateurs, documents, actes de décès, actes de naissance, documents financiers, évaluations médicales et ordonnances de la cour."
ISC RO 999,Treaty Annuities,Annuités découlant des traités,"Treaty pay lists, completed treaty payment request forms, statement provided by Treaty Payment System (TPS).","Listes de paiement des traités, formulaires de demande de paiement des traités remplis, relevé fourni par le système de paiement des traités."
ISC FNIHB 010,First Nations and Inuit Health Human Resources,Bien-être mental dans les collectivités inuites et les Premières Nations,"Grants and contribution proposals, agreements and report submissions, reports of projects, bursaries and scholarships reports, monitoring, applications and submissions for bursaries and scholarships, research proposals, analysis, and reports, correspondence, presentations, contracts with service providers / collaborators, strategic policy advice, regulatory frameworks, risk assessments, fact sheets, briefing notes, committee agenda, reports and minutes, training materials, educational and outreach documentation.","Recherches sur l'opinion publique, documents de surveillance et de suivi, propositions, analyses et rapports de recherche, correspondance, manuels pour centres de traitement, présentations, contrats avec les collaborateurs, propositions de subventions et de contributions, présentations d'accords et de rapports, dossiers de recherche sur les données publiées et non publiées, conseils en matière d'orientation stratégique, évaluations du risque, notes d'information, fiches de renseignements, ordres du jour, rapports et comptes rendus de comités, avis de sécurité, documents pédagogiques et de sensibilisation."
ISC FNIHB 015,First Nations and Inuit Healthy Living,Modes de vie sains dans les collectivités inuites et de Premières Nations,"Surveillance and monitoring documentation, proposals, analyses, and reports, correspondence, presentations, contracts with collaborators, grants and contribution proposals, agreements and report submissions, strategic policy advice, risk assessments, briefing notes, fact sheets, committee agenda, reports and minutes, advisories, education and outreach documentation.","Documents de surveillance et de suivi, propositions, analyses et rapports de recherche, correspondance, présentations, contrats avec les collaborateurs, propositions de subventions et de contributions, présentations d'accords et de rapports, conseils en matière d'orientation stratégique, évaluations du risque, notes d'information, fiches de renseignements, ordres du jour, rapports et comptes rendus de comités, avis de sécurité, documents pédagogiques et de sensibilisation."
ISC FNIHB 035,First Nations and Inuit Home and Community Care,Soins à domicile et en milieu communautaire,"Assessments, medical records, X-rays and other diagnostic imaging, test results, treatment plans, surveillance and monitoring documentation, grants and contributions proposals, agreements and report submissions, correspondence, information sharing agreements, presentations, briefing notes, contracts with collaborators, risk assessments, fact sheets, professional practice guidelines, spreadsheets, reports, committee agendas, minutes, educational and outreach documentation.","Évaluations, dossiers médicaux, radiographies et autres images diagnostiques, résultats de tests, plans de traitement, documents de surveillance et de suivi, propositions de subventions et de contributions, accords et présentations de rapports, correspondance, accords de partage de renseignements, présentations, notes de synthèse, contrats avec des collaborateurs, évaluations des risques, fiches d'information, directives de pratique professionnelle, feuilles de calcul, rapports, ordres du jour de comités, procès-verbaux, documents éducatifs et de sensibilisation."
ISC FNIHB 025,First Nations and Inuit Environmental Public Health,Sante publique environnementale des premières nations et des Inuits,"Environmental public health inspection reports; medical records; public opinion research; health hazard assessments and evaluations; surveillance and monitoring documentation; grants and contributions proposals, agreements and report submissions; research proposals, analysis, and reports; correspondence, presentations, contracts with collaborators; research files of published and unpublished data; strategic policy advice; risk assessments; lab test results; fact sheets; committee agendas, reports and minutes; training materials; educational and outreach documentation.","Rapports d'inspection sur l'hygiène du milieu, dossiers médicaux, recherches sur l'opinion publique, évaluations des risques pour la santé, documents de surveillance et de suivi, propositions de subventions et de contributions, présentations d'accords et de rapports, propositions, analyses et rapports de recherche, correspondance, présentations, contrats avec les collaborateurs, dossiers de recherche sur les données publiées et non publiées, conseils en matière d'orientation stratégique, évaluations du risque, résultats des tests de laboratoire, fiches de renseignements, ordres du jour, rapports et comptes rendus de comités, documents de formation, documents pédagogiques et de sensibilisation."
