bank_number_key,title_en,title_fr,bank_number_en,bank_number_fr,description_en,description_fr,class_of_individuals_en,class_of_individuals_fr,note_en,note_fr,social_insurance_number_en,social_insurance_number_fr,purpose_en,purpose_fr,consistent_uses_en,consistent_uses_fr,retention_and_disposal_standards_en,retention_and_disposal_standards_fr,rda_number_en,rda_number_fr,related_record_number_en,related_record_number_fr,last_updated_en,last_updated_fr,tbs_registration_en,tbs_registration_fr
ISED PPU 083,Spectrum/Telecommunications Workflow and Documentation Management Personal Information Bank,,ISED PPU 083,,This bank describes information that is used in support of managing all activities related to radio frequency and spectrum licence applications. The personal information may include name and contact information.,,The information relates to applicants of radio station and spectrum licences.,,,,,,The personal information is used to ensure regulatory requirements are met for the issuance and management of radio/spectrum licences.,,For the administration of the program.,,"Records will be retained for 10 years after cancellation, expiration, withdrawal, suspension or revocation and then are destroyed.",,2016/07,,OS-SO-PRO-030-01,,,,004152,
ISED PPU 019,Spectrum/Telecommunications Client Operation File (Radio Operator Certification Personal Information Bank,,ISED PPU 019,,"This bank describes information that is related to amateur and professional radio operators. The personal information may include name, date of birth, radio operator certificate number, class of certificate, and date of issue of certificate.",,This information relates to radio operators.,,,,,,"The personal information is used to establish eligibility for radio operator certificates and to maintain a list of amateur and professional radio operators holding certificates of proficiency for the appropriate type of service. Concerning amateur radio operators specifically, ISED maintains a list of amateurs' certificate qualifications and call sign information for public dissemination, sharing and reproduction by anyone, in order that all amateurs would be aware that the frequencies and emissions of other amateurs with whom they may communicate have been authorized to be used pursuant to the *Radiocommunication Act*. Personal information is collected pursuant to the *Radiocommunication Act*.",,There are no consistent uses for this PIB.,,"For amateurs, files are retained two years after the certificate is invalid, for professionals, 20 years (5 active and 15 dormant). Operators' examination results are retained for five years (active for two and dormant for three). Radio Operator Certificates records are retained for 20 years (active for 5 and dormant for 15). Destruction through agreement with Library and Archives Canada.",,2016/007,,OS-SO-PRO-040-02,,,,003387,
ISED PPU 023,Telecommunications Engineering and Certification Personal Information Bank,,ISED PPU 023,,"This bank describes information that is related to memberships in various committees such as national standards committees on telecommunications and information technology. The personal information may include name, contact information and professional title.",,"Members of various committees, such as national standards committee.",,,,,,The personal information is used to disseminate information on standards and administer national standards committees.,,There are no consistent uses for this PIB.,,Records will be retained for 10 years after last administrative action and then are destroyed.,,79/002,,ISED SIT 925,,,,003389,
ISED PPU 021,Spectrum/Telecommunications Client Operation File (Radio Station/Spectrum Licensing) Personal Information Bank,,ISED PPU 021,,"This bank describes information that is related to non-broadcasting radio/spectrum licensing information, derived from applications submitted by applicants for radio/spectrum licences. It contains information such as radio frequencies, call signs, emissions, station location. The personal information may include name and contact information.",,This information relates to applicants and holders of radio/spectrum licences.,,,,,,"Information was obtained in order to license and control the use of all non-broadcasting radio station systems in Canada for the planning and management of the radio frequency spectrum. In particular, this bank is used in the frequency selection process for new or existing stations and in associated electromagnetic compatibility studies. It also provides information needed for the identification of sources of interstation interference, policy formulation and frequency utilization study purposes. It is used extensively to carry out our coordination obligations as per the terms of cross-border sharing arrangements with the United States. The licensee and licence fee accounting information is used for the collection of annual licence renewal fees. In most cases, the information that appears on the face of radio/spectrum licences is available for release upon request. Information such as names and addresses of licensees, assigned radio frequencies, call signs, emissions, band width and power is provided to selected government bodies, persons or companies in connection with frequency coordination procedures for station or system planning, for reference or for similar purposes. Personal information is collected pursuant to the*Radiocommunication Act*.",,"The information may be used or disclosed for the following purposes: part of this information is shared with the following organizations, agencies and government departments: Fisheries and Oceans Canada to enable them to invoice ship-to-shore services; the Canadian Coast Guard to ascertain whether a vessel has a valid radio equipment licence prior to placing telephone calls or passing traffic; a call sign and/or name is provided to the Search and Rescue Coordination Centre so that vessel/aircraft routes may be established to facilitate the location of lost vessels or aircraft; various agencies and organizations in Canada and the U.S. for coordination of frequencies and system parameters; law enforcement agencies for investigations relating to offences under the *Radiocommunication Act*; organizations providing radio services to the public in order to establish that their clientele is licensed; equipment suppliers to facilitate the commissioning of their clients' communications systems; and Fisheries and Oceans Canada, National Defence and other organizations to provide information on privately operated non-directional navigation beacons in the interest of safety.",,"Records will be retained for 10 years after last administrative action (e.g. cancellation, suspension, revocation) and then are transferred to Library and Archives Canada (LAC) as archival records.",,2016/007,,OS-SO-PRO-040-02,,,,003388,
ISED PPU 067,"CanCode, Digital Skills for Youth (DS4Y), Prime Minister's Awards (PMA), and Computers for Schools Intern (CFSI) Program",,ISED PPU 067,,"These four programs aim to improve digital and technical skills in youth and underrepresented groups through education and internships to enhance digital literacy, employability and marketability. The programs provide access to valuable work experience and training aimed toward developing and enhancing advanced digital skills, such as coding, data analytics, and digital content development. CanCode and PMA also support initiatives that provide teachers with the training, professional development and recognition they need to introduce digital skills into the classroom. **Document types**: Information related to the development and implementation of the programs, including the launch of application intake, applications received through the intake and their assessment; records of negotiation with funding recipients; contracts; communications materials; briefing and decision notes; Treasury Board Submissions; terms and conditions; policies; guidelines; procedures; and activity reports. **Disclosure summary**: The Prime Minister's Awards program, and the DS4Y program share personal information through agreement, arrangement, or contract, with: * Employment and Social Development Canada **Record number**: IS-SI-05-02 * **National Access Program (DS4Y and CFSI Programs) Personal Information Bank** **Description of records**: This bank describes information that is related to Industry Canada Youth Employment Strategy Programs, including Community Access Program, Youth Employment Program, and Computers for Schools' Technical Work Experience Program. The personal information may include name, contact information, employment equity information and rated experiences.",,Youth and/or Contractors (for Canada's Digital Collections) who have or who are currently participating in Industry Canada's Youth Employment Strategy Programs.,,,,,,The personal information is used to evaluate the programs' success and measure the impacts of the programs on youth employment and skills development over the long term.,,"The information may be used or disclosed for the following purposes: by program management to track the youth and to survey them at a later date. Such longitudinal information is absolutely necessary for the determination of the program's impacts, but also for ongoing management purposes, as it will provide vital information on the efficiency and cost effectiveness of the program. This will be necessary to guide management in any potential changes in program direction that may be required over time.",,Records will be retained for up 10 years after the study or survey has ceased or been implemented and then are transferred to Library and Archives Canada (LAC) as archival records.,,2016/007,,IS-SI-05-02 OS-SO-PRO-030-01,,,,005068,
ESDC PPU 706,Bank number**: ESDC PPU 706,,ESDC PPU 706,,,,,,,,,,,,,,,,,,,,,,,
ISED PPU 001,Prime Minister's Awards for Teaching Excellence and Prime Minister's Awards for Excellence in Early Childhood Education (ECE) Personal Information Bank,,ISED PPU 001,,"This bank describes information that is related to nomination submissions for the Prime Minister's Awards, which includes signed nomination forms. The personal information may include names, contact information, teaching/training certifications, operating licenses letters of experience, and letters of support.",,"The personal information relates to teachers, of kindergarten to grade 12, early childhood educators and school/learning setting administrators.",,,,,,The personal information is used to select recipients for the awards and to promote their achievement.,,There are no consistent uses for this PIB.,,Records will be retained for up to 10 years after file closure and then are destroyed.,,2016/007,,OS-SO-PRO-030-01,,,,002915,
ISED PPU 041,Canadian Intellectual Property Office (CIPO) Personal Information Bank,,ISED PPU 041,,"This bank applies to CIPO's Patent Program, Trademarks Program, Copyright Program, Industrial Designs Program, and Integrated Circuit Topographies Program. **In respect of the patent program**: This bank contains information that is related to patent applications and patents, collected pursuant to the *Patent Act* (paragraphs 49 and 50), the Patent Rules (sections 27.1, 37, 42, and 77), the Patent Cooperation Treaty (Article 4), and Regulations (Rule 4). Records under this program may contain personal information about applicants, inventors, patentees, legal representatives (i.e., heirs, executors, administrators, guardians, curators, tutors, assigns, and all other persons claiming through or under applicants for patents and patentees of inventions), predecessors in title, patent agents, individuals acting on behalf of patent agents or clients, assignees or personal representatives in relation to a specific patent application or patent. Information may also include titles and details of inventions, patent serial numbers and assignment registration numbers. The Patent Program also maintains an inventory of names of individuals who have invented, acquired by assignment, or have been granted patents of inventions under the Patent Program. The inventory is known as the Inventor, Assignee and Patentee Index. The information includes names of inventors, assignees or patentees, titles of their inventions, patent serial numbers, and assignment registration numbers. This index covers the period from 1927 through 1997, to the exclusion of applications filed prior to October 1989. Personal information is collected pursuant to the *Patent Act* (paragraphs 49 and 50), the Patent Rules (sections 27.1, 37, 42, and 77), the Patent Cooperation Treaty (Article 4), and the *Patent Cooperation Treaty Regulations* (Rule 4). In respect of the trademarks program: This bank contains information that is related to Trademark applications which the Registrar of Trademarks administers pursuant to the *Trademarks Act* and *Regulations*, the *Boy Scouts of Canada Act*, the *Girl Guides of Canada Act*, the *Canadian Nurses Association Act*, the *Royal Canadian Legion Act*, the *Plant Breeders Rights Act*, the *Olympic and Paralympic Marks Act*, and any previous trademark legislation that was superseded by the *Trademarks Act* and *Regulations*, including *An Act Pertaining to Trademarks*, the *Trademark and Design Act*, the *Unfair Competition Act*, marks under the laws of Newfoundland and Labrador, the *Canada Post Corporation Act*, the *Bank Act*, and all other legislation pertaining to trademarks in Canada. These records contain personal information about trademark applicants, owners of registered trademarks, opponents, assignees, assignors, licensees, licensors, and Trademark Agents and representatives for services in relation to a specific trademark application or registrations. Information is collected pursuant to the *Trademarks Act* (paragraphs 30, 38, 41, 44, 45 and 48) and *Regulations* (sections 6 through 10, 25, 51, and 52). In respect of the copyright program: This bank contains information that is related to copyright applications and copyrights, which the Copyright Office administers pursuant to the *Copyright Act* and *Regulations*. These records contain personal information about applicants and/or owners of copyrights, assignees, assignors, licensees, authors of written works, and legal representatives representing a specific copyright application or copyright. Personal Information is collected pursuant to the *Copyright Act* (subsections 55(2) and 56(2)) and *Regulations* (section 6(1)). In respect of the industrial designs program: This bank contains information that is related to Industrial Design applications and Industrial Designs, which the Industrial Design Section of the Office of the Commissioner of Patents administers pursuant to the *Industrial Designs Act* and *Regulations*. These records contain personal information about applicants, registered proprietors, assignees, licensees, agents of representatives for services in relation to a specific industrial design application or industrial design. Personal information is collected pursuant to the *Industrial Designs Act* (subsections 4(1) and 13(1)(2)(3)) and *Regulations*, (subsections 9(2), and 19).",,"Applicants, inventors, registrants, patentees, assignors, assignees, licensees, licensors, trademark opponents, copyright owners, authors of written works, creators of topographies, owners of registered topographies, authorized users registered proprietors, or personal legal representatives or agents, successors-in-title, and requesting parties.",,,,,,"This bank is used to administer CIPO's IP Programs, including the Patent, Trademarks, Copyright, Industrial Designs, and Integrated Circuit Topography Programs.",,"Information may be used to identify applicants in order to allocate them with intellectual property (IP) rights, communicate with them about their IP rights applications, to establish ownership in assignment situations, and to process the payment of fees. Depersonalized information may also be used to inform the ongoing design and operation of CIPO's IP programs, and to inform ISED Canada's statistical reporting, including reporting on GBA+ and EDI metrics. **Retention and disposition**: The following unique Retention and disposition rules apply to each IP program: In respect of the patent program: For applications and patents filed or granted since October 1, 1989 that have been laid open for public inspection, and where patents have been granted to Canadian citizens or corporations under those applications, the information has been transferred to Library and Archives Canada. Records that have not been laid out for public inspection are destroyed ten years after the date the application is withdrawn. For information filed prior to October 1, 1989, records are retained indefinitely. Information contained in the Inventor, Assignee and Patentee Index is retained indefinitely. In respect of the trademarks program: Trademark documents and case file records, as well as registered user files and indices are presently retained by the Register of Trademarks, indefinitely. In respect of the copyright program: An application case file where a copyright or assignment/license has not been registered, is kept for seven years from the date the application was rejected or withdrawn, and is then destroyed. A case file where a copyright and/or assignment or license was registered, is retained indefinitely. In respect of the industrial designs program: An application case file where an Industrial Design has not been registered, is kept for seven years from the date the application was refused, withdrawn, or made inactive, and is then destroyed. A case file where an Industrial Design was registered, is retained indefinitely. In respect of the integrated circuit topography program: An application case file where a Circuit Topography has not been registered, is kept for seven years from the date the application was refused, withdrawn, or made inactive, and is then destroyed. A case file where an Integrated Circuit Topography was registered, is retained indefinitely.",,,,2016/007,,OS-SO-REG-010-03/CIPO (General) IC CIP 100 (Patents) IC CIP 105 (Trademarks) IC CIP 570 (Copyrights),,,,000126,
ISED PPU 034,Competition Bureau Enquiries and Complaints Personal Information Bank,,ISED PPU 034,,"This bank describes information that is related to enquiries, feedback, and complaints made by the public, concerning the mandate and services of the Competition Bureau, and suspected offences under the *Competition Act*, the *Consumer Packaging and Labelling Act*, the *Precious Metals Marking Act* and the *Textile Labelling Act*. These acts, together with subsections 4(1)(f) and (i) of the *Department of Industry Act*, form the basis of the authorities that permit the collection of personal information, which may include name, contact information, occupation, the subject matter of interest to the individual, the opinions of the individual, the basis of complaints or suspicions raised by the individual, and the individual's GBA+ demographic information, should the individual wish to volunteer it.",,General public.,,,,,,"The personal information is used to communicate with an individual in relation to feedback they provide, or information they request. It is also used to investigate complaints and suspicions raised by an individual, received as part of the administration and enforcement of the *Competition Act*, the *Consumer Packaging and Labelling Act*, the *Precious Metals Marking Act* and the *Textile Labelling Act*.",,"The information may be used or disclosed for the following purposes: specific investigation files may be disclosed to the Attorney General or Competition Tribunal for the purpose of administration and enforcement of the Acts and to other law enforcement agencies. GBA+ information, when volunteered, may also be used in aggregate, to measure the level of services being provided to diverse populations and to satisfy Government of Canada GBA+ reporting requirements.",,"Information is retained for up to 15 years after the relevant case is closed, after which, select files may be transferred to Library and Archives Canada if deemed to contain enduring/archival value.",,2016/007,,OS-SO-REG-030-01,,,,002709,
ISED PPU 033,Competition Bureau Digital Forensic Activity (Electronic Evidence Unit) Personal Information Bank,,ISED PPU 033,,"This bank describes information that supports the Competition Bureau's Digital Forensic Activity (DFA) (Electronic Evidence Unit), relating to investigations conducted pursuant to the Competition Act. The personal information may include: name; contact information; employment history; employee identification number; criminal background history; date of birth; financial information; language preferences; opinions and views; identity documentation; photographs; locations; cursive signatures; and other information that may be relevant to an investigation (an exhaustive list of which, cannot be practically enumerated). The Competition Bureau is not an authorized collector or user of the Social Insurance Number (SIN). Regardless, the Bureau's requirement to collect forensically whole and intact evidence to support its investigations necessitates the occasional collection of SINs, on incidental bases, when they are inextricably linked to (or form a part of) other information that is being collected. In most cases the information is collected pursuant to a warrant issued by a court of competent and relevant jurisdiction; however, in some cases, information may be remitted to the Bureau voluntarily, without a court warrant.",,"Individuals present at, or employed by entities subject to Competition Bureau investigations.",,,,,,"Forensically intact copies of personal information are used as evidence to investigate offences pursuant to sections 11, 15, 16 and 30 of the *Competition Act*, as further enabled through subsection 4(1)(f) of the *Department of Industry Act*.",,"Information may be shared with law enforcement authorities, including competition regulators in extranational jurisdictions, through Mutual Legal Assistance Treaties, to support investigations of competition offenses.",,"Information will be retained for up to 15 years, following which, information deemed to possess archival value will be transferred to Library and Archives Canada, with information deemed to possess no archival value being destroyed through electronic purging.",,2016/007,,OS-SO-REG-030-01,,,,20260030,
