record_number,name_en,name_fr,document_types_en,document_types_fr
JUS LS 100,Advisory Services,Services consultatifs,"Briefing notes, clause-by-clause analyses, conference documents, consultation documentation, ministerial correspondence, Green Papers, legal opinions, letters, memoranda, Memoranda of Understanding, Memoranda to Cabinet, Options Papers, Question and Answers (Q&A), Question Period notes, White Papers, plans, policies, contracts and agreements, reports, reference materials, correspondence with provinces and territories, intergovernmental organizations and foreign governments, and meeting documentation.","Notes d'information, analyses article par article, documents de conférence, documents de consultation, correspondance ministérielle, Livre vert, avis juridiques, lettres, notes de service, protocoles d'entente, mémoires au Cabinet, documents d'options, Questions et réponses, notes pour la Période des questions, Livre blanc, plans, politiques, contrats et ententes, rapports, matériel de référence, correspondance avec les provinces et territoires, les organisations intergouvernementales et les gouvernements étrangers, ainsi que les documents de réunion."
JUS LS 101,Commissions of Inquiry,Commissions d’enquête,"Commission reports, briefings, submissions, evidence, and working papers.","Rapport de commissions, notes d'information, soumissions, éléments de preuve et documents de travail."
JUS LS 102,Judicial Affairs - Courts and Tribunal Support,Services des affaires judiciaires - Cours et tribunaux administratifs,"Memoranda of law and fact, reports and studies, research material, communication strategies, guidelines, surveys, Bills, briefing notes, clause-by-clause analyses, consultation documents, ministerial correspondence, legal opinions, letters, memoranda, Memoranda of Understanding, Memoranda to Cabinet, Options Papers, Question and Answers (Q&A), Question Period notes, speeches, plans, policies, agreements, communiqués, reference materials, presentations, and meeting documents.","Mémoires des faits et du droit, rapports et études, matériel de recherche, stratégies de communication, lignes directrices, sondages, projets de loi, notes d'information, analyses article par article, documents de consultation, correspondance ministérielle, , opinions juridiques, lettres, notes de service, protocoles d'entente, mémoires au Cabinet, documents d'options, Questions et réponses, notes pour la Période de questions, discours, plans, politiques, ententes, communiqués, matériels de référence, présentations et documents de réunion."
JUS LS 103,Legislative Services,Services législatifs,"Draft bills and motions to amend bills, draft orders, regulations and other instruments (i.e. security measures, ministerial instructions, etc.), briefing notes, clause-by-clause analyses, consultation documents, ministerial correspondence, letters, memoranda, Memoranda to Cabinet, Options Papers, Question and Answers (Q&A), Question Period notes, Treasury Board submissions, White Papers, plans, policies, agreements, communiqués, reports, meeting documents, publications, jurilinguistic and bijural reviews, statutes, regulations.","Ébauche de projets de loi et motions d'amendement de projets de loi , ébauche de règlements et autres textes (c-à-d. mesures de sûreté, instructions ministérielles, etc.) , notes d'information, analyses article par article, documents de consultation, correspondance ministérielle, lettres, notes de service, mémoires au Cabinet, documents d'options, Questions et réponses, notes pour la Période des questions, présentations au Conseil du Trésor, Livre blanc, plans, politiques, ententes, communiqués, rapports, documents de réunion, publications, examens jurilinguistiques et bijuridiques, lois, règlements."
JUS LS 104,Litigation Services,Services de contentieux,"Briefing notes, clause-by-clause analyses, legal opinions, conference documents, consultation documents, ministerial correspondence, letters, memoranda, Memoranda of Understanding, Memoranda to Cabinet, Options Papers, Question and Answers (Q&A), Question Period notes, communiqués, reports, reference materials, meeting documents, minutes, court documents including statements of claim and defence, factums, and reasons for judgment.","Notes d'information, analyses article par article, avis juridiques, documents de conférence, documents de consultation, correspondance ministérielle, lettres, notes de service, protocoles d'entente, mémoires au Cabinet, documents d'options, Questions et réponses, notes pour la Période des questions, communiqués, rapports, matériel de référence, documents de réunion, procès-verbaux, documents de cour, y compris déclarations et défenses, mémoires et motifs de jugements."
JUS JSS 100,Criminal Conviction Review,Révision des condamnations criminelles,"Submissions, ministerial correspondence, applications, investigations, assessments, reports, memoranda, reference materials, waivers, forms, consultation documents and copies of investigative or court documents.","Soumissions, correspondance ministérielle, demandes, enquêtes, évaluations, rapports, notes de service, matériel de référence, renonciations, formulaires, documents de consultation et copies des documents d'enquêtes ou de cours."
JUS JSS 101,Family Law Assistance Services,Services d’aide en droit familial,"Briefing notes, clause-by-clause analyses, consultation documents, ministerial correspondence, letters, memoranda, Memoranda of Understanding, Information Sharing Agreements, Memoranda to Cabinet, Options Papers, Question and Answers (Q&A), Question Period notes, Treasury Board submissions, plans, policies, agreements, communiqués, reports, reference materials, presentations, meeting documents, audit and financial documentation, application forms, garnishee summonses and other documents related to the administration of the three programs.","Notes d'information, analyses article par article, documents de consultation, correspondance ministérielle, lettres, notes de service, protocoles d'entente, ententes de communication de renseignements, mémoires au Cabinet, documents d'options, Questions et réponses, notes pour la Période de questions, présentations au Conseil du Trésor, plans, politiques, ententes, communiqués, rapports, documents de référence, présentations, documents de réunion, vérifications et documents financiers, formulaires de demande, brefs de saisie-arrêt et autres documents liés à l'administration des trois programmes."
JUS JSS 102,General International Relations,Relations internationales générales,"Briefing notes, administrative arrangements, contracts, research reports, reference materials, correspondence, and mission/visit schedules and agendas.","Notes d'information, mesures administratives, contrats, rapports d'évaluation, matériel de référence, correspondance, horaires et itinéraires des missions et visites."
JUS JSS 103,International Development - Technical Assistance,Développement international - Assistance technique,"Briefing notes, administrative arrangements, memoranda of understanding, contracts, research reports, assessment reports, reference materials, correspondence, and mission/visits schedules and agendas.","Notes d'information, mesures administratives, protocoles d’ententes, contrats, rapports de recherche, rapports d'évaluation, matériel de référence, correspondance, horaires et itinéraires des missions et visites."
JUS JSS 104,Legal Policy Development,L'élaboration de politiques juridiques,"Bills, briefing notes, clause-by-clause analyses, consultation documents, ministerial correspondence, Green Papers, legal opinions, letters, memoranda, Memoranda of Understanding, Memoranda to Cabinet, Options Papers, Questions and Answers (Q&A), Question Period notes, speeches, White Papers, plans, policies, agreements, communiqués, reports, reference materials, research reports, caselaw reviews, presentations, meeting documents, training materials, House of Commons proceedings, regulations, opinions, appeals, appearance notices, warrants, subpoenas, summons, procedures, proceedings, treaties, studies.","Projets de lois, notes d'information, analyses article par article, documents de consultation, correspondance ministérielle, Livre vert, avis juridiques, lettres, notes de service, protocoles d'entente, mémoires au Cabinet, documents d'options, Questions et réponses, notes pour la Période des questions, discours, Livre blanc, plans, politiques, ententes, communiqués, rapports, matériel de référence, rapports de recherche, revues de jurisprudence, présentations, documents de réunion, matériel de formation, procédures de la Chambre des communes, règlements, opinions, appels, avis de comparution, mandats, assignations à comparaître, assignation, procédures, actions, traités et études."
