record_number,name_en,name_fr,document_types_en,document_types_fr
PS NCSB 01,National Security Policy and Operations,Politique et opérations en matière de sécurité nationale,"Policies, procedures, statements, notices, memoranda, briefing notes, agendas, records of decisions, and presentations.","Politiques, procédures, déclarations, avis, notes de service, notes d'information, ordres du jour, rapports de décisions et présentations."
PS NCSB 02,Counter-Terrorism and Contingency Planning,Lutte contre le terrorisme et Planification d'urgence,"Contingency plans, memoranda, briefing notes and books, question period notes, risk assessments, advisories, notifications, situation reports, decision briefs, warning products, requests for assistance, after action reviews, budget, funding and departmental reports, agreements, procedures, templates, manuals and protocols, geomatics mapping, emails, agendas, meeting minutes, letters, contracts and requests for proposal.","Plans d'urgence; notes de service; notes d'information et dossiers préparatoires; notes pour la période de questions; évaluations du risque; avis de sécurité; notifications; rapports de situation; documents de décision; avertissements; demandes d'aide; analyses après action; rapports budgétaires, financiers et ministériels; ententes; procédures, modèles, manuels et protocoles; mappage et géomatique; courriels; ordres du jour; procès-verbaux; lettres; contrats; et demandes de propositions."
PS NCSB 03,Passenger Protect Inquiries Office,Bureau des demandes de renseignements du Programme de protection des passagers,"Consent forms, records of decision, inquiry log, e-mails, inquiry letters, memoranda, briefing notes, operating procedures, and other documents containing PPIO-related information.","Formulaires de consentement, comptes rendus de décision, registre des demandes de renseignements, courriels, lettres de demandes de renseignements, notes de service, notes d'information, procédures opérationnelles et autres documents contenant de l`information relative au BDRPPP."
PS NCSB 04,Security and Intelligence Committees,Comités de la sécurité et du renseignement,"Calendars, charts, correspondence, records of decision, briefing notes, memoranda, agendas and terms of reference and decks.","Calendriers, comptes rendus, correspondance, décisions, notes d'information, notes de service, ordres du jour, procès-verbaux et présentations."
PS NCSB 05,Passenger Protect Program,Programme de protection des passagers,"Memoranda, records of decision, threat and risk assessments, case briefs and other program-related information, correspondence, application forms, copies of certified identification documents, classified and unclassified reports related to eligible cases.","Notes de service, comptes rendus des décisions, évaluations des menaces et des risques, mémoires et autres informations, correspondances relatives au Programme, formulaires de demande, copies certifiées conformes de pièces d'identité, rapports classifiés et non classifiés pour les cas admissibles."
PS CSCCB 19,Intergovernmental Affairs and Citizen Engagement,Direction générale des affaires intergouvernementales et de l'engagement des citoyens,"Application forms, plans, budgets, reports, agendas, minutes, records of decisions, agreements, correspondence, briefing notes, memoranda and contracts.","Des formulaires d'application, des plans, des budgets, des rapports, des ordres du jour, des procès-verbaux, des comptes rendus, des ententes, des correspondances, des notes de breffage, des mémorandums et des contrats."
PS PACB 01,Kanishka Project Contribution Program,Programme de contribution du projet Kanishka,"Reports, emails, correspondence, policies, briefing notes, memoranda, agreements, contracts, presentations, invoices, financial statements, directives, travel claims, estimates, audits, reviews, funding proposals including drafts, projects, logic models, project assessments and evaluations, work plans, final project reports, research studies and research summaries, terms of reference, agendas, minutes of meetings, curricula vitae, communications materials, speeches, Requests for Proposals, monitoring reports, and payment requisitions. Note: The Kanishka Project was announced in June 2011, with the first call for proposals announced on January 25, 2012. Funding for this initiative concluded on March 31, 2016.","Rapports, courriels, correspondance, politiques, notes d'information, mémoires au Cabinet, ententes, contrats, présentations, factures, états financiers, directives, demandes de remboursement de frais de déplacement, estimations, vérifications, examens, propositions de financement, y compris ébauches, projets, modèles logiques, évaluations de projet et évaluations, plans de travail, rapports de projet finaux, études et sommaires de recherche, mandats, ordres du jour, comptes rendus de réunions, curriculums vitæ, documents de communication, discours, demandes de propositions, rapports de surveillance et demandes de paiement. Note : Le projet Kanishka a été annoncé en juin 2011, et la première demande de propositions a été lancée le 25 janvier 2012. Le financement de cette initiative a pris fin le 31 mars 2016."
PS NCSB 06,National Strategy and Action Plan for Critical Infrastructure,Stratégie nationale et plan d'action sur les infrastructures essentielles,"Briefing notes, memoranda, agenda, presentations, assessments, reports, surveys, contracts, emails, forms, guides, invitations, legacy documents, organizational descriptions, plans, procedures, reference materials, Question Period notes, evaluations, agreements, procedures, maps, lists, letters.","Notes d'information, notes de service, ordres du jour, présentations, évaluations, rapports, sondages, contrats, courriels, formulaires, guides, invitations, documents historiques, descriptions organisationnelles, plans, procédures, documents de référence, notes pour la période de questions, accords, cartes, listes et lettres."
PS NCSB 07,National Cyber Security Directorate,Direction générale de la cybersécurité nationale,"Briefing notes, memoranda, agenda, presentations, contracts, proposals and action plans.","Notes d'information, notes de service, ordres du jour, contrats, exposés et plans d'actions."
PS CSCCB 13,Border Law Enforcement Strategies,,"Legislative proposals, Memoranda to Cabinet, Cabinet decks, briefing notes, talking points, meeting recommendations, research reports, policies, agreements, frameworks, protocols and procedures.",
PS PACB 02,International Affairs Division,Division des affaires internationales,"Legislative proposals, Memoranda to Cabinet, Treasury Board Submissions, Cabinet decks, briefing notes, talking points, meeting recommendations, strategic frameworks, travel reports, needs assessments, policy analyses and reports, meeting agendas, minutes, project proposals and assessments, international statements and declarations, Memoranda of Understanding and letters.","Propositions législatives, mémoires au Cabinet, présentations au Conseil du Trésor, présentations au Cabinet, notes d'information, points de discussion, des recommandations pour des réunions, cadres stratégiques, rapports de voyages, évaluations des besoins, analyses et rapports sur les politiques, ordres du jour et procès-verbaux de réunions, propositions et évaluations de projets, déclarations et énoncés internationaux, PE et lettres."
PS CSCCB 20,Federal/Provincial/Territorial Justice and Public Safety Tables,"Tables fédérales, provinciales et territoriales de la justice et de la sécurité publique","Copies of: agendas; briefing notes; briefing binders; memoranda; presentations; speeches, hospitality requests; travel authorizations and expenditure forms; records of decision; contact information and biographies for committee members. Format: Copies of audio recordings.","Copies des documents suivants : ordres du jour, notes d'information, cahiers d'information, mémoires, présentations, discours, demandes d'accueil, autorisations de voyager, formulaires de dépenses, coordonnées et biographies des membres des comités. Format : Copies d'enregistrements audio"
