record_number,name_en,name_fr,document_types_en,document_types_fr
TC ASA 004,Airworthiness of Civil Aeronautical Products,Navigabilité des produits aéronautiques civils,"Correspondence, application forms, reports, policies, assessment reports, safety promotion material, airworthiness directives, aircraft manufacturer designs, meeting agendas and minutes, terms of reference, memoranda of understanding, policies and guidelines, copies of contracts, presentations, corrective action plans, procedures, and certificates.","Correspondance, formulaires de demande, rapports, politiques, rapports d’évaluation, matériel de promotion de la sécurité, consignes de navigabilité, conceptions de constructeurs d’aéronefs, ordres du jour et procès-verbaux de réunions, mandats, protocoles d’entente, politiques et lignes directrices, copies de contrats, exposés, plans de mesures correctives et procédures et certificats."
TC ASA 003,Civil Aviation Medicine,Médecine aéronautique civile,"Correspondence, application forms, reports, assessments, learning material, safety promotion material, meeting agendas and minutes, terms of reference, memoranda of understanding, policies and guidelines, copies of contracts, evaluations, proposals, presentations, and procedures.","Correspondance, formulaires de demande, rapports, examens, matériel de formation, matériel de promotion de la sécurité, ordres du jour et procès-verbaux de réunions, mandats, protocoles d’entente, politiques et lignes directrices, copies de contrats, évaluations, propositions, exposés et procédures."
TC ASA 005,Civil Aviation Operations,Activités de l’aviation civile,"Correspondence, application forms, reports, inspections, assessments, audit and enforcement reports, safety promotion material, procedures, meeting agendas and minutes, terms of reference, memoranda of understanding, policies and guidelines, copies of contracts, presentations, corrective action plans, inspectors’ notes, incident reports, emergency plans and procedures, notices of suspension and certificates.","Correspondance, formulaires de demande, rapports, inspections, évaluations, rapports de vérification et d’application, matériel de promotion de la sécurité, procédures, ordres du jour et procès-verbaux de réunions, mandats, protocoles d’entente, politiques et lignes directrices, copies de contrats, exposés, plans de mesures correctives, notes d’inspecteur, rapports d’incident, plans et procédures d’urgence, avis de suspension et certificats."
TC ASA 011,Safety Management Services,Services de gestion de la sécurité,"Correspondence, reports, meeting agendas and minutes, terms of reference, presentations, memoranda, and manuals.","Correspondance, rapports, ordres du jour et procès-verbaux de réunions, mandats, exposés, notes de service et manuels."
TC ASA 002,"Aviation Safety Policies, Regulations and Standards","Politiques, règlements et normes en matière de sécurité aérienne","Correspondence, regulations, briefing and discussion papers, reports, assessments, meeting agendas and minutes, terms of reference, bilateral aviation safety agreements, technical agreements, memoranda of understanding, Treasury Board submissions, cabinet documents, policies and guidelines, copies of contracts, evaluations, proposals, presentations, and procedures.","Correspondance, règlements, notes d’information et documents de travail, rapports, examens, ordres du jour et procès-verbaux de réunions, mandats, accords bilatéraux relatifs à la sécurité aérienne, accords techniques, protocoles d’entente, présentations au Conseil du Trésor, documents du Cabinet, politiques et lignes directrices, copies de contrats, évaluations, propositions, exposés et procédures."
TC ASA 006,Aircraft Engineering,Ingénierie des aéronefs,"Correspondence, reports, meeting agendas and minutes, terms of reference, presentations, service bulletins, engineering reports, drafting designs, certificates, memoranda, manuals, contracts, letters of agreement and memoranda of understanding.","Correspondance, rapports, ordres du jour et procès-verbaux de réunions, mandats, exposés, bulletins de service, rapports techniques, dessins et études, certificats, notes de service, manuels, contrats, lettres d’entente et protocoles d’entente."
TC ASA 008,Aircraft Flight Operations,Vol des aéronefs,"Correspondence, reports, meeting agendas and minutes, terms of reference, presentations, training material, memoranda, manuals, contracts, certificates, letters of agreement, memoranda of understanding, Standard Operating Procedures (SOPs), flight reports, flight plans, checklists, Operations Manuals, Operations Bulletins and Pilot Information Files (PIFs).","Correspondance, rapports, ordres du jour et procès-verbaux de réunions, mandats, exposés, matériel de formation, notes de service, manuels, contrats, certificats, lettres d’entente, protocoles d’entente, procédures normalisées d’exploitation (SOP), comptes rendus en vol, plans de vol, listes de vérification, manuels d’exploitation, bulletins d’exploitation et dossiers d’information aux pilotes."
TC ASA 009,Aircraft Maintenance,Entretien des aéronefs,"Correspondence, Standard Operating Procedures (SOPs), Airworthiness Directives, engineering orders, Canadian aviation regulations (CARs), logbooks, history forms, release tags, condition and corrections, Aircraft Services Service Bulletins (ASSBs), reports, meeting agendas and minutes, terms of reference, presentations, service bulletins, memoranda, manuals, contracts, certificates, letters of agreement and memoranda of understanding.","Correspondance, procédures normalisées d’exploitation (SOP), consignes de navigabilité, instructions techniques, *Règlement de l’aviation canadien*, livrets techniques d’aéronef, fiches chronologiques, fiches de certification, état et corrections, bulletins de service des Services des aéronefs (BSSA), rapports, ordres du jour et procès-verbaux de réunions, mandats, exposés, bulletins de service, notes de service, manuels, contrats, certificats, lettres d’entente et protocoles d’entente."
TC ASA 010,Aircraft Pilot and Maintenance Engineer Training,Formation de pilote et de technicien d’entretien d’aéronefs,"Correspondence, reports, meeting agendas and minutes, terms of reference, certificates, presentations, training material, memoranda, simulator descriptions and literature, manuals, contracts, memoranda of understanding and pilot training records.","Correspondance, rapports, ordres du jour et procès-verbaux de réunions, mandats, certificats, exposés, matériel de formation, notes de service, descriptions et documents de simulation, manuels, contrats, protocoles d’entente et dossiers de formation des pilotes."
TC ASE 007,Aviation Security Operations,,"Correspondence, briefing and discussion papers, reports, meeting agendas and minutes, terms of reference, presentations, legal opinions, memoranda, certificates, notices and orders, manuals, audits, risk evaluations, policies, and guidelines.",
