record_number,name_en,name_fr,document_types_en,document_types_fr
VAC MVA 892,Caregiver Recognition Benefit Class of Record,,"Blank Application Forms, Background Papers, Briefing Notes, Correspondence, Decision Records, Evaluations, Legal Opinions, Legislation, Memoranda to Cabinet, Orders in Council, Plans, Policies, Presentations, Procedures, Publications, Regulations, Reports, Studies and Treasury Board Submissions.",
VAC MVA 820,Disability Pension Program Class of Record,,"Blank Application Forms, Background Papers, Briefing Notes, Correspondence, Decision Records, Evaluations, Legal Opinions, Legislation, Memoranda to Cabinet, Orders in Council, Plans, Policies, Presentations, Procedures, Publications, Regulations, Reports, Studies and Treasury Board Submissions.",
VAC MVA 901,Pain and Suffering Compensation Class of Record,,"Including but not limited to blank application forms, background papers, briefing notes, correspondence, decision records, evaluations, waivers, medical opinions, legal opinions, legislation, Memoranda to Cabinet, Orders in Council, plans, policies, presentations, procedures, processes, publications, regulations, reports, discussion papers, studies, and Treasury Board submissions.",
VAC MVA 900,Additional Pain and Suffering Compensation Class of Record,,"Including but not limited to blank application forms, background papers, briefing notes, correspondence, decision records, evaluations, waivers, medical opinions, legal opinions, legislation, Memoranda to Cabinet, Orders in Council, plans, policies, presentations, procedures, processes, publications, regulations, reports, discussion papers, studies, and Treasury Board submissions.",
VAC MVA 890,Critical Injury Benefit Class of Record,,"Blank Application Forms, Background Papers, Briefing Notes, Correspondence, Decision Records, Evaluations, Waivers, Medical Opinions, Legal Opinions, Legislation, Memoranda to Cabinet, Orders in Council, Plans, Policies, Presentations, Procedures, Publications, Regulations, Reports, Studies and Treasury Board Submissions.",
VAC MVA 902,Death Benefit Class of Record,,"Including but not limited to blank application forms, background papers, briefing notes, correspondence, decision records, evaluations, waivers, medical opinions, legal opinions, legislation, Memoranda to Cabinet, Orders in Council, plans, policies, presentations, procedures, processes, publications, regulations, reports, discussion papers, studies and Treasury Board submissions.",
VAC MVA 904,Educational Assistance Class of Record,,"Agreements, Blank Application Forms, Background Papers, Briefing Notes, Contracts, Correspondence, Legal Opinions, Legislation, Memoranda of Understanding, Orders in Council, Plans, Policies, Procedures, Presentations, Publications, Regulations, Reports, Studies and Treasury Board Submissions.",
VAC MVA 860,Health Care Benefits Program Class of Record,,"Agreements, Blank Application Forms, Background Papers, Briefing Notes, Contracts, Correspondence, Directives, Evaluations, Legal Opinions, Legislation, Media Lines, Memoranda of Understanding, Orders in Council, Plans, Policies, Presentations, Procedures, Publications, Regulations, Reports, Studies and Treasury Board Submissions.",
VAC MVA 845,Financial Benefits Class of Record,,"Blank Application Forms, Assessments, Background Papers, Briefing Notes, Contracts, Correspondence, Evaluations, Legal Opinions, Legislation, Media Lines, Memoranda to Cabinet, Memoranda of Understanding, Orders in Council, Plans, Policies, Presentations, Procedures, Publications, Regulations, Reports, Studies and Treasury Board Submissions.",
VAC MVA 880,Intermediate and Long Term Care Program Class of Record,,"Agreements, Blank Application Forms, Assessments, Background Papers, Briefing Notes, Contracts, Correspondence, Evaluations, Legal Opinions, Legislation, Media Lines, Memoranda of Understanding, Orders in Council, Policies, Presentations, Procedures, Publications, Regulations, Reports, Studies, Public Opinion Research, Memoranda to Cabinet, and Treasury Board Submissions.",
VAC MVA 903,Veteran and Family Well-Being Fund Class of Record,,"Including but not limited to: Agreements, Blank Application Forms, Media Lines, Legal Opinions, Briefing Notes, Correspondence, Policies, Presentations, Procedures, Policies, Presentations, Reports, Memoranda to Cabinet and Treasury Board Submissions.",
VAC MVA 830,Rehabilitation Class of Record,,"Agreements, Blank Application Forms, Background Papers, Briefing Notes, Contracts, Correspondence, Legal Opinions, Legislation, Memoranda of Understanding, Orders in Council, Plans, Policies, Procedures, Presentations, Publications, Regulations, Reports, Studies and Treasury Board Submissions.",
VAC MVA 855,Veterans Independence Program Class of Record,,"Agreements, Blank Application Forms, Assessments, Background Papers, Briefing Notes, Contracts, Correspondence, Evaluations, Legal Opinions, Legislation, Media Lines, Memoranda of Understanding, Orders in Council, Policies, Presentations, Procedures, Publications, Regulations, Reports, Studies, Memoranda to Cabinet and Treasury Board Submissions.",
VAC MVA 680,War Veterans Allowance Class of Record,,"Blank Application Forms, Assessments, Background Papers, Briefing Notes, Contracts, Correspondence, Evaluations, Legal Opinions, Legislation, Media Lines, Memoranda to Cabinet, Memoranda of Understanding, Orders in Council, Plans, Policies, Presentations, Procedures, Publications, Regulations, Reports, Studies and Treasury Board Submissions.",
VAC MVA 755,Ceremonies and Events Class of Record,,"Agreements, Background Papers, Briefing Notes, Contracts, Correspondence, Legal Opinions, Legislation, Media Lines, Press Releases, Agendas, Schedules, Communications Plans, Speeches, Memoranda to Cabinet, Memoranda of Understanding, Orders in Council, Plans, Policies, Presentations, Procedures, Publications, Reports, Regulations, Studies and Treasury Board Submissions.",
VAC MVA 810,Partnerships and Collaborations Class of Record,,"Agreements, Blank Application Forms, Media Lines, Legal Opinions, Briefing Notes, Correspondence, Policies, Presentations, Procedures, Reports, Memoranda to Cabinet and Treasury Board Submissions.",
VAC MVA 805,Public Education and Awareness Class of Record,,"Background Papers, Briefing Notes, Contracts, Correspondence, Evaluations, Media Lines, Plans, Legal Opinions, Presentations, Procedures, Publications, Reports and Studies.",
VAC MVA 745,Funeral and Burial Program Class of Record,,"Agreements, Briefing Notes, Correspondence, Evaluations, Legal Opinions, Memoranda of Understanding, Policies, Presentations, Procedures, Publications, Regulations Reports, Memoranda to Cabinet and Treasury Board Submissions.",
VAC MVA 735,Memorials and Cemetery Maintenance Class of Record,,"Agreements, Background Papers, Briefing Notes, Contracts, Correspondence, Legislation, Media Lines, Legal Opinions, Memoranda of Understanding, Orders in Council, Plans, Policies, Procedures, Presentations, Publications, Reports, Memoranda to Cabinet and Treasury Board Submissions.",
VAC MVA 760,Office of the Veterans Ombudsman Class of Record,,"Statistics, Discussion Papers, Issue Notes, Agreements, Briefing Notes, Correspondence, Legislation, Media Lines, Memoranda of Understanding, Plans, Policies, Processes, Manuals, Protocols, Legal Opinions, Orders in Council, Memoranda to Cabinet, Treasury Board Submissions, Procedures and Reports.",
VAC MVA 685,First Nations Veterans Compensation Package Class of Record,,"Agreements, Blank Application Forms, Background Papers, Briefing Notes, Committees, Correspondence, Decision Records, Legal Opinions, Media Lines, Memoranda to Cabinet, Orders in Council, Plans, Policies, Presentations, Procedures, Reports, Studies and Treasury Board Submissions.",
VAC MVA 725,Merchant Navy Seamen Special Benefit Class of Record,,"Blank Application Forms, Background Papers, Briefing Notes, Correspondence, Decision Records, Legislation, Media Lines, Memoranda to Cabinet, Orders in Council, Policies, Presentations, Procedures, Regulations, Reports and Treasury Board Submissions.",
VAC MVA 800,Prisoner of War Ex-gratia Payments Class of Record,,"Blank Application Forms, Background Papers, Briefing Notes, Correspondence, Legislation, Media Lines, Orders in Council, Policies, Presentations, Procedures, Regulations, Reports, Studies and Treasury Board Submissions.",
VAC MVA 640,Agent Orange Ex-gratia Payments Class of Record,,"Blank Application Forms, Background Papers, Briefing Notes, Correspondence, Decision Records, Legal Opinions, Media Lines, Memoranda to Cabinet, Orders in Council, Policy, Presentations, Procedures, Publications, Reports, Studies and Treasury Board Submissions.",
VAC MVA 295,Bureau of Pensions Advocates Class of Record,,"Briefing Notes, Correspondence, Evaluations, Legal Opinions, Agreements, Contracts, Directives, Business Processes, Media Lines, Plans, Policies, Presentations and Reports.",
VAC MVA 645,Federal Healthcare Partnership Class of Record,,"Agreements, Background Papers, Briefing Notes, Correspondence, Evaluations, Legal Opinions, Plans, Policies, Presentations, Procedures and Reports.",
VAC MVA 690,Federal Health Claims Processing System Administration Class of Record,,"Agreements, Briefings Notes, Contracts, Correspondence, Decision Records, Evaluations, Legal Opinions, Memoranda of Understanding, Presentations and Reports.",
VAC MVA 720,Mental Health Services and Supports Class of Record,,"Background Papers, Briefing Notes, Contracts, Correspondence, Evaluations, Legislation, Media Lines, Memoranda, Memoranda of Understanding, Plans, Policies, Presentations, Press Releases, Procedures, Publications, Question Period Notes, Regulations, Reports, Speeches, and Studies.",
VAC MVA 865,Soldier Settlement Board and Veterans’ Land Administration – Property Management and Maintenance Class of Record,,"Agreements, Application Forms, Appraisals, Appraisal Fee Schedules, Assessments, Background Papers, Certificates, Contracts, Correspondence, Covenants, Deeds, Directives, Eviction Notices, Leases, Legal Opinions, Legislation, Licenses, Media Lines, Orders in Council, Plans, Policies, Procedures, Property Statements, Publications, Question Period Notes, Regulations, Rental Agreements, Reports, Sales Receipts, Statistics, Studies, Surveys, Tax Statements, Title Certificates, Treasury Board Submissions and Utility Bills.",
VAC MVA 870,Soldier Settlement Board and Veterans’ Land Administration – Program Operations and Administration Class of Record,,"Agreements, Application Forms, Background Papers, Briefings, Building Models, Contracts, Construction Reports; Correspondence, Directives, Evaluations, Housing Plans, Leases, Legal Opinions, Legislation, Media Lines, Orders in Council, Plans, Policies, Procedures, Publications, Question Periods Notes, Regulations, Reports, Requests for Information, Statements, Statistics, Studies, Tax Statements, and Treasury Board Submissions.",
VAC MVA 030,Veterans Insurance Class of Record,,"Correspondence, Decision Records, Legal Opinions, Legislation, Orders in Council, Policies, Procedures, Regulations, and Reports.",
VAC MVA 715,Historical Ste. Anne’s Hospital Class of Record,,"Agreements, Blank Application Forms, Assessments, Background Papers, Briefing Notes, Contracts, Correspondence, Evaluations, Legal Opinions, Legislation, Media Lines, Memoranda of Understanding, Order in Councils, Policies, Presentations, Procedures, Publications, Regulations, Reports, Studies, Memoranda to Cabinet and Treasury Board Submissions.",
VAC MVA 875,Disability Awards Program Class of Record,,"Blank Application Forms, Background Papers, Briefing Notes, Correspondence, Decision Records, Evaluations, Legal Opinions, Legislation, Memoranda to Cabinet, Orders in Council, Plans, Policies, Presentations, Procedures, Publications, Regulations, Reports, Studies and Treasury Board Submissions.",
