record_number,name_en,name_fr,document_types_en,document_types_fr
IRB ADJ 130,Immigration Division - Application of Legislation and Divisional Issues,Section de l'immigration - Application des dispositions législatives et questions propres à la Section,"General correspondence, issue papers, memoranda, policies, procedures, case information, transcriptions and decisions, and other documents relating to the application of the Act and Regulations and related legislation, and other substantive and procedural issues pertaining to the division.","Correspondance générale, exposés, notes de service, politiques, procédures, information sur le cas, transcriptions et décisions, autres documents liés à l'application de la Loi, du Règlement et des dispositions législatives connexes et autres questions relatives au fonctionnement et aux procédures propres à la Section."
IRB INF 160,Immigration Division Operations - Division Statistics,Opérations de la Section de l'immigration - Statistiques de la Section,"workload, operational schedules, case information, statistical reports and analysis.","Charge de travail, calendriers opérationnels, information sur les cas, rapports et analyses statistiques."
IRB OPS 110,Interpreter Data,Données sur les interprètes,"Personal Information needed for the purposes of contracting interpreters, such as application forms, CV, accreditation tests, test result letters, and signed contracts.","Renseignements personnels nécessaires pour passer des contrats avec les interprètes, tels que les formulaires de demande, les curriculum vitæ, les examens d'accréditation, les lettres de résultats obtenus aux examens et les contrats signés."
IRB OPS 005,Immigration Appeal Division Case Files,Dossiers sur les cas de la Section d'appel de l'immigration,"Information, evidence, exhibits, arguments and submissions upon which the Board makes its decisions.","Renseignements, éléments de preuve, pièces à l'appui, arguments et observations sur lesquels s'appuie la Commission pour rendre ses décisions."
IRB OPS 025,Immigration Appeals Process,Processus d'appel de l'immigration,Practices and procedures for operational staff; practices and procedures for interpreters; standard forms and orders.,Pratiques et procédures à l'intention du personnel des Opérations et des interprètes; formulaires et ordonnances normalisés.
IRB OPS 020,Refugee Protection Division - Application,Section de la protection des réfugiés - Demande,"Policies, practices and procedures for hearing room administration, participant function and conduct (Members, interpreters and Tribunal Officers); case preparation; the ""Expedited Report"" that contains a summary of the information elicited at an expedited interview where a recommendation may be made to the member that the claim is suitable to be accepted without a hearing or instruction to remit the claim for determination at a hearing; decisions and reasons; records of detained persons; transcripts.","Politiques, pratiques et procédures relativement à l'administration des salles d'audience, fonctions et règles de conduite des participants (commissaires, interprètes et agents du tribunal); préparation des cas; le « rapport sur le processus accéléré » qui comporte un résumé de l'information obtenue à une entrevue tenue dans le cadre du processus accéléré lorsqu'on recommande à un commissaire d'accueillir la demande d'asile sans tenir d'audience ou qu'il est donné instruction d'orienter la demande d'asile vers le processus d'audience; décisions et motifs; dossiers de personnes détenues; transcriptions."
IRB OPS 015,Refugee Protection Division - Operations,Section de la protection des réfugiés - Opérations,"Electronic databases and paper-based files are used to record and track a claimant's personal data; country data; claim status; decisions; scheduling; calendar errata; adjournments; postponements; availability of facilities; member assigned; workload; reasons; status of reasons; Minister's counsel, counsel representing the claimant, interpreters, and witnesses; status of claimant in third countries; verification of claimant's membership in political and/or religious organizations; issue papers; national documentation packages; extended responses and responses to information requests; research directives seeking claimant-specific information for use in the hearing.","Des bases de données électroniques et des dossiers sur support papier sont utilisés pour consigner et faire le suivi des renseignements personnels des demandeurs d'asile; les données sur les pays; l'état de la demande d'asile; les décisions; la mise au rôle; les erreurs au calendrier; les ajournements; les remises; la disponibilité des installations; les commissaires affectés au cas; la charge de travail; les motifs; l'état des motifs; le conseil ministre, le conseil qui représente le demandeur d'asile, les interprètes et les témoins; la situation du demandeur d'asile dans les pays tiers; la vérification de l'appartenance du demandeur d'asile à des organisations politiques ou religieuses; les exposés; les cartables nationaux de documentation; les réponses approfondies et les réponses aux demandes d'information; les directives de recherche sur des renseignements propres au demandeur d'asile qui seront utilisés à l'audience."
IRB DOC 135,Research - Claimant Specific Information,Recherche - Renseignements précis sur les demandes d'asile,"Ministers' information, status of individuals in third countries, verification of membership in political and religious organizations; other.","Renseignements ministériels, situation des personnes dans des pays tiers, vérification de l'appartenance à des organisations politiques et religieuses, entre autres."
IRB DOC 140,Specific Information Research Unit Tracking System,Système de suivi de la Section de recherche de renseignements précis,Research directives seeking claimant-specific information for use in the hearing.,Directives de recherche pour l'obtention de renseignements précis sur les demandeurs d'asile à utiliser pendant l'audience.
IRB DOC 050,Research - General Country of Origin Information,Recherches - Renseignement généraux sur les pays d'origine,"National Documentation Packages, issue papers, extended responses and responses to information requests.","Cartables nationaux de documentation, exposés, réponses aux demandes de renseignements."
IRB INF 090,Research - Refugee Bibliographic Records,Recherches - Fiches bibliographiques sur les réfugiés,"Author, Date, Abstracts, Location, Publisher, Dates, Edition.","Auteur, dates, extraits, endroit, lieu, éditeur, édition."
