record_number,name_en,name_fr,document_types_en,document_types_fr
MPA LAS 005,Risks and Claims Management,,"accident or property damage reports, forms, settlements, legal opinions, insurance documents, court documents, policies, procedures, and related correspondence.",
MPA MAD 010,Business Development,,"market research and testing, memoranda of understanding, correspondence with provincial and international partners, information on practices and operations, reports, budgets, plans, statistics, policies and procedures.",
MPA MAD 015,Administration of Tariffs and Fees,,"Harbour dues; berthage, anchorage and wharfage descriptions and fees; dangerous goods descriptions and fees; water service fees, mobile ramp fees; in transit passenger fees or embarking/disembarking passenger fees; remittals, notices and procedures, policies, statistical reports; meeting minutes; contracts; memoranda and correspondence.",
MPA OPE 005,Environmental Management System,,"plans, audits, reviews, reports, certificates, policies, objectives, targets, and procedures for defining, investigating, correcting and preventing non-conformity issues related to the Environmental Management System.",
MPA OPE 010,Sustainable Development Programs,,"environmental reports, research, studies, standards, certifications, financial reports, budget, plans, policies, procedures, correspondence, committee meeting minutes, agendas.",
MPA OPE 020,Port Infrastructure,,"contract files and related correspondence, award criteria, guidelines, regulations, approval requirements, statements of work, Requests for Proposal, solicitation or tender documents, monitoring and inspection reports, invoices, payment requisitions, evaluation and quality control reports, standing offers, supply arrangements, purchase requisitions, reports, contracts, quotes, research, plans, submissions, progress reports and payments.",
MPA OPE 025,Railway Operations,,"engineering plans, policies, procedures, guidelines, regulations, statements of work, Requests for Proposals, solicitation or tender documents, purchase requisitions, invoices, research, maintenance and inspection reports, safety prevention and emergency plans, accident reports, reports, contracts, MOUs and/or agreements with railway partners (CN & CP), general correspondence, meeting agendas and minutes.",
MPA OPE 030,"Cargo/Container, Dry and Liquid Bulk Management",,"fees and rates, licenses, plans, procedures, policies, financial reports, budgets, statistical reports, forecasts and strategies.",
MPA OPE 035,Cruise Services,,"passenger manifest, including information on Canada Customs and Immigration, port services (seaport, washrooms, food, tours, information, etc.), advertisements, brochures, posters, press releases, performance reporting documents, planning documents, photos and illustrations, budget documents, presentations, market research reports, promotional material, invoices, contracts, statistics, policies, procedures.",
MPA OPE 040,Fire and Hazardous Materials,,"laws, regulations, codes, standards, forms, reports, policies, procedures, incident reports, safety information, emergency contact information, situation reports, emergency response plans.",
MPA OPE 045,North American Security Perimeter,,"legislation, regulations, codes, standards, reports, statistics, policies, procedures, techniques, manuals, safety information, emergency contact information, situation reports, operational plans, correspondence.",
MPA OPE 050,Dangerous Goods Container Inspection Program,,"legislation, regulations, codes, standards, forms, reports, statistics, policies, procedures, license numbers, statements of vessel ownership, declaration of dangerous goods, and registrations of containers containing dangerous goods.",
MPA OPE 055,Harbour Master Control Centre,,"legislation, regulations, codes, standards, forms, reports, statistics, policies, procedures, techniques, manuals, incident reports, safety information, emergency contact information, situation reports, emergency response plans, video surveillance.",
MPA SAF 060,Port Community Credentialing Program,,"badges, application and registration forms, badge revocations, company and individual information, policies, procedures, access controls (i.e. access to all or specific areas of the Port), correspondence, license numbers.",
MPA OPE 065,Marine Security Initiatives,,"legislation, regulation, codes, standards, forms, applications, reports, statistics, policies, procedures, techniques, manuals, incident reports, safety information, emergency contact information, situation reports, operational plans, procedures relating to media requests for information",
