record_number,name_en,name_fr,document_types_en,document_types_fr
NRC IFC 7200,"Demonstration and Commercialization (remodeled, closed or transferred)","Démonstration et commercialisation (remanié, aboli ou transféré)","Correspondence, memoranda, requests, public relations materials, presentations, contracts with collaborators and clients. Correspondence with other Government Departments, Business development agreements, patents and licences.","Correspondance, notes et mémoires, matériel de relations publiques, présentations, ententes avec les clients et collaborateurs, correspondance avec d'autres ministères, accords du développement des affaires, brevets et licences."
NRC IFC 7300,"Knowledge and Networking (remodeled, closed or transferred)","Connaissances et réseautage (remanié, aboli ou transféré)","Correspondence, memoranda, requests, public relations materials, contracts with collaborators and clients.","Correspondance, mémorandums, demandes, matériel de relations publiques, présentations, ententes avec les clients et collaborateurs."
NRC IFC 5510,"Technology Development (cluster focused) (remodeled, closed or transferred)","Développement technologique (par grappe) (remanié, aboli ou transféré)","Correspondence, research files of published and unpublished data, reprints, briefing notes, technical reports, research contracts, patents, collaboration agreements, business development plans and non-disclosure agreements.","Correspondance, notes de laboratoire, sommaires de données publiées ou non, rapports techniques, contrats, ententes de collaboration, documentation sur des brevets, plans de développement des entreprises et des accords de non-divulgation."
NRC IFC 5520,"Technology Development (nationally focused) (remodeled, closed or transferred)","Développement technologique (à l'échelle nationale) (remanié, aboli ou transféré)","Correspondence, research files of published and unpublished data, technical reports, research contracts, patents, collaboration agreements.","Correspondance, notes de laboratoire, sommaires de données publiées ou non, rapports techniques, contrats, ententes de collaboration et documentation sur des brevets."
NRC CHC 0890,"Cold Regions Technologies (remodeled, closed or transferred)","Technologies des régions froides (remanié, aboli ou transféré)","Environmental assessments, technical reports, scientific papers, images, procedures for quality assurance.","Les évaluations environnementales, rapports techniques, articles scientifiques, des images et des procédures d'assurance-qualité."
NRC CHC 0740,"Hydrotechnical (remodeled, closed or transferred)","Hydrotechnique (remanié, aboli ou transféré)","Environmental assessments, technical reports, scientific papers, images, procedures for quality assurance.","Les évaluations environnementales, rapports techniques, articles scientifiques, des images, des procédures d'assurance-qualité."
NRC IOT 1004,"Ice and Arctic Engineering (remodeled, closed or transferred)","Génie de l'arctique et de la glace (remanié, aboli ou transféré)","Correspondence, research files of published and unpublished data, reprints, briefing notes, technical reports, research contracts, patents, collaboration agreements.","Correspondance, réimpressions, notes de laboratoire, sommaires de données publiées ou non, rapports techniques, contrats de recherche, ententes de collaboration, documentation sur des brevets."
NRC IOT 1003,"Marine Safety (remodeled, closed or transferred)","Sécurité maritime (remanié, aboli ou transféré)","Correspondence, research files of published and unpublished data, technical report, research contracts, patents, service agreements and research agreements.","Correspondance, notes de laboratoire, sommaires de données publiées ou non, rapports techniques, contrats de recherche, ententes de collaboration et de recherche, documentation sur des brevets."
NRC IOT 0006,"Ocean Observation (remodeled, closed or transferred)","Observation des océans (remanié, aboli ou transféré)","Correspondence, research files of published and unpublished data, technical reports, research contracts, patents; service agreements.","Correspondance, réimpressions, sommaires de données publiées ou non, rapports techniques, contrats de service, notes de breffage, ententes de collaboration, documentation sur des brevets."
NRC CPE 3510,"Advance Fuel Cells Components (remodeled, closed or transferred)","Piles à combustible (remanié, aboli ou transféré)","Correspondence, research files of published and unpublished data, reprints, briefing notes, technical reports, research contracts, patents, collaboration agreements.","Correspondance, sommaires de données publiées ou non, rapports techniques, contrats, ententes de collaboration et documentation sur des brevets."
