record_number,name_en,name_fr,document_types_en,document_types_fr
SOPF INC 001,1.1 Incident Cases,,"Claims, intake memos, surveys, investigations and assessments, decision letters, demand letters, news articles, pleadings, photographs and images, maps, notes, requisitions, policies and procedures, private locator reports, legal opinions, court documents, documents disclosed within legal proceedings, and correspondence.",
SOPF OPS 005,"1.3 Ship Fund Indexation, Limitation of Liability and Levy","1.3 Indexation, limite de responsabilité et contributions du Fonds Navire","Levy adjustment letters, contributing oil reports, and correspondence.","Lettres de rajustement de la contribution, correspondance et rapports sur le pétrole donnant lieu à contribution."
SOPF OPS 002,1.4 Contractors and Response Organizations,1.4 Entrepreneurs et organismes d'intervention,Correspondence and reference materials.,Correspondance et documents de référence.
SOPF OPS 004,1.5 Maritime Pollution Claims Fund (MPCF),1.5 Caisse des réclamations de la pollution maritime (CRPM),"Correspondence, notes, and reports.","Correspondance, notes et rapports."
SOPF OUT 001,"2.1 Affiliations, Federal, National and International Relations",,"Correspondence, notes, reports, meeting agendas and minutes, records of decisions, presentations, Memoranda of Understanding, and legal opinions.",
SOPF OUT 002,"2.2 Committees, Conferences, Seminars and Workshops","2.2 Comités, conférences, séminaires et ateliers","Correspondence, meeting agendas and minutes, notes, lists of participants, presentations, surveys, records of decisions, and reports.","Correspondance, ordres du jour et procès-verbaux de réunions, notes, listes de participants, présentations, études, comptes rendus de décisions et rapports."
SOPF OPS 001,3.1 International Oil Pollution Compensation Funds (IOPC Funds),3.1. Fonds internationaux d'indemnisation pour les dommages dus à la pollution par les hydrocarbures (FIPOL),"Correspondence, notes, instructions, reports, meeting agendas, and records of decision.","Correspondance, notes, instructions, rapports, ordres du jour et comptes rendus de décisions de réunions."
FRAIDG INC 001,1.1 Accident Cases,,"Accident reports, reference materials, and correspondence.",
FRAIDG OPS 005,"1.2 Rail Fund Indexation, Limitation of Liability, and Levy","1.2 Indexation, limite de responsabilité et contributions du Fonds Rail","Correspondence, levy attestation processes and reports, payment records and reports, revenue analyses.","Correspondance, processus et rapports d'attestation de la contribution, documents sur les paiements et rapports, analyses des recettes."
FRAIDG OUT 001,"2.1 Affiliations, Federal, National and International Relations",,"Correspondence, notes, reports, meeting agendas and minutes, records of decisions, presentations, Memoranda of Understanding, and legal opinions.",
FRAIDG OUT 002,"2.2 Committees, Conferences, Seminars and Workshops","2.2 Comités, conférences, séminaires et ateliers","Correspondence, meeting agendas and minutes, notes, lists of participants, presentations, surveys, records of decisions, and reports.","Correspondance, ordres du jour et procès-verbaux de réunions, notes, listes de participants, présentations, études, comptes rendus de décisions et rapports."
CIDPHN OUT 001,,"2.1 Affiliations, relations fédérales, nationales et internationales",,"Correspondance, notes, rapports, ordres du jour et procès-verbaux de réunions, comptes rendus de décisions, présentations, protocoles d'entente et avis juridiques."
CIAFIMD INC 001,,1.1 Cas d'accidents,,"Rapports d'accident, documents de référence, et correspondance."
CIAFIMD OUT 001,,"2.1 Affiliations, relations fédérales, nationales et internationales",,"Correspondance, notes, rapports, ordres du jour et procès-verbaux de réunions, comptes rendus de décisions, présentations, protocoles d'entente et avis juridiques."
