record_number,name_en,name_fr,document_types_en,document_types_fr
Elections 2020,Electoral Boundaries Readjustment (COR),Redécoupage des circonscriptions (CD),"Correspondence, memoranda, budgets, maps, travel authorization forms and claims Disclosure Summaries: Under development Format: Maps","correspondance, notes de service, budgets, cartes, formulaires d'autorisation de voyage et demandes de remboursement des frais de déplacement. Résumés de divulgation : En cours d'élaboration Format : cartes"
Elections 2040,Analysis and Quality (COR),Analyse et qualité (CD),"Analytical reports, tables, electronic files, statements of methodology, memoranda and correspondence Disclosure Summaries: Under development","rapports d'analyse, tableaux, fichiers électroniques, descriptions de méthodes, notes de service et correspondance. Résumés de divulgation : En cours d'élaboration"
Elections 2050,Electoral Geography (COR),Géographie électorale (CD),"Project plans, memoranda, minutes of meetings and correspondence Disclosure Summaries: Under development Format: Maps (paper and digital), National Geographic Database and Electoral Geography Database","plans de projet, notes de service, comptes rendus de réunions et correspondance. Format : cartes (imprimées et numériques), Base nationale de données géographiques et Base de données de la géographie électorale. Résumés de divulgation : En cours d'élaboration"
Elections 2010,Register of Electors (COR),Registre des électeurs (CD),"National Register of Electors, information sharing agreements, correspondence, minutes, agenda, memoranda, reports, lists of electors and legal opinions Disclosure Summaries: Under development","Registre national des électeurs, ententes de partage de l'information, correspondance, procès-verbaux, ordres du jour, notes de service, listes électorales et avis juridiques. Résumés de divulgation : En cours d'élaboration"
Elections 3010,Electoral Integrity (COR),Intégrité électorale (CD),"Project plans, process maps, memoranda, briefing notes, reports, presentations, training material, academic and current event research database and corporate risk assessment database Disclosure Summaries: Under development","plans de projet, schémas de processus, notes de service, notes d'information, rapports, présentations, documents de formation, base de données de recherche universitaire et sur les actualités; base de données d'évaluation des risques ministériels. Résumés de divulgation : En cours d'élaboration"
Elections 2060,Field Personnel Readiness (COR),Préparation du personnel en région (CD),"Correspondence, memoranda, minutes of meetings, procedures, agendas, financial returns, logs, training manuals, business cases, project cards, budgets, newsletters, reports, contract data sheets, printing and purchasing specifications and orders, requisitions, briefing notes, travel authorization forms and claims, training forms, hospitality approvals and claims and evaluation forms. Disclosure Summaries: Under development","correspondance, notes de service, comptes rendus de réunions, procédures, ordres du jour, rapports financiers, registres, manuels de formation, analyses de rentabilisation, cartes de projet, budgets, bulletins, rapports, feuilles de données sur les contrats, devis d'impression et d'achat et commandes, demandes, notes d'information, formulaires d'autorisation de voyage et demandes de remboursement des frais de déplacement, formulaires de formation, autorisations de frais d'accueil et demandes de remboursement, formulaires d'évaluation. Résumés de divulgation : En cours d'élaboration"
Elections 8010,Commissioner of Canada Elections (COR),Commissaire aux élections fédérales (CD),"Complaints, referrals from Elections Canada, legal advice and opinions, correspondence (letters, emails, memoranda, briefing notes), agenda, minutes, notes, compliance agreements and undertakings, information and caution letters, notices of violation, review decisions, plans, assessments, documentary evidence, video and audio recordings, transcripts, research material, investigation reports and findings, requests for review, summaries, disclosure packages, training documents, presentations, statements, and reports (annual, recommendation and special). Disclosure Summaries: Royal Canadian Mounted Police Canada Revenue Agency Public Prosecution Service of Canada Canadian Radio-television and Telecommunications Commission Canadian Security Intelligence Service Format: Audio tapes, videotapes and photographs","Plaintes, renvois provenant dÉlections Canada, avis et opinions juridiques, correspondance (lettres, courriels, notes de service, notes d'information), ordres du jour, comptes rendus, notes, transactions et engagements, lettres d'avertissement et d'information, procès-verbaux, décisions découlant de révisions, plans, évaluations, preuve documentaire, enregistrements audio et vidéo, transcriptions, matériel de recherche, rapports et constats d'enquête, demandes de révision, résumés, trousses de divulgation, documents de formation, présentations, déclarations et rapports (annuels, spéciaux et de recommandations). Résumés de divulgation : Gendarmerie royale du Canada Agence du revenu du Canada Service des poursuites pénales du Canada Conseil de la radiodiffusion et des télécommunications canadiennes Service canadien du renseignement de sécurité Format : enregistrements audio, enregistrements vidéo et photographies"
Elections 3030,Compliance Assistance Unit – Administration of Political Financing (COR),Service d'aide à la conformité – Administration du financement politique (CD),"Correspondence, memoranda, policies, procedures, financial returns, and logs Disclosure Summaries: Under development","correspondance, notes de service, politiques, procédures, rapports financiers et registres. Résumés de divulgation : En cours d'élaboration"
Elections 3040,Compliance Assistance Unit – Compliance (COR),Service d'aide à la conformité – Conformité (CD),"Correspondence, memoranda, policies, procedures, financial returns, and logs Disclosure Summaries: Under development","correspondance, notes de service, politiques, procédures, rapports financiers et registres. Résumés de divulgation : En cours d'élaboration"
Elections 3020,"Opinions, Guidelines, and Interpretations (COR)","Avis écrits, lignes directrices et notes d'interprétation (CD)","Drafts, consultations, comments and responses on drafts, research, correspondence, meeting summaries and final versions for the registry Disclosure Summaries: Under development","ébauches, consultations, commentaires et réponses sur les ébauches, recherche, correspondance, procès-verbaux et versions finales du registre. Résumés de divulgation : En cours d'élaboration"
Elections 3050,Political Financing and Audit – Administration of Political Financing (COR),Financement politique et vérification – Administration du financement politique (CD),"Correspondence, memoranda, procedures, policies, financial returns, and logs Disclosure Summaries: Under development","correspondance, notes de service, procédures, politiques, rapports financiers et registres. Résumés de divulgation : En cours d'élaboration"
Elections 3060,Political Financing and Audit – Compliance (COR),Financement politique et vérification – Conformité (CD),"Correspondence, memoranda, procedures, policies, financial returns, and logs Disclosure Summaries: Under development","correspondance, vérifications, notes de service, procédures, politiques, rapports financiers et registres. Résumés de divulgation : En cours d'élaboration"
Elections 3070,Registry of Political Entities – Administration of Political Financing (COR),Registre des entités politiques – Administration du financement politique (CD),"Political entities registration and update forms, backgrounders, memoranda, correspondence, reports, and office procedures Disclosure Summaries: Under development","formulaires d'enregistrement des entités politiques et formulaires de mise à jour, documents d'information, notes de service, correspondance, rapports et procédures de bureau. Résumés de divulgation : En cours d'élaboration"
