record_number,name_en,name_fr,document_types_en,document_types_fr
SPPC REG 004,,Comité fédéral-provincial-territorial (FPT) des chefs des poursuites pénales,,"Documents du Comité (notamment mandat, liste des membres, ordres du jour, comptes rendus de décision, recommandations et procès verbaux), avis, copies des pratiques exemplaires, précédents et lignes directrices, documents de recherche, copies des politiques et des procédures du Comité, études et rapports et correspondance générale."
SPPC LGL 025,,Crimes de guerre et crimes contre l'humanité,,"Notes, avis juridiques, dossiers de la Couronne, rapports d'enquête et de renseignements, documents de recherche, correspondance, mémoires de recherche, ébauches d'arguments à présenter au tribunal, documents obtenus auprès d'autres pays, preuves médico-légales et documentaires, listes de témoins, notes et déclarations de témoins, pièces justificatives, rapports de spécialistes, certificats, mandats de perquisition, ordonnances de communication, données sur les arrestations et les perquisitions, informations sur la peine, photographies, enregistrements audio/vidéos, transcriptions, preuves de surveillance et d’écoute électronique, déclarations d’accusés."
SPPC LGL 005,,Crime organisé,,"Notes, avis juridiques, dossiers de la Couronne, rapports d'enquête et de renseignements, documents de recherche, correspondance, ébauches d'arguments à présenter au tribunal, preuves médico-légales et documentaires, listes de témoins, notes et déclarations de témoins, pièces justificatives, rapports de spécialistes, certificats, mandats de perquisition, ordonnances de communication, données sur les arrestations et les perquisitions, informations sur la peine, base de données de décisions judiciaires sur des dossiers, liés ou non, à la criminalité organisée ou ayant trait à des poursuites liées à la criminalité organisée, photographies, enregistrements audio/vidéos, transcriptions, preuves de surveillance et d’écoute électronique, déclarations d’accusés, documents relatifs à des produits de la criminalité ou à des biens visés par la confiscation."
SPPC REG 010,,Droit de la concurrence,,"Protocoles d’entente, avis juridiques, dossiers de la Couronne, rapports d'enquête, documents de recherche, correspondance, preuves médico-légales et documentaires, listes de témoins, notes et déclarations de témoins, pièces justificatives, rapports de spécialistes, certificats, mandats de perquisition, ordonnances de communication, données sur les arrestations et les perquisitions, informations sur la peine, photographies, transcriptions, évaluations, factures, déclarations d’accusés."
SPPC REG 003,,École des poursuivants,,"Documents de formation (y compris des notes de cours et exposés), listes des professeurs et des chargés de cours invités, documents concernant l'administration des cours et procédures d'inscription."
SPPC LGL 020,,Lutte contre le terrorisme,,"Notes, avis juridiques, dossiers de la Couronne, rapports d'enquête et de renseignements, documents de recherche, correspondance, ébauches d'arguments à présenter au tribunal, preuves médico-légales et documentaires, listes de témoins, notes et déclarations de témoins, pièces justificatives, rapports de spécialistes, certificats, mandats de perquisition, ordonnances de communication, données sur les arrestations et les perquisitions, informations sur la peine, base de données de décisions judiciaires sur des dossiers, liés ou non, au terrorisme ou ayant trait à des poursuites liées au terrorisme, photographies, enregistrements audio/vidéos, transcriptions, preuves de surveillance et d’écoute électronique, déclarations d’accusés, documents relatifs à des produits de la criminalité ou à des biens visés par la confiscation."
SPPC REG 005,,Poursuites en matière de crimes économiques,,"Ententes, notes, avis juridiques, dossiers de la Couronne, rapports d'enquête, documents de recherche, correspondance, rapports financiers et éléments de preuve à l’appui, listes de témoins, notes et déclarations de témoins, pièces justificatives, rapports de spécialistes, mandats de perquisition, ordonnances de communication, données sur les arrestations et les perquisitions, informations sur la peine, photographies, enregistrements audio/vidéos, transcriptions, déclarations de revenus, avis de cotisation."
SPPC LGL 001,,Poursuites en matière de drogues,,"Notes, avis juridiques, dossiers de la Couronne, rapports d'enquête, documents de recherche, correspondance, ébauches d'arguments à présenter au tribunal, preuves médico-légales et documentaires, listes de témoins, notes et déclarations de témoins, pièces justificatives, rapports de spécialistes, certificats, mandats de perquisition, ordonnances de communication, données sur les arrestations et les perquisitions, informations sur la peine, photographies, enregistrements audio/vidéos, transcriptions, preuves de surveillance et d’écoute électronique, déclarations d’accusés, documents relatifs à des produits de la criminalité ou à des biens visés par la confiscation."
SPPC LGL 015,,Poursuites dans le Nord canadien,,"Notes, avis juridiques, dossiers de la Couronne, rapports d'enquête et de renseignements, documents de recherche, correspondance, ébauches d'arguments à présenter au tribunal, preuves médico-légales et documentaires, listes de témoins, notes et déclarations de témoins, pièces justificatives, rapports de spécialistes, certificats, mandats de perquisition, ordonnances de communication, données sur les arrestations et les perquisitions, informations sur la peine, photographies, enregistrements audio/vidéos, rapports médicaux et de laboratoire, transcriptions, preuves de surveillance et d’écoute électronique, déclarations d’accusés, documents relatifs à des produits de la criminalité ou à des biens visés par la confiscation, ébauches et versions finales de documents de formation, notes de cours et exposés, procédures d'inscription aux cours, politiques de recrutement et lignes directrices."
SPPC REG 006,,Poursuites en matière réglementaire,,"Protocoles d’entente, notes, avis juridiques, rapports d'enquête, documents de recherche, correspondance, études écologiques et environnementales, études, rapports de spécialistes, dossiers de la Couronne, preuves médico-légales et documentaires, listes de témoins, notes et déclarations de témoins, pièces justificatives, certificats, mandats de perquisition, ordonnances de communication, données sur les arrestations et les perquisitions, informations sur la peine, photographies, transcriptions, déclarations d’accusés, enregistrements audio/vidéos, documents liés à la réglementation."
SPPC LGL 010,,Produits de la criminalité et biens infractionnels,,"Notes, avis juridiques, rapports d'enquête et de renseignements, documents de recherche, correspondance, descriptions des biens saisis, ébauches d'arguments à présenter au tribunal, preuves médico-légales et documentaires, listes de témoins, notes et déclarations de témoins, pièces justificatives, rapports de spécialistes, certificats, mandats de perquisition, ordonnances de communication, données sur les arrestations et les perquisitions, informations sur la peine, photographies, enregistrements audio/vidéos, transcriptions, preuves de surveillance et d’écoute électronique, déclarations d’accusés, documents relatifs à des produits de la criminalité ou à des biens visés par la confiscation."
SPPC REG 002,,Mandataires,,"Soumissions, critères de sélection,** demandes d’ententes à terme fixe, curriculum vitæ, correspondance, conditions d’ententes à terme fixe pour les mandataires, ententes à terme fixe, procédures de vérification des références, échelles d’évaluation, questions d’entrevue, certificats, barème des frais liés aux poursuites pénales."
SPPC REG 001,,Recouvrement des amendes,,"Notes, correspondance, ordonnances judiciaires, documents financiers, renseignements sur les paiements, protocoles d’entente avec l’Agence du revenu du Canada, descriptions des biens saisis."
