record_number,name_en,name_fr,document_types_en,document_types_fr
OPC CPL 001,Privacy Complaints and Investigations (Class of Records),,"Complaint applications, representations made by the parties to the allegations, submissions and third-party reports received by the Spam reporting Centre, documentary evidence, investigators' notes and records of discussions, technical analysis, internal and external correspondence, legal opinions, investigations reports, briefing notes, reports of findings, records of follow-up on recommendations, and case summaries.",
OPC CPL 002,Privacy-related enquiries (Class of Record),,"Correspondence, background information relating to requests.",
OPC CPL 003,Privacy Audits (Class of Record),,"Internal and external correspondence, legal opinions and requests for opinions, auditors' notes and records of discussions, audit reports, briefing notes as required, and records of follow-ups to recommendations as required.",
OPC CPL 004,Privacy Commissioner Ad Hoc ***–*** Complaints and Investigations (Class of Records),,Representations made by the parties to the allegations; documentary evidence; investigators' notes and records of discussions; internal and external correspondence; legal opinions and requests for opinions; investigation reports; briefing notes as required; reports of findings; records of follow-ups to recommendations as required.,
OPC CPL 005,Privacy Impact Assessments (Class of Record),,"Internal and external correspondence, legal opinions and requests for opinions, reviewers' notes and records of discussions, reports, briefing notes as required, assessment reports submitted by the institution for comment as well as additional information requested from the institution related to its PIA and records of recommendations and follow-ups as required.",
OPC CPL 006,Notifications to OPC - Public Interest Disclosure (Class of Record),,"Correspondence, notes and reports of the reviewer.",
OPC CPL 007,Notifications to OPC - New Uses of Personal Information (Class of Record),,"Correspondence, memoranda, notes and reports.",
OPC CPL 008,Notification to OPC Under PIPEDA Where Access to Personal Information Is Not Given (Class of Record),,"Correspondence, individuals' requests for the information, the responses to the requests, investigators' notes and investigation reports.",
OPC RPD 001,Contributions Program – Privacy-Related Research (Class of Record),,"Strategic planning documents, calls for proposals, proposals received, assessments and evaluations of proposals, correspondence, contribution agreements, and project expenditure reports.",
OPC RPD 002,Research and Analysis Files (Class of Records),,"Notes and records of discussions, seminars, and conferences; memorandum; briefing notes; presentations and speeches; and reports on contracted research.",
OPC PEC 002,Public Outreach (Class of Records),,"Communication plans, backgrounders, fact sheets, news releases, media advisories, speeches, questions and answers, event calendars, presentations, exhibits and displays, targeted educational tools in all media, content submitted by entrants in contests and competitions, directories, publications, corporate website content, content produced for social media, feedback submitted by readers through social media, survey results and reports and news clippings.",
