record_number,name_en,name_fr,document_types_en,document_types_fr
OSFI RAI 001,Risk assessments and intervention of federally regulated financial institutions,Évaluation des risques et intervention des institutions financières fédérales,"Guidelines, internal policies and procedures, regulatory consultations, reports, briefing and discussion papers, summaries of analyses, memoranda and correspondence, meeting agendas and minutes, presentations, time logs and notes.","Lignes directrices, politiques et procédures internes, consultations réglementaires, rapports, documents d'information et de discussion, résumés d'analyses, notes de service et correspondance, ordres du jour et procès-verbaux, présentations, registres du temps et notes."
OSFI RMP 002,Assessment of the macroeconomic and financial environment and related risks,Évaluation du contexte macroéconomique et financier et des risques connexes,"Reports, presentations, briefing notes and correspondence.","Rapports, présentations, notes de synthèse et correspondance."
OSFI RMP 001,Banking and Insurance Regulation and Guidance,Réglementation et orientation des banques et des sociétés d'assurance,"Correspondence, briefing and discussion papers, reports, meeting agendas and minutes, presentations, legal opinions, regulations, memoranda, guidance documentation, and logs.","Correspondance, documents d'information et de discussion, rapports, ordres du jour et procès-verbaux, présentations, avis juridiques, règlements, notes de service, documents d'orientation et registres."
OSFI RAA 001,Approvals,Agréments,"Correspondence, briefing and discussion papers, reports, meeting agendas and minutes, presentations, legal opinions, memoranda, financial statements, guidelines and notes.","Correspondance, documents de travail et d'information, rapports, ordres du jour et procès-verbaux de réunions, exposés, avis juridiques, règlements, protocoles, états financiers, lignes directrices et notes."
OSFI RAA 002,Precedents,Précédents,"Correspondence, briefing and discussion papers, reports, meeting agendas and minutes, presentations, legal opinions, memoranda, guidelines, instruction guides, implementation guides, policy papers and notes.","Correspondance, documents d'information et de discussion, rapports, ordres du jour et procès-verbaux, présentations, avis juridiques, notes de service, lignes directrices, guides d'instructions, guides de mise en œuvre, exposés de principe et notes."
OSFI RAA 003,Pension policy,Politique sur les régimes de retraite,"Correspondence, reports, meeting agendas and minutes, presentations, legal opinions, memoranda, communication logs and notes.","Correspondance, rapports, ordres du jour et procès-verbaux, présentations, avis juridiques, notes de service, registres de communication et notes."
OSFI RAA 004,Regulation and supervision of federally regulated private pension plans and pension policy,Réglementation et surveillance des régimes de retraite privés fédéraux et politique sur les régimes de retraite,"Correspondence, reports, meeting agendas and minutes, presentations, legal opinions, memoranda, communication logs and notes.","Correspondance, rapports, ordres du jour et procès-verbaux, présentations, avis juridiques, registres de communication et notes."
OSFI CPP 001,Canada Pension Plan and Old Age Security,Régime de pensions du Canada et Sécurité de la vieillesse,"Correspondence, briefing and discussion papers, reports, meeting agendas and minutes, presentations, actuarial evidence, memoranda of understanding, guidelines, and notes.","Correspondance, documents de travail et d'information, rapports, ordres du jour et procès-verbaux de réunions, exposés, avis juridiques, règlements, protocoles, lignes directrices et notes, expertises actuarielles et protocoles d'entente."
OSFI PPP 001,Public Sector Pension and Insurance programs,Régimes de retraite et d'assurance du secteur public,"Correspondence, briefing and discussion papers, reports, meeting agendas and minutes, presentations, actuarial evidence, memoranda of understanding, guidelines and notes.","Correspondance, documents de travail et d'information, rapports, ordres du jour et procès-verbaux de réunions, exposés, avis juridiques, règlements, protocoles, expertises actuarielles, protocoles d'entente, lignes directrices et notes."
OSFI CSL 001,Canada Student Loans Program,Programme canadien de prêts aux étudiants,"Correspondence, briefing and discussion papers, reports, meeting agendas and minutes, presentations, memoranda of understanding, guidelines and notes.","Correspondance, documents de travail et d'information, ordres du jour et procès-verbaux de réunions, exposés, avis juridiques, règlements, protocoles, lignes directrices et notes, et protocoles d'entente."
OSFI EIP 001,Employment insurance program,Programme assurance-emploi,"Correspondence, briefing and discussion papers, reports, meeting agendas and minutes, presentations, memoranda of understanding, guidelines and notes.","Correspondance, documents de travail et d'information, ordres du jour et procès-verbaux de réunions, exposés, avis juridiques, règlements, protocoles, lignes directrices et notes, et protocoles d'entente."
