record_number,name_en,name_fr,document_types_en,document_types_fr
PC PAEC HRC AIS 001,Aquatic invasive species prevention permits,Permis de prévention des espèces aquatiques envahissantes,Permits application forms; restricted activity orders; guidelines and standards of practice; program manuals and standard operating procedures; databases; summary reports and analyses of aggregated data resulting from permit information.,Formulaires de demande de permis; arrêtés d’activités restreintes; lignes directrices et normes de pratique; manuels de programme et procédures opérationnelles normalisées; bases de données; rapports sommaires et analyses de données agrégées provenant des renseignements liés aux permis.
PC TTI THM CP 001,Claims and Litigation Program,Administration des RH pour le gardien de parc,"This bank contains documents such as claim release forms; incident reports; witness statements; photographs and videos; insurance policy documents; investigation notes; legal opinions; settlement policy, and any supporting documentation used by Parks Canada in making administrative decisions related to property damage or personal injury claims. It will also include inspection reports on maintenance of facilities; operation and maintenance standards; maintenance schedules; and safety directives.","Système de suivi du rendement, évaluations, tests, examens, présentations, évaluations annuelles et périodiques du rendement, assiduité. Toute la documentation située dans les dossiers des employés membres, dossiers de sensibilisation pour le Programme d’orientation des employés, rapports d’enquête et d’événements, évaluations des menaces, déclarations, rapports sur les pièces à conviction."
PC TTI THM HM 001,Compensation claims regulation,Règlement de réclamation,Claims; court decisions; estimates; and investigation reports.,Réclamations; décisions judiciaires; estimations; rapports d’enquête.
PC HRC NP CRM 007,Cultural resource management,Gestion des ressources culturelles,"Reports and studies; policies, regulations, guidelines and standards of practice; ecological monitoring and reporting guidelines; reports data resulting from Cultural resource management programs. Includes collection and site databases.","Études et rapports; politiques, règlements, lignes directrices et normes de pratique; lignes directrices et rapports en matière de surveillance écologique; données obtenues dans le cadre de programmes de surveillance écologique. Incluant des bases de données sur les sites de collecte."
PC HRC NP EA 001,Environmental assessment,Évaluation environnementale,"Project-level assessments; strategic environmental assessments; policies (including directives, guidelines, operational procedures); reports and analyses related to natural and cultural resources; briefing notes; public statements and notices of decision; web content; training documents; and monitoring reports.","Analyses environnementales stratégiques et études approfondies à l’étape de projet; politiques (y compris les directives, lignes directrices et procédures opérationnelles); analyses et rapports concernant des ressources naturelles et culturelles; notes d’information; déclarations publiques et avis de décision; contenu Web; documents de formation; et rapports de surveillance."
PC HRC NP FM 002,Fire management,Gestion du feu,Policy and standard documents; guidelines and reference information for wildfire and prescribed fire management; fire danger and fire situation reports; contracts and agreements for fire equipment and services; planning and report documents related to wildfires and prescribed fires; annual reviews and reports on individual and program fire activities; scientific reports related to fire management.,"Documents sur les normes et les politiques; plans de brûlage dirigé et de gestion du combustible; documents de planification et rapports liés aux feux échappés et au brûlage dirigé; information situationnelle en temps réel sur les conditions météorologiques liées aux incendies, sur les dangers et sur les mesures de gestion; rapports et examens annuels sur les activités de gestion du feu menées individuellement ou dans le cadre d’un programme; rapports scientifiques sur la gestion du feu."
PCA IS CFOD 001,General Class Grants and Contributions Program,Programme de subventions et de contributions de catégorie générale,Application forms and supporting documentation; eligibility assessments and scoring sheets; funding agreements and amendments; financial statements and payment records; progress and final reports; audit and compliance reviews; correspondence with applicants and recipients; reports; tools and methodologies; monitoring; and reporting.,"Formulaires de demande et documents à l’appui ; évaluations de l’admissibilité et grilles de notation ; accords de financement et modifications ; états financiers et dossiers de paiement ; rapports d’étape et rapports finaux ; examens de vérification et de conformité ; correspondance avec les demandeurs et les bénéficiaires ; rapports, outils, méthodologies de surveillance et de production de rapports."
PC TTI THM AC 002,Highway management avalanche control,Gestion des routes de transit – Déclenchement préventif des avalanches,Plans; schedules; safety directives; incident reports; artillery firing and ammunition logs; explosives usage records; training operators' records; unexploded ordnance records; memoranda of understanding; and contracts.,Plans; calendriers; directives de sécurité ; rapports d’incident; registres de tirs d’artillerie et de munitions; dossiers d’utilisation d’explosifs; dossiers des formateurs; dossiers des munitions explosives non explosées; protocoles d’entente; et contrats.
PC TTI THM IW 004,Highway management impact on wildlife,Impact de la gestion des routes de transit sur la faune,Regulations; surveys; studies on the impact of highways on wildlife; wildlife/vehicle collision data and wildlife safety mitigation strategies; video and still photography.,Règlements; sondages; études concernant l’impact des routes sur la faune; données sur les collisions animaux-véhicules et stratégies d’atténuation des effets néfastes des routes sur la faune; vidéos et photographies.
PC TTI THM IO 005,Highway management information and outreach,Renseignements sur la gestion des routes et les activités d’extension,Inventories; management and research documents; signs; general surveys and studies; written communications; agreements for cooperation or services.,Documents d’inventaire; documents de gestion et de recherche; panneaux; rapports d’étude et de sondage généraux; communications écrites; ententes de coopération ou de services.
