record_number,name_en,name_fr,document_types_en,document_types_fr
PCO 004,Arts and culture,,"Memoranda, presentations, briefing notes, Cabinet documents, and correspondence.",
PCO 010,Communications and consultations,,"Decks, presentations and briefing notes and emails. PCO’s Media Centre produces a variety of reports to monitor emerging stories and issues in the public environment. PCO Communications also provides strategic advice on communications plans and materials produced by departments for major communications initiatives and management of public issues/crises.",
PCO 006,Cabinet documents,,"Memoranda to Cabinet, aide memoires, decks, committee reports, records of decisions, minutes, briefing material, and Cabinet committee meeting agendas.",
PCO 007,Cabinet papers system,,"Cabinet papers, Cabinet committee meeting agendas, and Memoranda to Cabinet.",
PCO 009,Commissions of Inquiry,,"Correspondence, briefing material, Cabinet documents, emails, research papers and legal opinions, invoices, reports.",
PCO 043,Administrative and financial support of offices of the Prime Minister and portfolio Ministers,,"Telephone lists, photocopier usage counts, print job order forms, purchase orders, acquisition cards, stationery supply orders and reports, parking permit applications, mail/courier records, procedures and contact lists, Treasury Board Secretariat policies and directives (if applicable), electronic system logs (e.g., electronic network and facilities access), travel advance and expense claims, expense receipts, travel and/or event itineraries and related correspondence, accounting and financial reports, transcripts.",
PCO 033,Provinces and territories,,"General briefing notes, presentations/decks, specific briefing notes for the Deputy Minister and Minister of IGA, correspondence, memoranda of understanding, speaking notes, meeting schedules and contracts (First Ministers' meetings).",
PCO 002,Afghanistan,,"Memoranda to the Clerk, to the Prime Minister, to the Chair of the Cabinet Committees and to Cabinet, Cabinet documents, briefing notes, presentations, reports, emails, and contracts.",
PCO 008,Canadian sovereignty,,"Memoranda, briefing notes and correspondence.",
PCO 014,Defence,,"Memoranda, briefing notes, talking points, Cabinet documents.",
PCO 022,Foreign relations,,"Memoranda, briefing notes and talking points, Cabinet documents and correspondence.",
PCO 037,Security and intelligence,,"Memoranda, briefing notes, speaking notes, Cabinet documents, presentations and proposals.",
PCO 011,Constitution,,"General briefing notes, presentations/decks, specific briefing notes for the Deputy Minister and Minister of IGA, correspondence, memoranda of understanding, and speaking notes.",
PCO 013,Crown and royalty,,"Correspondence, briefing material, Cabinet documents, emails, research papers and legal opinions.",
PCO 023,Government,,"Correspondence, briefing material, Cabinet documents, emails, research papers, legal opinions, Orders in Council and oath documents, guide to making federal *Acts* and regulations.",
PCO 027,Law and legal advice,,"Correspondence, briefing material, Cabinet documents, emails, research papers and legal opinions.",
PCO 030,Orders in Council,,"Orders in Council, Governor in Council appointments procedures guide, lists of approved OICs, records to register publication in the Canada Gazette, statutory instruments, and submissions to Treasury Board.",
PCO 001,Aboriginal people,,"Memoranda, briefing notes, Cabinet documents, and correspondence.",
PCO 003,Agriculture,,"Memoranda, briefing notes, Cabinet documents, and correspondence.",
PCO 012,Consumers and business,,"Memoranda, briefing notes, Cabinet documents, and correspondence.",
PCO 015,Economics,,"memoranda, Cabinet documents, briefing notes, speaking notes, presentations for the Prime Minister and the Clerk, correspondence and reports.",
PCO 016,Education,,"Memoranda, briefing notes, Cabinet documents, and correspondence.",
PCO 017,Employment,,"Memoranda, briefing notes, Cabinet documents, and correspondence.",
PCO 018,"Energy, mines and resources",,"Memoranda, briefing notes, Cabinet documents, and correspondence.",
PCO 019,Environment,,"Memoranda, briefing notes, Cabinet documents, and correspondence.",
PCO 020,Fisheries and oceans,,"Memoranda, briefing notes, Cabinet documents, and correspondence.",
PCO 021,Fitness and sport,,"Memoranda, briefing notes, Cabinet documents, and correspondence.",
PCO 024,"Health, welfare and social services",,"Memoranda, briefing notes, Cabinet documents, and correspondence.",
PCO 025,"Honours, awards and memorials",,"Correspondence, briefing material, Cabinet documents, emails, research papers and legal opinions.",
PCO 026,Immigration,,"Memoranda, briefing notes, Cabinet documents, and correspondence.",
PCO 028,Labour,,"Memoranda, briefing notes, Cabinet documents, and correspondence.",
PCO 029,Multiculturalism,,"Memoranda, briefing notes, Cabinet documents, and correspondence.",
PCO 031,Parliament,,"Memoranda, briefing notes, Cabinet documents, correspondence, Orders in Council and proclamations.",
PCO 032,Petitions and submissions,,Petitions and Submissions covering a wide variety of subjects and Orders in Council.,
PCO 035,Public works,,"Memoranda, briefing notes, Cabinet documents, and correspondence.",
PCO 036,Research and science,,"Memoranda, briefing notes, Cabinet documents, and correspondence.",
PCO 040,Telecommunications,,"Memoranda, briefing material, Cabinet documents, and correspondence.",
PCO 041,Trade and industry,,"Memoranda, briefing material, Cabinet documents, and correspondence.",
PCO 042,Transportation,,"Memoranda, briefing material, Cabinet documents, and correspondence.",
PCO 038,Senior personnel,,"Briefing notes and books, submissions to Governor in Council, presentations, selection criteria, notices of vacancy, press releases and Orders in Council.",
PCO 039,Standards of conduct compliance,,Briefing notes and guidance materials.,
PCO 034,Public Service,,"Briefing notes and books, presentations and reports.",
