record_number,name_en,name_fr,document_types_en,document_types_fr
RCMP OPS 1111,Provincial / Territorial Policing,Services de police provinciaux et territoriaux,,"Rapports d'enquête, déclarations, rapports sur l'évidence, documents de court, mandats, assignations, brefs de court et certains documents contenant de l'historique criminelle."
RCMP OPS 1112,Municipal Policing,Services de police municipaux,,
RCMP OPS 1113,Aboriginal Policing,Services de police autochtones et communautaires,,
RCMP OPS 1114,Airport Policing,Police des aéroports,,
RCMP OPS 1121,Drugs and Organized Crime,Drogues et Crime organisé,,
RCMP OPS 1122,Border Integrity,Intégrité des frontières,,
RCMP OPS 1123,Financial Crime,Criminalité financière,,
RCMP OPS 1124,Federal Crime Enforcement,Exécution des lois fédérales,,
RCMP OPS 1125,National Security,Sécurité nationale,,
RCMP OPS 1126,Protective Policing,Police de protection,,
RCMP OPS 1127,Major Events,Événements majeurs,,
RCMP OPS 1131,Technical Investigations,Enquêtes techniques,,
RCMP OPS 1132,Protective Technologies,Technologies de protection,,
RCMP OPS 1133,Air Services,Opérations de vol,,
RCMP OPS 1134,Disclosure and Major Case Management,Divulgation et gestion des cas graves,,
RCMP OPS 1135,Scientific Services/Technologies,Services et technologies scientifiques,,
RCMP ADM 1136,Operational Readiness and Response,Préparation et interventions opérationnelles,,
RCMP OPS 1137,Covert Operations,Opérations secrètes,,
RCMP OPS 1211,Integrated Forensic Identification Services,Service intégré de l'identité judiciaire,,
RCMP OPS 1212,Investigation and Enforcement Support (forensic),Soutien aux enquêtes et à la police générale (identité judiciaire),,
RCMP OPS 1213,Forensic Laboratory Services,Service de biologie,,
RCMP OPS 1214,Canadian Criminal Real Time Identification Services,Services canadiens d'identification criminelle en temps réel,,
RCMP OPS 1215,National Services & Research Support (Forensics),Soutien à la recherche et aux services nationaux (identité judiciaire),,
RCMP OPS 1216,Criminal Intelligence,Renseignements criminels,,
RCMP OPS 1217,Canadian Police Information Centre (CPIC),Centre d'information de la police canadienne (CIPC),,
RCMP OPS 1218,Canadian Police Centre for Missing and Exploited Children,Centre canadien de police pour les enfants disparus et exploités,,
RCMP ADM 1221,Assault-Style Firearms Compensation Program for Individuals,Programme d'indemnisation pour les armes à feu de type arme d'assaut pour les particuliers,,
RCMP OPS 1222,Firearms Investigative & Enforcement Services,Services d'enquête et d'application de la loi en matière d'armes à feu,,
RCMP ADM 1231,Canadian Police College,Collège canadien de police,,
RCMP ADM 1232,National Law Enforcement Training,Service de formation policière nationale,,
RCMP ADM 2111,International Peace Operations,Missions de paix internationales,,
RCMP ADM 2112,Building Capacity - Advice/Training Support to Nations at Risk,Renforcement des capacités - Soutien aux pays à risque,,
RCMP OPS 2121,Extra-Territorial Criminal Investigations,Enquêtes criminelles extraterritoriales,,
RCMP OPS 2122,Liaison Officers Abroad,Agents de liaison à l'étranger,,
RCMP OPS 2123,International Criminal Police Organization (INTERPOL),Organisation internationale de police criminelle (INTERPOL),,
RCMP ADM 2124,International Law Enforcement Training,Formation policière internationale,,
RCMP ADM 221,RCMP Musical Ride,Carrousel de la GRC,"Host application documentation, organizing committee records (including terms of reference, list of members, agendas, minutes, recommendations, and records of decision), horse auction sale records, breeding program records, equitation course curricula, Musical Ride programming and choreography, applications and supporting documentation for ridership, Mounted Police seminar application form, statistical and evaluation reports, and expense reports.",
RCMP ADM 222,Partnerships and Heritage,Partenariats et Patrimoine,"Meeting agendas and minutes, media lines, approvals, consultation papers, discussion papers, legal opinions, progress reports.",
RCMP OPS 2125,International Visits and Protocol,Protocole et visites internationales,,
RCMP ADM 1115,"Procurement, Purchases and Contracts","Achats, acquisitions et marchés","Contracts, negotiations, approvals, service agreements, call-ups, standing offer agreements and purchases.",
RCMP ADM 115,"Briefings, Presentations, Addresses and Speeches","Synthèses, exposés, allocutions et discours",,
RCMP ADM 1577,Publications,Publications,,
RCMP ADM 1505,Public and Media Relations,Public et Relations avec les médias,,
RCMP ADM 738,Accounts Payable,Comptes créditeurs,,
RCMP ADM 750,Accounts Receivable,Comptes débiteurs,,
RCMP ADM 775,Allowances and Deductions,Indemnités et retenues,,
RCMP ADM 780,Banks and Accounts,Banques et comptes,,
RCMP ADM 785,Budgeting,Budgétisation,,
RCMP ADM 800,Cheques,Chèques,,
RCMP ADM 805,Financial Classification Coding,Codage financier,,
RCMP ADM 830,Estimates,Budgets,,
RCMP ADM 837,Transport Requisitions,Demandes de transport,,
RCMP ADM 840,"Funds, Grants and Loans","Fonds, subventions et prêts",,
RCMP ADM 875,Financial Signing Authorities,Pouvoirs financiers de signer,,
RCMP ADM 880,Taxes,Taxes,,
RCMP ADM 518,Employee Privileges,Privilèges aux employés,,
RCMP ADM 487,Morale,Moral,,
RCMP ADM 350,Awards and Honours,Prix et distinctions honorifiques,,
RCMP ADM 385,Debts and Loans,Dettes et prêts,,
RCMP ADM 473,Employee Benefits and Insurance,Assurances et prestations des employés,,
RCMP ADM 454,Hours of Work,Heures de travail,,
RCMP ADM 470,Income Tax,Impôt sur le revenu,,
RCMP ADM 485,Leave,Congés,,
RCMP ADM 500,"Pay, Bonus and Salaries","Solde, primes et salaires",,
RCMP ADM 510,Pension,Pension,,
RCMP ADM 415,Human Resources Planning,Planification des ressources humaines,,
RCMP ADM 374,Administrative Grievances,Griefs administratifs,,
RCMP ADM 380,Complaints,Plaintes,,
RCMP ADM 635,"Conduct, Discipline, and Termination of Public Service Employees","Conduite, discipline et cessation d'emploi des employés de la fonction publique",,
RCMP ADM 382,Informal Conflict Management,Gestion informelle des conflits,,
RCMP ADM 390,"Member Discipline, Discharge and Conduct","Discipline, renvoi et conduite des membres",,
RCMP ADM 448,"Medical, Health and Wellness","Services médicaux, santé et mieux-être",,
RCMP ADM 450,Occupational and Environmental Health and Safety,Sécurité et hygiène professionnelles et du milieu,,
RCMP ADM 252,Official Languages,Langues officielles,,
RCMP ADM 435,Evaluation and Performance Review,Évaluation et examen du rendement,,
RCMP ADM 340,Appointments,Nominations,,
RCMP ADM 358,Job Classification,Classification des emplois,,
RCMP EMP 001,Member Category Employment Information Resources,Ressources d'information sur les catégories de membre régulier,,
RCMP EMP 003,Non-RCMP Category Employment Information Resources,Ressource d'information sur les catégories de non-membre de la GRC,,
RCMP ADM 490,Oaths of Allegiance and Secrecy,Serments d'allégeance et au secret,,
RCMP ADM 445,Personnel Security,Sécurité du personnel,,
RCMP ADM 370,Position Files,Dossiers sur les postes,,
RCMP ADM 642,Public Service Employee Category Staffing,Affectation des employés de la fonction publique,,
RCMP EMP 002,Public Service Employee Category Employee Information Resources,Ressource d'information de la catégorie d'employé de la fonction publique,,
RCMP ADM 530,Recruiting and Employment (excluding the Public Service Employee Category),Recrutement et emploi (à l'exclusion des employés de la fonction publique),,
RCMP ADM 645,Recruiting and Staffing of Contract and Temporary Help Services,Recrutement et dotation en personnel des services contractuels et de travail temporaire,,
RCMP ADM 442,Staffing of Regular and Civilian Members,Affectation des membres réguliers et des membres civils,,
RCMP ADM 720,Volunteers,Bénévoles,,
RCMP ADM 565,RCMP Developed Training,Formation élaborée par la GRC,,
RCMP ADM 580,Training Developed and Offered Outside of the RCMP,Formation élaborée et offerte à l'extérieur de la GRC,,
RCMP ADM 1516,Access to Information,Accès à l'information,,
RCMP ADM 1517,Protection of Privacy,Protection des renseignements personnels,,
RCMP ADM 1518,Informal Information Requests,Demandes de renseignements officieuses,,
RCMP ADM 1580,Information and Knowledge Management,Gestion de l'information et des connaissances,,
RCMP ADM 1485,Automated Systems,Systèmes automatisés,,
RCMP ADM 287,Affidavits,Affidavits,,
RCMP ADM 120,Agreements,Ententes,,
RCMP ADM 122,Agreements for Policing Services,Accords sur les services de police,,
RCMP ADM 188,Claims,Réclamations,,
RCMP ADM 310,Commissions and Boards of Inquiry,Commissions et commissions d'enquête,,
RCMP ADM 152,Corporate Identity Program,Programme de symbolisation de la GRC,,
RCMP ADM 240,Intellectual Property,Propriété intellectuelle,,
RCMP ADM 258,Jurisdictions,Territoires de compétence,,
RCMP ADM 372,Legal Action and Litigations,Poursuites et litiges,,
RCMP ADM 117,RCMP Act and Regulations,Loi sur la GRC et Règlement connexe,,
RCMP ADM 243,Operational Readiness and Emergency Management,Préparation opérationnelle et gestion des mesures d'urgence,,
RCMP ADM 1466,Program and Office Administration,Administration des programmes et des bureaux,,
RCMP ADM 301,Policy Compliance,Respect des politiques,,
RCMP ADM 255,RCMP Structural Organization,Organisation structurelle de la GRC,,
RCMP ADM 290,RCMP Policy Instruments,Instruments de politique de la GRC,,
RCMP ADM 119,"Review of Government of Canada Acts, Regulations and Policy Instruments","Examen de lois, de règlements et d'instruments de politique du gouvernement du Canada",,
RCMP ADM 236,"Reviews, Overviews and Studies","Examens, aperçus et études",,
RCMP ADM 1506,Ministerial Liaison,Liaisons ministérielles,,
RCMP ADM 232,Audit,Vérifications,,
RCMP ADM 234,Inspections and Evaluations,Inspections et évaluations,,
RCMP ADM 238,Unit Level Quality Assurance,Programme d'assurance de la qualité au sein d'un service,,
RCMP ADM 285,Planning Process,Processus de planification,,
RCMP ADM 302,Reports,Rapports,,
RCMP ADM 1175,Computer Equipment and Software,Matériel informatique - matériel et logiciel,,
RCMP ADM 1070,Condemnation and Destruction of Equipment and Supplies,Réforme et destruction du matériel et des fournitures,,
RCMP ADM 1003,Damage to Loss of Government Property,Dommages causés à la propriété du gouvernement ou pertes subies par ce dernier,,
RCMP ADM 1018,Fleet Management,Gestion du parc automobile,,
RCMP ADM 1030,Furniture and Furnishing within Living Accommodations,Meubles et accessoires des logements,,
RCMP ADM 1500,Horses,Chevaux,,
RCMP ADM 1010,Inventories,Inventaires,,
RCMP ADM 1055,Material and Cloth,Tissu,,
RCMP ADM 250,"Museums, Artifacts and Relics","Musées, objets façonnés et reliques",,
RCMP ADM 1155,"Office Supplies, Furniture and Equipment","Fournitures, meubles et matériel de bureau",,
RCMP ADM 105,RCMP Vehicular Accidents,Accidents impliquant des véhicules de la GRC,,
RCMP ADM 1685,Service Dogs,Chiens de police,,
RCMP ADM 1160,Technical and Safety Equipment,Matériel technique et de sécurité,,
RCMP ADM 1165,Telecommunication Equipment,Matériel de télécommunications,,
RCMP ADM 1620,Telecommunications,Télécommunications,,
RCMP ADM 1040,Uniform and Dress,Uniformes et tenues,,
RCMP ADM 1092,Uniform and Equipment Loans,Prêt d'uniformes et de matériel,,
RCMP ADM 1311,"Buildings, Land, Sites and Works","Bâtiments, terrains, emplacements et ouvrages",,
RCMP ADM 1405,"Historical Sites, Cemeteries, Graveyards and Monuments","Sites historiques, cimetières et monuments",,
RCMP ADM 1355,Janitorial Services,Services de conciergerie,,
RCMP ADM 1310,Real Property Estimates,Prévisions budgétaires relatives aux biens immobiliers,,
RCMP ADM 1450,Utilities (Other than telephone services),Services publics (autres que le téléphone),,
RCMP ADM 103,"Abbreviations, Designations and Titles","Abréviations, désignations et titres",,
RCMP ADM 1461,Administrative Procedures,Procédures administratives,,
RCMP ADM 225,"Appreciation, Condolences, Greetings, Gifts and Presentations","Remerciements, condoléances, vœux, cadeaux et présents",,
RCMP ADM 154,"Badges, Flags and Colours","Insignes, drapeaux et guidons",,
RCMP ADM 168,Campaigns and Canvassing,Campagnes et sollicitation,,
RCMP ADM 180,Ceremonies and Celebrations,Cérémonies et célébrations,,
RCMP ADM 205,Cultures and Customs,Cultures et coutumes,,
RCMP ADM 460,Inquiries and Information Requests on Personnel,Demandes de renseignements concernant le personnel,,
RCMP ADM 1690,Firearms Registry,Registre des armes à feu,,
RCMP ADM 1495,Forms Management,Gestion des formulaires,,
RCMP ADM 245,"Licences, Passes, Permits and Building Access Control","Licences, laissez-passer, permis et contrôle d'accès aux bâtiments",,
RCMP ADM 174,Memorial Services and Individuals Buried in Police Cemeteries,Services commémoratifs et personnes enterrées dans les cimetières de la GRC,,
RCMP ADM 1464,Operational Procedures,Procédures opérationnelles,,
RCMP ADM 131,Project Management (Over one million dollars),Gestion de projet (plus d'un million de dollars),,
RCMP ADM 132,Project Management (Under one million dollars),Gestion de projet (moins d'un million de dollars),,
RCMP ADM 246,Research and Development,Recherches et mises au point,,
RCMP ADM 320,Sports and Recreation Clubs,Clubs de sports et de loisirs,,
RCMP ADM 275,Structural Organization of Other Government Departments,Organisation structurelle d'autres ministères gouvernementaux,,
RCMP ADM 195,"Meetings, Conferences, Committees, Associations and Societies","Réunions, conférences, comités, associations et sociétés",,
RCMP ADM 244,Business Continuity Planning,Plans de continuité des activités,,
RCMP ADM 231,Security of Assets and Information,Protection des biens et de l'information,,
RCMP ADM 496,Passports and Visas,Passeports et visas,,
RCMP ADM 1675,Travel,Voyages,,
