record_number,name_en,name_fr,document_types_en,document_types_fr
STJPA PTD 095,Business Development,,"Land use plans, Business Plan, contracts, proposals, maps, marketing material, nautical charts, press releases, market studies, general correspondence.",
STJPA PMS 010,Property Management,,"Land and Port development proposals, lease agreements, licenses, easements, disposal of property, plans, procedures, policies, financial reports, budgets, payments in lieu of taxes, insurance, agreements, title information, statistical reports, community relations reports, and strategies.",
STJPA TFP 010,"Administration of Tariffs, Fees and Permits",,"Harbour dues, berthage, wharfage, small commercial vessel fees; water and electricity service fees, in transit passenger fees; equipment rental rates; property rental/lease rates, remittals, notices and procedures, policies, statistical reports; contracts; memoranda and correspondence.",
STJPA CIC 005,Cruise Industry Coordination,,"Advertisements, press releases, performance reporting documents, planning documents, photos and illustrations, project briefs, artwork files, budget documents, presentations, market research reports, promotional material, invoices, contracts, statistics, policies, procedures, and inventory of berthage space.",
STJPA CRH 005,Cargo Management,,"Statistical reports, manifests, general correspondence. Charts and publications, fees and rates, licenses, plans, procedures, policies, and strategies.",
STJPA ENG 025,Engineering,,"Includes historical records, engineering plans and specifications, professional services and construction contracts, tender documents, licences, agreements, easements, proposals, legal surveys, maps, nautical charts, structural investigations, progress reports and payments, inspection reports, and general correspondence.",
STJPA EVS 035,Environmental Services,,"Includes environmental assessment, reports, site specific audits, screening reports, policies and procedures, contract documents, monitoring reports, statistical information, and general correspondence.",
STJPA EVS 040,Special Environmental Programs,,"environmental reports, research, studies, standards, certifications, financial reports, budgets, plans, policies, procedures, correspondence, committee meeting minutes, agendas.",
STJPA HRO 050,Harbour Operations,,"Statistical reports, policies and procedures, emergency plan, memoranda of understanding, port security plan, and general correspondence.",
STJPA CII 005,Community Involvement and Investment,,"Includes correspondence with individuals and regional/community organizations, memoranda of understanding, information on practices and operations, research, donations, scholarship awards, receipts, reports, budgets, plans, statistics, policies, procedures, agendas.",
