record_number,name_en,name_fr,document_types_en,document_types_fr
TBS MP 100,Requests and questionnaires,Demandes et questionnaires,,
TBS MF 146,Economic Sector,Secteur des programmes économiques,Advice provided to Cabinet committees Advice relating to documents on Crown corporations (corporate plans) Annual Reference Level Update Audit and evaluation reports Departmental capital and operating budgets Government-wide reviews Governor General’s warrants Main and Supplementary Estimates Program integrity,Budget principal des dépenses et Budget supplémentaire des dépenses Budgets ministériels d’immobilisations et de fonctionnement Conseils fournis aux comités du Cabinet Conseils liés aux documents sur les sociétés d’État (plans d’entreprise) Examens pangouvernementaux Intégrité des programmes Mandats du gouverneur général Mise à jour annuelle des niveaux de référence Rapports d’audits et d’évaluation
TBS MF 147,Committee and deliberative processes,Comités et processus de délibérations,,
TBS MF 148,Feedback and comments,Rétroaction et commentaires,,
TBS MF 151,Social and Cultural Sector,Documents et recherches,"Financial and budgetary management Annual Reference Level Update Departmental capital and operating budgets Governor General’s warrants Main and Supplementary Estimates Planning and reporting Departmental Plans Departmental Results Reports Government-wide reviews Program integrity, management, resources, and results structure and departmental program activity architecture Governance and accountability Advice provided to Cabinet committees Governor in Council positions Management Accountability Framework Regulations Guidance and support Committees, conferences, training, compensation, governance policies and best practices, meetings and seminars or retreats Small departments and agencies (guidance, initiatives, training networks): advice relating to documents on Crown corporations (policies, guidance, corporate plans) Documentation and research Research reports Submission précis and associated documents",
TBS MF 120,Data and training,Données et formation,,
TBS EM 303,Legal and authority,Documents juridiques et autorisations,,
TBS EM 304,Resources and tools,Ressources et outils,,
TBS FM 407,Administrative items,Documents administratifs,,
TBS FM 404,Invitations and agreements,Invitations et ententes,,
TBS FM 409,Administrative items,Documents administratifs,,
TBS FM 420,Administrative items,Documents administratifs,,
TBS FM 408,Administrative items,Documents administratifs,,
TBS FM 412,Administrative items,Documents administratifs,,
TBS FM 110,Resources and materials,Ressources et matériel,,
TBS FM 112,Resources and materials,Ressources et documents,,
TBS FM 406,Research and information management,Recherches et gestion de l’information,,
TBS FM 350,Resources and lists,,,
TBS GF 352,Resources and lists,Ressources et listes,,
TBS MF 128,Miscellaneous,Documents divers,,
TBS MF 126,Technical services and analytics,Services et analyses techniques,,
TBS MF 129,Miscellaneous,Documents divers,,
TBS MF 133,Presentations and training,Présentations et formation,,
TBS MF 155,Administrative items,Documents administratifs,,
TBS MF 125,Miscellaneous,Documents divers,,
TBS FM 418,Departmental and divisional feedback,Rétroaction des ministères et des divisions,,
TBS FM 425,Advice and support,Conseils et soutien,,
TBS FM 416,Assessments and reviews,Évaluations et examens,,
TBS FM 410,Visual and template resources,Ressources visuelles et modèles,,
TBS FM 415,Project documentation and risk management,Documents de projet et gestion des risques,,
TBS MF 140,Requests and submissions,Demandes et soumissions,,
TBS PM 246,Communication and training,Communications et formation,,
TBS FM 430,Enterprise planning and reporting,Programme de la planification et de l’établissement de rapports ministériels,,
TBS MF 150,Reports and tracking,Rapports et documents de suivi,,
TBS FM 440,Proposals and reports,Propositions et rapports,,
TBS FM 417,Miscellaneous,Documents divers,,
