gc_orgID,gc_orgID_conflict,harmonized_name,nom_harmonise,abbreviation,abreviation,institution_name_en,institution_name_fr,infosource_url_en,infosource_status_en,infosource_url_fr,infosource_status_fr,website,site_web,open_gov_ouvert,infobaseID,rg,pop,phoenix,match_method_en,match_score_en,match_method_fr,match_score_fr,row_key,url_key_en,url_key_fr
2222,False,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,AAFC,AAC,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,http://agriculture.canada.ca/eng/about-us/offices-and-locations/access-to-information-and-privacy-services/info-source-2016/?id=1347308413430,200.0,http://agriculture.canada.ca/fra/a-propos-de-nous/bureaux-et-emplacements/services-dacces-a-linformation-et-de-protection-des-renseignements-personnels/sources-de-renseignements-du-gouvernement-federal-et-sur-les-fonctionnaires-federaux-2016/?id=1347308413430,404.0,www.agr.gc.ca,www.agr.gc.ca,aafc-aac,1,1.0,AGR,AGR00,exact,,exact,,gc:2222,https://agriculture.canada.ca/about-us/offices-and-locations/access-to-information-and-privacy-services/info-source-2016?id=1347308413430,https://agriculture.canada.ca/a-propos-de-nous/bureaux-et-emplacements/services-dacces-a-linformation-et-de-protection-des-renseignements-personnels/sources-de-renseignements-du-gouvernement-federal-et-sur-les-fonctionnaires-federaux-2016?id=1347308413430
2223,False,Canadian Heritage,Patrimoine canadien,PCH,PCH,Canadian Heritage,Patrimoine canadien,https://www.canada.ca/en/canadian-heritage/corporate/publications/general-publications/information-programs-holdings.html,200.0,https://www.canada.ca/fr/patrimoine-canadien/organisation/publications/publications-generales/renseignements-programmes-fonds.html,200.0,https://www.canada.ca/en/canadian-heritage.html,https://www.canada.ca/fr/patrimoine-canadien.html,pch,122,135.0,PCH,PCH00,exact,,exact,,gc:2223,https://canada.ca/canadian-heritage/corporate/publications/general-publications/information-programs-holdings.html,https://canada.ca/patrimoine-canadien/organisation/publications/publications-generales/renseignements-programmes-fonds.html
2224,False,"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada",IRCC,IRCC,"Immigration, Refugees and Citizenship Canada",Immigration Réfugiés et Citoyenneté Canada,https://www.canada.ca/en/immigration-refugees-citizenship/corporate/transparency/access-information-privacy/info-source/sources-information.html,200.0,https://www.canada.ca/fr/immigration-refugies-citoyennete/organisation/transparence/acces-information-protection/info-source/sources-renseignements.html,200.0,www.cic.gc.ca,www.cic.gc.ca,cic,123,50.0,IMC,IMC00,exact,,exact,,gc:2224,https://canada.ca/immigration-refugees-citizenship/corporate/transparency/access-information-privacy/info-source/sources-information.html,https://canada.ca/immigration-refugies-citoyennete/organisation/transparence/acces-information-protection/info-source/sources-renseignements.html
2225,False,Department of Finance Canada,Ministère des Finances Canada,FIN,FIN,Department of Finance Canada,Ministère des Finances Canada,https://www.canada.ca/en/department-finance/corporate/transparency/access-information-privacy/info-source.html,200.0,https://www.canada.ca/fr/ministere-finances/organisation/transparence/acces-information-protection-renseignements-personnels/info-source.html,200.0,https://www.canada.ca/en/department-finance.html,https://www.canada.ca/fr/ministere-finances.html,fin,124,6.0,FIN,FIN00,exact,,exact,,gc:2225,https://canada.ca/department-finance/corporate/transparency/access-information-privacy/info-source.html,https://canada.ca/ministere-finances/organisation/transparence/acces-information-protection-renseignements-personnels/info-source.html
2226,False,Fisheries and Oceans Canada,Pêches et Océans Canada,DFO,MPO,Fisheries and Oceans Canada,Pêches et Océans Canada,https://www.dfo-mpo.gc.ca/transparency-transparence/atip-aiprp/infosource/index-eng.html,200.0,https://www.dfo-mpo.gc.ca/transparency-transparence/atip-aiprp/infosource/index-fra.html,200.0,www.dfo-mpo.gc.ca,www.dfo-mpo.gc.ca,dfo-mpo,125,86.0,DFO,DFO00,exact,,exact,,gc:2226,https://dfo-mpo.gc.ca/transparency-transparence/atip-aiprp/infosource/index-eng.html,https://dfo-mpo.gc.ca/transparency-transparence/atip-aiprp/infosource/index-fra.html
2227,False,Global Affairs Canada,Affaires mondiales Canada,GAC,AMC,Global Affairs Canada,Affaires mondiales Canada,https://www.international.gc.ca/transparency-transparence/infosource/index.aspx?lang=eng,200.0,https://www.international.gc.ca/transparency-transparence/infosource/index.aspx?lang=fra,200.0,www.international.gc.ca,www.international.gc.ca,dfatd-maecd,126,5.0,EXT,EXT00,exact,,exact,,gc:2227,https://international.gc.ca/transparency-transparence/infosource/index.aspx,https://international.gc.ca/transparency-transparence/infosource/index.aspx
2228,False,Health Canada,Santé Canada,HC,SC,Health Canada,Santé Canada,https://www.canada.ca/en/health-canada/corporate/about-health-canada/activities-responsibilities/access-information-privacy/info-source-federal-government-employee-information.html,200.0,https://www.canada.ca/fr/sante-canada/organisation/a-propos-sante-canada/activites-responsabilites/acces-information-protection-renseignements-personnels/info-source-renseignements-gouvernement-federal-fonctionnaires-federaux.html#a21,200.0,www.canada.ca/en/health-canada.html,www.canada.ca/fr/sante-canada.html,hc-sc,127,22.0,SHC,NHW00,exact,,exact,,gc:2228,https://canada.ca/health-canada/corporate/about-health-canada/activities-responsibilities/access-information-privacy/info-source-federal-government-employee-information.html,https://canada.ca/sante-canada/organisation/a-propos-sante-canada/activites-responsabilites/acces-information-protection-renseignements-personnels/info-source-renseignements-gouvernement-federal-fonctionnaires-federaux.html
2229,False,Employment and Social Development Canada,Emploi et Développement social Canada,ESDC,EDSC,Employment and Social Development Canada,Emploi et Développement social Canada,https://www.canada.ca/en/employment-social-development/corporate/transparency/access-information/reports/infosource.html,200.0,https://www.canada.ca/fr/emploi-developpement-social/ministere/transparence/aai/rapports/infosource.html,200.0,www.canada.ca/en/employment-social-development.html,www.canada.ca/fr/emploi-developpement-social.html,esdc-edsc,128,14.0,CSD,CSD00,exact,,exact,,gc:2229,https://canada.ca/employment-social-development/corporate/transparency/access-information/reports/infosource.html,https://canada.ca/emploi-developpement-social/ministere/transparence/aai/rapports/infosource.html
2230,False,Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada,CIRNAC,RCAANC,Crown Indigenous and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada,https://www.rcaanc-cirnac.gc.ca/eng/1638307261809/1638307285229,404.0,https://www.rcaanc-cirnac.gc.ca/fra/1638307261809/1638307285229,404.0,https://www.canada.ca/en/crown-indigenous-relations-northern-affairs.html,https://www.canada.ca/fr/relations-couronne-autochtones-affaires-nord.html,aandc-aadnc,129,42.0,IAN,IAN00,unmatched,,exact,,gc:2230,https://rcaanc-cirnac.gc.ca/1638307261809/1638307285229,https://rcaanc-cirnac.gc.ca/1638307261809/1638307285229
2231,False,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada",ISED,ISDE,"Innovation, Science and Economic Development Canada","Innovation, sciences et développement économique Canada",https://ised-isde.canada.ca/site/atip-services/en/info-source,200.0,https://ised-isde.canada.ca/site/services-aiprp/fr/info-source,200.0,www.ic.gc.ca,www.ic.gc.ca,ic,130,33.0,DUS,DUS00,exact,,exact,,gc:2231,https://ised-isde.canada.ca/site/atip-services/info-source,https://ised-isde.canada.ca/site/services-aiprp/info-source
